Vermont, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1532,19
189502,1492,159
189503,1298,147
189504,748,14
189505,287,-99
189506,51,-75
189507,89,45
189508,111,21
189509,241,-19
189510,775,178
189511,923,-12
189512,1270,-91
189601,1574,61
189602,1335,2
189603,1349,198
189604,667,-67
189605,273,-113
189606,148,22
189607,29,-15
189608,81,-9
189609,299,39
189610,701,104
189611,857,-78
189612,1434,73
189701,1491,-22
189702,1309,-24
189703,1176,25
189704,704,-30
189705,383,-3
189706,207,81
189707,12,-32
189708,119,29
189709,306,46
189710,592,-5
189711,1010,75
189712,1325,-36
189801,1559,46
189802,1217,-116
189803,972,-179
189804,785,51
189805,394,8
189806,109,-17
189807,28,-16
189808,59,-31
189809,199,-61
189810,570,-27
189811,1008,73
189812,1361,0
189901,1522,9
189902,1391,58
189903,1265,114
189904,735,1
189905,384,-2
189906,83,-43
189907,47,3
189908,80,-10
189909,306,46
189910,543,-54
189911,995,60
189912,1236,-125
190001,1477,-36
190002,1351,18
190003,1381,230
190004,746,12
190005,457,71
190006,95,-31
190007,37,-7
190008,63,-27
190009,207,-53
190010,448,-149
190011,920,-15
190012,1435,74
190101,1535,22
190102,1515,182
190103,1227,76
190104,666,-68
190105,386,0
190106,84,-42
190107,18,-26
190108,63,-27
190109,242,-18
190110,601,4
190111,1130,195
190112,1348,-13
190201,1568,55
190202,1342,9
190203,968,-183
190204,679,-55
190205,450,64
190206,222,96
190207,85,41
190208,153,63
190209,247,-13
190210,653,56
190211,840,-95
190212,1496,135
190301,1495,-18
190302,1270,-63
190303,883,-268
190304,729,-5
190305,319,-67
190306,233,107
190307,71,27
190308,237,147
190309,238,-22
190310,603,6
190311,1070,135
190312,1517,156
190401,1763,250
190402,1535,202
190403,1245,94
190404,809,75
190405,266,-120
190406,134,8
190407,59,15
190408,137,47
190409,352,92
190410,722,125
190411,1156,221
190412,1647,286
190501,1631,118
190502,1528,195
190503,1221,70
190504,765,31
190505,403,17
190506,175,49
190507,38,-6
190508,133,43
190509,287,27
190510,618,21
190511,1045,110
190512,1304,-57
190601,1285,-228
190602,1344,11
190603,1362,211
190604,756,22
190605,423,37
190606,120,-6
190607,50,6
190608,49,-41
190609,211,-49
190610,594,-3
190611,1022,87
190612,1526,165
190701,1590,77
190702,1561,228
190703,1155,4
190704,867,133
190705,570,184
190706,141,15
190707,51,7
190708,148,58
190709,254,-6
190710,755,158
190711,1001,66
190712,1260,-101
190801,1476,-37
190802,1463,130
190803,1169,18
190804,810,76
190805,302,-84
190806,111,-15
190807,16,-28
190808,118,28
190809,173,-87
190810,525,-72
190811,952,17
190812,1416,55
190901,1449,-64
190902,1283,-50
190903,1235,84
190904,792,58
190905,443,57
190906,121,-5
190907,86,42
190908,120,30
190909,284,24
190910,669,72
190911,879,-56
190912,1417,56
191001,1443,-70
191002,1395,62
191003,979,-172
191004,588,-146
191005,414,28
191006,185,59
191007,31,-13
191008,118,28
191009,285,25
191010,583,-14
191011,1019,84
191012,1589,228
191101,1464,-49
191102,1425,92
191103,1300,149
191104,835,101
191105,201,-185
191106,171,45
191107,15,-29
191108,78,-12
191109,318,58
191110,664,67
191111,1032,97
191112,1141,-220
191201,1788,275
191202,1438,105
191203,1332,181
191204,770,36
191205,384,-2
191206,197,71
191207,46,2
191208,171,81
191209,289,29
191210,550,-47
191211,918,-17
191212,1185,-176
191301,1212,-301
191302,1397,64
191303,1031,-120
191304,657,-77
191305,454,68
191306,153,27
191307,45,1
191308,101,11
191309,310,50
191310,462,-135
191311,862,-73
191312,1257,-104
191401,1586,73
191402,1568,235
191403,1190,39
191404,860,126
191405,342,-44
191406,182,56
191407,71,27
191408,90,0
191409,294,34
191410,512,-85
191411,1043,108
191412,1452,91
191501,1417,-96
191502,1199,-134
191503,1258,107
191504,570,-164
191505,505,119
191506,162,36
191507,60,16
191508,113,23
191509,166,-94
191510,560,-37
191511,913,-22
191512,1346,-15
191601,1395,-118
191602,1419,86
191603,1416,265
191604,743,9
191605,401,15
191606,218,92
191607,13,-31
191608,54,-36
191609,264,4
191610,595,-2
191611,1026,91
191612,1418,57
191701,1533,20
191702,1484,151
191703,1195,44
191704,820,86
191705,631,245
191706,143,17
191707,26,-18
191708,52,-38
191709,338,78
191710,711,114
191711,1119,184
191712,1743,382
191801,1839,326
191802,1454,121
191803,1187,36
191804,727,-7
191805,240,-146
191806,222,96
191807,38,-6
191808,74,-16
191809,378,118
191810,566,-31
191811,918,-17
191812,1291,-70
191901,1376,-137
191902,1261,-72
191903,1087,-64
191904,772,38
191905,379,-7
191906,60,-66
191907,30,-14
191908,129,39
191909,260,0
191910,584,-13
191911,976,41
191912,1535,174
192001,1806,293
192002,1389,56
192003,1138,-13
192004,835,101
192005,447,61
192006,129,3
192007,75,31
192008,46,-44
192009,211,-49
192010,434,-163
192011,1035,100
192012,1282,-79
192101,1429,-84
192102,1248,-85
192103,913,-238
192104,548,-186
192105,327,-59
192106,126,0
192107,3,-41
192108,109,19
192109,178,-82
192110,596,-1
192111,1029,94
192112,1464,103
192201,1645,132
192202,1301,-32
192203,1116,-35
192204,747,13
192205,343,-43
192206,90,-36
192207,47,3
192208,87,-3
192209,205,-55
192210,602,5
192211,942,7
192212,1414,53
192301,1655,142
192302,1556,223
192303,1339,188
192304,795,61
192305,469,83
192306,112,-14
192307,90,46
192308,132,42
192309,223,-37
192310,601,4
192311,945,10
192312,1113,-248
192401,1455,-58
192402,1518,185
192403,1143,-8
192404,805,71
192405,518,132
192406,175,49
192407,55,11
192408,95,5
192409,324,64
192410,590,-7
192411,930,-5
192412,1467,106
192501,1670,157
192502,1138,-195
192503,1022,-129
192504,728,-6
192505,515,129
192506,80,-46
192507,76,32
192508,90,0
192509,273,13
192510,827,230
192511,976,41
192512,1362,1
192601,1472,-41
192602,1438,105
192603,1388,237
192604,930,196
192605,478,92
192606,244,118
192607,67,23
192608,91,1
192609,297,37
192610,684,87
192611,960,25
192612,1553,192
192701,1511,-2
192702,1226,-107
192703,1058,-93
192704,760,26
192705,490,104
192706,246,120
192707,51,7
192708,155,65
192709,261,1
192710,510,-87
192711,834,-101
192712,1293,-68
192801,1429,-84
192802,1330,-3
192803,1219,68
192804,835,101
192805,435,49
192806,195,69
192807,33,-11
192808,39,-51
192809,356,96
192810,571,-26
192811,939,4
192812,1205,-156
192901,1537,24
192902,1340,7
192903,1067,-84
192904,746,12
192905,392,6
192906,110,-16
192907,66,22
192908,150,60
192909,205,-55
192910,658,61
192911,943,8
192912,1394,33
193001,1453,-60
193002,1264,-69
193003,1167,16
193004,801,67
193005,344,-42
193006,45,-81
193007,61,17
193008,110,20
193009,184,-76
193010,616,19
193011,891,-44
193012,1313,-48
193101,1549,36
193102,1335,2
193103,1077,-74
193104,672,-62
193105,363,-23
193106,122,-4
193107,13,-31
193108,96,6
193109,179,-81
193110,512,-85
193111,758,-177
193112,1257,-104
193201,1149,-364
193202,1265,-68
193203,1285,134
193204,802,68
193205,375,-11
193206,144,18
193207,89,45
193208,70,-20
193209,228,-32
193210,524,-73
193211,1029,94
193212,1203,-158
193301,1185,-328
193302,1191,-142
193303,1237,86
193304,715,-19
193305,322,-64
193306,77,-49
193307,33,-11
193308,84,-6
193309,219,-41
193310,651,54
193311,1157,222
193312,1537,176
193401,1502,-11
193402,1701,368
193403,1246,95
193404,699,-35
193405,335,-51
193406,87,-39
193407,29,-15
193408,146,56
193409,148,-112
193410,697,100
193411,853,-82
193412,1490,129
193501,1671,158
193502,1369,36
193503,1139,-12
193504,761,27
193505,521,135
193506,122,-4
193507,18,-26
193508,74,-16
193509,336,76
193510,592,-5
193511,847,-88
193512,1499,138
193601,1582,69
193602,1513,180
193603,944,-207
193604,790,56
193605,298,-88
193606,107,-19
193607,63,19
193608,98,8
193609,244,-16
193610,611,14
193611,1086,151
193612,1289,-72
193701,1221,-292
193702,1182,-151
193703,1318,167
193704,783,49
193705,343,-43
193706,112,-14
193707,25,-19
193708,20,-70
193709,265,5
193710,637,40
193711,939,4
193712,1410,49
193801,1563,50
193802,1238,-95
193803,1087,-64
193804,639,-95
193805,424,38
193806,85,-41
193807,32,-12
193808,40,-50
193809,352,92
193810,530,-67
193811,885,-50
193812,1296,-65
193901,1516,3
193902,1292,-41
193903,1313,162
193904,864,130
193905,368,-18
193906,124,-2
193907,42,-2
193908,33,-57
193909,260,0
193910,611,14
193911,1064,129
193912,1355,-6
194001,1732,219
194002,1378,45
194003,1309,158
194004,859,125
194005,358,-28
194006,149,23
194007,46,2
194008,109,19
194009,298,38
194010,730,133
194011,958,23
194012,1350,-11
194101,1621,108
194102,1312,-21
194103,1325,174
194104,569,-165
194105,365,-21
194106,91,-35
194107,28,-16
194108,139,49
194109,231,-29
194110,612,15
194111,860,-75
194112,1271,-90
194201,1508,-5
194202,1401,68
194203,991,-160
194204,640,-94
194205,267,-119
194206,100,-26
194207,47,3
194208,91,1
194209,238,-22
194210,555,-42
194211,947,12
194212,1487,126
194301,1650,137
194302,1318,-15
194303,1228,77
194304,922,188
194305,402,16
194306,62,-64
194307,38,-6
194308,98,8
194309,301,41
194310,596,-1
194311,995,60
194312,1519,158
194401,1457,-56
194402,1373,40
194403,1288,137
194404,862,128
194405,226,-160
194406,112,-14
194407,27,-17
194408,37,-53
194409,205,-55
194410,645,48
194411,949,14
194412,1483,122
194501,1739,226
194502,1287,-46
194503,859,-292
194504,556,-178
194505,472,86
194506,130,4
194507,40,-4
194508,77,-13
194509,176,-84
194510,647,50
194511,909,-26
194512,1509,148
194601,1508,-5
194602,1413,80
194603,824,-327
194604,759,25
194605,432,46
194606,132,6
194607,53,9
194608,141,51
194609,189,-71
194610,493,-104
194611,834,-101
194612,1302,-59
194701,1421,-92
194702,1372,39
194703,1172,21
194704,791,57
194705,400,14
194706,149,23
194707,18,-26
194708,25,-65
194709,212,-48
194710,390,-207
194711,1024,89
194712,1496,135
194801,1689,176
194802,1450,117
194803,1184,33
194804,682,-52
194805,442,56
194806,159,33
194807,36,-8
194808,59,-31
194809,227,-33
194810,645,48
194811,730,-205
194812,1230,-131
194901,1279,-234
194902,1178,-155
194903,1096,-55
194904,665,-69
194905,354,-32
194906,32,-94
194907,11,-33
194908,49,-41
194909,297,37
194910,459,-138
194911,1016,81
194912,1248,-113
195001,1247,-266
195002,1379,46
195003,1338,187
195004,811,77
195005,370,-16
195006,99,-27
195007,50,6
195008,98,8
195009,354,94
195010,531,-66
195011,812,-123
195012,1293,-68
195101,1376,-137
195102,1200,-133
195103,1090,-61
195104,683,-51
195105,367,-19
195106,137,11
195107,40,-4
195108,107,17
195109,258,-2
195110,544,-53
195111,1062,127
195112,1334,-27
195201,1403,-110
195202,1206,-127
195203,1139,-12
195204,639,-95
195205,488,102
195206,93,-33
195207,14,-30
195208,69,-21
195209,216,-44
195210,686,89
195211,872,-63
195212,1249,-112
195301,1303,-210
195302,1152,-181
195303,1039,-112
195304,694,-40
195305,315,-71
195306,86,-40
195307,29,-15
195308,97,7
195309,242,-18
195310,555,-42
195311,791,-144
195312,1121,-240
195401,1619,106
195402,1117,-216
195403,1139,-12
195404,684,-50
195405,425,39
195406,105,-21
195407,81,37
195408,136,46
195409,310,50
195410,472,-125
195411,895,-40
195412,1336,-25
195501,1567,54
195502,1279,-54
195503,1181,30
195504,649,-85
195505,269,-117
195506,104,-22
195507,10,-34
195508,30,-60
195509,295,35
195510,549,-48
195511,975,40
195512,1564,203
195601,1418,-95
195602,1226,-107
195603,1337,186
195604,835,101
195605,538,152
195606,110,-16
195607,90,46
195608,103,13
195609,358,98
195610,582,-15
195611,889,-46
195612,1238,-123
195701,1709,196
195702,1172,-161
195703,1095,-56
195704,656,-78
195705,397,11
195706,54,-72
195707,63,19
195708,147,57
195709,223,-37
