Virginia, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1046,106
189502,1107,309
189503,700,69
189504,354,22
189505,142,30
189506,2,-8
189507,4,4
189508,0,-2
189509,11,-33
189510,432,154
189511,572,-3
189512,853,-20
189601,982,42
189602,790,-8
189603,782,151
189604,244,-88
189605,35,-77
189606,9,-1
189607,0,0
189608,0,-2
189609,46,2
189610,363,85
189611,429,-146
189612,910,37
189701,1041,101
189702,761,-37
189703,560,-71
189704,341,9
189705,143,31
189706,7,-3
189707,0,0
189708,2,0
189709,36,-8
189710,239,-39
189711,556,-19
189712,826,-47
189801,844,-96
189802,835,37
189803,491,-140
189804,443,111
189805,84,-28
189806,3,-7
189807,0,0
189808,0,-2
189809,22,-22
189810,245,-33
189811,648,73
189812,899,26
189901,952,12
189902,1018,220
189903,663,32
189904,338,6
189905,85,-27
189906,1,-9
189907,0,0
189908,0,-2
189909,55,11
189910,247,-31
189911,574,-1
189912,899,26
190001,919,-21
190002,862,64
190003,765,134
190004,342,10
190005,92,-20
190006,4,-6
190007,0,0
190008,0,-2
190009,6,-38
190010,162,-116
190011,495,-80
190012,891,18
190101,918,-22
190102,957,159
190103,599,-32
190104,475,143
190105,119,7
190106,6,-4
190107,0,0
190108,0,-2
190109,55,11
190110,303,25
190111,761,186
190112,959,86
190201,1028,88
190202,999,201
190203,588,-43
190204,385,53
190205,68,-44
190206,9,-1
190207,0,0
190208,4,2
190209,63,19
190210,244,-34
190211,422,-153
190212,915,42
190301,985,45
190302,754,-44
190303,453,-178
190304,357,25
190305,90,-22
190306,37,27
190307,0,0
190308,3,1
190309,58,14
190310,282,4
190311,708,133
190312,1053,180
190401,1116,176
190402,993,195
190403,649,18
190404,440,108
190405,101,-11
190406,8,-2
190407,1,1
190408,4,2
190409,40,-4
190410,325,47
190411,674,99
190412,1017,144
190501,1083,143
190502,1062,264
190503,573,-58
190504,325,-7
190505,68,-44
190506,5,-5
190507,0,0
190508,1,-1
190509,36,-8
190510,273,-5
190511,627,52
190512,886,13
190601,799,-141
190602,837,39
190603,819,188
190604,295,-37
190605,97,-15
190606,2,-8
190607,1,1
190608,0,-2
190609,14,-30
190610,310,32
190611,572,-3
190612,858,-15
190701,794,-146
190702,933,135
190703,489,-142
190704,521,189
190705,170,58
190706,54,44
190707,0,0
190708,4,2
190709,30,-14
190710,410,132
190711,648,73
190712,852,-21
190801,976,36
190802,939,141
190803,502,-129
190804,254,-78
190805,88,-24
190806,10,0
190807,0,0
190808,4,2
190809,63,19
190810,276,-2
190811,582,7
190812,843,-30
190901,838,-102
190902,606,-192
190903,692,61
190904,318,-14
190905,117,5
190906,2,-8
190907,2,2
190908,3,1
190909,65,21
190910,398,120
190911,454,-121
190912,1040,167
191001,955,15
191002,848,50
191003,441,-190
191004,264,-68
191005,155,43
191006,24,14
191007,0,0
191008,3,1
191009,20,-24
191010,203,-75
191011,756,181
191012,1096,223
191101,815,-125
191102,727,-71
191103,711,80
191104,452,120
191105,46,-66
191106,4,-6
191107,0,0
191108,0,-2
191109,17,-27
191110,257,-21
191111,679,104
191112,765,-108
191201,1208,268
191202,952,154
191203,717,86
191204,257,-75
191205,92,-20
191206,14,4
191207,0,0
191208,4,2
191209,17,-27
191210,241,-37
191211,591,16
191212,817,-56
191301,690,-250
191302,784,-14
191303,512,-119
191304,320,-12
191305,103,-9
191306,8,-2
191307,0,0
191308,0,-2
191309,59,15
191310,257,-21
191311,554,-21
191312,794,-79
191401,845,-95
191402,945,147
191403,794,163
191404,351,19
191405,81,-31
191406,0,-10
191407,0,0
191408,0,-2
191409,73,29
191410,216,-62
191411,618,43
191412,1006,133
191501,942,2
191502,722,-76
191503,855,224
191504,253,-79
191505,116,4
191506,19,9
191507,1,1
191508,4,2
191509,27,-17
191510,228,-50
191511,568,-7
191512,953,80
191601,769,-171
191602,818,20
191603,764,133
191604,372,40
191605,65,-47
191606,26,16
191607,0,0
191608,0,-2
191609,68,24
191610,285,7
191611,583,8
191612,924,51
191701,890,-50
191702,843,45
191703,661,30
191704,325,-7
191705,213,101
191706,10,0
191707,1,1
191708,1,-1
191709,108,64
191710,428,150
191711,697,122
191712,1190,317
191801,1289,349
191802,760,-38
191803,514,-117
191804,394,62
191805,41,-71
191806,17,7
191807,3,3
191808,0,-2
191809,112,68
191810,196,-82
191811,617,42
191812,760,-113
191901,871,-69
191902,804,6
191903,575,-56
191904,350,18
191905,109,-3
191906,4,-6
191907,0,0
191908,4,2
191909,37,-7
191910,105,-173
191911,574,-1
191912,994,121
192001,1038,98
192002,901,103
192003,633,2
192004,382,50
192005,201,89
192006,13,3
192007,1,1
192008,2,0
192009,36,-8
192010,206,-72
192011,628,53
192012,840,-33
192101,879,-61
192102,721,-77
192103,337,-294
192104,216,-116
192105,151,39
192106,3,-7
192107,0,0
192108,4,2
192109,5,-39
192110,284,6
192111,498,-77
192112,826,-47
192201,1032,92
192202,710,-88
192203,583,-48
192204,287,-45
192205,86,-26
192206,2,-8
192207,0,0
192208,7,5
192209,31,-13
192210,229,-49
192211,575,0
192212,800,-73
192301,878,-62
192302,882,84
192303,602,-29
192304,366,34
192305,141,29
192306,2,-8
192307,1,1
192308,3,1
192309,33,-11
192310,331,53
192311,647,72
192312,647,-226
192401,957,17
192402,873,75
192403,711,80
192404,411,79
192405,186,74
192406,9,-1
192407,2,2
192408,0,-2
192409,103,59
192410,293,15
192411,581,6
192412,871,-2
192501,997,57
192502,612,-186
192503,577,-54
192504,269,-63
192505,200,88
192506,1,-9
192507,0,0
192508,4,2
192509,6,-38
192510,394,116
192511,656,81
192512,908,35
