Washington, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,999,56
189502,701,-47
189503,721,17
189504,516,-5
189505,381,23
189506,186,-18
189507,109,9
189508,129,27
189509,347,129
189510,466,-3
189511,749,36
189512,874,-10
189601,898,-45
189602,673,-75
189603,777,73
189604,618,97
189605,454,96
189606,209,5
189607,58,-42
189608,106,4
189609,295,77
189610,480,11
189611,945,232
189612,786,-98
189701,952,9
189702,761,13
189703,892,188
189704,462,-59
189705,269,-89
189706,203,-1
189707,151,51
189708,53,-49
189709,274,56
189710,500,31
189711,784,71
189712,885,1
189801,975,32
189802,665,-83
189803,779,75
189804,519,-2
189805,328,-30
189806,184,-20
189807,98,-2
189808,65,-37
189809,193,-25
189810,503,34
189811,763,50
189812,966,82
189901,927,-16
189902,866,118
189903,779,75
189904,572,51
189905,478,120
189906,272,68
189907,85,-15
189908,184,82
189909,188,-30
189910,526,57
189911,529,-184
189912,808,-76
190001,804,-139
190002,770,22
190003,577,-127
190004,459,-62
190005,335,-23
190006,162,-42
190007,92,-8
190008,150,48
190009,254,36
190010,516,47
190011,753,40
190012,729,-155
190101,948,5
190102,768,20
190103,696,-8
190104,586,65
190105,347,-11
190106,303,99
190107,155,55
190108,76,-26
190109,287,69
190110,340,-129
190111,621,-92
190112,840,-44
190201,950,7
190202,669,-79
190203,732,28
190204,548,27
190205,338,-20
190206,225,21
190207,130,30
190208,112,10
190209,264,46
190210,428,-41
190211,732,19
190212,894,10
190301,870,-73
190302,852,104
190303,790,86
190304,596,75
190305,394,36
190306,156,-48
190307,162,62
190308,118,16
190309,280,62
190310,463,-6
190311,730,17
190312,856,-28
190401,885,-58
190402,823,75
190403,824,120
190404,451,-70
190405,395,37
190406,226,22
190407,86,-14
190408,104,2
190409,197,-21
190410,425,-44
190411,576,-137
190412,814,-70
190501,922,-21
190502,771,23
190503,572,-132
190504,468,-53
190505,376,18
190506,214,10
190507,83,-17
190508,112,10
190509,211,-7
190510,609,140
190511,732,19
190512,868,-16
190601,873,-70
190602,700,-48
190603,730,26
190604,427,-94
190605,366,8
190606,250,46
190607,34,-66
190608,95,-7
190609,232,14
190610,443,-26
190611,747,34
190612,856,-28
190701,1198,255
190702,756,8
190703,770,66
190704,560,39
190705,308,-50
190706,223,19
190707,91,-9
190708,160,58
190709,234,16
190710,403,-66
190711,645,-68
190712,834,-50
190801,902,-41
190802,778,30
190803,729,25
190804,517,-4
190805,437,79
190806,224,20
190807,65,-35
190808,118,16
190809,258,40
190810,511,42
190811,623,-90
190812,952,68
190901,1170,227
190902,744,-4
190903,714,10
190904,584,63
190905,433,75
190906,207,3
190907,161,61
190908,154,52
190909,202,-16
190910,482,13
190911,717,4
190912,1057,173
191001,1002,59
191002,898,150
191003,611,-93
191004,497,-24
191005,298,-60
191006,248,44
191007,109,9
191008,180,78
191009,255,37
191010,461,-8
191011,728,15
191012,829,-55
191101,1019,76
191102,842,94
191103,686,-18
191104,604,83
191105,432,74
191106,250,46
191107,80,-20
191108,129,27
191109,294,76
191110,502,33
191111,770,57
191112,886,2
191201,933,-10
191202,703,-45
191203,759,55
191204,545,24
191205,304,-54
191206,175,-29
191207,100,0
191208,136,34
191209,257,39
191210,564,95
191211,685,-28
191212,864,-20
191301,1059,116
191302,869,121
191303,809,105
191304,528,7
191305,382,24
191306,194,-10
191307,106,6
191308,82,-20
191309,236,18
191310,549,80
191311,690,-23
191312,870,-14
191401,811,-132
191402,759,11
191403,632,-72
191404,462,-59
191405,282,-76
191406,225,21
191407,90,-10
191408,105,3
191409,293,75
191410,401,-68
191411,669,-44
191412,1024,140
191501,958,15
191502,676,-72
191503,556,-148
191504,417,-104
191505,339,-19
191506,199,-5
191507,93,-7
191508,56,-46
191509,241,23
191510,439,-30
191511,781,68
191512,878,-6
191601,1272,329
191602,787,39
191603,726,22
191604,519,-2
191605,455,97
191606,228,24
191607,157,57
191608,107,5
191609,247,29
191610,564,95
191611,820,107
191612,1016,132
191701,1012,69
191702,830,82
191703,852,148
191704,606,85
191705,417,59
191706,278,74
191707,112,12
191708,82,-20
191709,221,3
191710,455,-14
191711,589,-124
191712,775,-109
191801,823,-120
191802,813,65
191803,723,19
191804,515,-6
191805,426,68
191806,147,-57
191807,97,-3
191808,119,17
191809,147,-71
191810,426,-43
191811,704,-9
191812,877,-7
191901,888,-55
191902,779,31
191903,710,6
191904,499,-22
191905,395,37
191906,277,73
191907,119,19
191908,110,8
191909,228,10
191910,589,120
191911,751,38
191912,1030,146
192001,957,14
192002,778,30
192003,729,25
192004,636,115
192005,473,115
192006,246,42
192007,86,-14
192008,90,-12
192009,258,40
192010,528,59
192011,691,-22
192012,819,-65
192101,901,-42
192102,727,-21
192103,710,6
192104,582,61
192105,389,31
192106,191,-13
192107,152,52
192108,121,19
192109,312,94
192110,446,-23
192111,715,2
192112,963,79
192201,1103,160
192202,884,136
192203,817,113
192204,612,91
192205,386,28
192206,153,-51
192207,106,6
192208,109,7
192209,203,-15
192210,437,-32
192211,783,70
192212,1032,148
192301,894,-49
192302,905,157
192303,741,37
192304,493,-28
192305,373,15
192306,198,-6
192307,81,-19
192308,68,-34
192309,188,-30
192310,434,-35
192311,659,-54
192312,860,-24
192401,966,23
192402,621,-127
192403,731,27
192404,551,30
192405,276,-82
192406,192,-12
192407,105,5
192408,124,22
192409,226,8
192410,469,0
192411,762,49
192412,1049,165
192501,868,-75
192502,648,-100
192503,698,-6
192504,473,-48
192505,275,-83
192506,194,-10
192507,74,-26
192508,116,14
192509,217,-1
192510,524,55
192511,726,13
192512,742,-142
192601,880,-63
192602,629,-119
192603,568,-136
192604,362,-159
192605,334,-24
192606,134,-70
192607,66,-34
192608,100,-2
192609,305,87
192610,418,-51
192611,623,-90
192612,902,18
192701,953,10
192702,729,-19
192703,744,40
192704,570,49
192705,445,87
192706,162,-42
192707,83,-17
192708,83,-19
192709,245,27
192710,456,-13
192711,694,-19
192712,1042,158
192801,903,-40
192802,742,-6
192803,632,-72
192804,555,34
192805,266,-92
192806,201,-3
192807,70,-30
192808,118,16
192809,246,28
192810,489,20
192811,691,-22
192812,921,37
192901,1151,208
192902,986,238
192903,693,-11
192904,610,89
192905,374,16
192906,222,18
192907,108,8
192908,90,-12
192909,225,7
192910,405,-64
192911,774,61
192912,830,-54
193001,1281,338
193002,698,-50
193003,665,-39
193004,432,-89
