West Virginia, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1180,125
189502,1208,315
189503,799,72
189504,386,-22
189505,178,6
189506,11,-18
189507,13,9
189508,2,-8
189509,26,-52
189510,550,196
189511,625,-48
189512,924,-52
189601,1058,3
189602,898,5
189603,924,197
189604,224,-184
189605,52,-120
189606,20,-9
189607,2,-2
189608,3,-7
189609,79,1
189610,465,111
189611,513,-160
189612,956,-20
189701,1171,116
189702,825,-68
189703,624,-103
189704,416,8
189705,231,59
189706,25,-4
189707,1,-3
189708,9,-1
189709,69,-9
189710,270,-84
189711,642,-31
189712,914,-62
189801,938,-117
189802,916,23
189803,560,-167
189804,537,129
189805,124,-48
189806,12,-17
189807,0,-4
189808,2,-8
189809,46,-32
189810,333,-21
189811,755,82
189812,1048,72
189901,1081,26
189902,1135,242
189903,726,-1
189904,366,-42
189905,113,-59
189906,9,-20
189907,2,-2
189908,1,-9
189909,102,24
189910,273,-81
189911,613,-60
189912,1022,46
190001,992,-63
190002,967,74
190003,848,121
190004,407,-1
190005,141,-31
190006,13,-16
190007,1,-3
190008,0,-10
190009,17,-61
190010,203,-151
190011,623,-50
190012,981,5
190101,1016,-39
190102,1087,194
190103,708,-19
190104,547,139
190105,165,-7
190106,14,-15
190107,0,-4
190108,3,-7
190109,95,17
190110,352,-2
190111,838,165
190112,1053,77
190201,1108,53
190202,1101,208
190203,689,-38
190204,491,83
190205,111,-61
190206,37,8
190207,1,-3
190208,15,5
190209,95,17
190210,306,-48
190211,476,-197
190212,981,5
190301,1080,25
190302,871,-22
190303,485,-242
190304,412,4
190305,105,-67
190306,68,39
190307,3,-1
190308,8,-2
190309,84,6
190310,364,10
190311,816,143
190312,1216,240
190401,1200,145
190402,1016,123
190403,688,-39
190404,524,116
190405,158,-14
190406,23,-6
190407,8,4
190408,13,3
190409,58,-20
190410,369,15
190411,746,73
190412,1034,58
190501,1222,167
190502,1117,224
190503,599,-128
190504,398,-10
190505,118,-54
190506,17,-12
190507,2,-2
190508,9,-1
190509,71,-7
190510,362,8
190511,719,46
190512,958,-18
190601,886,-169
190602,933,40
190603,889,162
190604,355,-53
190605,147,-25
190606,15,-14
190607,4,0
190608,1,-9
190609,27,-51
190610,352,-2
190611,656,-17
190612,919,-57
190701,847,-208
190702,976,83
190703,515,-212
190704,601,193
190705,223,51
190706,73,44
190707,2,-2
190708,19,9
190709,67,-11
190710,490,136
190711,729,56
190712,951,-25
190801,1095,40
190802,973,80
190803,564,-163
190804,333,-75
190805,132,-40
190806,26,-3
190807,2,-2
190808,10,0
190809,71,-7
190810,340,-14
190811,671,-2
190812,923,-53
