Wisconsin, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1708,178
189502,1522,237
189503,1158,91
189504,551,-80
189505,275,-41
189506,52,-36
189507,40,17
189508,37,-12
189509,97,-82
189510,731,221
189511,1036,101
189512,1301,-63
189601,1422,-108
189602,1238,-47
189603,1221,154
189604,497,-134
189605,149,-167
189606,59,-29
189607,22,-1
189608,33,-16
189609,285,106
189610,670,160
189611,1078,143
189612,1244,-120
189701,1506,-24
189702,1194,-91
189703,1168,101
189704,648,17
189705,358,42
189706,118,30
189707,8,-15
189708,85,36
189709,76,-103
189710,403,-107
189711,1028,93
189712,1510,146
189801,1373,-157
189802,1242,-43
189803,952,-115
189804,648,17
189805,308,-8
189806,60,-28
189807,15,-8
189808,53,4
189809,122,-57
189810,595,85
189811,1017,82
189812,1528,164
189901,1577,47
189902,1556,271
189903,1357,290
189904,540,-91
189905,293,-23
189906,64,-24
189907,20,-3
189908,27,-22
189909,245,66
189910,410,-100
189911,780,-155
189912,1370,6
190001,1343,-187
190002,1497,212
190003,1258,191
190004,541,-90
190005,240,-76
190006,84,-4
190007,30,7
190008,8,-41
190009,144,-35
190010,308,-202
190011,1055,120
190012,1285,-79
190101,1474,-56
190102,1507,222
190103,1136,69
190104,571,-60
190105,303,-13
190106,55,-33
190107,3,-20
190108,33,-16
190109,189,10
190110,467,-43
190111,1016,81
190112,1452,88
190201,1450,-80
190202,1370,85
190203,906,-161
190204,633,2
190205,259,-57
190206,144,56
190207,18,-5
190208,87,38
190209,258,79
190210,501,-9
190211,765,-170
190212,1414,50
190301,1510,-20
190302,1317,32
190303,876,-191
190304,597,-34
190305,264,-52
190306,140,52
190307,28,5
190308,102,53
190309,203,24
190310,518,8
190311,1049,114
190312,1611,247
190401,1750,220
190402,1602,317
190403,1128,61
190404,779,148
190405,311,-5
190406,103,15
190407,43,20
190408,95,46
190409,196,17
190410,527,17
190411,850,-85
190412,1436,72
190501,1736,206
190502,1523,238
190503,989,-78
190504,643,12
190505,363,47
190506,101,13
190507,40,17
190508,41,-8
190509,131,-48
190510,579,69
190511,944,9
190512,1265,-99
190601,1322,-208
190602,1321,36
190603,1297,230
190604,541,-90
190605,324,8
190606,93,5
190607,32,9
190608,25,-24
190609,88,-91
190610,550,40
190611,940,5
190612,1300,-64
190701,1546,16
190702,1292,7
190703,924,-143
190704,857,226
190705,516,200
190706,106,18
190707,29,6
190708,79,30
190709,213,34
190710,605,95
190711,965,30
190712,1274,-90
190801,1392,-138
190802,1272,-13
190803,1011,-56
190804,610,-21
190805,299,-17
190806,99,11
190807,20,-3
190808,54,5
190809,73,-106
190810,499,-11
190811,901,-34
190812,1359,-5
190901,1442,-88
190902,1202,-83
190903,1119,52
190904,786,155
190905,365,49
190906,87,-1
190907,28,5
190908,22,-27
190909,204,25
190910,629,119
190911,759,-176
190912,1558,194
191001,1545,15
191002,1423,138
191003,715,-352
191004,526,-105
191005,434,118
191006,61,-27
191007,9,-14
191008,40,-9
191009,203,24
191010,420,-90
191011,1104,169
191012,1452,88
191101,1504,-26
191102,1147,-138
191103,977,-90
191104,676,45
191105,188,-128
191106,29,-59
191107,19,-4
191108,63,14
191109,174,-5
191110,590,80
191111,1138,203
191112,1192,-172
191201,2062,532
191202,1468,183
191203,1339,272
191204,584,-47
191205,294,-22
191206,116,28
191207,27,4
191208,92,43
191209,160,-19
191210,496,-14
191211,894,-41
191212,1223,-141
191301,1473,-57
191302,1432,147
191303,1184,117
191304,578,-53
191305,344,28
191306,54,-34
191307,28,5
191308,37,-12
191309,185,6
191310,570,60
191311,789,-146
191312,1094,-270
191401,1290,-240
191402,1544,259
191403,1121,54
191404,662,31
191405,249,-67
191406,95,7
191407,11,-12
191408,48,-1
191409,176,-3
191410,379,-131
191411,903,-32
191412,1567,203
191501,1609,79
191502,1090,-195
191503,1135,68
191504,385,-246
191505,451,135
191506,176,88
191507,68,45
191508,135,86
191509,165,-14
191510,489,-21
191511,878,-57
191512,1339,-25
191601,1454,-76
191602,1426,141
191603,1203,136
191604,649,18
191605,337,21
191606,176,88
191607,1,-22
191608,25,-24
191609,235,56
191610,558,48
191611,967,32
191612,1539,175
191701,1665,135
191702,1589,304
191703,1104,37
191704,726,95
191705,455,139
191706,163,75
191707,19,-4
191708,84,35
191709,232,53
191710,817,307
191711,881,-54
191712,1601,237
191801,1889,359
191802,1342,57
191803,899,-168
191804,727,96
191805,232,-84
191806,99,11
191807,37,14
191808,25,-24
191809,333,154
191810,445,-65
191811,844,-91
191812,1116,-248
191901,1332,-198
191902,1216,-69
191903,1025,-42
191904,622,-9
191905,362,46
191906,29,-59
191907,8,-15
191908,55,6
191909,124,-55
191910,531,21
191911,1038,103
191912,1672,308
192001,1759,229
192002,1364,79
192003,1044,-23
192004,798,167
192005,354,38
192006,64,-24
192007,46,23
192008,71,22
192009,106,-73
192010,331,-179
192011,974,39
192012,1251,-113
192101,1293,-237
192102,1125,-160
192103,891,-176
192104,468,-163
192105,236,-80
192106,24,-64
192107,1,-22
192108,40,-9
192109,96,-83
192110,498,-12
192111,1051,116
192112,1326,-38
192201,1569,39
192202,1327,42
192203,1022,-45
192204,637,6
192205,181,-135
192206,59,-29
192207,37,14
192208,36,-13
192209,118,-61
192210,448,-62
192211,798,-137
192212,1404,40
192301,1425,-105
192302,1480,195
192303,1297,230
192304,702,71
192305,338,22
192306,35,-53
192307,12,-11
192308,74,25
192309,180,1
192310,583,73
192311,848,-87
192312,1060,-304
192401,1770,240
192402,1246,-39
192403,1149,82
192404,669,38
192405,495,179
192406,144,56
192407,52,29
192408,74,25
192409,307,128
192410,376,-134
