Wyoming, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1540,129
189502,1394,221
189503,1204,115
189504,668,-98
189505,546,51
189506,339,109
189507,138,68
189508,109,16
189509,352,19
189510,704,29
189511,1173,119
189512,1482,139
189601,1317,-94
189602,1121,-52
189603,1247,158
189604,816,50
189605,524,29
189606,176,-54
189607,84,14
189608,112,19
189609,411,78
189610,720,45
189611,1341,287
189612,1137,-206
189701,1485,74
189702,1255,82
189703,1303,214
189704,806,40
189705,365,-130
189706,220,-10
189707,103,33
189708,115,22
189709,237,-96
189710,664,-11
189711,1053,-1
189712,1484,141
189801,1548,137
189802,1087,-86
189803,1234,145
189804,707,-59
189805,548,53
189806,209,-21
189807,75,5
189808,55,-38
189809,340,7
189810,818,143
189811,1180,126
189812,1539,196
189901,1379,-32
189902,1579,406
189903,1313,224
189904,774,8
189905,581,86
189906,276,46
189907,80,10
189908,131,38
189909,307,-26
189910,793,118
189911,930,-124
189912,1434,91
190001,1257,-154
190002,1268,95
190003,1006,-83
190004,724,-42
190005,380,-115
190006,123,-107
190007,78,8
190008,83,-10
190009,362,29
190010,650,-25
190011,1042,-12
190012,1231,-112
190101,1356,-55
190102,1342,169
190103,1127,38
190104,774,8
190105,362,-133
190106,297,67
190107,29,-41
190108,69,-24
190109,411,78
190110,614,-61
190111,947,-107
190112,1373,30
190201,1441,30
190202,1108,-65
190203,1125,36
190204,814,48
190205,454,-41
190206,242,12
190207,130,60
190208,107,14
190209,387,54
190210,662,-13
190211,1050,-4
190212,1398,55
190301,1343,-68
190302,1522,349
190303,1164,75
190304,794,28
190305,599,104
190306,253,23
190307,111,41
190308,97,4
190309,446,113
190310,660,-15
190311,1071,17
190312,1293,-50
190401,1426,15
190402,1153,-20
190403,1074,-15
190404,733,-33
190405,507,12
190406,296,66
190407,119,49
190408,104,11
190409,327,-6
190410,625,-50
190411,903,-151
190412,1282,-61
190501,1423,12
190502,1386,213
190503,922,-167
190504,808,42
190505,609,114
190506,256,26
190507,110,40
190508,83,-10
190509,301,-32
190510,853,178
190511,1004,-50
190512,1406,63
190601,1329,-82
190602,1139,-34
190603,1384,295
190604,703,-63
190605,516,21
190606,306,76
190607,116,46
190608,111,18
190609,324,-9
190610,714,39
