Colorado, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1355,98
189502,1302,260
189503,1045,79
189504,599,-72
189505,421,15
189506,215,66
189507,94,63
189508,62,9
189509,213,-25
189510,638,71
189511,1070,136
189512,1311,100
189601,1137,-120
189602,1030,-12
189603,1058,92
189604,643,-28
189605,364,-42
189606,108,-41
189607,34,3
189608,48,-5
189609,266,28
189610,638,71
189611,1099,165
189612,1088,-123
189701,1352,95
189702,1111,69
189703,1071,105
189704,680,9
189705,285,-121
189706,140,-9
189707,47,16
189708,66,13
189709,137,-101
189710,565,-2
189711,908,-26
189712,1335,124
189801,1353,96
189802,967,-75
189803,1087,121
189804,620,-51
189805,489,83
189806,132,-17
189807,27,-4
189808,30,-23
189809,274,36
189810,680,113
189811,1085,151
189812,1425,214
189901,1329,72
189902,1434,392
189903,1092,126
189904,647,-24
189905,417,11
189906,146,-3
189907,42,11
189908,57,4
189909,197,-41
189910,626,59
189911,811,-123
189912,1269,58
190001,1113,-144
190002,1130,88
190003,879,-87
190004,727,56
190005,337,-69
190006,93,-56
190007,39,8
190008,49,-4
190009,262,24
190010,512,-55
190011,888,-46
190012,1136,-75
190101,1205,-52
190102,1178,136
190103,1016,50
190104,704,33
190105,349,-57
190106,146,-3
190107,7,-24
190108,35,-18
190109,263,25
190110,521,-46
190111,805,-129
190112,1212,1
190201,1254,-3
190202,981,-61
190203,1017,51
190204,637,-34
190205,346,-60
190206,128,-21
190207,66,35
190208,44,-9
190209,280,42
190210,551,-16
190211,912,-22
190212,1232,21
190301,1192,-65
190302,1398,356
190303,1051,85
190304,680,9
190305,484,78
190306,248,99
190307,44,13
190308,53,0
190309,297,59
190310,562,-5
190311,906,-28
190312,1144,-67
190401,1300,43
190402,906,-136
190403,864,-102
190404,647,-24
190405,419,13
190406,231,82
190407,79,48
190408,65,12
190409,230,-8
190410,563,-4
190411,842,-92
190412,1147,-64
190501,1292,35
190502,1264,222
190503,834,-132
190504,727,56
190505,495,89
190506,130,-19
190507,69,38
190508,41,-12
190509,199,-39
190510,703,136
190511,884,-50
190512,1286,75
190601,1160,-97
190602,1004,-38
190603,1217,251
190604,628,-43
190605,400,-6
190606,195,46
190607,90,59
190608,75,22
190609,263,25
190610,655,88
190611,982,48
190612,1018,-193
190701,1203,-54
190702,860,-182
190703,751,-215
190704,719,48
190705,586,180
190706,223,74
190707,44,13
190708,66,13
190709,243,5
190710,512,-55
190711,989,55
190712,1196,-15
190801,1206,-51
190802,1032,-10
190803,845,-121
190804,608,-63
190805,490,84
190806,197,48
190807,49,18
190808,83,30
190809,193,-45
190810,665,98
190811,1015,81
190812,1290,79
190901,1144,-113
190902,1086,44
190903,1030,64
190904,784,113
190905,500,94
190906,155,6
190907,27,-4
190908,31,-22
190909,263,25
190910,557,-10
190911,881,-53
190912,1534,323
191001,1260,3
191002,1127,85
191003,674,-292
191004,568,-103
191005,440,34
191006,123,-26
191007,19,-12
191008,58,5
191009,183,-55
191010,513,-54
191011,803,-131
191012,1135,-76
191101,1069,-188
191102,1111,69
191103,824,-142
191104,652,-19
191105,364,-42
191106,104,-45
191107,62,31
191108,76,23
191109,176,-62
191110,676,109
191111,1040,106
191112,1402,191
191201,1329,72
191202,1125,83
191203,1239,273
191204,737,66
191205,441,35
191206,221,72
191207,64,33
191208,79,26
191209,429,191
191210,641,74
191211,907,-27
191212,1313,102
191301,1353,96
191302,1277,235
191303,1053,87
191304,646,-25
191305,360,-46
191306,155,6
191307,47,16
191308,29,-24
191309,329,91
191310,690,123
191311,824,-110
191312,1459,248
191401,1170,-87
191402,1157,115
191403,958,-8
191404,664,-7
191405,388,-18
191406,131,-18
191407,39,8
191408,60,7
191409,201,-37
191410,542,-25
191411,813,-121
191412,1443,232
191501,1352,95
191502,1009,-33
191503,1124,158
191504,559,-112
191505,519,113
191506,236,87
191507,82,51
191508,132,79
191509,267,29
191510,540,-27
191511,877,-57
191512,1199,-12
191601,1401,144
191602,993,-49
191603,794,-172
191604,686,15
191605,453,47
191606,175,26
191607,23,-8
191608,82,29
191609,286,48
191610,650,83
191611,1041,107
191612,1393,182
191701,1383,126
191702,1047,5
191703,1156,190
191704,783,112
191705,620,214
191706,189,40
191707,24,-7
191708,107,54
191709,228,-10
191710,656,89
191711,790,-144
191712,1109,-102
191801,1452,195
191802,1018,-24
191803,802,-164
191804,811,140
191805,405,-1
191806,79,-70
191807,46,15
191808,63,10
191809,325,87
191810,518,-49
191811,1059,125
191812,1274,63
191901,1314,57
191902,1172,130
191903,977,11
191904,655,-16
191905,397,-9
191906,149,0
191907,13,-18
191908,37,-16
191909,177,-61
191910,717,150
191911,1055,121
191912,1298,87
192001,1158,-99
192002,1027,-15
192003,1018,52
192004,909,238
192005,408,2
192006,175,26
192007,39,8
192008,112,59
192009,266,28
192010,589,22
192011,1017,83
192012,1251,40
192101,1185,-72
192102,999,-43
192103,829,-137
192104,751,80
192105,401,-5
192106,142,-7
192107,31,0
192108,63,10
192109,214,-24
192110,462,-105
192111,849,-85
192112,1112,-99
192201,1415,158
192202,1127,85
192203,1002,36
192204,745,74
192205,417,11
192206,102,-47
192207,39,8
192208,26,-27
192209,179,-59
192210,564,-3
192211,1017,83
192212,1152,-59
192301,1079,-178
192302,1175,133
192303,1140,174
192304,700,29
192305,436,30
192306,176,27
192307,31,0
192308,90,37
192309,299,61
192310,760,193
192311,914,-20
192312,1273,62
192401,1397,140
192402,957,-85
192403,1268,302
192404,720,49
192405,531,125
192406,138,-11
192407,51,20
192408,56,3
192409,295,57
192410,538,-29
192411,875,-59
192412,1455,244
192501,1391,134
192502,925,-117
192503,847,-119
192504,563,-108
192505,332,-74
192506,137,-12
192507,26,-5
192508,87,34
192509,223,-15
192510,743,176
192511,979,45
192512,1220,9
192601,1327,70
192602,920,-122
192603,1004,38
192604,665,-6
192605,373,-33
192606,148,-1
192607,55,24
192608,47,-6
192609,264,26
192610,530,-37
192611,908,-26
192612,1313,102
192701,1154,-103
192702,984,-58
192703,1030,64
192704,655,-16
192705,347,-59
192706,180,31
192707,54,23
192708,136,83
192709,270,32
192710,524,-43
192711,816,-118
192712,1399,188
192801,1141,-116
192802,1068,26
192803,912,-54
192804,747,76
192805,371,-35
192806,261,112
192807,52,21
192808,82,29
192809,255,17
192810,580,13
192811,971,37
192812,1324,113
192901,1353,96
192902,1337,295
192903,980,14
192904,717,46
192905,456,50
192906,152,3
192907,26,-5
192908,43,-10
192909,327,89
192910,589,22
192911,1213,279
192912,1160,-51
193001,1647,390
193002,875,-167
193003,1052,86
193004,491,-180
193005,483,77
193006,135,-14
193007,26,-5
193008,57,4
193009,251,13
193010,618,51
193011,967,33
193012,1309,98
193101,1203,-54
193102,942,-100
193103,1059,93
193104,666,-5
193105,467,61
193106,83,-66
193107,12,-19
193108,49,-4
193109,144,-94
193110,505,-62
193111,1024,90
193112,1246,35
193201,1398,141
193202,928,-114
193203,1148,182
193204,615,-56
193205,351,-55
193206,168,19
193207,17,-14
193208,37,-16
193209,237,-1
193210,646,79
193211,868,-66
193212,1492,281
193301,1200,-57
193302,1239,197
193303,892,-74
193304,759,88
193305,485,79
193306,72,-77
193307,11,-20
193308,65,12
193309,145,-93
193310,468,-99
193311,820,-114
193312,969,-242
193401,1064,-193
193402,927,-115
193403,819,-147
193404,569,-102
193405,210,-196
193406,105,-44
193407,4,-27
193408,24,-29
193409,298,60
193410,438,-129
193411,851,-83
193412,1144,-67
193501,1078,-179
193502,963,-79
193503,888,-78
193504,705,34
193505,572,166
193506,150,1
193507,16,-15
193508,31,-22
193509,228,-10
193510,591,24
193511,988,54
193512,1181,-30
193601,1262,5
193602,1211,169
193603,919,-47
193604,621,-50
193605,313,-93
193606,80,-69
193607,9,-22
193608,29,-24
193609,220,-18
193610,636,69
193611,920,-14
193612,1154,-57
193701,1642,385
193702,1089,47
193703,1026,60
193704,678,7
193705,350,-56
193706,171,22
193707,20,-11
193708,16,-37
193709,175,-63
193710,531,-36
193711,926,-8
193712,1221,10
193801,1209,-48
193802,995,-47
193803,871,-95
193804,653,-18
193805,455,49
193806,132,-17
193807,40,9
193808,26,-27
193809,196,-42
193810,485,-82
193811,1070,136
193812,1208,-3
193901,1211,-46
193902,1294,252
193903,949,-17
193904,624,-47
193905,318,-88
193906,142,-7
193907,13,-18
193908,52,-1
193909,157,-81
193910,540,-27
193911,863,-71
193912,1016,-195
194001,1450,193
194002,1015,-27
194003,867,-99
194004,652,-19
194005,342,-64
194006,99,-50
194007,14,-17
194008,49,-4
194009,175,-63
194010,473,-94
194011,1028,94
194012,1136,-75
194101,1208,-49
194102,978,-64
194103,1013,47
194104,707,36
194105,324,-82
194106,189,40
194107,39,8
194108,56,3
194109,282,44
194110,598,31
194111,877,-57
194112,1154,-57
194201,1368,111
194202,1295,253
194203,1076,110
194204,588,-83
194205,443,37
194206,173,24
194207,28,-3
194208,52,-1
194209,268,30
194210,571,4
194211,856,-78
194212,1118,-93
194301,1185,-72
194302,901,-141
194303,1054,88
194304,482,-189
194305,482,76
194306,162,13
194307,16,-15
194308,23,-30
194309,239,1
194310,572,5
194311,908,-26
194312,1186,-25
194401,1274,17
194402,1070,28
194403,1087,121
194404,800,129
194405,377,-29
194406,159,10
194407,45,14
194408,38,-15
194409,224,-14
194410,505,-62
194411,911,-23
194412,1245,34
194501,1207,-50
194502,1010,-32
194503,914,-52
194504,825,154
