Connecticut, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1283,81
189502,1276,212
189503,1017,117
189504,604,45
189505,226,-30
189506,20,-27
189507,29,25
189508,14,-4
189509,76,-40
189510,601,185
189511,694,-30
189512,1003,-81
189601,1335,133
189602,1077,13
189603,1104,204
189604,506,-53
189605,163,-93
189606,76,29
189607,4,0
189608,12,-6
189609,153,37
189610,543,127
189611,644,-80
189612,1187,103
189701,1236,34
189702,1069,5
189703,916,16
189704,543,-16
189705,257,1
189706,108,61
189707,4,0
189708,31,13
189709,144,28
189710,414,-2
189711,775,51
189712,1057,-27
189801,1203,1
189802,1029,-35
189803,746,-154
189804,643,84
189805,315,59
189806,38,-9
189807,1,-3
189808,5,-13
189809,74,-42
189810,409,-7
189811,803,79
189812,1132,48
189901,1225,23
189902,1189,125
189903,1022,122
189904,566,7
189905,248,-8
189906,19,-28
189907,8,4
189908,24,6
189909,166,50
189910,403,-13
189911,791,67
189912,1026,-58
190001,1179,-23
190002,1087,23
190003,1060,160
190004,553,-6
190005,287,31
190006,36,-11
190007,0,-4
190008,5,-13
190009,57,-59
190010,307,-109
190011,696,-28
190012,1100,16
190101,1237,35
190102,1253,189
190103,967,67
190104,591,32
190105,312,56
190106,34,-13
190107,0,-4
190108,11,-7
190109,100,-16
190110,444,28
190111,926,202
190112,1121,37
190201,1277,75
190202,1132,68
190203,760,-140
190204,553,-6
190205,277,21
190206,77,30
190207,22,18
190208,38,20
190209,128,12
190210,420,4
190211,624,-100
190212,1211,127
190301,1212,10
190302,1032,-32
190303,669,-231
190304,553,-6
190305,203,-53
190306,171,124
190307,6,2
190308,92,74
190309,131,15
190310,417,1
190311,862,138
190312,1265,181
190401,1461,259
190402,1278,214
190403,1016,116
190404,654,95
190405,187,-69
190406,67,20
190407,9,5
190408,33,15
190409,146,30
190410,529,113
190411,898,174
190412,1328,244
190501,1333,131
190502,1297,233
190503,958,58
190504,578,19
190505,258,2
190506,69,22
190507,1,-3
190508,39,21
190509,144,28
190510,422,6
190511,809,85
190512,1025,-59
190601,1040,-162
