Delaware, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1085,75
189502,1159,277
189503,810,100
189504,429,31
189505,153,20
189506,0,-7
189507,0,0
189508,0,-1
189509,11,-27
189510,448,158
189511,584,-13
189512,847,-70
189601,1072,62
189602,863,-19
189603,890,180
189604,319,-79
189605,53,-80
189606,12,5
189607,0,0
189608,0,-1
189609,50,12
189610,400,110
189611,475,-122
189612,999,82
189701,1099,89
189702,866,-16
189703,682,-28
189704,418,20
189705,156,23
189706,26,19
189707,0,0
189708,0,-1
189709,39,1
189710,273,-17
189711,616,19
189712,886,-31
189801,948,-62
189802,870,-12
189803,569,-141
189804,493,95
189805,153,20
189806,2,-5
189807,0,0
189808,0,-1
189809,16,-22
189810,270,-20
189811,678,81
189812,935,18
189901,1042,32
189902,1085,203
189903,769,59
189904,402,4
189905,131,-2
189906,0,-7
189907,0,0
189908,0,-1
189909,62,24
189910,262,-28
189911,617,20
189912,914,-3
190001,990,-20
190002,919,37
190003,862,152
190004,403,5
190005,127,-6
190006,0,-7
190007,0,0
190008,0,-1
190009,8,-30
190010,176,-114
190011,520,-77
190012,942,25
190101,1020,10
190102,1074,192
190103,701,-9
190104,488,90
190105,175,42
190106,6,-1
190107,0,0
190108,0,-1
190109,35,-3
190110,325,35
190111,781,184
190112,988,71
190201,1101,91
190202,1052,170
190203,632,-78
190204,437,39
190205,125,-8
190206,10,3
190207,0,0
190208,3,2
190209,53,15
190210,265,-25
190211,452,-145
190212,995,78
190301,1052,42
190302,841,-41
190303,520,-190
190304,407,9
190305,107,-26
190306,51,44
190307,0,0
190308,5,4
190309,49,11
190310,282,-8
190311,733,136
190312,1092,175
190401,1221,211
190402,1102,220
190403,797,87
190404,510,112
190405,104,-29
190406,12,5
190407,0,0
190408,0,-1
190409,45,7
190410,386,96
190411,715,118
190412,1148,231
190501,1158,148
190502,1150,268
190503,700,-10
190504,418,20
190505,106,-27
190506,8,1
190507,0,0
190508,0,-1
190509,39,1
190510,279,-11
190511,658,61
190512,875,-42
190601,840,-170
190602,910,28
190603,887,177
190604,367,-31
190605,115,-18
190606,0,-7
190607,0,0
190608,0,-1
190609,11,-27
190610,304,14
190611,626,29
190612,924,7
190701,956,-54
190702,1089,207
190703,649,-61
190704,569,171
190705,258,125
190706,63,56
190707,0,0
190708,0,-1
190709,25,-13
190710,443,153
190711,649,52
190712,862,-55
190801,1012,2
190802,993,111
190803,632,-78
190804,351,-47
190805,102,-31
190806,4,-3
190807,0,0
190808,0,-1
190809,55,17
190810,237,-53
190811,640,43
190812,925,8
190901,941,-69
190902,677,-205
190903,790,80
190904,400,2
190905,135,2
190906,2,-5
190907,0,0
190908,0,-1
190909,58,20
190910,422,132
190911,538,-59
190912,1085,168
191001,1062,52
191002,906,24
191003,555,-155
191004,301,-97
191005,161,28
191006,22,15
191007,0,0
191008,0,-1
191009,19,-19
191010,238,-52
191011,760,163
191012,1150,233
191101,910,-100
191102,881,-1
191103,808,98
191104,515,117
191105,51,-82
191106,6,-1
191107,0,0
191108,0,-1
191109,23,-15
191110,304,14
191111,689,92
191112,793,-124
191201,1289,279
191202,1011,129
191203,815,105
191204,383,-15
191205,110,-23
191206,12,5
191207,0,0
191208,0,-1
191209,22,-16
191210,241,-49
191211,596,-1
191212,840,-77
191301,730,-280
191302,886,4
191303,564,-146
191304,355,-43
191305,130,-3
191306,7,0
191307,0,0
191308,0,-1
191309,45,7
191310,248,-42
191311,569,-28
191312,835,-82
191401,937,-73
191402,1030,148
191403,895,185
191404,437,39
191405,90,-43
191406,0,-7
191407,0,0
191408,0,-1
191409,74,36
191410,219,-71
191411,643,46
191412,1035,118
191501,950,-60
191502,785,-97
191503,888,178
191504,279,-119
191505,178,45
191506,18,11
191507,0,0
191508,0,-1
191509,17,-21
191510,264,-26
191511,635,38
191512,1004,87
191601,864,-146
191602,959,77
191603,949,239
191604,445,47
191605,97,-36
191606,34,27
191607,0,0
191608,0,-1
191609,53,15
191610,293,3
191611,614,17
191612,990,73
191701,997,-13
191702,967,85
191703,763,53
191704,400,2
191705,280,147
191706,6,-1
191707,0,0
191708,0,-1
191709,111,73
191710,421,131
191711,739,142
191712,1184,267
191801,1363,353
191802,923,41
191803,647,-63
191804,418,20
191805,52,-81
191806,17,10
191807,0,0
191808,0,-1
191809,92,54
191810,217,-73
191811,634,37
191812,800,-117
191901,930,-80
191902,857,-25
191903,605,-105
191904,422,24
191905,118,-15
191906,4,-3
191907,0,0
191908,0,-1
191909,34,-4
191910,148,-142
191911,606,9
191912,1084,167
192001,1211,201
192002,988,106
192003,719,9
192004,435,37
192005,235,102
192006,9,2
192007,0,0
192008,0,-1
192009,31,-7
192010,197,-93
192011,637,40
192012,855,-62
192101,942,-68
192102,805,-77
192103,381,-329
192104,241,-157
192105,156,23
192106,0,-7
192107,0,0
192108,4,3
192109,4,-34
192110,314,24
192111,580,-17
192112,958,41
192201,1122,112
192202,832,-50
192203,679,-31
192204,386,-12
192205,95,-38
192206,0,-7
192207,0,0
192208,0,-1
192209,30,-8
192210,245,-45
192211,593,-4
192212,932,15
192301,970,-40
192302,1013,131
192303,704,-6
192304,420,22
192305,152,19
192306,0,-7
192307,0,0
192308,0,-1
192309,27,-11
192310,339,49
192311,661,64
192312,699,-218
192401,982,-28
192402,947,65
192403,764,54
192404,479,81
192405,218,85
192406,17,10
192407,0,0
192408,0,-1
192409,95,57
