Florida, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,213,-10
189502,336,168
189503,91,-1
189504,21,5
189505,0,0
189506,0,0
189507,0,0
189508,0,0
189509,0,0
189510,12,5
189511,84,4
189512,254,69
189601,300,77
189602,211,43
189603,112,20
189604,9,-7
189605,0,0
189606,0,0
189607,0,0
189608,0,0
189609,0,0
189610,8,1
189611,32,-48
189612,231,46
189701,303,80
189702,115,-53
189703,34,-58
189704,14,-2
189705,0,0
189706,0,0
189707,0,0
189708,0,0
189709,0,0
189710,5,-2
189711,63,-17
189712,180,-5
189801,189,-34
189802,215,47
189803,50,-42
189804,24,8
189805,0,0
189806,0,0
189807,0,0
189808,0,0
189809,0,0
189810,10,3
189811,71,-9
189812,225,40
189901,193,-30
189902,170,2
189903,68,-24
189904,26,10
189905,0,0
189906,0,0
189907,0,0
189908,0,0
189909,0,0
189910,3,-4
189911,74,-6
189912,203,18
190001,279,56
190002,186,18
190003,108,16
190004,14,-2
190005,0,0
190006,0,0
190007,0,0
190008,0,0
190009,0,0
190010,1,-6
190011,87,7
190012,212,27
190101,250,27
190102,247,79
190103,136,44
190104,58,42
190105,0,0
190106,0,0
190107,0,0
190108,0,0
190109,0,0
190110,9,2
190111,184,104
190112,248,63
190201,308,85
190202,287,119
190203,88,-4
190204,24,8
190205,0,0
190206,0,0
190207,0,0
190208,0,0
190209,0,0
190210,5,-2
190211,41,-39
190212,172,-13
190301,235,12
190302,120,-48
190303,42,-50
190304,35,19
190305,0,0
190306,0,0
190307,0,0
190308,0,0
190309,0,0
190310,12,5
190311,108,28
190312,336,151
190401,282,59
190402,144,-24
190403,60,-32
190404,20,4
190405,0,0
190406,0,0
190407,0,0
190408,0,0
190409,0,0
190410,4,-3
190411,126,46
190412,221,36
190501,347,124
190502,182,14
190503,63,-29
190504,12,-4
190505,0,0
190506,0,0
190507,0,0
190508,0,0
190509,0,0
190510,5,-2
190511,66,-14
190512,202,17
190601,221,-2
190602,186,18
190603,127,35
190604,13,-3
190605,0,0
190606,0,0
190607,0,0
