Georgia, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,710,29
189502,813,272
189503,410,14
189504,151,-4
189505,46,10
189506,0,-1
189507,0,0
189508,0,0
189509,0,-8
189510,211,65
189511,379,-21
189512,670,31
189601,712,31
189602,538,-3
189603,457,61
189604,57,-98
189605,4,-32
189606,0,-1
189607,0,0
189608,0,0
189609,0,-8
189610,149,3
189611,266,-134
189612,641,2
189701,768,87
189702,459,-82
189703,302,-94
189704,149,-6
189705,43,7
189706,0,-1
189707,0,0
189708,0,0
189709,4,-4
189710,85,-61
189711,364,-36
189712,596,-43
189801,567,-114
189802,611,70
189803,261,-135
189804,244,89
189805,9,-27
189806,0,-1
189807,0,0
189808,0,0
189809,4,-4
189810,181,35
189811,485,85
189812,673,34
189901,690,9
189902,657,116
189903,376,-20
189904,171,16
189905,7,-29
189906,0,-1
189907,0,0
189908,0,0
189909,11,3
189910,112,-34
189911,339,-61
189912,693,54
190001,716,35
190002,640,99
190003,453,57
190004,109,-46
190005,29,-7
190006,3,2
190007,0,0
190008,0,0
190009,0,-8
190010,64,-82
190011,354,-46
190012,631,-8
190101,679,-2
190102,654,113
190103,441,45
190104,294,139
190105,23,-13
190106,0,-1
190107,0,0
190108,0,0
190109,11,3
190110,162,16
190111,548,148
190112,762,123
190201,756,75
190202,727,186
190203,427,31
190204,188,33
190205,6,-30
190206,0,-1
190207,0,0
190208,0,0
190209,12,4
190210,141,-5
190211,274,-126
190212,662,23
190301,745,64
190302,519,-22
190303,268,-128
190304,204,49
190305,32,-4
190306,6,5
190307,0,0
190308,0,0
190309,8,0
190310,156,10
190311,475,75
190312,819,180
190401,828,147
190402,591,50
190403,361,-35
190404,239,84
190405,33,-3
190406,0,-1
190407,0,0
190408,0,0
190409,2,-6
190410,136,-10
190411,443,43
190412,652,13
190501,847,166
190502,761,220
190503,296,-100
190504,125,-30
190505,11,-25
190506,0,-1
190507,0,0
190508,0,0
190509,0,-8
190510,134,-12
190511,374,-26
190512,729,90
190601,647,-34
190602,583,42
190603,502,106
190604,106,-49
190605,30,-6
190606,0,-1
190607,0,0
190608,0,0
190609,0,-8
190610,190,44
190611,379,-21
190612,585,-54
190701,450,-231
190702,552,11
190703,183,-213
190704,288,133
190705,36,0
190706,0,-1
190707,0,0
190708,0,0
190709,4,-4
190710,180,34
190711,454,54
190712,671,32
190801,739,58
190802,676,135
190803,221,-175
190804,68,-87
190805,19,-17
190806,0,-1
190807,0,0
190808,0,0
190809,9,1
190810,198,52
190811,323,-77
190812,523,-116
190901,555,-126
190902,484,-57
190903,404,8
190904,136,-19
190905,42,6
190906,0,-1
190907,0,0
190908,0,0
190909,7,-1
190910,186,40
190911,270,-130
190912,809,170
191001,720,39
191002,634,93
191003,250,-146
191004,155,0
191005,51,15
191006,3,2
191007,0,0
191008,0,0
191009,0,-8
191010,96,-50
191011,483,83
191012,818,179
191101,571,-110
191102,410,-131
191103,372,-24
191104,165,10
191105,13,-23
191106,0,-1
191107,0,0
191108,0,0
191109,0,-8
191110,66,-80
191111,504,104
191112,563,-76
191201,842,161
191202,692,151
191203,468,72
191204,119,-36
191205,22,-14
191206,3,2
191207,0,0
191208,0,0
191209,0,-8
191210,114,-32
191211,487,87
191212,606,-33
191301,510,-171
191302,543,2
191303,386,-10
191304,172,17
191305,19,-17
191306,0,-1
191307,0,0
191308,0,0
191309,15,7
191310,185,39
191311,390,-10
191312,607,-32
191401,666,-15
191402,620,79
191403,524,128
191404,125,-30
191405,19,-17
191406,0,-1
191407,0,0
191408,0,0
191409,9,1
191410,137,-9
191411,445,45
191412,738,99
191501,728,47
191502,553,12
191503,647,251
191504,110,-45
191505,11,-25
191506,0,-1
191507,0,0
191508,0,0
191509,3,-5
191510,95,-51
191511,346,-54
191512,703,64
191601,510,-171
191602,558,17
191603,460,64
191604,178,23
191605,10,-26
191606,0,-1
191607,0,0
191608,0,0
191609,9,1
191610,139,-7
191611,396,-4
191612,660,21
191701,567,-114
191702,580,39
191703,378,-18
191704,101,-54
191705,85,49
191706,0,-1
191707,0,0
191708,0,0
191709,13,5
191710,265,119
191711,478,78
191712,898,259
191801,937,256
191802,425,-116
191803,245,-151
191804,194,39
191805,15,-21
191806,0,-1
191807,0,0
191808,0,0
191809,27,19
191810,76,-70
191811,419,19
191812,523,-116
191901,678,-3
191902,557,16
191903,345,-51
191904,135,-20
191905,31,-5
191906,0,-1
191907,0,0
191908,0,0
191909,4,-4
191910,22,-124
191911,318,-82
191912,633,-6
192001,643,-38
192002,619,78
192003,478,82
192004,175,20
192005,43,7
192006,0,-1
192007,0,0
192008,0,0
192009,3,-5
192010,139,-7
192011,459,59
192012,681,42
192101,593,-88
192102,474,-67
192103,188,-208
192104,144,-11
192105,39,3
192106,0,-1
192107,0,0
192108,0,0
192109,0,-8
192110,174,28
192111,306,-94
192112,514,-125
192201,676,-5
192202,386,-155
192203,358,-38
192204,93,-62
192205,25,-11
192206,0,-1
192207,0,0
192208,0,0
192209,2,-6
192210,125,-21
192211,357,-43
192212,467,-172
192301,557,-124
192302,552,11
192303,380,-16
192304,148,-7
192305,54,18
192306,0,-1
192307,0,0
192308,0,0
192309,3,-5
192310,149,3
192311,471,71
192312,443,-196
