Alabama, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,7.52,2.36
189502,2.66,-2.55
189503,7.62,1.46
189504,3.58,-1.26
189505,3.78,-0.45
189506,5.79,1.45
189507,4.51,-0.93
189508,5.13,0.80
189509,1.60,-2.18
189510,2.22,-0.64
189511,1.76,-2.09
189512,4.23,-0.92
189601,4.33,-0.83
189602,6.16,0.95
189603,5.44,-0.72
189604,3.54,-1.30
189605,3.24,-0.99
189606,5.44,1.10
189607,4.99,-0.45
189608,2.82,-1.51
189609,1.80,-1.98
189610,2.27,-0.59
189611,4.42,0.57
189612,1.71,-3.44
189701,3.73,-1.43
189702,6.32,1.11
189703,10.66,4.50
189704,4.10,-0.74
189705,1.60,-2.63
189706,1.97,-2.37
189707,4.72,-0.72
189708,6.07,1.74
189709,0.75,-3.03
189710,1.26,-1.60
189711,1.80,-2.05
189712,5.38,0.23
189801,3.92,-1.24
189802,2.11,-3.10
189803,3.12,-3.04
189804,4.49,-0.35
189805,0.95,-3.28
189806,3.86,-0.48
189807,6.05,0.61
189808,7.20,2.87
189809,3.46,-0.32
189810,3.84,0.98
189811,5.99,2.14
189812,3.85,-1.30
189901,6.18,1.02
189902,6.40,1.19
189903,6.31,0.15
189904,2.45,-2.39
189905,2.03,-2.20
189906,2.91,-1.43
189907,6.73,1.29
189908,3.86,-0.47
189909,0.53,-3.25
189910,2.64,-0.22
189911,2.97,-0.88
189912,5.38,0.23
190001,3.37,-1.79
190002,8.75,3.54
190003,5.96,-0.20
190004,8.69,3.85
190005,2.56,-1.67
190006,10.38,6.04
190007,4.74,-0.70
190008,3.12,-1.21
190009,4.06,0.28
190010,5.79,2.93
190011,3.33,-0.52
190012,5.10,-0.05
190101,4.97,-0.19
190102,4.45,-0.76
190103,6.34,0.18
190104,5.19,0.35
190105,5.30,1.07
190106,3.25,-1.09
190107,3.49,-1.95
190108,9.12,4.79
190109,4.49,0.71
190110,1.22,-1.64
190111,1.78,-2.07
190112,7.49,2.34
190201,3.70,-1.46
190202,6.93,1.72
190203,9.37,3.21
190204,2.36,-2.48
190205,2.52,-1.71
190206,1.35,-2.99
190207,2.87,-2.57
190208,3.77,-0.56
190209,4.22,0.44
190210,3.63,0.77
190211,4.11,0.26
190212,5.51,0.36
190301,3.62,-1.54
190302,10.61,5.40
190303,5.62,-0.54
190304,2.73,-2.11
190305,6.25,2.02
190306,4.75,0.41
190307,4.39,-1.05
190308,4.57,0.24
190309,1.58,-2.20
190310,1.95,-0.91
190311,2.12,-1.73
190312,3.23,-1.92
190401,4.24,-0.92
190402,4.13,-1.08
190403,3.78,-2.38
190404,2.32,-2.52
190405,3.05,-1.18
190406,3.22,-1.12
190407,5.01,-0.43
190408,5.81,1.48
190409,1.23,-2.55
190410,0.26,-2.60
190411,3.06,-0.79
190412,4.49,-0.66
190501,5.62,0.46
190502,7.54,2.33
190503,3.67,-2.49
190504,3.84,-1.00
190505,5.34,1.11
190506,5.01,0.67
190507,4.48,-0.96
190508,5.58,1.25
190509,2.29,-1.49
190510,4.25,1.39
190511,1.68,-2.17
190512,6.31,1.16
190601,4.82,-0.34
190602,2.45,-2.76
190603,8.66,2.50
190604,1.08,-3.76
190605,5.06,0.83
190606,3.74,-0.60
190607,7.79,2.35
190608,3.76,-0.57
190609,8.92,5.14
190610,3.52,0.66
190611,2.32,-1.53
190612,4.05,-1.10
190701,2.21,-2.95
190702,4.51,-0.70
190703,3.18,-2.98
190704,6.66,1.82
190705,8.21,3.98
190706,3.13,-1.21
190707,5.23,-0.21
190708,3.76,-0.57
190709,5.98,2.20
190710,1.42,-1.44
190711,6.36,2.51
190712,6.58,1.43
190801,4.19,-0.97
190802,6.87,1.66
190803,4.70,-1.46
190804,6.30,1.46
190805,5.50,1.27
190806,3.34,-1.00
190807,5.29,-0.15
190808,3.64,-0.69
190809,2.23,-1.55
190810,1.72,-1.14
190811,1.66,-2.19
190812,4.37,-0.78
190901,2.05,-3.11
190902,7.59,2.38
190903,8.89,2.73
190904,6.18,1.34
190905,6.34,2.11
190906,7.92,3.58
190907,4.91,-0.53
190908,3.54,-0.79
190909,2.95,-0.83
190910,1.95,-0.91
190911,1.26,-2.59
190912,5.04,-0.11
191001,3.53,-1.63
191002,5.47,0.26
191003,1.16,-5.00
191004,3.53,-1.31
191005,3.85,-0.38
191006,7.16,2.82
191007,7.26,1.82
191008,2.95,-1.38
191009,2.35,-1.43
191010,3.41,0.55
191011,2.19,-1.66
191012,3.33,-1.82
191101,4.49,-0.67
191102,3.26,-1.95
191103,2.50,-3.66
191104,7.65,2.81
191105,2.86,-1.37
191106,3.93,-0.41
191107,5.93,0.49
191108,5.30,0.97
191109,2.56,-1.22
191110,3.19,0.33
191111,4.54,0.69
191112,7.97,2.82
191201,5.93,0.77
191202,4.83,-0.38
191203,9.55,3.39
191204,10.08,5.24
191205,3.64,-0.59
191206,5.03,0.69
191207,5.22,-0.22
191208,6.23,1.90
191209,4.55,0.77
191210,2.76,-0.10
191211,2.11,-1.74
191212,6.63,1.48
191301,6.25,1.09
191302,5.70,0.49
191303,9.22,3.06
191304,2.50,-2.34
191305,3.48,-0.75
191306,3.72,-0.62
191307,5.22,-0.22
191308,2.60,-1.73
191309,6.61,2.83
191310,2.26,-0.60
191311,1.30,-2.55
191312,3.29,-1.86
191401,2.14,-3.02
191402,4.24,-0.97
191403,3.63,-2.53
191404,3.96,-0.88
191405,1.25,-2.98
191406,2.76,-1.58
191407,4.18,-1.26
191408,6.71,2.38
