Idaho, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,4.16,1.15
189502,0.93,-1.53
189503,1.95,-0.37
189504,1.11,-0.84
189505,2.55,0.42
189506,0.78,-1.01
189507,0.80,-0.03
189508,0.33,-0.51
189509,2.22,1.01
189510,0.12,-1.63
189511,1.64,-1.04
189512,3.20,0.31
189601,4.77,1.76
189602,1.52,-0.94
189603,2.87,0.55
189604,2.54,0.59
189605,3.60,1.47
189606,1.41,-0.38
189607,0.92,0.09
189608,1.36,0.52
189609,0.86,-0.35
189610,1.16,-0.59
189611,5.97,3.29
189612,2.71,-0.18
189701,1.72,-1.29
189702,3.48,1.02
189703,3.31,0.99
189704,1.51,-0.44
189705,1.49,-0.64
189706,2.04,0.25
189707,1.04,0.21
189708,0.38,-0.46
189709,1.58,0.37
189710,2.26,0.51
189711,4.01,1.33
189712,3.19,0.30
189801,2.46,-0.55
189802,2.68,0.22
189803,1.65,-0.67
189804,1.21,-0.74
189805,2.43,0.30
189806,0.96,-0.83
189807,0.96,0.13
189808,0.50,-0.34
189809,0.55,-0.66
189810,1.21,-0.54
189811,2.65,-0.03
189812,0.99,-1.90
189901,3.02,0.01
189902,3.03,0.57
189903,2.50,0.18
189904,1.73,-0.22
189905,2.05,-0.08
189906,0.88,-0.91
189907,0.35,-0.48
189908,1.31,0.47
189909,0.61,-0.60
189910,3.19,1.44
189911,2.73,0.05
189912,2.52,-0.37
190001,1.66,-1.35
190002,2.36,-0.10
190003,1.57,-0.75
190004,2.77,0.82
190005,2.42,0.29
190006,0.66,-1.13
190007,0.22,-0.61
190008,0.76,-0.08
190009,1.23,0.02
190010,3.05,1.30
190011,2.66,-0.02
190012,2.06,-0.83
190101,3.53,0.52
190102,3.26,0.80
190103,2.03,-0.29
190104,1.38,-0.57
190105,2.27,0.14
190106,1.22,-0.57
190107,0.29,-0.54
190108,0.58,-0.26
190109,1.41,0.20
190110,1.37,-0.38
190111,1.48,-1.20
190112,3.23,0.34
190201,1.94,-1.07
190202,3.77,1.31
190203,1.80,-0.52
190204,2.04,0.09
190205,2.37,0.24
190206,0.72,-1.07
190207,1.46,0.63
190208,0.51,-0.33
190209,0.56,-0.65
190210,0.65,-1.10
190211,3.74,1.06
190212,3.38,0.49
190301,4.26,1.25
190302,0.55,-1.91
190303,3.14,0.82
190304,1.77,-0.18
190305,2.02,-0.11
190306,1.47,-0.32
190307,0.90,0.07
190308,0.89,0.05
190309,1.39,0.18
190310,1.50,-0.25
190311,4.32,1.64
190312,1.95,-0.94
190401,2.32,-0.69
190402,5.12,2.66
190403,5.75,3.43
190404,1.86,-0.09
190405,1.09,-1.04
190406,1.32,-0.47
190407,1.17,0.34
190408,0.58,-0.26
190409,0.43,-0.78
190410,1.82,0.07
190411,0.89,-1.79
190412,2.83,-0.06
190501,1.63,-1.38
190502,0.97,-1.49
190503,2.94,0.62
190504,1.68,-0.27
190505,2.60,0.47
190506,2.33,0.54
190507,0.40,-0.43
190508,0.44,-0.40
190509,0.99,-0.22
190510,1.32,-0.43
190511,2.05,-0.63
190512,1.60,-1.29
190601,4.17,1.16
190602,2.65,0.19
190603,3.27,0.95
190604,1.36,-0.59
190605,3.42,1.29
190606,2.25,0.46
190607,0.28,-0.55
190608,1.36,0.52
190609,0.80,-0.41
190610,0.88,-0.87
190611,3.85,1.17
190612,4.23,1.34
190701,4.14,1.13
190702,3.19,0.73
190703,4.35,2.03
190704,1.79,-0.16
190705,1.23,-0.90
190706,3.22,1.43
190707,1.07,0.24
190708,1.32,0.48
190709,0.95,-0.26
190710,1.31,-0.44
190711,1.56,-1.12
190712,3.70,0.81
190801,1.47,-1.54
190802,1.60,-0.86
190803,1.77,-0.55
190804,1.09,-0.86
190805,3.27,1.14
190806,3.28,1.49
190807,0.75,-0.08
190808,0.88,0.04
190809,1.52,0.31
190810,2.91,1.16
190811,1.29,-1.39
190812,1.85,-1.04
190901,6.38,3.37
190902,3.34,0.88
190903,1.54,-0.78
190904,0.86,-1.09
190905,1.97,-0.16
190906,1.04,-0.75
190907,1.87,1.04
190908,0.55,-0.29
190909,2.49,1.28
190910,1.29,-0.46
190911,5.57,2.89
190912,2.73,-0.16
191001,3.08,0.07
191002,3.55,1.09
191003,1.44,-0.88
191004,1.71,-0.24
191005,1.75,-0.38
191006,0.40,-1.39
191007,0.42,-0.41
191008,0.10,-0.74
191009,1.50,0.29
191010,1.97,0.22
191011,4.86,2.18
