Illinois, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,1.86,-0.26
189502,0.57,-1.31
189503,1.53,-1.55
189504,2.08,-1.61
189505,2.21,-1.87
189506,2.61,-1.48
189507,5.44,1.80
189508,2.58,-0.92
189509,3.08,-0.42
189510,0.60,-2.19
189511,3.57,0.81
189512,5.02,2.70
189601,1.15,-0.97
189602,1.87,-0.01
189603,1.74,-1.34
189604,2.80,-0.89
189605,5.69,1.61
189606,3.94,-0.15
189607,6.11,2.47
189608,2.82,-0.68
189609,5.37,1.87
189610,1.28,-1.51
189611,2.63,-0.13
189612,0.55,-1.77
189701,4.68,2.56
189702,1.91,0.03
189703,5.83,2.75
189704,4.28,0.59
189705,1.85,-2.23
189706,4.59,0.50
189707,3.51,-0.13
189708,1.16,-2.34
189709,0.99,-2.51
189710,0.46,-2.33
189711,4.03,1.27
189712,2.42,0.10
189801,4.32,2.20
189802,1.91,0.03
189803,7.05,3.97
189804,3.23,-0.46
189805,6.11,2.03
189806,4.48,0.39
189807,2.99,-0.65
189808,4.25,0.75
189809,4.80,1.30
189810,3.99,1.20
189811,2.20,-0.56
189812,1.46,-0.86
189901,1.75,-0.37
189902,2.07,0.19
189903,3.04,-0.04
189904,1.54,-2.15
189905,5.99,1.91
189906,2.50,-1.59
189907,3.54,-0.10
189908,2.77,-0.73
189909,2.05,-1.45
189910,3.23,0.44
189911,1.80,-0.96
189912,2.28,-0.04
190001,1.24,-0.88
190002,3.87,1.99
190003,2.04,-1.04
190004,1.51,-2.18
190005,4.19,0.11
190006,4.30,0.21
190007,4.35,0.71
190008,4.12,0.62
190009,3.41,-0.09
190010,2.51,-0.28
190011,2.87,0.11
190012,0.88,-1.44
190101,1.51,-0.61
190102,1.59,-0.29
190103,3.43,0.35
190104,1.61,-2.08
190105,1.87,-2.21
190106,3.36,-0.73
190107,2.42,-1.22
190108,1.80,-1.70
190109,1.80,-1.70
190110,2.00,-0.79
190111,1.33,-1.43
190112,2.81,0.49
190201,1.00,-1.12
190202,1.29,-0.59
