Iowa, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.86,-0.11
189502,0.52,-0.50
189503,0.81,-1.15
189504,2.56,-0.38
189505,3.20,-0.84
189506,4.18,-0.44
189507,3.25,-0.63
189508,4.42,0.57
189509,3.12,-0.56
189510,0.48,-1.83
189511,1.48,-0.27
189512,1.45,0.34
189601,0.48,-0.49
189602,0.60,-0.42
189603,1.09,-0.87
189604,5.04,2.10
189605,6.47,2.43
189606,3.27,-1.35
189607,6.59,2.71
189608,3.41,-0.44
189609,3.97,0.29
189610,3.21,0.90
189611,2.01,0.26
189612,0.64,-0.47
189701,1.85,0.88
189702,0.88,-0.14
189703,2.29,0.33
189704,4.96,2.02
189705,1.89,-2.15
189706,3.90,-0.72
189707,3.17,-0.71
189708,2.05,-1.80
189709,1.97,-1.71
189710,1.02,-1.29
189711,0.63,-1.12
189712,1.62,0.51
189801,1.56,0.59
189802,1.14,0.12
189803,1.86,-0.10
189804,2.47,-0.47
189805,4.47,0.43
189806,4.40,-0.22
189807,2.68,-1.20
189808,3.39,-0.46
189809,2.62,-1.06
189810,3.58,1.27
189811,1.46,-0.29
189812,0.46,-0.65
189901,0.25,-0.72
189902,0.84,-0.18
189903,1.58,-0.38
189904,2.37,-0.57
189905,6.04,2.00
189906,5.17,0.55
189907,3.10,-0.78
189908,3.54,-0.31
189909,0.96,-2.72
189910,1.83,-0.48
189911,1.19,-0.56
189912,1.59,0.48
190001,0.50,-0.47
190002,1.27,0.25
190003,2.09,0.13
190004,2.69,-0.25
190005,3.13,-0.91
190006,3.95,-0.67
190007,6.59,2.71
190008,4.73,0.88
190009,5.02,1.34
190010,3.97,1.66
190011,1.06,-0.69
190012,0.44,-0.67
190101,0.71,-0.26
190102,1.02,0.00
190103,2.54,0.58
190104,1.81,-1.13
190105,2.39,-1.65
190106,3.80,-0.82
190107,2.30,-1.58
190108,1.32,-2.53
190109,4.81,1.13
190110,2.02,-0.29
190111,0.83,-0.92
190112,0.95,-0.16
190201,0.89,-0.08
190202,0.68,-0.34
190203,1.44,-0.52
190204,1.74,-1.20
190205,5.54,1.50
190206,7.13,2.51
190207,8.63,4.75
190208,6.72,2.87
190209,4.46,0.78
190210,2.33,0.02
190211,2.07,0.32
190212,2.16,1.05
190301,0.25,-0.72
190302,1.12,0.10
190303,1.38,-0.58
190304,2.98,0.04
190305,8.55,4.51
190306,2.94,-1.68
190307,5.23,1.35
190308,6.40,2.55
190309,3.72,0.04
190310,1.93,-0.38
190311,0.52,-1.23
190312,0.41,-0.70
190401,1.19,0.22
190402,0.51,-0.51
190403,2.17,0.21
190404,3.41,0.47
190405,3.59,-0.45
190406,3.30,-1.32
190407,4.28,0.40
190408,3.41,-0.44
190409,2.84,-0.84
190410,1.70,-0.61
190411,0.16,-1.59
190412,1.38,0.27
190501,0.97,0.00
190502,1.54,0.52
190503,2.08,0.12
190504,2.93,-0.01
190505,6.09,2.05
190506,5.01,0.39
190507,3.12,-0.76
190508,4.05,0.20
190509,3.56,-0.12
190510,3.32,1.01
190511,2.91,1.16
190512,0.54,-0.57
190601,1.54,0.57
190602,1.28,0.26
190603,2.32,0.36
190604,2.42,-0.52
190605,3.42,-0.62
190606,3.78,-0.84
190607,3.18,-0.70
190608,3.97,0.12
190609,4.14,0.46
190610,1.94,-0.37
190611,2.06,0.31
190612,1.45,0.34
190701,1.53,0.56
190702,0.73,-0.29
190703,1.34,-0.62
190704,1.30,-1.64
190705,3.59,-0.45
190706,5.26,0.64
190707,7.10,3.22
190708,4.36,0.51
190709,2.86,-0.82
190710,1.54,-0.77
190711,1.01,-0.74
190712,0.98,-0.13
190801,0.45,-0.52
190802,1.64,0.62
190803,1.63,-0.33
190804,2.29,-0.65
190805,8.12,4.08
190806,5.49,0.87
190807,3.66,-0.22
190808,4.75,0.90
190809,1.25,-2.43
190810,3.34,1.03
190811,1.54,-0.21
190812,0.58,-0.53
190901,1.67,0.70
190902,1.56,0.54
190903,1.51,-0.45
190904,4.49,1.55
190905,4.37,0.33
190906,6.29,1.67
190907,4.69,0.81
190908,1.88,-1.97
190909,3.64,-0.04
190910,2.05,-0.26
190911,5.35,3.60
190912,2.17,1.06
191001,1.59,0.62
191002,0.44,-0.58
191003,0.16,-1.80
191004,1.52,-1.42
191005,3.28,-0.76
191006,2.01,-2.61
191007,1.85,-2.03
191008,4.09,0.24
191009,3.74,0.06
191010,0.82,-1.49
191011,0.34,-1.41
191012,0.37,-0.74
191101,0.87,-0.10
191102,2.76,1.74
191103,0.87,-1.09
191104,3.06,0.12
191105,3.92,-0.12
191106,1.91,-2.71
191107,2.40,-1.48
191108,3.48,-0.37
191109,5.00,1.32
191110,3.42,1.11
191111,1.43,-0.32
191112,2.51,1.40
191201,0.52,-0.45
191202,1.15,0.13
191203,1.96,0.00
191204,2.61,-0.33
191205,3.17,-0.87
191206,2.67,-1.95
191207,3.76,-0.12
191208,3.85,0.00
191209,3.99,0.31
191210,3.06,0.75
191211,0.97,-0.78
191212,0.71,-0.40
191301,0.81,-0.16
191302,0.82,-0.20
191303,2.50,0.54
191304,3.17,0.23
191305,6.33,2.29
191306,3.31,-1.31
191307,1.86,-2.02
191308,2.76,-1.09
191309,3.37,-0.31
191310,3.01,0.70
191311,1.17,-0.58
191312,0.97,-0.14
191401,0.86,-0.11
191402,0.83,-0.19
191403,1.77,-0.19
191404,2.49,-0.45
191405,3.31,-0.73
191406,5.69,1.07
191407,2.28,-1.60
191408,2.19,-1.66
191409,7.47,3.79
191410,3.25,0.94
191411,0.21,-1.54
191412,1.30,0.19
191501,1.63,0.66
191502,2.86,1.84
191503,0.92,-1.04
191504,1.32,-1.62
191505,7.35,3.31
191506,4.10,-0.52
191507,8.06,4.18
191508,2.82,-1.03
191509,6.08,2.40
191510,1.28,-1.03
191511,1.90,0.15
191512,0.66,-0.45
191601,2.46,1.49
191602,0.57,-0.45
191603,1.54,-0.42
191604,2.49,-0.45
191605,4.75,0.71
191606,3.71,-0.91
191607,1.76,-2.12
191608,2.68,-1.17
191609,3.85,0.17
191610,2.13,-0.18
191611,1.54,-0.21
191612,1.02,-0.09
191701,0.85,-0.12
191702,0.37,-0.65
191703,1.78,-0.18
191704,4.39,1.45
191705,3.91,-0.13
191706,6.57,1.95
191707,2.36,-1.52
191708,2.36,-1.49
191709,2.87,-0.81
191710,1.34,-0.97
191711,0.27,-1.48
191712,0.55,-0.56
191801,0.98,0.01
191802,0.96,-0.06
191803,0.65,-1.31
191804,2.30,-0.64
191805,6.85,2.81
191806,5.20,0.58
191807,3.31,-0.57
191808,3.59,-0.26
191809,1.84,-1.84
191810,3.60,1.29
191811,2.03,0.28
191812,1.23,0.12
191901,0.24,-0.73
191902,2.37,1.35
191903,2.26,0.30
191904,4.79,1.85
191905,3.07,-0.97
191906,5.85,1.23
191907,2.74,-1.14
191908,2.63,-1.22
191909,5.30,1.62
191910,3.17,0.86
191911,3.41,1.66
191912,0.57,-0.54
192001,0.43,-0.54
192002,0.52,-0.50
192003,2.95,0.99
192004,4.40,1.46
192005,3.30,-0.74
192006,3.35,-1.27
192007,3.97,0.09
192008,3.40,-0.45
192009,3.23,-0.45
192010,2.11,-0.20
192011,2.22,0.47
192012,1.18,0.07
192101,0.48,-0.49
192102,0.75,-0.27
192103,1.59,-0.37
192104,3.37,0.43
192105,4.30,0.26
192106,3.63,-0.99
192107,2.59,-1.29
192108,5.02,1.17
192109,6.69,3.01
192110,1.96,-0.35
192111,0.58,-1.17
192112,1.04,-0.07
192201,0.84,-0.13
192202,1.58,0.56
192203,1.90,-0.06
192204,3.01,0.07
192205,3.47,-0.57
192206,1.77,-2.85
192207,6.38,2.50
192208,2.85,-1.00
192209,2.08,-1.60
192210,1.73,-0.58
192211,3.61,1.86
192212,0.35,-0.76
192301,0.81,-0.16
192302,0.41,-0.61
192303,2.85,0.89
192304,2.08,-0.86
192305,2.78,-1.26
192306,4.88,0.26
192307,1.77,-2.11
192308,5.52,1.67
192309,5.95,2.27
192310,1.22,-1.09
192311,0.59,-1.16
192312,0.77,-0.34
192401,0.76,-0.21
192402,1.21,0.19
192403,2.71,0.75
192404,1.35,-1.59
192405,1.68,-2.36
192406,7.94,3.32
192407,3.74,-0.14
192408,5.47,1.62
192409,3.00,-0.68
192410,0.82,-1.49
192411,0.61,-1.14
192412,1.71,0.60
192501,0.36,-0.61
192502,0.78,-0.24
192503,0.91,-1.05
192504,2.22,-0.72
192505,1.15,-2.89
192506,6.37,1.75
192507,2.71,-1.17
192508,3.43,-0.42
192509,5.04,1.36
192510,2.87,0.56
192511,0.73,-1.02
192512,1.36,0.25
192601,1.01,0.04
192602,0.73,-0.29
192603,0.98,-0.98
192604,0.95,-1.99
192605,2.64,-1.40
192606,4.18,-0.44
192607,3.82,-0.06
192608,3.76,-0.09
192609,9.56,5.88
192610,1.54,-0.77
192611,2.11,0.36
192612,1.05,-0.06
192701,0.29,-0.68
192702,1.13,0.11
192703,1.88,-0.08
