Kansas, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.62,-0.05
189502,1.21,0.31
189503,0.68,-1.00
189504,1.56,-0.94
189505,2.69,-1.15
189506,5.10,1.09
189507,5.33,1.98
189508,4.78,1.69
189509,1.32,-1.53
189510,0.72,-1.28
189511,1.31,-0.03
189512,1.49,0.64
189601,0.63,-0.04
189602,0.22,-0.68
189603,0.77,-0.91
189604,3.64,1.14
189605,4.46,0.62
189606,4.06,0.05
189607,4.37,1.02
189608,2.57,-0.52
189609,2.98,0.13
189610,2.64,0.64
189611,0.83,-0.51
189612,0.45,-0.40
189701,0.96,0.29
189702,1.13,0.23
189703,1.88,0.20
189704,3.83,1.33
189705,2.20,-1.64
189706,3.59,-0.42
189707,2.86,-0.49
189708,3.38,0.29
189709,1.47,-1.38
189710,2.51,0.51
189711,0.27,-1.07
189712,0.75,-0.10
189801,1.47,0.80
189802,0.94,0.04
189803,1.41,-0.27
189804,2.72,0.22
189805,6.43,2.59
189806,4.50,0.49
189807,3.08,-0.27
189808,2.62,-0.47
189809,3.83,0.98
189810,1.53,-0.47
189811,1.01,-0.33
189812,1.61,0.76
189901,0.30,-0.37
189902,0.59,-0.31
189903,1.41,-0.27
189904,1.29,-1.21
189905,3.33,-0.51
189906,5.28,1.27
189907,5.63,2.28
189908,1.92,-1.17
189909,1.67,-1.18
189910,1.55,-0.45
189911,1.51,0.17
189912,1.08,0.23
190001,0.20,-0.47
190002,1.54,0.64
190003,0.70,-0.98
190004,4.38,1.88
190005,2.95,-0.89
190006,3.62,-0.39
190007,3.25,-0.10
190008,2.12,-0.97
190009,5.37,2.52
190010,2.16,0.16
190011,0.42,-0.92
190012,0.32,-0.53
190101,0.37,-0.30
190102,1.12,0.22
190103,1.60,-0.08
190104,3.66,1.16
190105,1.67,-2.17
190106,2.08,-1.93
190107,1.82,-1.53
190108,2.76,-0.33
190109,3.13,0.28
190110,1.72,-0.28
190111,0.55,-0.79
190112,0.50,-0.35
190201,0.76,0.09
190202,0.65,-0.25
190203,1.80,0.12
190204,1.08,-1.42
190205,6.28,2.44
190206,5.72,1.71
190207,4.19,0.84
190208,5.19,2.10
190209,3.53,0.68
190210,2.18,0.18
190211,1.20,-0.14
190212,1.04,0.19
190301,0.28,-0.39
190302,2.07,1.17
190303,1.16,-0.52
190304,2.60,0.10
190305,7.78,3.94
190306,2.37,-1.64
190307,2.69,-0.66
190308,4.68,1.59
190309,1.90,-0.95
190310,3.13,1.13
190311,0.85,-0.49
190312,0.31,-0.54
190401,0.37,-0.30
190402,0.07,-0.83
190403,1.13,-0.55
190404,3.04,0.54
190405,5.09,1.25
190406,6.38,2.37
190407,5.88,2.53
190408,3.14,0.05
190409,2.54,-0.31
190410,1.25,-0.75
190411,0.14,-1.20
190412,0.62,-0.23
190501,0.84,0.17
190502,0.83,-0.07
190503,2.00,0.32
190504,2.82,0.32
190505,3.90,0.06
190506,3.63,-0.38
190507,5.15,1.80
190508,1.78,-1.31
190509,4.22,1.37
190510,1.51,-0.49
190511,2.31,0.97
190512,0.11,-0.74
190601,0.61,-0.06
190602,0.64,-0.26
190603,1.46,-0.22
190604,2.91,0.41
190605,2.42,-1.42
190606,3.46,-0.55
190607,4.42,1.07
190608,3.47,0.38
190609,3.69,0.84
190610,2.04,0.04
190611,1.54,0.20
190612,0.61,-0.24
190701,1.72,1.05
190702,0.64,-0.26
190703,0.91,-0.77
190704,1.36,-1.14
190705,2.26,-1.58
190706,4.68,0.67
190707,3.81,0.46
190708,3.00,-0.09
190709,2.13,-0.72
190710,2.64,0.64
190711,0.68,-0.66
190712,1.45,0.60
190801,0.17,-0.50
190802,1.63,0.73
190803,0.61,-1.07
190804,1.70,-0.80
190805,4.87,1.03
190806,7.48,3.47
190807,3.42,0.07
190808,3.76,0.67
190809,1.52,-1.33
190810,3.03,1.03
190811,2.30,0.96
190812,0.13,-0.72
190901,0.45,-0.22
190902,0.66,-0.24
190903,1.75,0.07
190904,1.17,-1.33
190905,3.38,-0.46
190906,5.52,1.51
190907,5.18,1.83
190908,1.09,-2.00
190909,3.02,0.17
190910,1.68,-0.32
190911,4.68,3.34
190912,1.26,0.41
191001,0.93,0.26
191002,0.46,-0.44
191003,0.07,-1.61
191004,1.18,-1.32
191005,4.51,0.67
191006,1.91,-2.10
191007,2.06,-1.29
191008,4.26,1.17
191009,2.65,-0.20
191010,0.51,-1.49
191011,0.07,-1.27
191012,0.45,-0.40
191101,0.21,-0.46
191102,3.49,2.59
191103,0.34,-1.34
191104,1.75,-0.75
191105,2.65,-1.19
191106,0.63,-3.38
191107,3.81,0.46
191108,3.55,0.46
191109,3.01,0.16
191110,1.26,-0.74
191111,0.78,-0.56
191112,2.12,1.27
191201,0.16,-0.51
191202,1.92,1.02
191203,2.57,0.89
191204,2.52,0.02
191205,2.75,-1.09
191206,3.84,-0.17
191207,2.59,-0.76
191208,4.13,1.04
191209,2.47,-0.38
191210,2.00,0.00
191211,0.50,-0.84
191212,0.30,-0.55
191301,0.44,-0.23
191302,1.62,0.72
191303,0.82,-0.86
191304,1.86,-0.64
191305,2.89,-0.95
191306,2.47,-1.54
191307,1.29,-2.06
191308,0.42,-2.67
191309,3.88,1.03
191310,1.63,-0.37
191311,1.63,0.29
191312,3.15,2.30
191401,0.14,-0.53
191402,0.99,0.09
191403,0.99,-0.69
191404,1.80,-0.70
191405,3.37,-0.47
191406,3.71,-0.30
191407,2.70,-0.65
191408,2.98,-0.11
191409,2.47,-0.38
191410,2.14,0.14
191411,0.10,-1.24
191412,0.72,-0.13
191501,1.14,0.47
191502,2.49,1.59
191503,1.70,0.02
191504,3.68,1.18
191505,6.71,2.87
191506,6.31,2.30
191507,5.68,2.33
191508,4.51,1.42
191509,4.28,1.43
191510,1.51,-0.49
191511,0.55,-0.79
191512,0.50,-0.35
191601,1.79,1.12
191602,0.22,-0.68
191603,0.97,-0.71
191604,2.46,-0.04
191605,3.28,-0.56
191606,5.83,1.82
191607,0.80,-2.55
191608,2.14,-0.95
191609,2.12,-0.73
191610,1.51,-0.49
191611,1.17,-0.17
191612,0.59,-0.26
191701,0.30,-0.37
191702,0.05,-0.85
191703,0.79,-0.89
191704,2.76,0.26
191705,3.28,-0.56
191706,2.02,-1.99
191707,1.54,-1.81
191708,4.81,1.72
191709,2.31,-0.54
191710,0.42,-1.58
191711,0.41,-0.93
191712,0.22,-0.63
191801,0.66,-0.01
191802,0.76,-0.14
191803,1.77,0.09
191804,3.03,0.53
191805,4.10,0.26
191806,1.34,-2.67
191807,2.70,-0.65
191808,2.27,-0.82
191809,2.58,-0.27
191810,3.79,1.79
191811,1.63,0.29
