Maryland, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,4.17,0.82
189502,1.32,-1.59
189503,3.01,-0.76
189504,5.12,1.65
189505,3.42,-0.30
189506,4.23,0.37
189507,3.11,-1.07
189508,2.24,-2.13
189509,2.45,-1.12
189510,2.26,-0.85
189511,1.94,-1.04
189512,2.25,-1.03
189601,1.70,-1.65
189602,5.53,2.62
189603,4.24,0.47
189604,1.42,-2.05
189605,3.06,-0.66
189606,3.94,0.08
189607,5.76,1.58
189608,1.98,-2.39
189609,4.28,0.71
189610,1.59,-1.52
189611,2.63,-0.35
189612,0.80,-2.48
189701,1.98,-1.37
189702,5.29,2.38
189703,2.89,-0.88
189704,2.93,-0.54
189705,4.91,1.19
189706,3.23,-0.63
189707,6.86,2.68
189708,3.39,-0.98
189709,1.56,-2.01
189710,3.57,0.46
189711,4.45,1.47
189712,3.70,0.42
189801,3.30,-0.05
189802,1.56,-1.35
189803,3.72,-0.05
189804,2.85,-0.62
189805,4.54,0.82
189806,1.69,-2.17
189807,3.23,-0.95
189808,6.23,1.86
189809,1.86,-1.71
189810,4.46,1.35
189811,3.93,0.95
189812,3.56,0.28
189901,3.42,0.07
189902,5.76,2.85
189903,5.23,1.46
189904,1.56,-1.91
189905,3.38,-0.34
189906,3.18,-0.68
189907,4.13,-0.05
189908,4.61,0.24
189909,4.44,0.87
189910,2.92,-0.19
189911,1.96,-1.02
189912,1.69,-1.59
190001,2.62,-0.73
190002,4.66,1.75
190003,3.17,-0.60
190004,2.17,-1.30
190005,2.38,-1.34
190006,4.87,1.01
190007,3.32,-0.86
190008,3.10,-1.27
190009,4.02,0.45
190010,2.28,-0.83
190011,2.98,0.00
190012,2.43,-0.85
190101,2.76,-0.59
190102,0.70,-2.21
190103,3.51,-0.26
190104,5.60,2.13
190105,4.15,0.43
190106,3.12,-0.74
190107,5.65,1.47
190108,5.83,1.46
190109,2.99,-0.58
190110,1.23,-1.88
190111,2.48,-0.50
190112,6.57,3.29
190201,3.35,0.00
190202,4.76,1.85
190203,3.63,-0.14
190204,3.40,-0.07
190205,2.02,-1.70
190206,5.17,1.31
190207,3.79,-0.39
190208,2.30,-2.07
190209,5.41,1.84
