Massachusetts, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,3.59,-0.05
189502,0.95,-2.31
189503,2.75,-1.20
189504,4.51,0.63
189505,2.40,-1.20
189506,2.87,-0.77
189507,3.89,0.21
189508,3.49,-0.40
189509,2.94,-0.84
189510,6.11,2.61
189511,6.00,1.98
189512,3.35,-0.48
189601,1.83,-1.81
189602,5.02,1.76
189603,6.23,2.28
189604,1.26,-2.62
189605,2.50,-1.10
189606,2.64,-1.00
189607,3.49,-0.19
189608,2.99,-0.90
189609,7.13,3.35
189610,3.56,0.06
189611,3.34,-0.68
189612,1.93,-1.90
189701,3.74,0.10
189702,2.53,-0.73
189703,3.57,-0.38
189704,3.03,-0.85
189705,4.43,0.83
189706,4.71,1.07
189707,8.39,4.71
189708,4.11,0.22
189709,2.13,-1.65
189710,0.95,-2.55
189711,6.73,2.71
189712,5.40,1.57
189801,5.08,1.44
189802,4.51,1.25
189803,2.12,-1.83
189804,4.81,0.93
189805,4.51,0.91
189806,2.79,-0.85
189807,4.19,0.51
189808,6.87,2.98
189809,2.88,-0.90
189810,7.06,3.56
189811,6.44,2.42
189812,2.63,-1.20
189901,3.85,0.21
189902,4.31,1.05
189903,7.05,3.10
189904,1.84,-2.04
189905,1.52,-2.08
189906,3.96,0.32
189907,4.37,0.69
189908,2.05,-1.84
189909,5.33,1.55
189910,2.32,-1.18
189911,2.05,-1.97
189912,1.85,-1.98
190001,4.34,0.70
190002,7.32,4.06
190003,5.59,1.64
190004,2.04,-1.84
190005,4.23,0.63
190006,2.89,-0.75
190007,3.02,-0.66
190008,2.93,-0.96
190009,3.31,-0.47
190010,3.71,0.21
190011,5.63,1.61
190012,2.72,-1.11
190101,1.91,-1.73
190102,0.85,-2.41
190103,6.26,2.31
190104,7.57,3.69
190105,6.44,2.84
190106,1.62,-2.02
190107,4.78,1.10
190108,4.65,0.76
190109,3.38,-0.40
190110,3.19,-0.31
190111,2.15,-1.87
190112,8.57,4.74
190201,2.17,-1.47
190202,4.31,1.05
190203,5.81,1.86
190204,3.92,0.04
190205,1.97,-1.63
190206,3.55,-0.09
190207,4.19,0.51
190208,3.60,-0.29
190209,4.30,0.52
190210,5.01,1.51
190211,1.27,-2.75
190212,6.05,2.22
190301,3.54,-0.10
190302,4.26,1.00
190303,6.38,2.43
190304,3.20,-0.68
190305,0.77,-2.83
190306,7.75,4.11
190307,3.55,-0.13
190308,4.49,0.60
190309,1.58,-2.20
190310,4.11,0.61
190311,2.16,-1.86
190312,3.41,-0.42
190401,4.15,0.51
190402,2.69,-0.57
190403,3.03,-0.92
190404,7.04,3.16
190405,2.97,-0.63
190406,3.47,-0.17
190407,2.82,-0.86
190408,4.13,0.24
190409,4.80,1.02
190410,2.09,-1.41
190411,1.63,-2.39
190412,2.89,-0.94
190501,4.33,0.69
190502,1.59,-1.67
190503,3.19,-0.76
190504,2.55,-1.33
190505,1.18,-2.42
190506,5.19,1.55
190507,3.25,-0.43
190508,4.21,0.32
190509,6.06,2.28
190510,1.90,-1.60
190511,2.41,-1.61
190512,3.82,-0.01
190601,2.79,-0.85
190602,2.95,-0.31
190603,5.72,1.77
190604,2.87,-1.01
190605,5.29,1.69
190606,3.78,0.14
190607,5.11,1.43
190608,2.76,-1.13
190609,2.58,-1.20
190610,4.04,0.54
190611,2.65,-1.37
190612,4.04,0.21
190701,3.10,-0.54
190702,2.31,-0.95
190703,2.08,-1.87
190704,2.99,-0.89
190705,3.48,-0.12
190706,3.12,-0.52
190707,2.68,-1.00
190708,1.45,-2.44
190709,8.84,5.06
190710,4.43,0.93
190711,5.60,1.58
190712,4.61,0.78
190801,3.10,-0.54
190802,4.11,0.85
190803,3.19,-0.76
190804,2.10,-1.78
190805,4.63,1.03
190806,1.44,-2.20
190807,4.21,0.53
190808,5.59,1.70
190809,1.07,-2.71
190810,3.47,-0.03
190811,1.06,-2.96
190812,3.16,-0.67
190901,4.09,0.45
190902,5.67,2.41
190903,3.69,-0.26
190904,5.03,1.15
190905,3.02,-0.58
190906,2.63,-1.01
190907,1.96,-1.72
190908,3.36,-0.53
190909,4.56,0.78
190910,1.48,-2.02
190911,2.98,-1.04
190912,3.37,-0.46
191001,5.51,1.87
191002,4.59,1.33
191003,1.45,-2.50
191004,3.01,-0.87
191005,2.49,-1.11
191006,3.81,0.17
191007,2.08,-1.60
191008,3.06,-0.83
191009,2.84,-0.94
191010,1.51,-1.99
191011,4.01,-0.01
191012,2.33,-1.50
191101,2.72,-0.92
191102,2.42,-0.84
191103,3.71,-0.24
191104,2.62,-1.26
191105,1.43,-2.17
191106,2.84,-0.80
191107,4.03,0.35
191108,5.74,1.85
191109,3.43,-0.35
