Arizona, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,2.78,1.65
189502,0.53,-0.61
189503,0.22,-0.89
189504,0.08,-0.50
189505,0.36,0.02
189506,0.09,-0.20
189507,1.00,-0.79
189508,2.18,0.09
189509,0.81,-0.37
189510,0.96,0.06
189511,2.11,1.26
189512,0.29,-0.88
189601,0.52,-0.61
189602,0.22,-0.92
189603,0.66,-0.45
189604,0.26,-0.32
189605,0.12,-0.22
189606,0.15,-0.14
189607,3.03,1.24
189608,2.19,0.10
189609,1.37,0.19
189610,2.62,1.72
189611,0.49,-0.36
189612,0.56,-0.61
189701,2.86,1.73
189702,1.00,-0.14
189703,0.77,-0.34
189704,0.13,-0.45
189705,0.25,-0.09
189706,0.07,-0.22
189707,1.10,-0.69
189708,1.61,-0.48
189709,2.35,1.17
189710,0.86,-0.04
189711,0.11,-0.74
189712,0.59,-0.58
189801,1.79,0.66
189802,0.15,-0.99
189803,0.71,-0.40
189804,0.58,0.00
189805,0.46,0.12
189806,0.69,0.40
189807,1.79,0.00
189808,2.10,0.01
189809,0.20,-0.98
189810,0.01,-0.89
189811,0.49,-0.36
189812,1.63,0.46
189901,0.80,-0.33
189902,0.42,-0.72
189903,0.20,-0.91
189904,0.22,-0.36
189905,0.02,-0.32
189906,0.65,0.36
189907,1.65,-0.14
189908,1.49,-0.60
189909,0.73,-0.45
189910,0.67,-0.23
189911,0.56,-0.29
189912,0.15,-1.02
190001,0.20,-0.93
190002,0.25,-0.89
190003,0.66,-0.45
190004,1.74,1.16
190005,0.20,-0.14
190006,0.08,-0.21
190007,0.65,-1.14
190008,1.05,-1.04
190009,1.22,0.04
190010,0.70,-0.20
190011,1.33,0.48
190012,0.02,-1.15
190101,1.21,0.08
190102,2.36,1.22
190103,0.53,-0.58
190104,0.14,-0.44
190105,0.45,0.11
190106,0.06,-0.23
190107,1.43,-0.36
190108,1.69,-0.40
190109,0.22,-0.96
190110,0.78,-0.12
190111,0.26,-0.59
190112,0.09,-1.08
190201,0.80,-0.33
190202,0.37,-0.77
190203,0.65,-0.46
190204,0.07,-0.51
