Minnesota, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.62,-0.17
189502,0.42,-0.27
189503,0.33,-0.93
189504,1.58,-0.46
189505,3.37,0.26
189506,5.18,1.09
189507,3.21,-0.40
189508,2.26,-1.21
189509,3.78,0.88
189510,0.34,-1.59
189511,1.27,-0.03
189512,0.31,-0.50
189601,0.74,-0.05
189602,0.47,-0.22
189603,1.86,0.60
189604,5.56,3.52
189605,5.53,2.42
189606,3.67,-0.42
189607,2.17,-1.44
189608,2.43,-1.04
189609,2.39,-0.51
189610,2.60,0.67
189611,2.82,1.52
189612,0.60,-0.21
189701,1.75,0.96
189702,1.48,0.79
189703,1.89,0.63
189704,1.55,-0.49
189705,1.37,-1.74
189706,5.25,1.16
189707,7.32,3.71
189708,2.31,-1.16
189709,1.68,-1.22
189710,1.61,-0.32
189711,0.55,-0.75
189712,0.54,-0.27
189801,0.24,-0.55
189802,0.96,0.27
189803,1.19,-0.07
189804,1.31,-0.73
189805,3.14,0.03
189806,4.44,0.35
189807,3.27,-0.34
189808,3.05,-0.42
189809,1.75,-1.15
189810,3.32,1.39
189811,0.95,-0.35
189812,0.29,-0.52
189901,0.68,-0.11
189902,0.74,0.05
189903,1.32,0.06
189904,1.70,-0.34
189905,4.54,1.43
189906,5.55,1.46
189907,3.30,-0.31
189908,5.56,2.09
189909,1.60,-1.30
189910,3.07,1.14
189911,0.62,-0.68
189912,0.80,-0.01
190001,0.57,-0.22
190002,0.54,-0.15
190003,1.14,-0.12
190004,1.30,-0.74
190005,0.80,-2.31
190006,1.65,-2.44
190007,4.52,0.91
190008,6.80,3.33
190009,5.81,2.91
190010,3.28,1.35
190011,0.68,-0.62
190012,0.56,-0.25
190101,0.42,-0.37
190102,0.41,-0.28
190103,1.92,0.66
190104,1.76,-0.28
190105,1.36,-1.75
190106,5.97,1.88
190107,3.46,-0.15
190108,2.12,-1.35
190109,3.54,0.64
190110,2.08,0.15
190111,0.79,-0.51
190112,0.66,-0.15
190201,0.41,-0.38
190202,0.68,-0.01
190203,1.00,-0.26
190204,1.54,-0.50
190205,5.01,1.90
190206,3.21,-0.88
190207,4.22,0.61
190208,4.07,0.60
190209,1.95,-0.95
190210,1.91,-0.02
190211,1.55,0.25
190212,1.62,0.81
190301,0.52,-0.27
190302,0.64,-0.05
190303,1.74,0.48
190304,2.63,0.59
190305,4.76,1.65
190306,1.94,-2.15
190307,4.87,1.26
190308,4.61,1.14
190309,5.09,2.19
190310,2.93,1.00
190311,0.49,-0.81
190312,0.92,0.11
190401,0.36,-0.43
190402,0.89,0.20
190403,1.69,0.43
190404,1.72,-0.32
190405,2.28,-0.83
190406,4.18,0.09
190407,3.78,0.17
190408,2.51,-0.96
190409,3.37,0.47
190410,3.23,1.30
190411,0.16,-1.14
190412,0.75,-0.06
190501,0.61,-0.18
190502,0.49,-0.20
190503,1.11,-0.15
190504,1.64,-0.40
190505,5.05,1.94
190506,6.83,2.74
190507,4.51,0.90
190508,3.69,0.22
190509,3.40,0.50
190510,2.25,0.32
190511,2.57,1.27
190512,0.17,-0.64
190601,1.19,0.40
190602,0.26,-0.43
190603,0.99,-0.27
190604,1.64,-0.40
190605,4.90,1.79
190606,4.74,0.65
190607,2.71,-0.90
190608,4.48,1.01
190609,3.32,0.42
190610,2.23,0.30
190611,2.10,0.80
190612,0.98,0.17
190701,1.34,0.55
190702,0.51,-0.18
190703,0.95,-0.31
190704,1.03,-1.01
190705,2.19,-0.92
190706,3.96,-0.13
190707,3.34,-0.27
190708,4.01,0.54
190709,3.22,0.32
190710,1.09,-0.84
190711,0.54,-0.76
190712,0.55,-0.26
190801,0.30,-0.49
190802,1.27,0.58
190803,1.49,0.23
190804,2.27,0.23
190805,5.84,2.73
190806,5.64,1.55
190807,3.00,-0.61
190808,2.27,-1.20
190809,2.11,-0.79
190810,1.79,-0.14
190811,1.24,-0.06
190812,0.73,-0.08
190901,1.25,0.46
190902,1.12,0.43
190903,0.56,-0.70
190904,1.67,-0.37
190905,3.18,0.07
190906,3.22,-0.87
190907,4.15,0.54
190908,4.68,1.21
190909,2.91,0.01
190910,1.80,-0.13
190911,2.46,1.16
190912,1.67,0.86
191001,0.76,-0.03
191002,0.51,-0.18
191003,0.37,-0.89
191004,1.62,-0.42
191005,1.43,-1.68
191006,1.50,-2.59
191007,2.10,-1.51
191008,2.13,-1.34
191009,2.57,-0.33
191010,0.98,-0.95
191011,0.58,-0.72
191012,0.53,-0.28
191101,0.80,0.01
191102,1.02,0.33
191103,0.61,-0.65
191104,1.81,-0.23
191105,3.24,0.13
191106,3.76,-0.33
191107,3.52,-0.09
191108,4.05,0.58
191109,3.28,0.38
191110,3.10,1.17
191111,1.18,-0.12
191112,1.19,0.38
191201,0.38,-0.41
191202,0.26,-0.43
191203,0.42,-0.84
191204,2.03,-0.01
191205,4.03,0.92
191206,1.76,-2.33
191207,4.26,0.65
191208,3.87,0.40
191209,3.13,0.23
191210,0.91,-1.02
191211,0.33,-0.97
191212,0.87,0.06
191301,0.35,-0.44
191302,0.44,-0.25
191303,1.27,0.01
191304,1.90,-0.14
191305,3.57,0.46
191306,3.17,-0.92
191307,5.53,1.92
191308,2.95,-0.52
191309,3.30,0.40
191310,2.57,0.64
191311,0.69,-0.61
191312,0.07,-0.74
191401,0.84,0.05
191402,0.47,-0.22
191403,1.10,-0.16
191404,2.18,0.14
191405,2.95,-0.16
191406,7.32,3.23
191407,2.65,-0.96
191408,3.88,0.41
191409,3.15,0.25
191410,2.02,0.09
191411,0.47,-0.83
191412,0.45,-0.36
191501,0.69,-0.10
191502,1.46,0.77
191503,0.53,-0.73
191504,1.59,-0.45
191505,4.06,0.95
191506,6.72,2.63
191507,3.73,0.12
191508,1.84,-1.63
191509,2.79,-0.11
191510,2.07,0.14
191511,1.82,0.52
191512,0.68,-0.13
191601,2.08,1.29
191602,0.48,-0.21
191603,1.64,0.38
191604,2.69,0.65
191605,3.96,0.85
191606,4.83,0.74
191607,2.75,-0.86
191608,4.11,0.64
191609,3.00,0.10
191610,1.33,-0.60
191611,0.31,-0.99
191612,1.05,0.24
191701,1.02,0.23
191702,0.81,0.12
191703,1.54,0.28
191704,2.17,0.13
191705,1.47,-1.64
191706,2.88,-1.21
191707,3.12,-0.49
191708,2.20,-1.27
191709,2.22,-0.68
191710,1.79,-0.14
191711,0.17,-1.13
191712,0.59,-0.22
191801,0.65,-0.14
191802,0.41,-0.28
191803,0.72,-0.54
191804,1.91,-0.13
191805,4.30,1.19
191806,1.90,-2.19
191807,3.24,-0.37
191808,3.89,0.42
191809,1.08,-1.82
191810,2.42,0.49
191811,2.12,0.82
191812,1.46,0.65
191901,0.38,-0.41
191902,1.29,0.60
191903,1.05,-0.21
191904,2.33,0.29
191905,2.37,-0.74
191906,5.25,1.16
191907,4.76,1.15
191908,3.40,-0.07
191909,1.94,-0.96
191910,1.86,-0.07
191911,2.28,0.98
191912,0.40,-0.41
192001,0.97,0.18
192002,0.44,-0.25
192003,1.67,0.41
192004,1.73,-0.31
192005,3.11,0.00
192006,5.69,1.60
192007,3.12,-0.49
192008,1.94,-1.53
192009,2.86,-0.04
192010,1.83,-0.10
192011,1.18,-0.12
192012,0.91,0.10
192101,0.49,-0.30
192102,0.59,-0.10
192103,1.49,0.23
192104,1.81,-0.23
192105,3.46,0.35
192106,2.69,-1.40
192107,3.79,0.18
192108,2.36,-1.11
192109,4.28,1.38
192110,0.64,-1.29
192111,0.82,-0.48
192112,0.59,-0.22
192201,0.62,-0.17
192202,1.98,1.29
192203,1.19,-0.07
192204,1.90,-0.14
192205,3.02,-0.09
192206,3.00,-1.09
192207,2.42,-1.19
192208,1.97,-1.50
192209,1.98,-0.92
192210,1.07,-0.86
192211,3.23,1.93
192212,0.74,-0.07
192301,1.03,0.24
192302,0.62,-0.07
192303,0.80,-0.46
192304,1.70,-0.34
192305,1.88,-1.23
192306,4.51,0.42
192307,3.10,-0.51
192308,2.35,-1.12
192309,2.33,-0.57
192310,0.82,-1.11
192311,0.47,-0.83
192312,0.60,-0.21
192401,0.43,-0.36
192402,0.52,-0.17
192403,1.09,-0.17
192404,2.50,0.46
192405,1.86,-1.25
192406,4.09,0.00
192407,2.93,-0.68
192408,4.70,1.23
192409,3.66,0.76
192410,1.47,-0.46
192411,0.46,-0.84
192412,0.83,0.02
192501,0.51,-0.28
192502,0.65,-0.04
192503,0.60,-0.66
192504,2.08,0.04
192505,1.51,-1.60
