Mississippi, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,6.41,1.15
189502,2.16,-2.87
189503,6.62,0.67
189504,3.20,-2.14
189505,3.22,-1.51
189506,6.09,1.92
189507,5.31,0.32
189508,4.53,0.62
189509,1.50,-1.92
189510,2.05,-0.89
189511,2.98,-1.28
189512,5.33,-0.23
189601,4.24,-1.02
189602,7.96,2.93
189603,6.24,0.29
189604,3.80,-1.54
189605,2.00,-2.73
189606,5.20,1.03
189607,2.36,-2.63
189608,3.44,-0.47
189609,1.71,-1.71
189610,3.44,0.50
189611,4.59,0.33
189612,1.30,-4.26
189701,5.69,0.43
189702,4.15,-0.88
189703,8.87,2.92
189704,3.43,-1.91
189705,1.80,-2.93
189706,1.92,-2.25
189707,3.79,-1.20
189708,5.69,1.78
189709,0.52,-2.90
189710,1.77,-1.17
189711,2.43,-1.83
189712,7.89,2.33
189801,7.32,2.06
189802,2.92,-2.11
189803,3.88,-2.07
189804,3.30,-2.04
189805,2.24,-2.49
189806,4.56,0.39
189807,5.76,0.77
189808,5.74,1.83
189809,6.18,2.76
189810,3.41,0.47
189811,5.44,1.18
189812,3.14,-2.42
189901,7.47,2.21
189902,4.41,-0.62
189903,5.47,-0.48
189904,1.71,-3.63
189905,1.97,-2.76
189906,3.63,-0.54
189907,4.66,-0.33
189908,3.60,-0.31
189909,0.86,-2.56
189910,1.14,-1.80
189911,2.61,-1.65
189912,6.25,0.69
190001,3.18,-2.08
190002,6.80,1.77
190003,4.77,-1.18
190004,11.39,6.05
190005,3.83,-0.90
190006,12.05,7.88
190007,5.57,0.58
190008,2.45,-1.46
190009,2.79,-0.63
190010,5.56,2.62
190011,2.82,-1.44
190012,4.43,-1.13
190101,4.95,-0.31
190102,4.40,-0.63
190103,3.67,-2.28
190104,4.76,-0.58
190105,3.53,-1.20
190106,2.33,-1.84
190107,4.15,-0.84
190108,7.64,3.73
190109,3.68,0.26
190110,1.72,-1.22
190111,2.43,-1.83
190112,6.98,1.42
190201,3.87,-1.39
190202,3.67,-1.36
190203,9.59,3.64
190204,3.14,-2.20
190205,2.77,-1.96
190206,1.80,-2.37
190207,3.87,-1.12
190208,3.97,0.06
190209,4.94,1.52
190210,1.84,-1.10
190211,4.46,0.20
190212,5.87,0.31
190301,5.05,-0.21
190302,10.61,5.58
190303,6.64,0.69
190304,1.31,-4.03
190305,4.29,-0.44
190306,3.19,-0.98
190307,4.64,-0.35
190308,4.28,0.37
190309,0.54,-2.88
190310,1.26,-1.68
190311,1.31,-2.95
190312,3.85,-1.71
190401,3.25,-2.01
190402,2.64,-2.39
190403,5.07,-0.88
190404,2.67,-2.67
190405,2.84,-1.89
190406,4.30,0.13
190407,6.37,1.38
190408,3.94,0.03
190409,1.68,-1.74
190410,0.29,-2.65
190411,2.85,-1.41
190412,5.65,0.09
190501,6.09,0.83
190502,7.55,2.52
190503,5.32,-0.63
190504,7.32,1.98
190505,5.07,0.34
190506,4.83,0.66
190507,4.38,-0.61
190508,5.32,1.41
190509,2.94,-0.48
190510,4.39,1.45
190511,2.94,-1.32
190512,5.57,0.01
190601,4.01,-1.25
190602,1.97,-3.06
190603,8.16,2.21
190604,1.66,-3.68
190605,4.96,0.23
190606,3.24,-0.93
190607,6.36,1.37
190608,2.93,-0.98
190609,9.05,5.63
190610,3.91,0.97
190611,4.17,-0.09
190612,4.54,-1.02
190701,2.42,-2.84
190702,4.66,-0.37
190703,3.56,-2.39
190704,6.06,0.72
190705,11.44,6.71
190706,2.39,-1.78
190707,4.68,-0.31
190708,3.22,-0.69
190709,3.60,0.18
190710,2.07,-0.87
190711,5.41,1.15
190712,4.84,-0.72
190801,4.61,-0.65
190802,8.40,3.37
190803,4.54,-1.41
190804,5.24,-0.10
190805,6.57,1.84
190806,4.77,0.60
190807,5.43,0.44
190808,5.69,1.78
190809,2.91,-0.51
190810,0.44,-2.50
190811,1.85,-2.41
190812,4.66,-0.90
190901,2.15,-3.11
190902,6.97,1.94
190903,5.96,0.01
190904,6.83,1.49
190905,9.76,5.03
190906,6.77,2.60
190907,3.92,-1.07
190908,3.05,-0.86
190909,4.15,0.73
190910,1.31,-1.63
190911,1.61,-2.65
190912,5.54,-0.02
191001,4.00,-1.26
191002,4.98,-0.05
191003,0.79,-5.16
191004,3.67,-1.67
191005,4.84,0.11
191006,6.55,2.38
191007,6.95,1.96
191008,3.17,-0.74
191009,1.81,-1.61
191010,3.54,0.60
191011,2.22,-2.04
191012,3.82,-1.74
191101,4.21,-1.05
191102,3.47,-1.56
191103,2.32,-3.63
191104,9.09,3.75
191105,2.08,-2.65
191106,4.69,0.52
191107,6.36,1.37
191108,6.75,2.84
191109,2.08,-1.34
191110,2.08,-0.86
191111,4.41,0.15
191112,11.97,6.41
191201,4.49,-0.77
191202,3.61,-1.42
191203,10.79,4.84
191204,10.31,4.97
191205,4.32,-0.41
