Montana, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,2.43,1.08
189502,1.25,0.19
189503,1.01,-0.27
189504,1.22,-0.30
189505,1.37,-1.04
189506,3.13,0.28
189507,1.38,-0.20
189508,0.60,-0.72
189509,1.20,-0.26
189510,0.63,-0.62
189511,1.59,0.30
189512,1.66,0.37
189601,2.05,0.70
189602,1.03,-0.03
189603,1.55,0.27
189604,1.71,0.19
189605,3.85,1.44
189606,1.99,-0.86
189607,1.38,-0.20
189608,1.09,-0.23
189609,2.30,0.84
189610,0.67,-0.58
189611,3.74,2.45
189612,0.69,-0.60
189701,1.32,-0.03
189702,1.76,0.70
189703,1.79,0.51
189704,1.22,-0.30
189705,1.20,-1.21
189706,4.15,1.30
189707,1.64,0.06
189708,0.39,-0.93
189709,1.12,-0.34
189710,1.53,0.28
189711,3.88,2.59
189712,1.47,0.18
189801,0.93,-0.42
189802,0.98,-0.08
189803,2.94,1.66
189804,1.37,-0.15
189805,3.60,1.19
189806,3.24,0.39
189807,1.35,-0.23
189808,0.69,-0.63
189809,1.06,-0.40
189810,1.77,0.52
189811,1.40,0.11
189812,0.66,-0.63
189901,2.11,0.76
189902,1.69,0.63
189903,1.55,0.27
189904,1.36,-0.16
189905,3.20,0.79
189906,2.34,-0.51
189907,1.61,0.03
189908,1.64,0.32
189909,0.86,-0.60
189910,1.86,0.61
189911,0.91,-0.38
189912,1.79,0.50
190001,0.60,-0.75
190002,1.22,0.16
190003,1.43,0.15
190004,2.64,1.12
190005,2.22,-0.19
190006,1.08,-1.77
190007,0.81,-0.77
190008,2.04,0.72
190009,1.88,0.42
190010,1.34,0.09
190011,1.52,0.23
190012,0.81,-0.48
190101,1.33,-0.02
190102,1.08,0.02
190103,1.16,-0.12
190104,1.20,-0.32
190105,3.20,0.79
190106,3.46,0.61
190107,1.18,-0.40
190108,0.62,-0.70
190109,2.18,0.72
190110,0.49,-0.76
190111,0.74,-0.55
190112,2.23,0.94
190201,0.71,-0.64
190202,1.53,0.47
190203,1.75,0.47
190204,1.37,-0.15
190205,3.74,1.33
190206,2.61,-0.24
190207,1.79,0.21
