Nebraska, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.37,-0.12
189502,0.80,0.14
189503,0.67,-0.61
189504,2.35,0.07
189505,2.56,-0.92
189506,5.02,1.34
189507,1.76,-1.30
189508,2.81,0.13
189509,1.39,-0.76
189510,0.19,-1.24
189511,0.86,0.01
189512,0.17,-0.43
189601,0.41,-0.08
189602,0.19,-0.47
189603,1.46,0.18
189604,4.88,2.60
189605,3.72,0.24
189606,3.96,0.28
189607,3.87,0.81
189608,1.81,-0.87
189609,2.19,0.04
189610,1.71,0.28
189611,1.11,0.26
189612,0.18,-0.42
189701,0.72,0.23
189702,0.56,-0.10
189703,1.68,0.40
189704,3.82,1.54
189705,1.64,-1.84
189706,3.47,-0.21
189707,2.51,-0.55
189708,2.64,-0.04
189709,1.11,-1.04
189710,2.92,1.49
189711,0.49,-0.36
189712,1.18,0.58
189801,0.61,0.12
189802,0.41,-0.25
189803,0.54,-0.74
189804,1.91,-0.37
189805,5.18,1.70
189806,3.12,-0.56
189807,2.39,-0.67
189808,2.03,-0.65
189809,2.15,0.00
189810,0.79,-0.64
189811,0.59,-0.26
189812,0.30,-0.30
189901,0.36,-0.13
189902,0.68,0.02
189903,0.99,-0.29
189904,1.00,-1.28
189905,3.68,0.20
189906,3.81,0.13
189907,2.96,-0.10
189908,2.81,0.13
189909,0.42,-1.73
189910,0.94,-0.49
189911,0.84,-0.01
189912,0.74,0.14
190001,0.07,-0.42
190002,1.07,0.41
190003,0.59,-0.69
190004,4.49,2.21
190005,2.11,-1.37
190006,2.11,-1.57
190007,4.31,1.25
190008,3.27,0.59
190009,2.30,0.15
190010,1.73,0.30
190011,0.14,-0.71
190012,0.27,-0.33
190101,0.16,-0.33
190102,0.86,0.20
190103,1.83,0.55
190104,2.40,0.12
190105,1.82,-1.66
190106,4.80,1.12
190107,1.53,-1.53
190108,2.25,-0.43
190109,4.13,1.98
190110,1.61,0.18
190111,0.44,-0.41
190112,0.63,0.03
