Nevada, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,2.11,0.95
189502,1.36,0.26
189503,0.83,-0.24
189504,0.61,-0.31
189505,1.38,0.40
189506,0.11,-0.58
189507,0.12,-0.42
189508,0.30,-0.30
189509,0.29,-0.28
189510,0.38,-0.40
189511,0.87,-0.01
189512,0.84,-0.17
189601,1.66,0.50
189602,0.25,-0.85
189603,1.30,0.23
189604,1.17,0.25
189605,1.84,0.86
189606,0.15,-0.54
189607,1.12,0.58
189608,1.12,0.52
189609,0.37,-0.20
189610,0.38,-0.40
189611,1.13,0.25
189612,0.43,-0.58
189701,1.23,0.07
189702,2.54,1.44
189703,1.39,0.32
189704,0.46,-0.46
189705,0.55,-0.43
189706,0.47,-0.22
189707,0.49,-0.05
189708,0.39,-0.21
189709,0.27,-0.30
189710,2.00,1.22
189711,0.86,-0.02
189712,1.13,0.12
189801,0.94,-0.22
189802,0.45,-0.65
189803,0.93,-0.14
189804,0.77,-0.15
189805,2.04,1.06
189806,0.26,-0.43
189807,0.22,-0.32
189808,0.70,0.10
189809,0.35,-0.22
189810,0.29,-0.49
189811,1.32,0.44
189812,0.67,-0.34
189901,1.57,0.41
189902,0.55,-0.55
189903,2.33,1.26
189904,0.43,-0.49
189905,0.88,-0.10
189906,0.76,0.07
189907,0.24,-0.30
189908,1.34,0.74
189909,0.04,-0.53
189910,0.98,0.20
189911,0.47,-0.41
189912,1.13,0.12
190001,0.46,-0.70
190002,0.63,-0.47
190003,0.56,-0.51
190004,2.28,1.36
190005,0.79,-0.19
190006,0.34,-0.35
190007,0.51,-0.03
190008,0.12,-0.48
190009,0.43,-0.14
190010,1.05,0.27
190011,1.39,0.51
190012,0.18,-0.83
190101,1.38,0.22
190102,2.73,1.63
190103,0.48,-0.59
190104,0.87,-0.05
190105,0.76,-0.22
190106,0.16,-0.53
190107,0.24,-0.30
190108,1.49,0.89
190109,0.30,-0.27
190110,1.24,0.46
190111,0.57,-0.31
190112,1.00,-0.01
190201,0.49,-0.67
190202,1.63,0.53
190203,1.58,0.51
190204,0.66,-0.26
190205,0.44,-0.54
190206,0.06,-0.63
190207,0.73,0.19
190208,0.36,-0.24
190209,0.35,-0.22
190210,0.24,-0.54
190211,1.25,0.37
190212,0.67,-0.34
190301,1.59,0.43
190302,0.67,-0.43
190303,1.35,0.28
190304,0.58,-0.34
190305,0.80,-0.18
190306,0.55,-0.14
190307,0.23,-0.31
190308,0.20,-0.40
190309,0.34,-0.23
190310,0.49,-0.29
190311,1.14,0.26
190312,0.19,-0.82
190401,0.89,-0.27
190402,2.06,0.96
190403,1.82,0.75
190404,0.66,-0.26
190405,1.05,0.07
190406,0.11,-0.58
190407,0.69,0.15
190408,1.43,0.83
