New Hampshire, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,2.75,-0.55
189502,1.13,-1.80
189503,1.80,-1.74
189504,5.22,1.67
189505,2.55,-1.06
189506,3.61,-0.32
189507,3.85,-0.17
189508,3.76,-0.01
189509,2.86,-0.94
189510,3.31,-0.21
189511,6.59,2.62
189512,4.13,0.57
189601,1.10,-2.20
189602,4.96,2.03
189603,6.69,3.15
189604,1.35,-2.20
189605,2.23,-1.38
189606,2.44,-1.49
189607,3.70,-0.32
189608,3.36,-0.41
189609,6.12,2.32
189610,4.06,0.54
189611,3.83,-0.14
189612,1.28,-2.28
189701,3.81,0.51
189702,2.56,-0.37
189703,3.91,0.37
189704,2.81,-0.74
189705,5.18,1.57
189706,5.65,1.72
189707,8.40,4.38
189708,3.49,-0.28
189709,2.00,-1.80
189710,1.40,-2.12
189711,6.79,2.82
189712,4.93,1.37
189801,5.13,1.83
189802,4.61,1.68
189803,1.41,-2.13
189804,3.88,0.33
189805,3.30,-0.31
189806,3.92,-0.01
189807,2.46,-1.56
189808,5.34,1.57
189809,3.98,0.18
189810,5.46,1.94
189811,4.74,0.77
189812,2.41,-1.15
189901,2.81,-0.49
189902,3.09,0.16
189903,6.48,2.94
189904,1.51,-2.04
189905,1.47,-2.14
189906,2.88,-1.05
189907,4.79,0.77
189908,2.19,-1.58
189909,4.21,0.41
189910,1.92,-1.60
189911,2.22,-1.75
189912,2.14,-1.42
190001,4.91,1.61
190002,7.61,4.68
190003,5.59,2.05
190004,1.63,-1.92
190005,3.32,-0.29
190006,2.86,-1.07
190007,3.41,-0.61
190008,3.51,-0.26
190009,3.06,-0.74
190010,3.58,0.06
190011,6.41,2.44
190012,2.27,-1.29
190101,2.19,-1.11
190102,0.79,-2.14
190103,4.83,1.29
190104,5.67,2.12
190105,5.49,1.88
190106,2.32,-1.61
190107,4.74,0.72
190108,4.35,0.58
190109,3.13,-0.67
190110,3.24,-0.28
190111,2.14,-1.83
190112,7.03,3.47
190201,2.75,-0.55
190202,2.69,-0.24
190203,5.95,2.41
190204,4.57,1.02
190205,3.52,-0.09
190206,4.64,0.71
190207,4.56,0.54
190208,4.73,0.96
190209,4.72,0.92
190210,5.08,1.56
190211,1.27,-2.70
190212,5.50,1.94
190301,3.55,0.25
190302,4.04,1.11
190303,5.75,2.21
190304,1.99,-1.56
190305,0.60,-3.01
190306,7.19,3.26
190307,4.40,0.38
190308,3.39,-0.38
190309,1.72,-2.08
190310,3.37,-0.15
190311,1.65,-2.32
190312,2.81,-0.75
190401,3.21,-0.09
190402,1.99,-0.94
190403,2.51,-1.03
190404,6.05,2.50
190405,3.99,0.38
190406,2.88,-1.05
190407,2.80,-1.22
190408,4.43,0.66
190409,5.44,1.64
190410,2.36,-1.16
190411,1.49,-2.48
190412,1.96,-1.60
190501,3.64,0.34
190502,1.53,-1.40
190503,2.86,-0.68
190504,1.91,-1.64
190505,2.13,-1.48
190506,5.09,1.16
190507,4.59,0.57
190508,4.31,0.54
190509,6.46,2.66
190510,1.49,-2.03
190511,2.45,-1.52
190512,3.98,0.42
190601,2.26,-1.04
190602,2.62,-0.31
190603,3.67,0.13
190604,2.16,-1.39
190605,5.85,2.24
190606,5.92,1.99
190607,4.59,0.57
190608,2.75,-1.02
190609,1.78,-2.02
190610,3.55,0.03
190611,2.66,-1.31
190612,3.61,0.05
190701,2.59,-0.71
190702,1.57,-1.36
190703,2.42,-1.12
190704,3.18,-0.37
190705,2.57,-1.04
190706,3.71,-0.22
190707,4.33,0.31
190708,1.90,-1.87
190709,8.11,4.31
190710,4.84,1.32
190711,4.18,0.21
190712,4.00,0.44
190801,2.41,-0.89
190802,4.43,1.50
190803,2.46,-1.08
190804,2.32,-1.23
190805,4.89,1.28
190806,1.71,-2.22
190807,4.01,-0.01
190808,4.50,0.73
190809,0.89,-2.91
190810,2.19,-1.33
190811,1.40,-2.57
190812,3.33,-0.23
190901,4.62,1.32
190902,4.68,1.75
190903,2.84,-0.70
190904,3.75,0.20
190905,3.15,-0.46
190906,3.29,-0.64
190907,2.58,-1.44
190908,2.81,-0.96
190909,4.49,0.69
190910,1.38,-2.14
190911,2.56,-1.41
190912,2.67,-0.89
191001,3.75,0.45
191002,4.57,1.64
191003,1.43,-2.11
191004,3.36,-0.19
191005,3.15,-0.46
191006,3.33,-0.60
191007,2.28,-1.74
191008,3.83,0.06
191009,3.72,-0.08
191010,1.55,-1.97
191011,2.83,-1.14
191012,2.46,-1.10
191101,2.10,-1.20
191102,2.69,-0.24
191103,3.76,0.22
191104,1.31,-2.24
191105,1.28,-2.33
191106,3.07,-0.86
191107,4.96,0.94
191108,4.49,0.72
191109,3.89,0.09
191110,4.15,0.63
191111,3.33,-0.64
191112,3.06,-0.50
191201,2.73,-0.57
191202,2.22,-0.71
191203,4.82,1.28
191204,3.24,-0.31
191205,5.77,2.16
191206,1.43,-2.50
191207,3.26,-0.76
191208,4.06,0.29
191209,4.19,0.39
191210,3.02,-0.50
191211,3.67,-0.30
191212,3.84,0.28
191301,3.16,-0.14
191302,2.31,-0.62
191303,6.22,2.68
191304,2.36,-1.19
191305,4.12,0.51
191306,1.11,-2.82
191307,3.33,-0.69
191308,3.16,-0.61
191309,2.69,-1.11
191310,5.82,2.30
191311,2.13,-1.84
191312,3.23,-0.33
191401,2.48,-0.82
191402,2.08,-0.85
191403,4.53,0.99
191404,5.40,1.85
191405,1.61,-2.00
191406,2.79,-1.14
191407,3.55,-0.47
191408,4.61,0.84
191409,1.28,-2.52
191410,1.31,-2.21
191411,2.54,-1.43
191412,2.40,-1.16
191501,3.72,0.42
191502,4.24,1.31
191503,0.19,-3.35
191504,2.42,-1.13
191505,1.76,-1.85
191506,2.32,-1.61
191507,10.61,6.59
191508,5.95,2.18
191509,2.01,-1.79
191510,2.54,-0.98
191511,2.82,-1.15
191512,4.17,0.61
191601,1.71,-1.59
191602,3.81,0.88
191603,2.85,-0.69
191604,3.61,0.06
191605,4.19,0.58
191606,6.62,2.69
191607,4.32,0.30
191608,3.46,-0.31
191609,5.17,1.37
191610,1.64,-1.88
191611,3.51,-0.46
191612,2.93,-0.63
191701,3.28,-0.02
191702,1.82,-1.11
191703,3.20,-0.34
191704,2.43,-1.12
191705,3.09,-0.52
191706,7.08,3.15
191707,2.65,-1.37
191708,5.18,1.41
191709,1.22,-2.58
191710,6.00,2.48
191711,0.88,-3.09
191712,3.31,-0.25
191801,2.82,-0.48
191802,2.77,-0.16
191803,2.31,-1.23
191804,2.33,-1.22
191805,2.88,-0.73
191806,3.65,-0.28
191807,3.25,-0.77
191808,3.67,-0.10
191809,7.32,3.52
191810,3.46,-0.06
191811,2.69,-1.28
191812,3.15,-0.41
191901,2.88,-0.42
191902,2.07,-0.86
191903,4.60,1.06
191904,2.58,-0.97
191905,4.92,1.31
191906,2.46,-1.47
191907,2.61,-1.41
191908,3.30,-0.47
191909,4.30,0.50
191910,3.98,0.46
191911,5.32,1.35
191912,1.65,-1.91
192001,2.08,-1.22
192002,4.39,1.46
192003,4.21,0.67
192004,5.99,2.44
192005,2.58,-1.03
192006,3.65,-0.28
192007,4.03,0.01
192008,4.27,0.50
192009,6.48,2.68
192010,1.89,-1.63
192011,4.46,0.49
192012,6.10,2.54
192101,1.53,-1.77
192102,2.32,-0.61
192103,3.34,-0.20
192104,4.32,0.77
192105,1.98,-1.63
192106,3.05,-0.88
192107,4.73,0.71
192108,3.09,-0.68
192109,2.33,-1.47
192110,2.79,-0.73
192111,6.19,2.22
192112,2.57,-0.99
192201,2.15,-1.15
192202,3.21,0.28
192203,4.94,1.40
192204,3.43,-0.12
192205,4.03,0.42
192206,10.46,6.53
192207,3.12,-0.90
192208,4.61,0.84
192209,2.42,-1.38
192210,2.51,-1.01
192211,1.50,-2.47
192212,2.94,-0.62
192301,4.76,1.46
192302,1.69,-1.24
192303,2.76,-0.78
192304,5.25,1.70
192305,1.99,-1.62
192306,2.52,-1.41
192307,3.54,-0.48
192308,2.48,-1.29
192309,2.65,-1.15
192310,4.20,0.68
192311,5.08,1.11
192312,4.18,0.62
192401,3.67,0.37
192402,2.31,-0.62
192403,1.31,-2.23
192404,5.37,1.82
192405,3.23,-0.38
192406,2.46,-1.47
192407,3.17,-0.85
192408,4.10,0.33
192409,6.95,3.15
192410,0.65,-2.87
192411,3.74,-0.23
192412,2.03,-1.53
192501,2.92,-0.38
192502,3.23,0.30
192503,4.81,1.27
192504,2.20,-1.35
192505,2.29,-1.32
192506,5.02,1.09
192507,5.42,1.40
192508,1.98,-1.79
192509,4.57,0.77
192510,4.79,1.27
192511,3.99,0.02
192512,2.39,-1.17
192601,2.68,-0.62
192602,3.49,0.56
192603,2.44,-1.10
192604,3.09,-0.46
192605,1.49,-2.12
192606,3.10,-0.83
192607,3.96,-0.06
192608,2.92,-0.85
192609,2.87,-0.93
192610,5.16,1.64
192611,4.92,0.95
192612,2.65,-0.91
192701,2.67,-0.63
