New Mexico, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.75,0.14
189502,0.87,0.23
189503,0.18,-0.55
189504,0.15,-0.61
189505,2.68,1.63
189506,1.21,0.04
189507,3.99,1.65
189508,3.09,0.62
189509,0.76,-0.93
189510,1.20,0.05
189511,1.24,0.58
189512,0.41,-0.32
189601,0.32,-0.29
189602,0.32,-0.32
189603,0.27,-0.46
189604,0.34,-0.42
189605,0.11,-0.94
189606,1.10,-0.07
189607,2.53,0.19
189608,1.22,-1.25
189609,2.20,0.51
189610,3.96,2.81
189611,0.19,-0.47
189612,0.57,-0.16
189701,1.04,0.43
189702,0.47,-0.17
189703,0.96,0.23
189704,0.79,0.03
189705,2.98,1.93
189706,1.31,0.14
189707,2.39,0.05
189708,2.20,-0.27
189709,2.87,1.18
189710,1.71,0.56
189711,0.18,-0.48
189712,0.54,-0.19
189801,0.76,0.15
189802,0.32,-0.32
189803,0.54,-0.19
189804,1.06,0.30
189805,0.86,-0.19
189806,2.55,1.38
189807,3.31,0.97
189808,2.64,0.17
189809,0.70,-0.99
189810,0.23,-0.92
189811,0.63,-0.03
189812,1.18,0.45
189901,0.24,-0.37
189902,0.40,-0.24
189903,0.40,-0.33
189904,0.32,-0.44
189905,0.21,-0.84
189906,1.21,0.04
189907,4.05,1.71
189908,1.17,-1.30
189909,1.85,0.16
189910,0.50,-0.65
189911,1.06,0.40
189912,0.61,-0.12
190001,0.58,-0.03
190002,0.42,-0.22
190003,0.65,-0.08
190004,1.50,0.74
190005,1.68,0.63
190006,1.15,-0.02
190007,1.88,-0.46
190008,1.61,-0.86
190009,3.56,1.87
190010,1.07,-0.08
190011,0.47,-0.19
190012,0.25,-0.48
190101,0.49,-0.12
190102,1.02,0.38
190103,0.34,-0.39
190104,0.90,0.14
190105,1.69,0.64
190106,0.35,-0.82
190107,2.48,0.14
190108,1.68,-0.79
190109,1.22,-0.47
190110,1.43,0.28
190111,1.43,0.77
190112,0.27,-0.46
190201,0.49,-0.12
190202,0.23,-0.41
190203,0.48,-0.25
190204,0.10,-0.66
190205,1.37,0.32
190206,0.71,-0.46
190207,2.12,-0.22
190208,2.89,0.42
190209,1.41,-0.28
190210,0.64,-0.51
190211,0.86,0.20
190212,0.97,0.24
190301,0.28,-0.33
190302,1.23,0.59
190303,0.68,-0.05
190304,0.58,-0.18
190305,0.59,-0.46
190306,3.39,2.22
190307,0.64,-1.70
190308,1.88,-0.59
190309,1.43,-0.26
190310,0.20,-0.95
190311,0.01,-0.65
190312,0.07,-0.66
190401,0.20,-0.41
190402,0.23,-0.41
190403,0.32,-0.41
190404,0.18,-0.58
190405,0.82,-0.23
190406,1.75,0.58
190407,1.70,-0.64
190408,2.30,-0.17
190409,3.83,2.14
190410,1.84,0.69
190411,0.18,-0.48
190412,0.91,0.18
190501,1.19,0.58
190502,2.12,1.48
190503,2.21,1.48
190504,2.78,2.02
190505,0.60,-0.45
190506,1.51,0.34
190507,2.66,0.32
190508,1.35,-1.12
190509,1.96,0.27
190510,0.39,-0.76
190511,2.87,2.21
190512,1.09,0.36
190601,0.44,-0.17
190602,0.82,0.18
190603,0.88,0.15
190604,1.71,0.95
190605,0.49,-0.56
190606,0.39,-0.78
190607,3.50,1.16
190608,2.43,-0.04
190609,1.72,0.03
190610,0.91,-0.24
190611,1.43,0.77
190612,1.93,1.20
190701,1.25,0.64
190702,0.32,-0.32
190703,0.17,-0.56
190704,1.41,0.65
190705,1.36,0.31
190706,1.29,0.12
190707,2.16,-0.18
190708,3.85,1.38
190709,0.97,-0.72
190710,2.20,1.05
190711,0.92,0.26
190712,0.29,-0.44
190801,0.50,-0.11
190802,1.01,0.37
190803,0.34,-0.39
190804,1.48,0.72
190805,0.69,-0.36
190806,0.40,-0.77
190807,3.05,0.71
190808,3.04,0.57
190809,0.62,-1.07
190810,0.34,-0.81
190811,0.88,0.22
190812,0.36,-0.37
190901,0.26,-0.35
190902,0.48,-0.16
190903,1.23,0.50
190904,0.27,-0.49
190905,0.48,-0.57
190906,0.80,-0.37
190907,2.21,-0.13
190908,2.68,0.21
190909,1.60,-0.09
190910,0.62,-0.53
190911,0.55,-0.11
190912,0.75,0.02
191001,0.34,-0.27
191002,0.33,-0.31
191003,0.23,-0.50
191004,0.69,-0.07
191005,0.29,-0.76
191006,0.84,-0.33
191007,1.50,-0.84
191008,2.46,-0.01
191009,0.75,-0.94
191010,0.69,-0.46
191011,0.65,-0.01
191012,0.23,-0.50
191101,0.66,0.05
191102,1.90,1.26
191103,0.86,0.13
191104,1.10,0.34
191105,1.10,0.05
191106,1.23,0.06
191107,4.33,1.99
191108,1.65,-0.82
191109,1.96,0.27
191110,1.89,0.74
191111,0.38,-0.28
191112,0.75,0.02
191201,0.05,-0.56
191202,0.87,0.23
191203,1.07,0.34
191204,0.76,0.00
191205,0.65,-0.40
191206,1.92,0.75
191207,2.23,-0.11
191208,2.69,0.22
191209,1.27,-0.42
191210,0.91,-0.24
191211,0.16,-0.50
191212,0.62,-0.11
191301,0.56,-0.05
191302,1.07,0.43
191303,0.55,-0.18
191304,1.18,0.42
191305,0.24,-0.81
191306,2.47,1.30
191307,1.12,-1.22
191308,1.71,-0.76
191309,2.16,0.47
191310,0.70,-0.45
191311,1.49,0.83
191312,1.42,0.69
191401,0.27,-0.34
191402,0.32,-0.32
191403,0.37,-0.36
191404,1.21,0.45
191405,2.46,1.41
191406,1.73,0.56
191407,4.50,2.16
191408,2.38,-0.09
191409,0.75,-0.94
191410,2.36,1.21
191411,0.35,-0.31
191412,1.97,1.24
191501,0.87,0.26
191502,1.04,0.40
191503,1.24,0.51
191504,2.82,2.06
191505,0.83,-0.22
191506,0.53,-0.64
191507,3.47,1.13
