Arkansas, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,5.04,1.01
189502,0.75,-2.99
189503,5.17,0.42
189504,1.97,-3.07
189505,4.21,-0.93
189506,5.42,1.31
189507,7.45,3.74
189508,2.64,-0.73
189509,2.15,-1.45
189510,1.47,-2.00
189511,4.61,0.32
189512,4.50,0.15
189601,3.96,-0.07
189602,3.28,-0.46
189603,5.16,0.41
189604,3.82,-1.22
189605,3.72,-1.42
189606,2.26,-1.85
189607,1.32,-2.39
189608,2.59,-0.78
189609,3.41,-0.19
189610,3.62,0.15
189611,4.47,0.18
189612,0.91,-3.44
189701,6.59,2.56
189702,2.64,-1.10
189703,9.00,4.25
189704,4.34,-0.70
189705,2.07,-3.07
189706,3.34,-0.77
189707,3.38,-0.33
189708,2.63,-0.74
189709,0.64,-2.96
189710,1.76,-1.71
189711,2.87,-1.42
189712,5.66,1.31
189801,8.09,4.06
189802,2.07,-1.67
189803,6.01,1.26
189804,3.08,-1.96
189805,6.33,1.19
189806,4.70,0.59
189807,4.19,0.48
189808,4.10,0.73
189809,6.78,3.18
189810,5.43,1.96
189811,3.29,-1.00
189812,1.94,-2.41
189901,6.05,2.02
189902,2.13,-1.61
189903,2.91,-1.84
189904,3.18,-1.86
189905,6.54,1.40
189906,2.48,-1.63
189907,5.06,1.35
189908,2.17,-1.20
189909,1.31,-2.29
189910,2.89,-0.58
189911,2.70,-1.59
189912,4.04,-0.31
190001,2.66,-1.37
190002,4.86,1.12
190003,2.57,-2.18
190004,4.95,-0.09
190005,3.46,-1.68
190006,6.50,2.39
190007,4.06,0.35
190008,3.16,-0.21
190009,4.13,0.53
190010,4.18,0.71
190011,4.34,0.05
190012,2.63,-1.72
190101,2.22,-1.81
190102,2.66,-1.08
190103,4.47,-0.28
190104,3.69,-1.35
190105,2.89,-2.25
190106,1.37,-2.74
190107,2.49,-1.22
190108,3.05,-0.32
190109,3.09,-0.51
190110,2.23,-1.24
190111,2.91,-1.38
190112,4.54,0.19
190201,4.41,0.38
190202,2.60,-1.14
190203,5.74,0.99
190204,2.97,-2.07
190205,4.06,-1.08
190206,5.42,1.31
190207,4.88,1.17
190208,2.56,-0.81
190209,5.31,1.71
190210,2.54,-0.93
190211,6.59,2.30
190212,5.83,1.48
190301,2.65,-1.38
190302,7.78,4.04
190303,5.47,0.72
190304,1.79,-3.25
190305,7.17,2.03
190306,2.49,-1.62
190307,4.09,0.38
190308,4.64,1.27
190309,2.65,-0.95
190310,2.32,-1.15
190311,0.65,-3.64
190312,3.27,-1.08
