New York, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,3.15,0.26
189502,1.76,-0.78
189503,1.71,-1.36
189504,2.82,-0.49
189505,2.73,-0.83
189506,2.82,-0.94
189507,3.03,-0.78
189508,4.35,0.65
189509,2.53,-1.16
189510,1.94,-1.45
189511,4.23,0.78
189512,3.86,0.75
189601,1.88,-1.01
189602,5.01,2.47
189603,5.05,1.98
189604,1.23,-2.08
189605,2.54,-1.02
189606,3.39,-0.37
189607,4.51,0.70
189608,2.76,-0.94
189609,4.94,1.25
189610,2.60,-0.79
189611,3.45,0.00
189612,1.43,-1.68
189701,2.53,-0.36
189702,1.82,-0.72
189703,3.42,0.35
189704,3.11,-0.20
189705,4.16,0.60
189706,3.81,0.05
189707,7.12,3.31
189708,3.14,-0.56
189709,2.22,-1.47
189710,1.09,-2.30
189711,5.15,1.70
189712,4.06,0.95
189801,4.36,1.47
189802,2.98,0.44
189803,2.32,-0.75
189804,2.99,-0.32
189805,4.33,0.77
189806,3.62,-0.14
189807,3.17,-0.64
189808,6.45,2.75
189809,3.22,-0.47
189810,5.01,1.62
189811,3.79,0.34
189812,2.78,-0.33
189901,2.44,-0.45
189902,2.58,0.04
189903,4.57,1.50
189904,1.56,-1.75
189905,2.96,-0.60
189906,2.48,-1.28
189907,3.89,0.08
189908,1.99,-1.71
189909,4.05,0.36
189910,2.40,-0.99
189911,2.35,-1.10
189912,3.61,0.50
190001,3.39,0.50
190002,3.94,1.40
190003,4.37,1.30
190004,1.48,-1.83
190005,2.37,-1.19
190006,2.92,-0.84
190007,4.18,0.37
190008,3.58,-0.12
190009,2.47,-1.22
190010,3.11,-0.28
190011,5.96,2.51
190012,2.51,-0.60
190101,2.15,-0.74
190102,1.26,-1.28
190103,3.39,0.32
190104,5.11,1.80
190105,5.16,1.60
190106,3.59,-0.17
190107,4.16,0.35
190108,5.03,1.33
190109,3.64,-0.05
190110,2.05,-1.34
190111,2.86,-0.59
190112,5.37,2.26
190201,2.10,-0.79
190202,3.04,0.50
190203,3.60,0.53
190204,3.15,-0.16
190205,3.03,-0.53
190206,5.32,1.56
190207,6.60,2.79
190208,2.95,-0.75
190209,3.88,0.19
190210,4.09,0.70
190211,1.54,-1.91
190212,4.07,0.96
190301,3.09,0.20
190302,3.17,0.63
190303,4.72,1.65
190304,2.42,-0.89
190305,0.65,-2.91
190306,7.11,3.35
190307,4.52,0.71
190308,5.85,2.15
190309,1.57,-2.12
190310,5.95,2.56
190311,2.16,-1.29
190312,2.71,-0.40
190401,3.45,0.56
190402,2.33,-0.21
190403,3.16,0.09
190404,3.07,-0.24
190405,3.43,-0.13
190406,3.38,-0.38
190407,4.56,0.75
190408,3.89,0.19
190409,4.62,0.93
190410,3.36,-0.03
190411,0.93,-2.52
190412,2.47,-0.64
190501,3.19,0.30
190502,1.40,-1.14
190503,2.36,-0.71
190504,2.48,-0.83
190505,2.34,-1.22
190506,6.21,2.45
190507,5.25,1.44
190508,4.23,0.53
190509,4.20,0.51
190510,3.39,0.00
190511,2.28,-1.17
190512,3.40,0.29
190601,1.87,-1.02
190602,1.63,-0.91
190603,3.43,0.36
190604,2.32,-0.99
190605,4.16,0.60
190606,4.56,0.80
190607,3.86,0.05
190608,3.40,-0.30
190609,3.01,-0.68
190610,4.36,0.97
190611,2.43,-1.02
190612,3.10,-0.01
190701,3.02,0.13
190702,1.41,-1.13
190703,1.91,-1.16
190704,3.15,-0.16
190705,3.28,-0.28
190706,3.24,-0.52
190707,3.13,-0.68
190708,1.45,-2.25
190709,6.21,2.52
190710,4.39,1.00
190711,3.68,0.23
190712,4.15,1.04
190801,2.54,-0.35
190802,3.91,1.37
190803,2.57,-0.50
