North Carolina, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,6.51,2.61
189502,2.33,-1.51
189503,5.69,1.40
189504,6.74,3.19
189505,4.45,0.47
189506,3.37,-1.21
189507,5.76,0.10
189508,5.73,0.47
189509,1.37,-2.90
189510,1.89,-1.37
189511,2.95,-0.08
189512,2.98,-0.70
189601,2.72,-1.18
189602,5.31,1.47
189603,2.82,-1.47
189604,2.28,-1.27
189605,4.62,0.64
189606,4.92,0.34
189607,8.10,2.44
189608,2.53,-2.73
189609,5.43,1.16
189610,1.74,-1.52
189611,4.70,1.67
189612,2.60,-1.08
189701,2.24,-1.66
189702,5.84,2.00
189703,5.46,1.17
189704,3.43,-0.12
189705,3.94,-0.04
189706,3.98,-0.60
189707,6.00,0.34
189708,3.31,-1.95
189709,1.44,-2.83
189710,3.45,0.19
189711,2.76,-0.27
189712,3.39,-0.29
189801,2.68,-1.22
189802,0.93,-2.91
189803,4.13,-0.16
189804,3.59,0.04
189805,4.19,0.21
189806,3.98,-0.60
189807,7.18,1.52
189808,7.29,2.03
189809,4.51,0.24
189810,5.22,1.96
189811,3.48,0.45
189812,2.68,-1.00
189901,3.80,-0.10
189902,7.78,3.94
189903,7.12,2.83
189904,4.00,0.45
189905,3.59,-0.39
189906,4.32,-0.26
189907,6.30,0.64
189908,4.51,-0.75
189909,3.05,-1.22
189910,4.43,1.17
189911,1.54,-1.49
189912,2.81,-0.87
190001,3.54,-0.36
190002,5.60,1.76
190003,4.48,0.19
190004,4.78,1.23
190005,2.72,-1.26
190006,5.77,1.19
190007,3.96,-1.70
190008,3.56,-1.70
190009,2.38,-1.89
190010,3.01,-0.25
190011,4.17,1.14
190012,4.48,0.80
190101,3.10,-0.80
190102,2.05,-1.79
190103,4.77,0.48
190104,5.89,2.34
190105,8.16,4.18
190106,5.11,0.53
190107,6.39,0.73
190108,11.72,6.46
190109,6.03,1.76
190110,1.62,-1.64
190111,1.38,-1.65
190112,6.39,2.71
190201,2.66,-1.24
190202,6.11,2.27
190203,3.75,-0.54
190204,2.35,-1.20
190205,2.55,-1.43
190206,4.44,-0.14
190207,2.84,-2.82
190208,4.29,-0.97
190209,4.52,0.25
190210,3.91,0.65
190211,3.99,0.96
190212,3.63,-0.05
190301,3.66,-0.24
190302,6.68,2.84
190303,7.28,2.99
190304,4.72,1.17
190305,2.23,-1.75
190306,5.95,1.37
190307,4.02,-1.64
190308,5.71,0.45
190309,2.26,-2.01
190310,3.51,0.25
190311,1.78,-1.25
190312,2.15,-1.53
190401,2.92,-0.98
190402,3.97,0.13
190403,4.25,-0.04
190404,1.45,-2.10
190405,3.27,-0.71
190406,4.35,-0.23
190407,5.96,0.30
190408,6.59,1.33
190409,3.74,-0.53
190410,1.62,-1.64
190411,3.46,0.43
190412,3.50,-0.18
190501,2.99,-0.91
190502,5.64,1.80
190503,2.50,-1.79
190504,4.44,0.89
190505,6.71,2.73
190506,3.26,-1.32
190507,8.18,2.52
190508,6.36,1.10
190509,2.76,-1.51
190510,2.58,-0.68
190511,0.85,-2.18
190512,6.86,3.18
190601,5.55,1.65
190602,3.48,-0.36
190603,5.61,1.32
190604,1.62,-1.93
190605,3.04,-0.94
190606,6.90,2.32
190607,9.34,3.68
190608,9.30,4.04
190609,3.70,-0.57
190610,4.26,1.00
190611,1.64,-1.39
190612,3.57,-0.11
190701,0.82,-3.08
190702,3.60,-0.24
190703,2.87,-1.42
190704,4.28,0.73
190705,4.60,0.62
190706,7.23,2.65
190707,5.07,-0.59
190708,4.41,-0.85
190709,4.93,0.66
190710,0.99,-2.27
190711,4.83,1.80
190712,5.16,1.48
190801,4.52,0.62
190802,4.90,1.06
190803,5.08,0.79
190804,3.09,-0.46
190805,4.19,0.21
190806,4.90,0.32
190807,8.97,3.31
190808,10.12,4.86
190809,2.76,-1.51
190810,5.50,2.24
190811,1.77,-1.26
190812,4.28,0.60
190901,2.01,-1.89
190902,4.19,0.35
190903,3.27,-1.02
190904,4.11,0.56
190905,5.57,1.59
190906,8.18,3.60
190907,5.75,0.09
190908,6.33,1.07
190909,2.97,-1.30
190910,1.97,-1.29
190911,0.77,-2.26
190912,2.70,-0.98
191001,3.33,-0.57
191002,4.26,0.42
191003,1.67,-2.62
191004,3.39,-0.16
191005,5.22,1.24
191006,7.56,2.98
191007,5.49,-0.17
191008,7.42,2.16
191009,3.23,-1.04
191010,3.54,0.28
191011,0.83,-2.20
191012,3.51,-0.17
191101,3.02,-0.88
191102,2.07,-1.77
191103,3.72,-0.57
191104,3.69,0.14
191105,1.25,-2.73
191106,3.00,-1.58
191107,3.57,-2.09
191108,5.90,0.64
191109,3.65,-0.62
191110,4.48,1.22
191111,4.07,1.04
191112,4.17,0.49
191201,3.82,-0.08
191202,4.12,0.28
191203,6.81,2.52
191204,3.86,0.31
191205,4.60,0.62
191206,5.87,1.29
191207,4.27,-1.39
191208,3.08,-2.18
191209,4.95,0.68
191210,1.42,-1.84
191211,2.54,-0.49
191212,3.02,-0.66
191301,4.30,0.40
191302,3.31,-0.53
191303,6.56,2.27
191304,2.15,-1.40
191305,4.34,0.36
191306,5.16,0.58
191307,5.36,-0.30
191308,4.68,-0.58
191309,5.82,1.55
191310,4.60,1.34
191311,1.75,-1.28
191312,4.00,0.32
191401,2.65,-1.25
191402,4.45,0.61
191403,3.19,-1.10
191404,3.29,-0.26
191405,1.49,-2.49
191406,3.35,-1.23
191407,4.98,-0.68
191408,4.92,-0.34
191409,3.72,-0.55
191410,4.22,0.96
191411,3.52,0.49
191412,6.19,2.51
191501,6.19,2.29
191502,3.36,-0.48
191503,2.64,-1.65
191504,1.99,-1.56
191505,5.83,1.85
191506,4.09,-0.49
191507,4.57,-1.09
191508,6.41,1.15
191509,3.42,-0.85
191510,3.97,0.71
191511,2.24,-0.79
191512,3.76,0.08
191601,2.87,-1.03
191602,4.08,0.24
191603,2.40,-1.89
191604,2.37,-1.18
191605,5.04,1.06
191606,6.23,1.65
191607,9.59,3.93
191608,4.90,-0.36
191609,2.61,-1.66
191610,3.15,-0.11
191611,1.41,-1.62
191612,2.87,-0.81
191701,4.06,0.16
191702,3.20,-0.64
191703,6.23,1.94
191704,3.42,-0.13
191705,3.07,-0.91
191706,6.80,2.22
191707,8.03,2.37
191708,3.45,-1.81
191709,7.52,3.25
191710,2.70,-0.56
191711,0.97,-2.06
191712,2.05,-1.63
191801,4.59,0.69
191802,1.41,-2.43
191803,2.21,-2.08
191804,6.51,2.96
191805,3.94,-0.04
191806,3.53,-1.05
191807,5.62,-0.04
191808,3.90,-1.36
191809,4.46,0.19
191810,4.08,0.82
191811,2.43,-0.60
191812,5.26,1.58
191901,4.61,0.71
191902,3.84,0.00
191903,3.72,-0.57
191904,2.76,-0.79
191905,5.37,1.39
191906,4.69,0.11
191907,9.00,3.34
191908,4.06,-1.20
191909,1.27,-3.00
191910,3.88,0.62
191911,1.10,-1.93
191912,2.37,-1.31
192001,2.89,-1.01
192002,4.75,0.91
192003,5.10,0.81
192004,5.47,1.92
192005,1.68,-2.30
192006,4.90,0.32
192007,6.28,0.62
192008,7.71,2.45
192009,4.89,0.62
192010,0.95,-2.31
192011,4.89,1.86
192012,5.82,2.14
192101,4.01,0.11
192102,4.31,0.47
192103,3.09,-1.20
192104,3.92,0.37
192105,4.70,0.72
192106,2.94,-1.64
192107,5.49,-0.17
192108,3.15,-2.11
192109,2.69,-1.58
192110,2.37,-0.89
192111,3.14,0.11
192112,2.33,-1.35
192201,4.61,0.71
192202,6.02,2.18
192203,6.79,2.50
192204,3.69,0.14
192205,5.15,1.17
192206,6.63,2.05
192207,7.35,1.69
192208,5.48,0.22
192209,1.29,-2.98
192210,4.84,1.58
192211,0.66,-2.37
192212,5.15,1.47
192301,3.71,-0.19
192302,3.36,-0.48
192303,5.29,1.00
192304,4.30,0.75
192305,3.95,-0.03
192306,2.06,-2.52
192307,5.76,0.10
192308,4.54,-0.72
192309,3.72,-0.55
192310,1.77,-1.49
192311,3.00,-0.03
192312,2.78,-0.90
192401,4.45,0.55
192402,4.49,0.65
192403,2.62,-1.67
192404,4.15,0.60
192405,5.74,1.76
192406,5.24,0.66
192407,6.19,0.53
192408,3.75,-1.51
192409,10.96,6.69
192410,1.10,-2.16
192411,1.44,-1.59
192412,4.40,0.72
192501,6.21,2.31
192502,2.10,-1.74
192503,2.51,-1.78
192504,2.44,-1.11
192505,3.05,-0.93
192506,4.30,-0.28
192507,3.18,-2.48
192508,2.81,-2.45
192509,2.16,-2.11
192510,3.51,0.25
192511,3.27,0.24
192512,2.85,-0.83
192601,4.97,1.07
192602,4.09,0.25
192603,4.22,-0.07
192604,2.52,-1.03
192605,1.55,-2.43
192606,3.83,-0.75
192607,5.36,-0.30
192608,4.20,-1.06
192609,1.67,-2.60
192610,1.77,-1.49
192611,4.03,1.00
192612,4.14,0.46
192701,1.23,-2.67
192702,4.04,0.20
192703,3.35,-0.94
192704,2.79,-0.76
192705,2.52,-1.46
192706,5.11,0.53
192707,5.62,-0.04
192708,5.64,0.38
192709,2.06,-2.21
192710,4.13,0.87
192711,2.47,-0.56
192712,6.51,2.83
192801,1.45,-2.45
192802,3.96,0.12
192803,3.45,-0.84
192804,5.83,2.28
192805,4.95,0.97
192806,5.73,1.15
192807,5.44,-0.22
192808,8.00,2.74
192809,11.50,7.23
192810,2.38,-0.88
192811,1.47,-1.56
192812,2.59,-1.09
192901,3.65,-0.25
192902,6.31,2.47
192903,5.87,1.58
192904,3.09,-0.46
192905,6.52,2.54
192906,6.14,1.56
192907,5.41,-0.25
192908,4.18,-1.08
192909,5.14,0.87
192910,7.96,4.70
192911,4.45,1.42
192912,3.05,-0.63
193001,3.92,0.02
193002,1.35,-2.49
193003,2.70,-1.59
193004,2.06,-1.49
193005,3.03,-0.95
193006,4.71,0.13
193007,4.05,-1.61
193008,2.68,-2.58
193009,3.52,-0.75
193010,2.25,-1.01
193011,3.22,0.19
193012,4.41,0.73
193101,2.18,-1.72
193102,1.67,-2.17
193103,3.41,-0.88
193104,4.15,0.60
193105,5.00,1.02
193106,2.68,-1.90
193107,6.12,0.46
193108,8.10,2.84
193109,1.83,-2.44
193110,1.01,-2.25
193111,0.75,-2.28
193112,6.26,2.58
193201,4.68,0.78
193202,3.01,-0.83
193203,4.21,-0.08
193204,2.20,-1.35
193205,3.82,-0.16
193206,4.64,0.06
193207,2.73,-2.93
193208,3.85,-1.41
193209,3.15,-1.12
193210,7.15,3.89
193211,5.17,2.14
193212,5.97,2.29
193301,2.89,-1.01
193302,4.16,0.32
193303,2.56,-1.73
193304,3.54,-0.01
193305,4.48,0.50
193306,2.33,-2.25
193307,5.54,-0.12
193308,5.80,0.54
193309,2.80,-1.47
193310,1.09,-2.17
193311,1.01,-2.02
193312,1.55,-2.13
193401,1.99,-1.91
193402,3.99,0.15
193403,5.69,1.40
193404,3.39,-0.16
193405,4.64,0.66
193406,4.53,-0.05
193407,7.02,1.36
193408,5.54,0.28
193409,6.04,1.77
193410,2.12,-1.14
193411,4.91,1.88
193412,2.69,-0.99
193501,3.84,-0.06
193502,2.75,-1.09
193503,4.85,0.56
193504,4.07,0.52
193505,3.44,-0.54
193506,2.18,-2.40
193507,7.40,1.74
193508,4.74,-0.52
193509,5.47,1.20
193510,1.49,-1.77
193511,3.78,0.75
193512,3.03,-0.65
193601,7.63,3.73
193602,4.68,0.84
193603,5.88,1.59
193604,5.44,1.89
193605,0.86,-3.12
193606,4.85,0.27
193607,7.09,1.43
193608,4.52,-0.74
193609,4.55,0.28
193610,6.05,2.79
193611,2.32,-0.71
193612,6.01,2.33
193701,7.79,3.89
193702,3.98,0.14
193703,2.01,-2.28
193704,5.84,2.29
193705,2.09,-1.89
193706,4.31,-0.27
193707,6.19,0.53
193708,7.14,1.88
193709,2.42,-1.85
193710,4.74,1.48
193711,3.06,0.03
193712,2.30,-1.38
193801,2.84,-1.06
193802,1.37,-2.47
193803,2.94,-1.35
193804,4.85,1.30
193805,4.76,0.78
193806,6.44,1.86
193807,7.74,2.08
193808,2.72,-2.54
193809,6.06,1.79
193810,1.47,-1.79
193811,3.76,0.73
193812,3.04,-0.64
193901,3.72,-0.18
193902,7.53,3.69
193903,3.84,-0.45
193904,3.55,0.00
193905,2.93,-1.05
193906,4.64,0.06
193907,7.92,2.26
193908,7.43,2.17
193909,1.48,-2.79
193910,2.39,-0.87
193911,2.05,-0.98
193912,2.46,-1.22
194001,3.00,-0.90
194002,3.39,-0.45
194003,3.08,-1.21
194004,3.21,-0.34
194005,3.87,-0.11
194006,3.48,-1.10
194007,4.19,-1.47
194008,9.64,4.38
194009,1.61,-2.66
194010,1.22,-2.04
194011,4.20,1.17
194012,2.65,-1.03
194101,1.96,-1.94
194102,1.94,-1.90
194103,4.06,-0.23
194104,3.32,-0.23
194105,1.09,-2.89
194106,5.36,0.78
194107,8.39,2.73
194108,3.93,-1.33
194109,1.61,-2.66
194110,1.75,-1.51
194111,1.17,-1.86
194112,4.33,0.65
194201,2.34,-1.56
194202,3.32,-0.52
194203,5.52,1.23
194204,1.05,-2.50
194205,4.88,0.90
194206,4.59,0.01
194207,5.33,-0.33
194208,7.34,2.08
194209,4.76,0.49
194210,4.92,1.66
194211,1.69,-1.34
194212,4.96,1.28
194301,4.36,0.46
194302,1.86,-1.98
194303,5.19,0.90
194304,3.19,-0.36
194305,3.72,-0.26
194306,4.91,0.33
194307,8.21,2.55
194308,3.11,-2.15
194309,2.56,-1.71
194310,0.98,-2.28
194311,1.56,-1.47
194312,3.56,-0.12
194401,3.77,-0.13
194402,6.25,2.41
194403,7.06,2.77
194404,4.36,0.81
194405,2.83,-1.15
194406,2.19,-2.39
194407,6.63,0.97
194408,4.30,-0.96
194409,6.60,2.33
194410,2.90,-0.36
194411,3.39,0.36
194412,2.61,-1.07
194501,2.14,-1.76
194502,4.91,1.07
194503,2.14,-2.15
194504,3.16,-0.39
194505,3.34,-0.64
194506,4.13,-0.45
194507,8.38,2.72
194508,5.21,-0.05
194509,9.29,5.02
194510,2.29,-0.97
194511,2.91,-0.12
194512,6.44,2.76
194601,4.19,0.29
194602,3.69,-0.15
194603,3.03,-1.26
194604,3.84,0.29
194605,5.56,1.58
194606,3.78,-0.80
194607,7.99,2.33
194608,4.59,-0.67
194609,4.27,0.00
194610,3.46,0.20
194611,2.89,-0.14
194612,1.87,-1.81
194701,5.74,1.84
194702,1.15,-2.69
194703,3.64,-0.65
194704,3.53,-0.02
194705,2.78,-1.20
194706,4.43,-0.15
194707,5.26,-0.40
194708,5.27,0.01
194709,6.03,1.76
194710,4.89,1.63
194711,6.57,3.54
194712,2.32,-1.36
194801,4.36,0.46
194802,4.86,1.02
194803,4.97,0.68
194804,2.94,-0.61
194805,4.88,0.90
194806,3.61,-0.97
194807,4.75,-0.91
194808,4.56,-0.70
194809,4.31,0.04
194810,3.00,-0.26
194811,8.62,5.59
194812,4.83,1.15
194901,2.73,-1.17
194902,3.68,-0.16
194903,2.93,-1.36
194904,4.42,0.87
194905,4.75,0.77
194906,5.73,1.15
194907,6.38,0.72
194908,9.02,3.76
194909,4.07,-0.20
194910,3.82,0.56
194911,2.91,-0.12
194912,2.21,-1.47
195001,2.82,-1.08
195002,1.91,-1.93
195003,3.84,-0.45
195004,1.43,-2.12
195005,5.66,1.68
195006,5.09,0.51
195007,8.72,3.06
195008,3.26,-2.00
195009,4.25,-0.02
195010,3.46,0.20
195011,1.50,-1.53
195012,3.28,-0.40
195101,1.57,-2.33
195102,2.10,-1.74
195103,4.12,-0.17
195104,3.83,0.28
195105,1.61,-2.37
195106,5.73,1.15
195107,5.28,-0.38
195108,3.71,-1.55
195109,2.83,-1.44
195110,1.75,-1.51
195111,3.69,0.66
195112,4.47,0.79
195201,3.60,-0.30
195202,4.37,0.53
195203,6.74,2.45
195204,3.00,-0.55
195205,3.48,-0.50
195206,3.07,-1.51
195207,4.21,-1.45
195208,8.24,2.98
195209,3.61,-0.66
195210,1.21,-2.05
195211,4.13,1.10
195212,3.23,-0.45
195301,3.78,-0.12
195302,5.11,1.27
195303,4.45,0.16
195304,2.75,-0.80
195305,3.30,-0.68
195306,5.65,1.07
195307,2.84,-2.82
195308,4.21,-1.05
195309,5.07,0.80
195310,0.51,-2.75
195311,2.39,-0.64
195312,5.23,1.55
195401,6.25,2.35
195402,2.16,-1.68
195403,4.93,0.64
195404,2.98,-0.57
195405,4.06,0.08
195406,2.22,-2.36
195407,4.02,-1.64
195408,4.03,-1.23
195409,1.53,-2.74
195410,3.78,0.52
195411,2.82,-0.21
195412,3.61,-0.07
195501,2.66,-1.24
195502,3.42,-0.42
195503,3.52,-0.77
195504,3.68,0.13
195505,3.81,-0.17
195506,3.69,-0.89
195507,5.74,0.08
195508,9.25,3.99
195509,7.31,3.04
195510,2.66,-0.60
195511,2.39,-0.64
195512,1.02,-2.66
195601,1.79,-2.11
195602,5.87,2.03
195603,3.51,-0.78
195604,4.03,0.48
195605,3.40,-0.58
195606,3.44,-1.14
195607,6.39,0.73
195608,4.07,-1.19
195609,5.90,1.63
195610,4.70,1.44
195611,1.67,-1.36
195612,2.90,-0.78
195701,3.47,-0.43
195702,5.06,1.22
195703,3.75,-0.54
195704,3.36,-0.19
195705,3.95,-0.03
195706,6.06,1.48
195707,2.58,-3.08
195708,4.28,-0.98
195709,7.56,3.29
195710,2.65,-0.61
195711,7.04,4.01
195712,4.30,0.62
195801,4.05,0.15
195802,3.91,0.07
195803,4.03,-0.26
195804,5.63,2.08
195805,4.86,0.88
195806,4.35,-0.23
195807,5.00,-0.66
195808,6.01,0.75
195809,2.27,-2.00
195810,4.19,0.93
195811,1.71,-1.32
195812,4.14,0.46
195901,2.62,-1.28
195902,3.67,-0.17
195903,4.92,0.63
195904,5.65,2.10
195905,3.25,-0.73
195906,3.00,-1.58
195907,9.14,3.48
195908,4.51,-0.75
195909,5.36,1.09
195910,7.02,3.76
195911,2.64,-0.39
195912,3.46,-0.22
196001,4.94,1.04
196002,5.95,2.11
196003,4.53,0.24
196004,3.17,-0.38
196005,4.06,0.08
196006,3.66,-0.92
196007,6.98,1.32
196008,5.23,-0.03
196009,5.26,0.99
196010,2.90,-0.36
196011,1.48,-1.55
196012,2.10,-1.58
196101,2.70,-1.20
196102,5.56,1.72
196103,4.31,0.02
196104,4.67,1.12
196105,4.56,0.58
196106,7.03,2.45
196107,4.32,-1.34
196108,6.66,1.40
