North Dakota, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.62,0.13
189502,0.48,0.02
189503,0.19,-0.55
189504,1.71,0.34
189505,2.45,0.14
189506,4.20,0.79
189507,2.56,-0.03
189508,1.22,-0.92
189509,0.68,-0.97
189510,0.18,-0.90
189511,1.11,0.49
189512,0.24,-0.25
189601,0.82,0.33
189602,0.45,-0.01
189603,1.25,0.51
189604,3.67,2.30
189605,4.72,2.41
189606,3.79,0.38
189607,1.70,-0.89
189608,1.03,-1.11
189609,1.84,0.19
189610,0.64,-0.44
189611,2.29,1.67
189612,0.38,-0.11
189701,0.78,0.29
189702,1.28,0.82
189703,1.17,0.43
189704,1.28,-0.09
189705,0.72,-1.59
189706,3.67,0.26
189707,3.79,1.20
189708,1.26,-0.88
189709,0.25,-1.40
189710,0.63,-0.45
189711,0.44,-0.18
189712,0.33,-0.16
189801,0.12,-0.37
189802,0.51,0.05
189803,0.84,0.10
189804,1.29,-0.08
189805,1.97,-0.34
189806,3.41,0.00
189807,2.63,0.04
189808,1.54,-0.60
189809,1.08,-0.57
189810,2.40,1.32
189811,0.33,-0.29
189812,0.25,-0.24
189901,0.29,-0.20
189902,0.22,-0.24
189903,0.89,0.15
189904,1.12,-0.25
189905,3.26,0.95
189906,3.62,0.21
189907,2.04,-0.55
189908,2.61,0.47
189909,0.53,-1.12
189910,1.16,0.08
189911,0.29,-0.33
189912,0.40,-0.09
190001,0.22,-0.27
190002,0.52,0.06
190003,1.07,0.33
190004,0.71,-0.66
190005,0.88,-1.43
190006,1.26,-2.15
190007,2.47,-0.12
190008,4.54,2.40
190009,4.04,2.39
190010,1.34,0.26
190011,0.58,-0.04
190012,0.35,-0.14
190101,0.24,-0.25
190102,0.36,-0.10
190103,0.71,-0.03
190104,0.96,-0.41
190105,0.23,-2.08
190106,6.38,2.97
190107,3.78,1.19
190108,1.43,-0.71
190109,2.07,0.42
190110,1.05,-0.03
190111,0.25,-0.37
190112,0.91,0.42
190201,0.14,-0.35
190202,1.00,0.54
190203,2.31,1.57
190204,0.96,-0.41
190205,3.18,0.87
190206,4.00,0.59
190207,2.15,-0.44
190208,2.05,-0.09
190209,0.50,-1.15
190210,0.97,-0.11
190211,0.34,-0.28
190212,0.63,0.14
190301,0.60,0.11
190302,0.43,-0.03
190303,0.42,-0.32
190304,0.86,-0.51
190305,3.29,0.98
190306,1.66,-1.75
190307,2.33,-0.26
190308,4.50,2.36
190309,2.61,0.96
190310,0.67,-0.41
190311,0.34,-0.28
190312,0.85,0.36
190401,0.40,-0.09
190402,0.72,0.26
190403,1.26,0.52
190404,1.30,-0.07
190405,1.55,-0.76
190406,5.67,2.26
190407,2.14,-0.45
190408,1.82,-0.32
190409,1.22,-0.43
190410,0.69,-0.39
190411,0.10,-0.52
190412,0.77,0.28
190501,0.30,-0.19
190502,0.38,-0.08
190503,0.67,-0.07
190504,0.47,-0.90
190505,2.83,0.52
190506,4.60,1.19
190507,3.94,1.35
190508,2.21,0.07
190509,1.60,-0.05
190510,0.39,-0.69
190511,1.41,0.79
190512,0.15,-0.34
190601,0.70,0.21
190602,0.17,-0.29
190603,0.38,-0.36
190604,1.45,0.08
190605,4.86,2.55
190606,4.41,1.00
190607,1.62,-0.97
190608,2.16,0.02
190609,1.12,-0.53
190610,0.52,-0.56
190611,1.33,0.71
190612,1.06,0.57
190701,1.23,0.74
190702,0.29,-0.17
190703,0.63,-0.11
190704,0.46,-0.91
190705,1.13,-1.18
190706,2.75,-0.66
190707,3.23,0.64
190708,1.84,-0.30
190709,1.31,-0.34
190710,0.64,-0.44
190711,0.08,-0.54
190712,0.28,-0.21
190801,0.19,-0.30
190802,0.92,0.46
190803,1.08,0.34
190804,1.49,0.12
190805,2.80,0.49
190806,3.49,0.08
190807,1.94,-0.65
190808,2.24,0.10
190809,1.15,-0.50
190810,1.68,0.60
190811,0.78,0.16
190812,0.35,-0.14
190901,0.39,-0.10
190902,0.36,-0.10
190903,0.29,-0.45
190904,0.66,-0.71
190905,3.92,1.61
190906,3.13,-0.28
190907,2.93,0.34
190908,2.34,0.20
190909,0.85,-0.80
190910,0.62,-0.46
190911,0.53,-0.09
190912,1.19,0.70
191001,0.33,-0.16
191002,0.57,0.11
191003,1.00,0.26
191004,1.22,-0.15
191005,0.97,-1.34
191006,1.96,-1.45
191007,1.58,-1.01
191008,1.55,-0.59
191009,2.09,0.44
191010,0.56,-0.52
191011,0.43,-0.19
191012,0.41,-0.08
191101,0.84,0.35
191102,0.69,0.23
191103,0.21,-0.53
191104,1.12,-0.25
191105,2.68,0.37
191106,3.20,-0.21
191107,1.65,-0.94
191108,3.27,1.13
191109,2.25,0.60
191110,1.22,0.14
191111,0.68,0.06
191112,0.44,-0.05
191201,0.38,-0.11
191202,0.17,-0.29
191203,0.38,-0.36
191204,2.26,0.89
191205,4.48,2.17
191206,2.14,-1.27
191207,3.60,1.01
191208,2.96,0.82
191209,2.74,1.09
191210,1.04,-0.04
191211,0.06,-0.56
