Ohio, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,3.78,0.97
189502,0.84,-1.47
189503,1.71,-1.65
189504,2.10,-1.39
189505,1.82,-1.97
189506,2.43,-1.54
189507,2.27,-1.72
189508,2.67,-0.80
189509,1.67,-1.32
189510,0.95,-1.59
189511,4.24,1.45
189512,3.81,1.07
189601,1.68,-1.13
189602,1.95,-0.36
189603,3.74,0.38
189604,2.73,-0.76
189605,3.04,-0.75
189606,4.38,0.41
189607,8.57,4.58
189608,4.05,0.58
189609,4.68,1.69
189610,1.66,-0.88
189611,2.57,-0.22
189612,1.73,-1.01
189701,2.19,-0.62
189702,3.63,1.32
189703,4.72,1.36
189704,3.61,0.12
189705,4.17,0.38
189706,3.17,-0.80
189707,4.91,0.92
189708,2.58,-0.89
189709,0.83,-2.16
189710,0.57,-1.97
189711,6.58,3.79
189712,2.62,-0.12
189801,5.30,2.49
189802,2.40,0.09
189803,6.21,2.85
189804,2.79,-0.70
189805,4.06,0.27
189806,3.25,-0.72
189807,3.75,-0.24
189808,4.44,0.97
189809,2.66,-0.33
189810,3.91,1.37
189811,3.21,0.42
189812,2.70,-0.04
189901,3.00,0.19
189902,2.28,-0.03
189903,4.75,1.39
189904,1.49,-2.00
189905,4.14,0.35
189906,3.39,-0.58
189907,4.21,0.22
189908,1.73,-1.74
189909,2.83,-0.16
189910,2.24,-0.30
189911,1.78,-1.01
189912,3.11,0.37
190001,2.38,-0.43
190002,3.49,1.18
190003,2.46,-0.90
190004,1.87,-1.62
190005,2.63,-1.16
190006,3.24,-0.73
190007,4.64,0.65
190008,3.81,0.34
190009,1.63,-1.36
190010,1.97,-0.57
190011,4.55,1.76
190012,1.30,-1.44
190101,1.71,-1.10
190102,1.16,-1.15
190103,2.62,-0.74
190104,3.87,0.38
190105,4.20,0.41
190106,4.54,0.57
190107,2.93,-1.06
190108,3.33,-0.14
190109,2.80,-0.19
190110,0.85,-1.69
190111,1.63,-1.16
190112,3.84,1.10
190201,1.62,-1.19
190202,1.02,-1.29
190203,2.86,-0.50
190204,2.27,-1.22
190205,3.08,-0.71
190206,7.27,3.30
190207,4.43,0.44
190208,1.59,-1.88
190209,4.60,1.61
190210,2.25,-0.29
190211,2.70,-0.09
190212,4.12,1.38
190301,2.49,-0.32
190302,4.93,2.62
190303,3.47,0.11
190304,4.09,0.60
190305,2.73,-1.06
190306,3.95,-0.02
190307,3.72,-0.27
190308,2.68,-0.79
190309,1.34,-1.65
190310,2.68,0.14
190311,2.17,-0.62
190312,2.05,-0.69
190401,3.74,0.93
190402,2.39,0.08
190403,5.85,2.49
190404,3.34,-0.15
190405,3.57,-0.22
190406,3.09,-0.88
190407,4.12,0.13
190408,2.75,-0.72
190409,2.04,-0.95
190410,1.55,-0.99
190411,0.37,-2.42
190412,3.23,0.49
190501,1.78,-1.03
190502,1.62,-0.69
190503,2.66,-0.70
190504,3.09,-0.40
190505,5.63,1.84
190506,4.75,0.78
190507,3.91,-0.08
190508,4.33,0.86
190509,3.49,0.50
190510,3.90,1.36
190511,2.69,-0.10
190512,2.39,-0.35
190601,2.14,-0.67
190602,1.17,-1.14
190603,4.24,0.88
190604,1.87,-1.62
190605,2.23,-1.56
190606,3.28,-0.69
190607,4.93,0.94
190608,4.87,1.40
190609,3.03,0.04
190610,2.90,0.36
190611,2.45,-0.34
190612,3.63,0.89
190701,6.19,3.38
190702,0.85,-1.46
190703,5.49,2.13
190704,2.79,-0.70
190705,3.32,-0.47
190706,4.55,0.58
190707,5.89,1.90
190708,2.61,-0.86
190709,4.02,1.03
190710,2.62,0.08
190711,2.05,-0.74
190712,3.12,0.38
190801,1.76,-1.05
190802,4.14,1.83
190803,5.54,2.18
190804,3.70,0.21
190805,4.79,1.00
190806,2.50,-1.47
190807,4.28,0.29
190808,2.44,-1.03
190809,0.59,-2.40
190810,1.18,-1.36
190811,1.03,-1.76
190812,2.27,-0.47
190901,3.15,0.34
190902,5.42,3.11
190903,2.78,-0.58
190904,4.24,0.75
190905,4.79,1.00
190906,5.87,1.90
190907,3.73,-0.26
190908,3.68,0.21
190909,1.67,-1.32
190910,2.40,-0.14
190911,2.56,-0.23
