Oklahoma, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,1.28,-0.15
189502,0.56,-1.05
189503,1.13,-1.33
189504,1.40,-2.03
189505,2.64,-2.19
189506,5.19,1.19
189507,5.46,2.59
189508,3.76,0.93
189509,1.17,-2.27
189510,1.54,-1.46
189511,3.01,0.81
189512,3.67,1.96
189601,1.07,-0.36
189602,0.80,-0.81
189603,1.31,-1.15
189604,1.87,-1.56
189605,3.23,-1.60
189606,2.86,-1.14
189607,2.44,-0.43
189608,1.43,-1.40
189609,2.35,-1.09
189610,2.93,-0.07
189611,1.86,-0.34
189612,0.94,-0.77
189701,1.98,0.55
189702,1.05,-0.56
189703,3.88,1.42
189704,4.71,1.28
189705,4.31,-0.52
189706,3.46,-0.54
189707,2.52,-0.35
189708,3.02,0.19
189709,1.33,-2.11
189710,1.51,-1.49
189711,0.56,-1.64
189712,1.10,-0.61
189801,3.14,1.71
189802,2.06,0.45
189803,4.27,1.81
189804,1.64,-1.79
189805,7.54,2.71
189806,4.68,0.68
189807,3.83,0.96
189808,3.31,0.48
189809,2.33,-1.11
189810,2.11,-0.89
189811,1.20,-1.00
189812,2.50,0.79
189901,1.45,0.02
189902,0.71,-0.90
189903,0.98,-1.48
189904,3.34,-0.09
189905,5.40,0.57
189906,3.68,-0.32
189907,5.06,2.19
189908,0.97,-1.86
189909,1.95,-1.49
189910,3.88,0.88
189911,3.50,1.30
189912,1.76,0.05
190001,0.87,-0.56
190002,1.38,-0.23
190003,0.99,-1.47
190004,4.68,1.25
190005,4.25,-0.58
190006,2.51,-1.49
190007,4.46,1.59
190008,1.72,-1.11
190009,6.46,3.02
190010,3.51,0.51
190011,1.22,-0.98
190012,0.48,-1.23
190101,0.60,-0.83
190102,0.93,-0.68
190103,1.79,-0.67
190104,2.89,-0.54
190105,4.76,-0.07
190106,1.76,-2.24
190107,1.94,-0.93
190108,1.90,-0.93
190109,1.71,-1.73
190110,1.92,-1.08
190111,1.19,-1.01
190112,1.09,-0.62
190201,0.65,-0.78
190202,0.51,-1.10
190203,4.08,1.62
190204,2.86,-0.57
190205,9.14,4.31
190206,2.65,-1.35
190207,2.35,-0.52
190208,2.19,-0.64
190209,5.26,1.82
190210,1.93,-1.07
190211,5.48,3.28
190212,1.92,0.21
190301,0.70,-0.73
190302,3.70,2.09
190303,2.73,0.27
190304,1.47,-1.96
190305,7.04,2.21
190306,2.12,-1.88
190307,2.85,-0.02
190308,3.18,0.35
190309,2.29,-1.15
190310,2.86,-0.14
190311,0.41,-1.79
190312,0.67,-1.04
190401,1.42,-0.01
190402,0.40,-1.21
190403,1.31,-1.15
190404,2.42,-1.01
190405,4.99,0.16
190406,7.72,3.72
190407,3.78,0.91
190408,2.91,0.08
190409,2.57,-0.87
190410,1.05,-1.95
190411,0.27,-1.93
190412,0.76,-0.95
190501,1.90,0.47
190502,1.25,-0.36
