Oregon, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,7.19,2.44
189502,1.43,-2.39
189503,3.04,-0.40
189504,1.98,-0.40
189505,3.64,1.55
189506,0.24,-1.30
189507,0.51,-0.01
189508,0.35,-0.26
189509,2.33,1.09
189510,0.03,-2.44
189511,2.32,-2.20
189512,6.99,2.17
189601,7.07,2.32
189602,2.85,-0.97
189603,3.15,-0.29
189604,4.58,2.20
189605,4.64,2.55
189606,0.78,-0.76
189607,0.32,-0.20
189608,1.13,0.52
189609,0.77,-0.47
189610,1.91,-0.56
189611,9.16,4.64
189612,5.69,0.87
189701,2.66,-2.09
189702,5.58,1.76
189703,4.94,1.50
189704,1.50,-0.88
189705,1.49,-0.60
189706,2.55,1.01
189707,0.38,-0.14
189708,0.34,-0.27
189709,1.53,0.29
189710,1.35,-1.12
189711,6.67,2.15
189712,5.94,1.12
189801,2.63,-2.12
189802,3.65,-0.17
189803,1.58,-1.86
189804,1.29,-1.09
189805,2.37,0.28
189806,1.34,-0.20
189807,0.26,-0.26
189808,0.38,-0.23
189809,1.52,0.28
189810,1.63,-0.84
189811,5.25,0.73
189812,2.62,-2.20
189901,4.95,0.20
189902,4.03,0.21
189903,4.22,0.78
189904,2.84,0.46
189905,2.53,0.44
189906,0.59,-0.95
189907,0.11,-0.41
189908,1.85,1.24
189909,0.91,-0.33
189910,3.97,1.50
189911,5.88,1.36
189912,4.84,0.02
190001,3.72,-1.03
190002,3.17,-0.65
190003,2.73,-0.71
190004,2.15,-0.23
190005,2.50,0.41
190006,1.73,0.19
190007,0.16,-0.36
190008,0.69,0.08
190009,1.61,0.37
190010,4.87,2.40
190011,3.04,-1.48
190012,3.65,-1.17
190101,5.44,0.69
190102,5.21,1.39
190103,2.90,-0.54
190104,2.49,0.11
190105,1.61,-0.48
190106,0.68,-0.86
190107,0.08,-0.44
190108,0.49,-0.12
190109,2.90,1.66
190110,1.26,-1.21
