Pennsylvania, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,4.18,1.13
189502,1.28,-1.33
189503,2.29,-1.20
189504,3.06,-0.56
189505,2.67,-1.25
189506,3.89,-0.28
189507,3.08,-1.11
189508,3.14,-0.72
189509,1.93,-1.64
189510,1.61,-1.56
189511,2.70,-0.50
189512,3.26,0.16
189601,1.49,-1.56
189602,4.31,1.70
189603,4.18,0.69
189604,1.68,-1.94
189605,3.01,-0.91
189606,4.39,0.22
189607,6.52,2.33
189608,2.13,-1.73
189609,4.65,1.08
189610,3.15,-0.02
189611,3.33,0.13
189612,1.15,-1.95
189701,2.05,-1.00
189702,3.31,0.70
189703,3.54,0.05
189704,3.35,-0.27
189705,4.85,0.93
189706,3.15,-1.02
189707,5.84,1.65
189708,3.23,-0.63
189709,2.34,-1.23
189710,1.20,-1.97
189711,5.25,2.05
189712,3.72,0.62
189801,4.47,1.42
189802,2.07,-0.54
189803,4.58,1.09
189804,2.84,-0.78
189805,4.82,0.90
189806,3.05,-1.12
189807,3.28,-0.91
189808,6.40,2.54
189809,1.65,-1.92
189810,5.55,2.38
189811,3.73,0.53
189812,2.94,-0.16
189901,3.18,0.13
189902,3.89,1.28
189903,4.65,1.16
189904,1.62,-2.00
189905,4.14,0.22
189906,3.69,-0.48
189907,3.75,-0.44
189908,3.61,-0.25
189909,4.43,0.86
189910,1.73,-1.44
189911,2.82,-0.38
189912,3.11,0.01
190001,2.81,-0.24
190002,4.08,1.47
190003,3.59,0.10
190004,1.53,-2.09
190005,2.72,-1.20
190006,3.63,-0.54
190007,4.74,0.55
190008,3.41,-0.45
190009,1.56,-2.01
190010,3.03,-0.14
190011,4.55,1.35
190012,2.20,-0.90
190101,2.31,-0.74
190102,0.99,-1.62
190103,4.10,0.61
190104,5.58,1.96
190105,5.72,1.80
190106,3.93,-0.24
190107,4.05,-0.14
190108,6.99,3.13
190109,3.42,-0.15
190110,1.13,-2.04
190111,2.63,-0.57
190112,5.82,2.72
190201,2.79,-0.26
190202,3.55,0.94
190203,4.07,0.58
190204,3.42,-0.20
190205,2.07,-1.85
190206,5.99,1.82
190207,6.42,2.23
190208,2.49,-1.37
190209,4.30,0.73
190210,4.19,1.02
190211,1.63,-1.57
190212,5.35,2.25
190301,3.49,0.44
190302,4.40,1.79
190303,4.46,0.97
190304,3.46,-0.16
190305,1.77,-2.15
190306,6.58,2.41
190307,5.25,1.06
190308,5.65,1.79
190309,2.13,-1.44
190310,4.39,1.22
190311,2.31,-0.89
190312,2.52,-0.58
190401,3.55,0.50
190402,2.54,-0.07
190403,4.27,0.78
190404,3.58,-0.04
190405,4.03,0.11
190406,3.78,-0.39
190407,5.09,0.90
190408,4.18,0.32
190409,3.12,-0.45
190410,2.62,-0.55
190411,1.01,-2.19
190412,2.53,-0.57
190501,3.75,0.70
190502,1.62,-0.99
190503,4.01,0.52
190504,2.64,-0.98
190505,2.78,-1.14
190506,5.01,0.84
190507,5.36,1.17
190508,5.09,1.23
190509,3.20,-0.37
190510,4.29,1.12
190511,2.58,-0.62
190512,3.64,0.54
190601,2.45,-0.60
190602,1.64,-0.97
190603,4.48,0.99
190604,3.11,-0.51
190605,3.26,-0.66
190606,4.78,0.61
190607,4.16,-0.03
190608,5.36,1.50
190609,2.70,-0.87
190610,4.40,1.23
190611,1.51,-1.69
190612,3.99,0.89
190701,4.64,1.59
190702,1.86,-0.75
190703,4.17,0.68
190704,2.60,-1.02
190705,3.12,-0.80
190706,4.88,0.71
190707,3.74,-0.45
190708,2.56,-1.30
190709,6.37,2.80
190710,3.22,0.05
190711,3.34,0.14
190712,4.34,1.24
190801,2.82,-0.23
190802,4.65,2.04
190803,5.09,1.60
190804,3.41,-0.21
190805,6.74,2.82
190806,2.54,-1.63
190807,4.74,0.55
190808,2.86,-1.00
190809,1.45,-2.12
190810,1.73,-1.44
190811,1.02,-2.18
190812,2.79,-0.31
190901,3.08,0.03
190902,4.76,2.15
190903,3.01,-0.48
190904,5.62,2.00
190905,3.10,-0.82
190906,4.47,0.30
190907,1.90,-2.29
190908,2.40,-1.46
190909,2.33,-1.24
190910,2.34,-0.83
190911,1.32,-1.88
190912,3.16,0.06
191001,5.73,2.68
191002,3.85,1.24
191003,0.62,-2.87
191004,5.01,1.39
191005,3.18,-0.74
191006,4.08,-0.09
191007,2.49,-1.70
191008,2.48,-1.38
191009,4.69,1.12
191010,1.98,-1.19
191011,2.58,-0.62
191012,2.64,-0.46
191101,3.60,0.55
191102,2.38,-0.23
191103,2.73,-0.76
191104,3.62,0.00
191105,1.91,-2.01
191106,4.73,0.56
191107,2.74,-1.45
191108,7.31,3.45
191109,5.24,1.67
191110,4.76,1.59
191111,2.81,-0.39
191112,3.44,0.34
191201,1.92,-1.13
191202,2.30,-0.31
191203,4.96,1.47
191204,4.39,0.77
191205,3.32,-0.60
191206,3.10,-1.07
191207,5.46,1.27
191208,4.59,0.73
191209,5.84,2.27
191210,2.64,-0.53
191211,2.34,-0.86
191212,3.23,0.13
191301,4.99,1.94
191302,1.85,-0.76
191303,5.41,1.92
191304,3.92,0.30
191305,3.85,-0.07
191306,2.41,-1.76
191307,4.15,-0.04
191308,2.44,-1.42
191309,3.12,-0.45
191310,5.52,2.35
191311,3.12,-0.08
191312,2.77,-0.33
191401,3.26,0.21
191402,2.82,0.21
191403,2.71,-0.78
191404,4.78,1.16
191405,3.69,-0.23
191406,3.88,-0.29
191407,3.80,-0.39
191408,4.01,0.15
191409,1.03,-2.54
191410,2.33,-0.84
191411,1.79,-1.41
191412,4.50,1.40
191501,5.45,2.40
191502,3.70,1.09
191503,1.27,-2.22
191504,1.82,-1.80
191505,4.10,0.18
191506,4.34,0.17
191507,5.38,1.19
191508,6.35,2.49
191509,2.58,-0.99
191510,2.80,-0.37
191511,2.23,-0.97
191512,4.16,1.06
191601,2.43,-0.62
191602,3.06,0.45
191603,4.35,0.86
191604,3.87,0.25
191605,3.39,-0.53
191606,6.77,2.60
191607,4.16,-0.03
191608,2.43,-1.43
191609,4.08,0.51
191610,2.22,-0.95
191611,2.21,-0.99
191612,2.91,-0.19
191701,3.50,0.45
191702,1.53,-1.08
191703,3.65,0.16
191704,2.01,-1.61
191705,3.71,-0.21
191706,5.69,1.52
191707,4.30,0.11
191708,4.91,1.05
191709,2.36,-1.21
191710,6.53,3.36
191711,0.65,-2.55
191712,1.78,-1.32
191801,3.58,0.53
191802,2.49,-0.12
191803,2.71,-0.78
191804,4.40,0.78
191805,5.20,1.28
191806,3.63,-0.54
191807,3.02,-1.17
191808,4.11,0.25
191809,4.06,0.49
191810,3.24,0.07
191811,1.92,-1.28
191812,3.32,0.22
191901,2.34,-0.71
191902,2.09,-0.52
191903,3.44,-0.05
191904,2.75,-0.87
191905,5.98,2.06
191906,3.81,-0.36
191907,5.43,1.24
191908,5.29,1.43
191909,2.06,-1.51
191910,4.83,1.66
191911,4.13,0.93
191912,2.58,-0.52
192001,2.55,-0.50
192002,2.53,-0.08
192003,2.85,-0.64
192004,4.45,0.83
192005,2.10,-1.82
192006,5.04,0.87
192007,4.60,0.41
192008,4.54,0.68
192009,4.02,0.45
192010,1.70,-1.47
192011,3.77,0.57
192012,3.22,0.12
192101,2.52,-0.53
192102,2.56,-0.05
192103,3.33,-0.16
192104,3.17,-0.45
192105,4.09,0.17
192106,3.13,-1.04
192107,4.28,0.09
192108,3.77,-0.09
192109,4.75,1.18
192110,2.16,-1.01
192111,6.00,2.80
192112,2.49,-0.61
192201,2.27,-0.78
192202,1.94,-0.67
192203,4.29,0.80
192204,3.15,-0.47
192205,3.20,-0.72
192206,5.31,1.14
192207,3.58,-0.61
192208,3.19,-0.67
192209,1.73,-1.84
192210,2.46,-0.71
192211,1.25,-1.95
192212,2.89,-0.21
192301,4.23,1.18
192302,2.04,-0.57
192303,2.46,-1.03
192304,2.86,-0.76
192305,3.63,-0.29
192306,2.94,-1.23
192307,4.26,0.07
192308,2.88,-0.98
192309,3.49,-0.08
192310,2.23,-0.94
192311,2.86,-0.34
192312,4.88,1.78
192401,4.38,1.33
192402,2.83,0.22
192403,2.78,-0.71
192404,4.19,0.57
192405,5.91,1.99
192406,5.35,1.18
192407,3.45,-0.74
192408,3.56,-0.30
192409,6.50,2.93
192410,0.32,-2.85
192411,1.57,-1.63
192412,2.13,-0.97
192501,3.45,0.40
192502,2.17,-0.44
192503,2.64,-0.85
192504,2.28,-1.34
192505,3.46,-0.46
192506,3.28,-0.89
192507,5.36,1.17
192508,2.37,-1.49
192509,3.06,-0.51
192510,4.78,1.61
192511,3.63,0.43
192512,1.83,-1.27
192601,2.71,-0.34
192602,4.10,1.49
192603,1.93,-1.56
192604,2.16,-1.46
192605,1.59,-2.33
192606,3.74,-0.43
192607,3.62,-0.57
192608,5.70,1.84
192609,5.95,2.38
192610,4.55,1.38
192611,4.53,1.33
192612,2.54,-0.56
192701,2.78,-0.27
192702,3.53,0.92
192703,2.90,-0.59
192704,3.68,0.06
192705,4.39,0.47
192706,3.64,-0.53
192707,4.85,0.66
192708,3.73,-0.13
192709,1.86,-1.71
192710,6.06,2.89
192711,5.38,2.18
192712,4.38,1.28
192801,2.08,-0.97
192802,3.26,0.65
192803,3.23,-0.26
192804,5.61,1.99
192805,2.17,-1.75
192806,8.02,3.85
192807,5.38,1.19
192808,4.38,0.52
192809,2.26,-1.31
192810,1.99,-1.18
192811,2.47,-0.73
192812,1.13,-1.97
192901,3.42,0.37
192902,2.73,0.12
192903,2.84,-0.65
192904,6.39,2.77
192905,5.03,1.11
192906,3.52,-0.65
192907,3.05,-1.14
192908,2.37,-1.49
192909,3.72,0.15
192910,5.70,2.53
192911,3.43,0.23
192912,2.84,-0.26
193001,2.40,-0.65
193002,2.56,-0.05
193003,3.07,-0.42
193004,2.93,-0.69
193005,2.90,-1.02
193006,4.30,0.13
193007,2.18,-2.01
193008,1.37,-2.49
193009,2.41,-1.16
193010,0.98,-2.19
193011,1.39,-1.81
193012,2.37,-0.73
193101,1.51,-1.54
193102,2.01,-0.60
193103,2.86,-0.63
193104,3.59,-0.03
193105,5.49,1.57
193106,3.68,-0.49
193107,5.23,1.04
193108,3.63,-0.23
193109,3.30,-0.27
193110,1.73,-1.44
193111,1.69,-1.51
193112,3.09,-0.01
193201,4.81,1.76
193202,1.75,-0.86
193203,4.23,0.74
193204,1.86,-1.76
193205,3.88,-0.04
193206,3.21,-0.96
193207,3.48,-0.71
193208,2.63,-1.23
193209,1.54,-2.03
193210,5.45,2.28
193211,4.67,1.47
193212,2.12,-0.98
193301,1.93,-1.12
193302,2.21,-0.40
193303,5.28,1.79
193304,4.40,0.78
193305,5.86,1.94
193306,2.61,-1.56
193307,4.28,0.09
193308,7.33,3.47
193309,4.70,1.13
193310,2.04,-1.13
193311,1.71,-1.49
193312,2.94,-0.16
193401,2.54,-0.51
193402,1.19,-1.42
193403,3.04,-0.45
193404,3.02,-0.60
193405,2.19,-1.73
193406,3.56,-0.61
193407,4.00,-0.19
193408,4.65,0.79
193409,6.57,3.00
193410,1.62,-1.55
193411,3.61,0.41
193412,2.54,-0.56
193501,3.09,0.04
193502,2.73,0.12
193503,2.69,-0.80
193504,2.61,-1.01
193505,3.10,-0.82
193506,4.17,0.00
193507,5.81,1.62
193508,3.70,-0.16
193509,3.32,-0.25
193510,2.67,-0.50
193511,3.83,0.63
193512,2.75,-0.35
193601,4.05,1.00
193602,2.30,-0.31
193603,7.15,3.66
193604,3.08,-0.54
193605,2.17,-1.75
193606,3.82,-0.35
193607,2.88,-1.31
193608,5.09,1.23
193609,2.14,-1.43
193610,3.97,0.80
193611,2.66,-0.54
193612,4.02,0.92
193701,6.44,3.39
193702,2.42,-0.19
193703,1.94,-1.55
193704,5.61,1.99
193705,3.47,-0.45
193706,4.80,0.63
193707,4.25,0.06
193708,5.55,1.69
193709,2.01,-1.56
193710,5.95,2.78
193711,2.53,-0.67
193712,2.52,-0.58
193801,2.56,-0.49
193802,2.89,0.28
193803,3.23,-0.26
193804,2.94,-0.68
193805,3.83,-0.09
193806,4.96,0.79
193807,4.64,0.45
193808,2.80,-1.06
193809,4.86,1.29
193810,1.74,-1.43
193811,3.18,-0.02
193812,2.58,-0.52
193901,3.17,0.12
193902,4.40,1.79
193903,3.71,0.22
193904,3.51,-0.11
193905,1.60,-2.32
193906,4.39,0.22
193907,3.34,-0.85
193908,2.70,-1.16
193909,3.30,-0.27
193910,3.93,0.76
193911,1.02,-2.18
193912,2.36,-0.74
194001,1.39,-1.66
194002,3.31,0.70
194003,4.88,1.39
194004,5.27,1.65
194005,4.43,0.51
194006,4.25,0.08
194007,3.37,-0.82
194008,4.30,0.44
194009,3.52,-0.05
194010,2.04,-1.13
194011,4.04,0.84
194012,3.04,-0.06
194101,2.64,-0.41
194102,0.91,-1.70
194103,2.09,-1.40
194104,2.05,-1.57
194105,2.19,-1.73
194106,4.98,0.81
194107,5.03,0.84
194108,4.29,0.43
194109,1.39,-2.18
194110,2.83,-0.34
194111,2.53,-0.67
194112,3.02,-0.08
194201,1.79,-1.26
194202,2.65,0.04
194203,4.60,1.11
194204,2.21,-1.41
194205,5.79,1.87
194206,3.73,-0.44
194207,5.35,1.16
194208,4.42,0.56
194209,4.61,1.04
194210,4.40,1.23
194211,3.55,0.35
194212,5.12,2.02
194301,2.64,-0.41
194302,1.73,-0.88
194303,2.78,-0.71
194304,3.98,0.36
194305,6.12,2.20
194306,3.50,-0.67
194307,4.43,0.24
194308,2.72,-1.14
194309,0.77,-2.80
194310,5.61,2.44
194311,2.84,-0.36
194312,1.10,-2.00
194401,2.10,-0.95
194402,2.00,-0.61
194403,4.54,1.05
194404,4.01,0.39
194405,4.38,0.46
194406,4.65,0.48
194407,2.49,-1.70
194408,2.57,-1.29
194409,4.00,0.43
194410,3.22,0.05
194411,2.75,-0.45
194412,3.79,0.69
194501,2.68,-0.37
194502,2.67,0.06
194503,4.05,0.56
194504,4.20,0.58
194505,5.18,1.26
194506,4.21,0.04
194507,5.65,1.46
194508,3.77,-0.09
194509,6.59,3.02
194510,2.99,-0.18
194511,5.34,2.14
194512,2.64,-0.46
194601,1.35,-1.70
194602,2.40,-0.21
194603,3.18,-0.31
194604,1.21,-2.41
194605,7.31,3.39
194606,6.06,1.89
194607,3.94,-0.25
194608,3.96,0.10
194609,3.34,-0.23
194610,3.66,0.49
194611,1.36,-1.84
194612,2.34,-0.76
194701,3.71,0.66
194702,1.35,-1.26
194703,2.28,-1.21
194704,3.90,0.28
194705,6.46,2.54
194706,4.13,-0.04
194707,6.07,1.88
194708,3.80,-0.06
194709,2.43,-1.14
194710,1.31,-1.86
194711,4.23,1.03
194712,1.53,-1.57
194801,3.00,-0.05
194802,2.11,-0.50
194803,3.73,0.24
194804,5.80,2.18
194805,5.14,1.22
