Rhode Island, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,4.08,0.13
189502,0.95,-2.52
189503,3.16,-1.06
189504,4.84,0.79
189505,2.91,-0.55
189506,2.42,-0.89
189507,4.12,0.87
189508,3.79,-0.24
189509,2.22,-1.38
189510,6.63,3.12
189511,6.50,2.34
189512,3.16,-1.00
189601,2.12,-1.83
189602,6.14,2.67
189603,5.61,1.39
189604,1.25,-2.80
189605,2.68,-0.78
189606,3.42,0.11
189607,3.07,-0.18
189608,3.35,-0.68
189609,7.54,3.94
189610,3.41,-0.10
189611,3.39,-0.77
189612,2.33,-1.83
189701,4.34,0.39
189702,2.68,-0.79
189703,3.46,-0.76
189704,3.81,-0.24
189705,4.14,0.68
189706,3.57,0.26
189707,6.24,2.99
189708,4.88,0.85
189709,2.16,-1.44
189710,0.90,-2.61
189711,8.08,3.92
189712,5.17,1.01
189801,4.80,0.85
189802,5.41,1.94
189803,2.88,-1.34
189804,5.60,1.55
189805,4.92,1.46
189806,1.61,-1.70
189807,6.46,3.21
189808,7.64,3.61
189809,2.35,-1.25
189810,8.65,5.14
189811,7.32,3.16
189812,2.54,-1.62
189901,5.03,1.08
189902,4.75,1.28
189903,7.83,3.61
189904,2.21,-1.84
189905,1.76,-1.70
189906,2.85,-0.46
189907,3.42,0.17
189908,3.49,-0.54
189909,6.40,2.80
189910,2.42,-1.09
189911,2.05,-2.11
189912,1.66,-2.50
190001,4.49,0.54
190002,6.82,3.35
190003,5.30,1.08
190004,2.66,-1.39
190005,4.91,1.45
190006,2.16,-1.15
190007,2.62,-0.63
190008,2.22,-1.81
190009,3.33,-0.27
190010,3.89,0.38
190011,5.19,1.03
190012,2.80,-1.36
190101,2.21,-1.74
190102,0.99,-2.48
190103,7.41,3.19
190104,9.07,5.02
190105,6.79,3.33
190106,1.62,-1.69
190107,3.88,0.63
190108,3.39,-0.64
190109,4.15,0.55
190110,2.78,-0.73
190111,2.55,-1.61
190112,9.48,5.32
190201,2.35,-1.60
190202,5.60,2.13
190203,6.22,2.00
190204,3.91,-0.14
190205,1.30,-2.16
190206,3.70,0.39
190207,3.25,0.00
190208,1.85,-2.18
190209,4.23,0.63
190210,4.74,1.23
190211,1.60,-2.56
190212,6.40,2.24
190301,4.43,0.48
190302,5.64,2.17
190303,7.49,3.27
190304,3.96,-0.09
190305,0.71,-2.75
190306,6.08,2.77
190307,3.19,-0.06
190308,5.11,1.08
190309,1.03,-2.57
190310,3.92,0.41
190311,2.03,-2.13
190312,3.42,-0.74
190401,4.86,0.91
190402,3.55,0.08
190403,2.72,-1.50
190404,8.55,4.50
190405,2.73,-0.73
190406,3.65,0.34
190407,2.28,-0.97
190408,5.62,1.59
190409,3.10,-0.50
190410,1.94,-1.57
190411,2.26,-1.90
190412,3.84,-0.32
190501,3.99,0.04
190502,1.92,-1.55
190503,2.92,-1.30
190504,2.60,-1.45
190505,1.40,-2.06
190506,5.49,2.18
190507,3.15,-0.10
190508,4.12,0.09
190509,5.41,1.81
190510,1.89,-1.62
190511,2.95,-1.21
190512,4.49,0.33
190601,3.82,-0.13
190602,3.75,0.28
190603,5.80,1.58
190604,3.18,-0.87
190605,4.47,1.01
190606,3.48,0.17
190607,4.45,1.20
190608,1.98,-2.05
190609,3.34,-0.26
190610,4.89,1.38
190611,2.76,-1.40
190612,4.43,0.27
190701,3.44,-0.51
190702,3.03,-0.44
190703,2.36,-1.86
190704,3.34,-0.71
190705,4.33,0.87
190706,2.70,-0.61
190707,1.14,-2.11
190708,1.33,-2.70
190709,7.31,3.71
190710,3.44,-0.07
190711,6.76,2.60
190712,6.18,2.02
190801,3.45,-0.50
190802,4.95,1.48
190803,3.87,-0.35
190804,2.11,-1.94
190805,5.04,1.58
190806,2.32,-0.99
190807,2.80,-0.45
190808,5.70,1.67
190809,1.04,-2.56
190810,4.26,0.75
190811,1.15,-3.01
190812,4.10,-0.06
190901,4.35,0.40
190902,6.16,2.69
190903,3.71,-0.51
190904,5.64,1.59
190905,2.81,-0.65
190906,2.40,-0.91
190907,1.31,-1.94
190908,2.67,-1.36
190909,4.33,0.73
190910,1.82,-1.69
190911,3.29,-0.87
190912,3.68,-0.48
191001,5.97,2.02
191002,4.45,0.98
191003,1.55,-2.67
191004,2.24,-1.81
191005,2.60,-0.86
191006,4.58,1.27
191007,2.58,-0.67
191008,3.23,-0.80
191009,2.50,-1.10
191010,1.82,-1.69
191011,4.31,0.15
191012,2.74,-1.42
191101,3.68,-0.27
191102,2.44,-1.03
191103,3.62,-0.60
191104,3.81,-0.24
191105,1.50,-1.96
191106,2.37,-0.94
191107,3.83,0.58
191108,5.19,1.16
191109,2.53,-1.07
191110,3.98,0.47
191111,6.95,2.79
191112,3.90,-0.26
191201,3.65,-0.30
191202,3.07,-0.40
191203,7.89,3.67
191204,4.02,-0.03
191205,4.37,0.91
191206,0.55,-2.76
191207,2.61,-0.64
191208,4.62,0.59
191209,2.16,-1.44
191210,1.77,-1.74
191211,4.05,-0.11
191212,5.94,1.78
191301,3.89,-0.06
191302,3.18,-0.29
191303,4.60,0.38
191304,6.00,1.95
191305,2.39,-1.07
191306,1.45,-1.86
191307,2.75,-0.50
191308,3.38,-0.65
191309,3.20,-0.40
191310,7.68,4.17
191311,2.33,-1.83
191312,4.31,0.15
191401,3.55,-0.40
191402,3.39,-0.08
191403,4.18,-0.04
191404,4.88,0.83
191405,2.56,-0.90
191406,1.10,-2.21
191407,4.03,0.78
191408,3.02,-1.01
191409,0.87,-2.73
191410,2.87,-0.64
191411,2.76,-1.40
191412,4.45,0.29
191501,9.23,5.28
191502,4.42,0.95
191503,0.14,-4.08
191504,1.83,-2.22
191505,2.37,-1.09
191506,1.64,-1.67
191507,3.94,0.69
191508,6.57,2.54
191509,1.99,-1.61
191510,3.46,-0.05
191511,2.71,-1.45
191512,5.21,1.05
191601,1.58,-2.37
191602,5.25,1.78
191603,3.66,-0.56
191604,3.99,-0.06
191605,4.15,0.69
191606,4.77,1.46
191607,9.09,5.84
191608,2.08,-1.95
191609,1.80,-1.80
191610,2.59,-0.92
191611,2.83,-1.33
191612,3.34,-0.82
191701,3.35,-0.60
191702,2.53,-0.94
191703,5.45,1.23
191704,2.87,-1.18
191705,4.24,0.78
191706,4.87,1.56
191707,1.51,-1.74
191708,5.44,1.41
191709,2.67,-0.93
191710,5.74,2.23
191711,0.57,-3.59
191712,3.04,-1.12
191801,3.50,-0.45
191802,3.74,0.27
191803,2.47,-1.75
191804,4.70,0.65
191805,2.06,-1.40
191806,4.00,0.69
191807,3.25,0.00
191808,2.52,-1.51
191809,6.32,2.72
191810,1.26,-2.25
191811,2.66,-1.50
191812,4.12,-0.04
191901,4.77,0.82
191902,3.81,0.34
191903,5.25,1.03
191904,3.67,-0.38
191905,5.26,1.80
191906,2.20,-1.11
191907,5.20,1.95
191908,7.03,3.00
191909,6.42,2.82
191910,2.69,-0.82
191911,4.19,0.03
191912,2.81,-1.35
192001,3.28,-0.67
192002,5.43,1.96
192003,4.58,0.36
192004,5.61,1.56
192005,4.63,1.17
192006,7.35,4.04
192007,2.92,-0.33
192008,2.87,-1.16
192009,2.62,-0.98
192010,1.81,-1.70
192011,4.92,0.76
192012,5.14,0.98
192101,2.77,-1.18
192102,2.63,-0.84
192103,3.42,-0.80
192104,4.42,0.37
192105,3.60,0.14
192106,3.19,-0.12
192107,6.60,3.35
192108,2.50,-1.53
192109,1.58,-2.02
192110,1.20,-2.31
192111,7.39,3.23
192112,2.73,-1.43
192201,1.91,-2.04
192202,3.13,-0.34
192203,5.02,0.80
192204,2.57,-1.48
192205,4.86,1.40
192206,6.37,3.06
192207,3.96,0.71
192208,8.85,4.82
192209,2.16,-1.44
192210,3.25,-0.26
192211,1.17,-2.99
192212,3.62,-0.54
192301,7.22,3.27
192302,1.95,-1.52
192303,4.63,0.41
192304,5.88,1.83
192305,1.28,-2.18
192306,3.62,0.31
192307,2.68,-0.57
192308,2.47,-1.56
192309,2.36,-1.24
192310,6.22,2.71
192311,3.70,-0.46
192312,6.04,1.88
192401,4.93,0.98
192402,3.42,-0.05
192403,2.03,-2.19
192404,5.94,1.89
192405,4.21,0.75
192406,1.75,-1.56
192407,1.38,-1.87
192408,7.14,3.11
192409,4.62,1.02
192410,0.25,-3.26
192411,2.13,-2.03
192412,2.54,-1.62
192501,3.99,0.04
192502,2.10,-1.37
192503,4.25,0.03
192504,2.47,-1.58
192505,3.20,-0.26
192506,3.04,-0.27
192507,3.81,0.56
192508,2.82,-1.21
192509,4.00,0.40
192510,4.93,1.42
192511,4.26,0.10
192512,5.13,0.97
192601,2.68,-1.27
192602,5.31,1.84
192603,2.99,-1.23
192604,2.22,-1.83
192605,3.20,-0.26
192606,1.97,-1.34
192607,3.55,0.30
192608,4.46,0.43
192609,1.59,-2.01
192610,4.82,1.31
192611,5.77,1.61
192612,3.79,-0.37
192701,3.04,-0.91
192702,2.88,-0.59
192703,1.77,-2.45
192704,1.82,-2.23
192705,2.88,-0.58
192706,3.77,0.46
192707,4.51,1.26
