South Carolina, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,7.58,3.77
189502,3.12,-0.80
189503,5.40,1.12
189504,5.50,2.14
189505,4.55,0.98
189506,3.31,-1.40
189507,4.10,-1.43
189508,6.44,1.19
189509,1.55,-2.68
189510,1.12,-1.88
189511,2.48,-0.14
189512,3.17,-0.46
189601,3.12,-0.69
189602,5.85,1.93
189603,2.28,-2.00
189604,1.38,-1.98
189605,2.96,-0.61
189606,5.74,1.03
189607,9.02,3.49
189608,3.30,-1.95
189609,3.19,-1.04
189610,1.38,-1.62
189611,3.96,1.34
189612,3.67,0.04
189701,2.38,-1.43
189702,7.63,3.71
189703,4.59,0.31
189704,3.33,-0.03
189705,2.54,-1.03
189706,5.21,0.50
189707,5.76,0.23
189708,4.48,-0.77
189709,2.93,-1.30
189710,3.40,0.40
189711,2.04,-0.58
189712,2.42,-1.21
189801,1.84,-1.97
189802,0.87,-3.05
189803,3.28,-1.00
189804,4.84,1.48
189805,1.35,-2.22
189806,4.29,-0.42
189807,7.94,2.41
189808,9.16,3.91
189809,4.03,-0.20
189810,3.64,0.64
189811,4.70,2.08
189812,2.60,-1.03
189901,4.56,0.75
189902,7.26,3.34
189903,4.02,-0.26
189904,2.82,-0.54
189905,1.90,-1.67
189906,3.77,-0.94
189907,3.85,-1.68
189908,5.75,0.50
189909,2.75,-1.48
189910,4.97,1.97
189911,2.57,-0.05
189912,2.55,-1.08
190001,2.47,-1.34
190002,5.72,1.80
190003,4.42,0.14
190004,5.70,2.34
190005,2.40,-1.17
190006,7.82,3.11
190007,4.48,-1.05
190008,2.21,-3.04
190009,2.83,-1.40
190010,3.52,0.52
190011,3.29,0.67
190012,5.77,2.14
190101,3.60,-0.21
190102,3.16,-0.76
190103,4.39,0.11
190104,5.21,1.85
190105,6.94,3.37
190106,6.74,2.03
190107,4.26,-1.27
190108,8.94,3.69
190109,4.70,0.47
190110,0.99,-2.01
190111,1.09,-1.53
190112,5.22,1.59
190201,1.86,-1.95
190202,5.75,1.83
190203,4.23,-0.05
190204,2.23,-1.13
190205,2.48,-1.09
190206,4.31,-0.40
190207,3.81,-1.72
190208,5.25,0.00
190209,3.97,-0.26
190210,4.69,1.69
190211,3.63,1.01
190212,4.48,0.85
190301,3.88,0.07
190302,6.71,2.79
190303,6.22,1.94
190304,2.70,-0.66
190305,3.27,-0.30
190306,8.08,3.37
190307,3.32,-2.21
190308,6.73,1.48
190309,3.68,-0.55
190310,2.71,-0.29
190311,1.50,-1.12
190312,2.08,-1.55
190401,3.08,-0.73
190402,3.93,0.01
190403,3.39,-0.89
190404,1.24,-2.12
190405,2.16,-1.41
190406,3.35,-1.36
190407,5.63,0.10
190408,8.16,2.91
190409,2.65,-1.58
190410,1.12,-1.88
190411,2.81,0.19
190412,2.72,-0.91
