South Dakota, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.65,0.18
189502,0.69,0.15
189503,1.03,-0.02
189504,2.36,0.41
189505,2.26,-0.64
189506,4.16,0.74
189507,1.36,-1.19
189508,1.30,-0.85
189509,1.03,-0.59
189510,0.16,-1.12
189511,1.15,0.49
189512,0.28,-0.20
189601,0.50,0.03
189602,0.63,0.09
189603,1.63,0.58
189604,4.02,2.07
189605,2.33,-0.57
189606,3.90,0.48
189607,2.43,-0.12
189608,0.98,-1.17
189609,1.85,0.23
189610,1.31,0.03
189611,1.58,0.92
189612,0.18,-0.30
189701,1.50,1.03
189702,0.79,0.25
189703,2.01,0.96
189704,2.66,0.71
189705,1.10,-1.80
189706,2.97,-0.45
189707,2.89,0.34
189708,1.91,-0.24
189709,0.78,-0.84
189710,1.15,-0.13
189711,0.59,-0.07
189712,0.48,0.00
189801,0.20,-0.27
189802,0.35,-0.19
189803,0.93,-0.12
189804,1.38,-0.57
189805,4.31,1.41
189806,1.66,-1.76
189807,2.89,0.34
189808,1.11,-1.04
189809,0.79,-0.83
189810,1.02,-0.26
189811,0.29,-0.37
189812,0.17,-0.31
189901,0.48,0.01
189902,0.37,-0.17
189903,1.48,0.43
189904,1.28,-0.67
189905,4.38,1.48
189906,3.72,0.30
189907,1.90,-0.65
189908,2.79,0.64
189909,0.47,-1.15
189910,1.34,0.06
189911,0.37,-0.29
189912,0.42,-0.06
190001,0.13,-0.34
190002,0.33,-0.21
190003,1.41,0.36
190004,2.30,0.35
190005,0.88,-2.02
190006,2.25,-1.17
190007,3.97,1.42
190008,3.91,1.76
190009,2.66,1.04
190010,1.21,-0.07
190011,0.24,-0.42
190012,0.18,-0.30
190101,0.12,-0.35
190102,0.44,-0.10
190103,0.93,-0.12
190104,1.46,-0.49
190105,1.49,-1.41
190106,5.75,2.33
190107,1.99,-0.56
190108,2.38,0.23
190109,3.42,1.80
190110,1.78,0.50
190111,0.22,-0.44
190112,0.70,0.22
190201,0.40,-0.07
190202,0.67,0.13
190203,1.98,0.93
190204,1.78,-0.17
190205,2.55,-0.35
190206,3.20,-0.22
190207,2.03,-0.52
190208,3.14,0.99
190209,0.74,-0.88
190210,0.73,-0.55
190211,0.31,-0.35
190212,1.29,0.81
190301,0.33,-0.14
190302,0.60,0.06
190303,0.99,-0.06
190304,1.62,-0.33
190305,3.21,0.31
190306,2.36,-1.06
190307,3.79,1.24
190308,3.14,0.99
190309,2.46,0.84
190310,0.85,-0.43
190311,0.32,-0.34
190312,0.58,0.10
190401,0.36,-0.11
190402,0.68,0.14
190403,0.52,-0.53
190404,1.52,-0.43
190405,2.38,-0.52
190406,4.17,0.75
190407,2.28,-0.27
190408,1.82,-0.33
190409,0.99,-0.63
190410,1.36,0.08
190411,0.08,-0.58
190412,0.56,0.08
190501,0.62,0.15
190502,0.43,-0.11
190503,0.97,-0.08
190504,1.35,-0.60
190505,5.34,2.44
190506,5.04,1.62
190507,4.55,2.00
190508,2.26,0.11
190509,1.09,-0.53
190510,1.65,0.37
190511,1.23,0.57
190512,0.05,-0.43
190601,0.40,-0.07
190602,0.34,-0.20
190603,1.12,0.07
190604,2.53,0.58
190605,4.81,1.91
190606,2.87,-0.55
190607,1.35,-1.20
190608,4.65,2.50
190609,2.55,0.93
190610,2.08,0.80
190611,0.66,0.00
190612,0.74,0.26
190701,1.05,0.58
190702,0.51,-0.03
190703,0.48,-0.57
190704,0.80,-1.15
190705,4.16,1.26
190706,3.32,-0.10
190707,4.06,1.51
190708,1.02,-1.13
190709,1.67,0.05
190710,0.65,-0.63
190711,0.04,-0.62
190712,0.49,0.01
190801,0.24,-0.23
190802,0.85,0.31
190803,1.18,0.13
190804,1.79,-0.16
190805,4.46,1.56
190806,4.42,1.00
190807,2.60,0.05
190808,2.04,-0.11
190809,1.10,-0.52
190810,2.53,1.25
190811,0.85,0.19
190812,0.77,0.29
190901,0.55,0.08
190902,0.81,0.27
190903,0.36,-0.69
190904,0.91,-1.04
190905,4.20,1.30
190906,3.55,0.13
190907,2.73,0.18
190908,2.66,0.51
190909,1.30,-0.32
190910,0.98,-0.30
190911,1.16,0.50
190912,1.40,0.92
191001,1.05,0.58
191002,0.43,-0.11
191003,0.81,-0.24
191004,1.09,-0.86
191005,1.43,-1.47
191006,2.31,-1.11
191007,1.78,-0.77
191008,1.65,-0.50
191009,1.81,0.19
191010,0.73,-0.55
191011,0.23,-0.43
191012,0.37,-0.11
191101,0.34,-0.13
191102,0.55,0.01
191103,0.41,-0.64
