California, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,9.25,5.01
189502,2.56,-1.26
189503,2.52,-0.68
189504,1.25,-0.39
189505,1.41,0.52
189506,0.04,-0.31
189507,0.14,-0.04
189508,0.16,-0.08
189509,0.92,0.47
189510,0.49,-0.72
189511,1.61,-0.94
189512,2.53,-1.07
189601,8.02,3.78
189602,0.60,-3.22
189603,3.87,0.67
189604,4.28,2.64
189605,1.93,1.04
189606,0.08,-0.27
189607,0.29,0.11
189608,0.56,0.32
189609,0.47,0.02
189610,1.50,0.29
189611,4.18,1.63
189612,3.73,0.13
189701,3.12,-1.12
189702,5.89,2.07
189703,4.46,1.26
189704,0.62,-1.02
189705,0.35,-0.54
189706,0.58,0.23
189707,0.11,-0.07
189708,0.24,0.00
189709,0.39,-0.06
189710,1.94,0.73
189711,1.83,-0.72
189712,2.42,-1.18
189801,1.34,-2.90
189802,3.06,-0.76
189803,0.94,-2.26
189804,0.52,-1.12
189805,1.73,0.84
189806,0.48,0.13
189807,0.10,-0.08
189808,0.17,-0.07
189809,0.63,0.18
189810,0.70,-0.51
189811,1.41,-1.14
189812,1.39,-2.21
189901,4.77,0.53
189902,0.81,-3.01
189903,5.45,2.25
189904,0.71,-0.93
189905,0.99,0.10
189906,0.49,0.14
189907,0.06,-0.12
189908,0.22,-0.02
189909,0.13,-0.32
189910,3.46,2.25
189911,4.15,1.60
189912,3.57,-0.03
190001,2.82,-1.42
190002,1.33,-2.49
190003,2.27,-0.93
190004,2.11,0.47
190005,1.53,0.64
190006,0.32,-0.03
190007,0.21,0.03
190008,0.08,-0.16
190009,0.27,-0.18
190010,2.51,1.30
190011,4.82,2.27
190012,1.78,-1.82
190101,5.33,1.09
190102,5.36,1.54
190103,1.14,-2.06
190104,2.29,0.65
190105,1.11,0.22
190106,0.04,-0.31
190107,0.02,-0.16
190108,0.32,0.08
190109,1.09,0.64
190110,1.50,0.29
190111,2.57,0.02
190112,1.67,-1.93
190201,1.29,-2.95
190202,7.89,4.07
190203,3.20,0.00
190204,2.11,0.47
190205,0.94,0.05
190206,0.08,-0.27
190207,0.19,0.01
190208,0.12,-0.12
190209,0.05,-0.40
190210,1.75,0.54
190211,3.97,1.42
190212,3.23,-0.37
190301,4.84,0.60
190302,1.71,-2.11
190303,5.23,2.03
190304,1.06,-0.58
190305,0.29,-0.60
190306,0.21,-0.14
190307,0.04,-0.14
190308,0.09,-0.15
190309,0.24,-0.21
190310,0.50,-0.71
190311,5.02,2.47
190312,1.50,-2.10
190401,1.84,-2.40
190402,7.93,4.11
190403,6.86,3.66
190404,2.23,0.59
190405,0.34,-0.55
190406,0.09,-0.26
190407,0.24,0.06
190408,0.41,0.17
190409,1.41,0.96
190410,2.30,1.09
190411,1.28,-1.27
190412,3.30,-0.30
190501,3.96,-0.28
190502,3.87,0.05
190503,5.31,2.11
190504,0.95,-0.69
190505,1.84,0.95
190506,0.13,-0.22
190507,0.02,-0.16
190508,0.16,-0.08
190509,0.29,-0.16
190510,0.18,-1.03
190511,2.17,-0.38
190512,1.48,-2.12
190601,6.53,2.29
190602,4.09,0.27
190603,7.79,4.59
190604,1.74,0.10
190605,2.67,1.78
190606,0.77,0.42
190607,0.13,-0.05
190608,0.32,0.08
190609,0.27,-0.18
190610,0.11,-1.10
190611,1.83,-0.72
190612,7.24,3.64
190701,6.50,2.26
190702,3.66,-0.16
190703,8.72,5.52
190704,1.11,-0.53
190705,0.71,-0.18
190706,0.91,0.56
190707,0.05,-0.13
190708,0.20,-0.04
190709,0.16,-0.29
190710,1.70,0.49
190711,0.38,-2.17
190712,4.72,1.12
190801,3.89,-0.35
190802,3.85,0.03
190803,1.04,-2.16
190804,0.61,-1.03
190805,1.36,0.47
190806,0.19,-0.16
190807,0.11,-0.07
190808,0.31,0.07
190809,0.72,0.27
190810,1.27,0.06
190811,1.69,-0.86
190812,1.94,-1.66
190901,12.32,8.08
190902,6.39,2.57
190903,2.86,-0.34
190904,0.12,-1.52
190905,0.23,-0.66
190906,0.21,-0.14
190907,0.12,-0.06
190908,0.50,0.26
190909,0.56,0.11
190910,1.40,0.19
190911,4.22,1.67
190912,5.53,1.93
191001,3.76,-0.48
191002,2.02,-1.80
191003,2.47,-0.73
191004,0.54,-1.10
191005,0.22,-0.67
191006,0.07,-0.28
191007,0.25,0.07
191008,0.05,-0.19
191009,0.61,0.16
191010,0.79,-0.42
191011,2.23,-0.32
191012,1.78,-1.82
191101,10.14,5.90
191102,3.00,-0.82
191103,5.05,1.85
191104,1.64,0.00
191105,0.60,-0.29
191106,0.18,-0.17
191107,0.25,0.07
191108,0.02,-0.22
191109,0.44,-0.01
191110,0.51,-0.70
191111,0.78,-1.77
191112,1.81,-1.79
191201,2.67,-1.57
191202,0.83,-2.99
191203,4.49,1.29
191204,2.83,1.19
191205,1.50,0.61
191206,0.49,0.14
191207,0.19,0.01
191208,0.16,-0.08
191209,1.04,0.59
191210,1.01,-0.20
191211,2.31,-0.24
191212,1.43,-2.17
191301,4.05,-0.19
191302,1.85,-1.97
191303,1.60,-1.60
191304,1.30,-0.34
191305,1.00,0.11
191306,0.79,0.44
191307,0.67,0.49
191308,0.51,0.27
191309,0.15,-0.30
191310,0.10,-1.11
191311,4.15,1.60
191312,5.44,1.84
191401,10.61,6.37
191402,4.15,0.33
191403,0.92,-2.28
191404,1.98,0.34
191405,0.60,-0.29
191406,0.70,0.35
191407,0.14,-0.04
191408,0.03,-0.21
191409,0.33,-0.12
191410,1.41,0.20
191411,0.69,-1.86
191412,4.00,0.40
191501,6.00,1.76
191502,7.96,4.14
191503,1.89,-1.31
191504,1.73,0.09
191505,2.77,1.88
191506,0.02,-0.33
191507,0.16,-0.02
191508,0.16,-0.08
191509,0.09,-0.36
191510,0.14,-1.07
191511,1.65,-0.90
191512,4.39,0.79
191601,11.01,6.77
191602,2.83,-0.99
191603,2.53,-0.67
191604,0.55,-1.09
191605,0.61,-0.28
191606,0.24,-0.11
191607,0.32,0.14
191608,0.31,0.07
191609,0.50,0.05
191610,1.54,0.33
191611,1.39,-1.16
191612,4.29,0.69
191701,2.51,-1.73
191702,4.58,0.76
191703,1.37,-1.83
191704,1.52,-0.12
191705,0.83,-0.06
191706,0.02,-0.33
191707,0.22,0.04
191708,0.22,-0.02
191709,0.19,-0.26
191710,0.01,-1.20
191711,1.56,-0.99
191712,1.19,-2.41
191801,1.06,-3.18
191802,5.20,1.38
191803,5.33,2.13
191804,0.61,-1.03
191805,0.35,-0.54
191806,0.12,-0.23
191807,0.24,0.06
191808,0.27,0.03
191809,1.55,1.10
191810,1.00,-0.21
191811,2.51,-0.04
191812,2.09,-1.51
191901,2.37,-1.87
191902,6.02,2.20
191903,3.05,-0.15
191904,0.88,-0.76
191905,0.39,-0.50
191906,0.02,-0.33
191907,0.22,0.04
191908,0.08,-0.16
191909,1.01,0.56
191910,0.50,-0.71
191911,0.82,-1.73
191912,3.28,-0.32
192001,0.91,-3.33
192002,2.30,-1.52
192003,4.49,1.29
192004,2.04,0.40
192005,0.21,-0.68
192006,0.51,0.16
192007,0.13,-0.05
192008,0.47,0.23
192009,0.37,-0.08
192010,2.08,0.87
192011,4.51,1.96
192012,4.92,1.32
192101,5.60,1.36
192102,1.98,-1.84
192103,2.22,-0.98
192104,0.49,-1.15
192105,1.67,0.78
192106,0.19,-0.16
192107,0.12,-0.06
192108,0.27,0.03
192109,0.43,-0.02
192110,0.88,-0.33
192111,1.45,-1.10
192112,6.58,2.98
192201,2.89,-1.35
192202,5.55,1.73
192203,3.00,-0.20
192204,0.63,-1.01
192205,1.05,0.16
192206,0.34,-0.01
192207,0.25,0.07
192208,0.35,0.11
192209,0.11,-0.34
192210,1.48,0.27
192211,2.68,0.13
192212,5.96,2.36
192301,2.80,-1.44
192302,0.92,-2.90
192303,0.34,-2.86
192304,3.41,1.77
192305,0.44,-0.45
192306,0.66,0.31
192307,0.16,-0.02
192308,0.21,-0.03
192309,1.25,0.80
192310,0.98,-0.23
192311,0.87,-1.68
192312,1.57,-2.03
192401,1.60,-2.64
192402,1.54,-2.28
192403,2.19,-1.01
192404,0.75,-0.89
192405,0.07,-0.82
192406,0.05,-0.30
192407,0.03,-0.15
192408,0.15,-0.09
192409,0.14,-0.31
192410,2.92,1.71
192411,2.10,-0.45
192412,3.72,0.12
192501,1.38,-2.86
192502,5.34,1.52
192503,2.33,-0.87
192504,2.82,1.18
192505,1.59,0.70
192506,0.54,0.19
192507,0.25,0.07
192508,0.35,0.11
192509,0.70,0.25
192510,1.04,-0.17
192511,1.74,-0.81
192512,1.70,-1.90
192601,3.03,-1.21
192602,4.83,1.01
192603,0.40,-2.80
192604,3.88,2.24
192605,0.63,-0.26
192606,0.09,-0.26
192607,0.08,-0.10
192608,0.21,-0.03
192609,0.11,-0.34
192610,1.24,0.03
192611,6.99,4.44
192612,2.67,-0.93
192701,3.15,-1.09
