Tennessee, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,6.22,1.35
189502,1.30,-3.16
189503,5.49,0.06
189504,3.74,-0.78
189505,2.93,-1.49
189506,2.88,-1.41
189507,5.84,1.46
189508,3.70,-0.13
189509,2.39,-1.01
189510,1.79,-1.25
189511,3.09,-0.98
189512,4.17,-0.76
189601,2.46,-2.41
189602,4.78,0.32
189603,6.47,1.04
189604,3.68,-0.84
189605,3.80,-0.62
189606,5.10,0.81
189607,7.01,2.63
189608,1.81,-2.02
189609,3.58,0.18
189610,1.53,-1.51
189611,6.73,2.66
189612,1.39,-3.54
189701,3.70,-1.17
189702,5.32,0.86
189703,11.63,6.20
189704,6.31,1.79
189705,2.78,-1.64
189706,3.09,-1.20
189707,4.76,0.38
189708,2.81,-1.02
189709,0.30,-3.10
189710,1.73,-1.31
189711,3.14,-0.93
189712,5.70,0.77
189801,9.15,4.28
189802,1.21,-3.25
189803,4.98,-0.45
189804,4.24,-0.28
189805,3.00,-1.42
189806,3.65,-0.64
189807,5.78,1.40
189808,4.21,0.38
189809,4.46,1.06
189810,4.61,1.57
189811,3.38,-0.69
189812,2.62,-2.31
189901,5.95,1.08
189902,6.67,2.21
189903,8.55,3.12
189904,3.49,-1.03
189905,3.50,-0.92
189906,2.70,-1.59
189907,4.71,0.33
189908,2.75,-1.08
189909,1.42,-1.98
189910,2.87,-0.17
189911,2.16,-1.91
189912,5.02,0.09
190001,3.03,-1.84
190002,5.28,0.82
190003,3.70,-1.73
190004,4.73,0.21
190005,2.54,-1.88
190006,10.59,6.30
190007,4.31,-0.07
190008,2.06,-1.77
190009,3.28,-0.12
190010,4.50,1.46
190011,6.06,1.99
190012,3.06,-1.87
190101,4.03,-0.84
190102,1.82,-2.64
190103,4.26,-1.17
190104,4.88,0.36
190105,3.68,-0.74
190106,3.23,-1.06
190107,1.94,-2.44
190108,10.08,6.25
190109,4.21,0.81
190110,1.38,-1.66
190111,1.52,-2.55
190112,6.86,1.93
190201,5.19,0.32
190202,3.29,-1.17
190203,7.30,1.87
190204,2.71,-1.81
190205,2.86,-1.56
190206,4.29,0.00
190207,2.02,-2.36
190208,3.40,-0.43
190209,5.30,1.90
190210,2.30,-0.74
190211,4.48,0.41
190212,6.35,1.42
190301,2.98,-1.89
190302,8.22,3.76
190303,5.74,0.31
190304,4.62,0.10
190305,4.69,0.27
190306,4.49,0.20
190307,3.86,-0.52
190308,3.61,-0.22
190309,0.53,-2.87
190310,2.04,-1.00
190311,3.98,-0.09
190312,3.64,-1.29
190401,3.24,-1.63
190402,2.28,-2.18
190403,6.38,0.95
190404,3.17,-1.35
190405,3.74,-0.68
190406,3.70,-0.59
190407,3.58,-0.80
190408,3.19,-0.64
190409,2.07,-1.33
190410,0.66,-2.38
190411,2.55,-1.52
190412,5.95,1.02
190501,3.54,-1.33
190502,4.26,-0.20
190503,4.27,-1.16
190504,3.37,-1.15
190505,5.83,1.41
190506,6.42,2.13
190507,4.20,-0.18
190508,4.51,0.68
190509,2.58,-0.82
190510,5.48,2.44
190511,1.81,-2.26
190512,5.13,0.20
190601,4.45,-0.42
190602,1.23,-3.23
190603,5.32,-0.11
190604,2.42,-2.10
190605,3.23,-1.19
190606,3.54,-0.75
190607,7.55,3.17
190608,4.50,0.67
190609,6.72,3.32
190610,3.44,0.40
190611,6.56,2.49
190612,5.39,0.46
190701,2.75,-2.12
190702,4.05,-0.41
190703,4.59,-0.84
190704,4.28,-0.24
190705,6.13,1.71
190706,4.25,-0.04
190707,4.21,-0.17
190708,3.29,-0.54
190709,4.72,1.32
190710,2.21,-0.83
190711,4.94,0.87
190712,3.93,-1.00
190801,3.54,-1.33
190802,5.13,0.67
190803,4.59,-0.84
190804,5.13,0.61
190805,3.83,-0.59
190806,4.44,0.15
190807,4.20,-0.18
190808,4.39,0.56
190809,2.10,-1.30
190810,1.30,-1.74
190811,3.41,-0.66
190812,4.32,-0.61
190901,3.02,-1.85
190902,7.31,2.85
190903,5.73,0.30
190904,5.37,0.85
190905,6.00,1.58
190906,5.94,1.65
190907,4.94,0.56
