Texas, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,1.30,-0.19
189502,1.90,0.31
189503,0.88,-0.79
189504,1.38,-1.01
189505,4.96,1.58
189506,3.95,1.10
189507,3.37,1.02
189508,3.04,0.72
189509,0.82,-2.13
189510,2.41,-0.12
189511,2.50,0.65
189512,1.51,-0.26
189601,2.22,0.73
189602,2.06,0.47
189603,0.83,-0.84
189604,2.05,-0.34
189605,0.74,-2.64
189606,1.09,-1.76
189607,1.72,-0.63
189608,1.15,-1.17
189609,4.54,1.59
189610,3.64,1.11
189611,0.87,-0.98
189612,1.34,-0.43
189701,1.71,0.22
189702,0.44,-1.15
189703,2.51,0.84
189704,1.93,-0.46
189705,3.23,-0.15
189706,3.00,0.15
189707,1.43,-0.92
189708,3.00,0.68
189709,1.84,-1.11
189710,2.11,-0.42
189711,0.42,-1.43
189712,1.70,-0.07
189801,1.60,0.11
189802,1.28,-0.31
189803,1.57,-0.10
189804,2.04,-0.35
189805,2.32,-1.06
189806,4.86,2.01
189807,2.41,0.06
189808,2.45,0.13
189809,1.75,-1.20
189810,1.02,-1.51
189811,1.48,-0.37
189812,1.85,0.08
189901,1.30,-0.19
189902,0.53,-1.06
189903,0.59,-1.08
189904,2.08,-0.31
189905,2.29,-1.09
189906,5.60,2.75
189907,3.05,0.70
189908,0.70,-1.62
189909,1.82,-1.13
189910,2.51,-0.02
189911,2.31,0.46
189912,2.66,0.89
190001,2.23,0.74
190002,1.00,-0.59
190003,2.85,1.18
190004,5.27,2.88
190005,4.24,0.86
190006,2.05,-0.80
190007,4.49,2.14
190008,2.79,0.47
190009,5.10,2.15
190010,3.01,0.48
190011,1.16,-0.69
190012,0.85,-0.92
190101,0.46,-1.03
190102,1.43,-0.16
190103,0.96,-0.71
190104,1.48,-0.91
190105,2.81,-0.57
190106,0.93,-1.92
190107,2.54,0.19
190108,1.44,-0.88
190109,3.03,0.08
190110,1.43,-1.10
190111,1.31,-0.54
190112,0.88,-0.89
190201,0.68,-0.81
190202,0.76,-0.83
190203,1.36,-0.31
190204,1.52,-0.87
190205,3.58,0.20
190206,1.53,-1.32
190207,4.94,2.59
190208,0.66,-1.66
190209,3.69,0.74
190210,2.06,-0.47
190211,4.67,2.82
190212,1.53,-0.24
190301,1.90,0.41
190302,4.08,2.49
190303,2.11,0.44
190304,0.94,-1.45
190305,2.29,-1.09
190306,3.96,1.11
190307,3.88,1.53
190308,2.12,-0.20
190309,2.09,-0.86
190310,1.70,-0.83
190311,0.11,-1.74
190312,0.83,-0.94
190401,0.56,-0.93
190402,1.04,-0.55
190403,0.66,-1.01
190404,2.04,-0.35
190405,3.91,0.53
190406,4.24,1.39
190407,2.49,0.14
190408,2.06,-0.26
190409,4.10,1.15
190410,2.37,-0.16
190411,0.81,-1.04
190412,1.51,-0.26
190501,1.17,-0.32
190502,2.09,0.50
190503,3.74,2.07
190504,4.97,2.58
190505,3.88,0.50
190506,3.56,0.71
190507,3.76,1.41
190508,1.29,-1.03
190509,2.44,-0.51
190510,2.03,-0.50
190511,3.00,1.15
190512,2.53,0.76
190601,0.86,-0.63
190602,1.38,-0.21
190603,1.26,-0.41
190604,2.55,0.16
190605,2.67,-0.71
190606,2.44,-0.41
190607,4.56,2.21
190608,3.74,1.42
190609,3.35,0.40
