Utah, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,2.01,0.80
189502,1.61,0.40
189503,1.69,0.34
189504,0.43,-0.81
189505,1.16,0.02
189506,0.26,-0.47
189507,0.76,-0.23
189508,0.54,-0.66
189509,0.63,-0.43
189510,0.60,-0.62
189511,1.49,0.42
189512,0.75,-0.35
189601,0.86,-0.35
189602,0.52,-0.69
189603,0.92,-0.43
189604,1.10,-0.14
189605,1.18,0.04
189606,0.14,-0.59
189607,2.09,1.10
189608,1.47,0.27
189609,1.42,0.36
189610,0.64,-0.58
189611,1.09,0.02
189612,0.41,-0.69
189701,1.71,0.50
189702,2.68,1.47
189703,2.19,0.84
189704,0.85,-0.39
189705,0.59,-0.55
189706,0.23,-0.50
189707,0.64,-0.35
189708,0.56,-0.64
189709,1.99,0.93
189710,2.37,1.15
189711,0.91,-0.16
189712,1.43,0.33
189801,1.20,-0.01
189802,0.47,-0.74
189803,1.31,-0.04
189804,0.93,-0.31
189805,2.97,1.83
189806,0.68,-0.05
189807,0.58,-0.41
189808,0.76,-0.44
189809,0.22,-0.84
189810,0.68,-0.54
189811,0.89,-0.18
189812,0.59,-0.51
189901,1.06,-0.15
189902,1.62,0.41
189903,2.18,0.83
189904,0.68,-0.56
189905,0.68,-0.46
189906,0.71,-0.02
189907,0.87,-0.12
189908,1.44,0.24
189909,0.09,-0.97
189910,1.35,0.13
189911,0.69,-0.38
189912,1.23,0.13
190001,0.48,-0.73
190002,0.56,-0.65
190003,0.20,-1.15
190004,3.00,1.76
190005,0.36,-0.78
190006,0.28,-0.45
190007,0.20,-0.79
190008,0.40,-0.80
190009,1.48,0.42
190010,0.90,-0.32
190011,1.50,0.43
190012,0.13,-0.97
190101,0.80,-0.41
190102,2.36,1.15
190103,0.88,-0.47
190104,0.82,-0.42
190105,1.21,0.07
190106,0.34,-0.39
190107,0.42,-0.57
190108,1.81,0.61
190109,0.16,-0.90
190110,1.10,-0.12
190111,0.32,-0.75
190112,0.95,-0.15
190201,0.77,-0.44
190202,0.89,-0.32
