Vermont, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,2.30,-0.66
189502,1.32,-1.26
189503,1.51,-1.56
189504,3.93,0.67
189505,3.24,-0.40
189506,3.30,-0.64
189507,3.34,-0.80
189508,4.40,0.41
189509,2.96,-0.91
189510,1.57,-1.94
189511,5.97,2.33
189512,3.88,0.74
189601,1.10,-1.86
189602,4.15,1.57
189603,5.58,2.51
189604,1.32,-1.94
189605,1.92,-1.72
189606,2.89,-1.05
189607,3.98,-0.16
189608,3.45,-0.54
189609,4.72,0.85
189610,3.27,-0.24
189611,3.55,-0.09
189612,0.89,-2.25
189701,3.30,0.34
189702,1.99,-0.59
189703,3.31,0.24
189704,3.51,0.25
189705,5.17,1.53
189706,5.66,1.72
189707,10.09,5.95
189708,3.31,-0.68
189709,1.89,-1.98
189710,1.50,-2.01
189711,6.25,2.61
189712,4.27,1.13
189801,5.32,2.36
189802,4.24,1.66
189803,1.35,-1.72
189804,2.73,-0.53
189805,3.29,-0.35
189806,4.06,0.12
189807,2.38,-1.76
189808,5.09,1.10
189809,4.26,0.39
189810,4.45,0.94
189811,3.38,-0.26
189812,2.20,-0.94
189901,2.65,-0.31
189902,2.77,0.19
189903,5.76,2.69
189904,1.45,-1.81
189905,1.70,-1.94
189906,2.83,-1.11
189907,4.80,0.66
189908,2.52,-1.47
189909,4.49,0.62
189910,2.36,-1.15
189911,2.21,-1.43
189912,2.72,-0.42
190001,4.07,1.11
190002,5.24,2.66
190003,4.54,1.47
190004,1.27,-1.99
190005,2.89,-0.75
190006,3.30,-0.64
190007,3.98,-0.16
190008,4.31,0.32
190009,2.52,-1.35
190010,2.96,-0.55
190011,6.51,2.87
190012,2.04,-1.10
190101,2.38,-0.58
190102,0.97,-1.61
190103,4.03,0.96
190104,3.91,0.65
190105,4.82,1.18
190106,3.16,-0.78
190107,4.47,0.33
190108,4.19,0.20
190109,2.91,-0.96
190110,2.61,-0.90
190111,2.28,-1.36
190112,5.01,1.87
190201,2.30,-0.66
190202,2.36,-0.22
190203,4.36,1.29
190204,3.59,0.33
190205,3.97,0.33
190206,4.64,0.70
190207,4.99,0.85
190208,4.30,0.31
190209,4.29,0.42
190210,4.63,1.12
190211,1.44,-2.20
190212,3.91,0.77
190301,3.21,0.25
190302,3.61,1.03
190303,4.87,1.80
190304,1.65,-1.61
190305,0.41,-3.23
190306,5.81,1.87
190307,4.95,0.81
190308,3.98,-0.01
190309,1.16,-2.71
190310,3.37,-0.14
190311,1.48,-2.16
190312,2.73,-0.41
190401,2.70,-0.26
190402,1.63,-0.95
190403,2.07,-1.00
190404,3.67,0.41
190405,3.31,-0.33
190406,2.89,-1.05
190407,3.93,-0.21
190408,4.75,0.76
190409,6.63,2.76
190410,3.03,-0.48
190411,0.99,-2.65
190412,1.75,-1.39
190501,2.40,-0.56
190502,1.22,-1.36
190503,2.49,-0.58
190504,2.06,-1.20
190505,2.36,-1.28
190506,4.82,0.88
190507,6.15,2.01
190508,4.24,0.25
190509,5.75,1.88
190510,2.07,-1.44
190511,2.45,-1.19
190512,2.99,-0.15
190601,1.96,-1.00
190602,2.53,-0.05
190603,2.61,-0.46
190604,1.68,-1.58
190605,4.75,1.11
190606,4.82,0.88
190607,3.75,-0.39
190608,3.25,-0.74
190609,2.47,-1.40
190610,3.52,0.01
190611,2.70,-0.94
190612,3.07,-0.07
190701,2.10,-0.86
190702,1.16,-1.42
190703,2.15,-0.92
190704,3.38,0.12
190705,2.62,-1.02
190706,4.21,0.27
190707,4.29,0.15
190708,1.71,-2.28
190709,7.81,3.94
190710,4.89,1.38
190711,3.34,-0.30
190712,3.70,0.56
190801,2.11,-0.85
190802,3.92,1.34
190803,2.31,-0.76
190804,3.03,-0.23
190805,4.87,1.23
190806,2.60,-1.34
190807,2.86,-1.28
190808,3.59,-0.40
190809,1.09,-2.78
190810,2.01,-1.50
190811,1.46,-2.18
190812,2.72,-0.42
190901,4.51,1.55
190902,4.63,2.05
190903,2.01,-1.06
190904,3.17,-0.09
190905,4.69,1.05
190906,3.36,-0.58
190907,2.66,-1.48
190908,3.45,-0.54
190909,4.23,0.36
190910,1.37,-2.14
190911,2.17,-1.47
190912,1.94,-1.20
191001,3.19,0.23
191002,4.24,1.66
191003,1.15,-1.92
191004,2.80,-0.46
191005,4.45,0.81
191006,3.42,-0.52
191007,2.44,-1.70
191008,3.99,0.00
191009,4.31,0.44
191010,2.35,-1.16
191011,2.56,-1.08
191012,2.23,-0.91
191101,1.90,-1.06
191102,2.62,0.04
191103,3.23,0.16
191104,0.97,-2.29
191105,1.49,-2.15
191106,3.08,-0.86
191107,4.08,-0.06
191108,4.09,0.10
191109,4.02,0.15
191110,4.19,0.68
191111,2.52,-1.12
191112,3.17,0.03
191201,2.24,-0.72
191202,2.15,-0.43
191203,3.54,0.47
191204,3.13,-0.13
191205,6.42,2.78
191206,1.93,-2.01
191207,2.83,-1.31
191208,4.57,0.58
191209,5.60,1.73
191210,3.66,0.15
191211,3.61,-0.03
191212,3.01,-0.13
191301,3.61,0.65
191302,1.65,-0.93
191303,6.44,3.37
191304,2.01,-1.25
191305,3.68,0.04
191306,1.50,-2.44
191307,4.06,-0.08
191308,1.91,-2.08
191309,2.50,-1.37
191310,5.21,1.70
191311,2.14,-1.50
191312,3.03,-0.11
191401,2.04,-0.92
191402,1.74,-0.84
191403,3.26,0.19
191404,4.93,1.67
191405,1.21,-2.43
191406,3.03,-0.91
191407,4.02,-0.12
191408,5.14,1.15
191409,2.10,-1.77
191410,1.64,-1.87
191411,2.55,-1.09
191412,2.00,-1.14
191501,2.99,0.03
191502,4.19,1.61
191503,0.32,-2.75
191504,1.83,-1.43
191505,1.94,-1.70
191506,2.65,-1.29
191507,8.40,4.26
191508,5.43,1.44
191509,2.50,-1.37
191510,2.57,-0.94
191511,2.47,-1.17
191512,3.90,0.76
191601,2.16,-0.80
191602,3.17,0.59
191603,2.37,-0.70
191604,2.69,-0.57
191605,3.71,0.07
191606,4.87,0.93
191607,3.56,-0.58
191608,2.88,-1.11
191609,5.33,1.46
191610,2.09,-1.42
191611,3.45,-0.19
191612,2.51,-0.63
191701,3.02,0.06
191702,1.73,-0.85
191703,2.54,-0.53
191704,2.19,-1.07
191705,2.96,-0.68
191706,5.39,1.45
191707,3.40,-0.74
191708,5.26,1.27
191709,1.92,-1.95
191710,6.60,3.09
191711,0.92,-2.72
191712,2.41,-0.73
191801,2.50,-0.46
191802,2.48,-0.10
191803,2.01,-1.06
191804,1.99,-1.27
191805,3.67,0.03
191806,4.02,0.08
191807,3.04,-1.10
191808,3.41,-0.58
191809,7.41,3.54
191810,5.39,1.88
191811,3.15,-0.49
191812,2.59,-0.55
191901,1.98,-0.98
191902,1.76,-0.82
191903,3.78,0.71
191904,2.54,-0.72
191905,4.54,0.90
191906,3.08,-0.86
191907,2.77,-1.37
191908,3.96,-0.03
191909,4.54,0.67
191910,4.72,1.21
191911,4.07,0.43
191912,1.45,-1.69
192001,1.96,-1.00
192002,3.33,0.75
192003,3.65,0.58
192004,6.22,2.96
192005,1.92,-1.72
192006,3.46,-0.48
192007,4.96,0.82
192008,3.27,-0.72
192009,5.31,1.44
192010,2.79,-0.72
192011,4.51,0.87
192012,5.46,2.32
192101,1.24,-1.72
192102,2.05,-0.53
192103,3.33,0.26
192104,3.14,-0.12
192105,1.74,-1.90
192106,2.85,-1.09
192107,4.22,0.08
192108,3.33,-0.66
192109,2.21,-1.66
192110,3.33,-0.18
192111,5.56,1.92
192112,1.97,-1.17
192201,2.11,-0.85
192202,2.92,0.34
192203,4.11,1.04
192204,4.04,0.78
192205,3.06,-0.58
192206,8.92,4.98
192207,2.33,-1.81
192208,4.82,0.83
192209,2.06,-1.81
192210,2.37,-1.14
192211,1.61,-2.03
192212,2.44,-0.70
192301,4.36,1.40
192302,1.49,-1.09
192303,2.34,-0.73
192304,4.32,1.06
192305,2.48,-1.16
192306,2.90,-1.04
192307,3.46,-0.68
192308,2.20,-1.79
192309,3.56,-0.31
192310,4.31,0.80
192311,4.23,0.59
192312,3.23,0.09
192401,3.72,0.76
192402,2.22,-0.36
192403,1.05,-2.02
192404,4.75,1.49
192405,3.61,-0.03
192406,2.68,-1.26
192407,3.86,-0.28
192408,3.97,-0.02
192409,6.84,2.97
192410,0.71,-2.80
192411,3.43,-0.21
192412,1.73,-1.41
192501,3.22,0.26
192502,3.01,0.43
192503,3.92,0.85
192504,2.24,-1.02
192505,2.65,-0.99
192506,5.47,1.53
192507,5.33,1.19
192508,2.35,-1.64
192509,5.83,1.96
192510,4.66,1.15
192511,3.88,0.24
192512,1.92,-1.22
192601,2.53,-0.43
192602,2.98,0.40
192603,2.32,-0.75
192604,3.09,-0.17
192605,1.42,-2.22
192606,4.16,0.22
192607,4.35,0.21
192608,3.78,-0.21
192609,3.12,-0.75
192610,5.39,1.88
192611,3.87,0.23
192612,1.80,-1.34
192701,2.29,-0.67
192702,2.86,0.28
192703,1.43,-1.64
192704,1.28,-1.98
192705,3.86,0.22
192706,2.09,-1.85
192707,4.33,0.19
192708,4.40,0.41
192709,1.67,-2.20
192710,5.91,2.40
192711,10.61,6.97
192712,4.96,1.82
192801,2.99,0.03
192802,2.46,-0.12
192803,2.61,-0.46
192804,3.36,0.10
192805,3.98,0.34
192806,4.58,0.64
192807,3.68,-0.46
192808,4.84,0.85
192809,3.61,-0.26
192810,2.79,-0.72
192811,2.56,-1.08
