Virginia, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,5.38,2.03
189502,1.55,-1.49
189503,3.45,-0.33
189504,5.23,1.87
189505,4.05,0.23
189506,3.60,-0.39
189507,4.83,0.32
189508,2.67,-1.66
189509,0.89,-2.66
189510,1.73,-1.39
189511,2.79,-0.06
189512,2.59,-0.62
189601,1.96,-1.39
189602,4.55,1.51
189603,4.17,0.39
189604,2.05,-1.31
189605,3.91,0.09
189606,5.05,1.06
189607,6.55,2.04
189608,2.07,-2.26
189609,5.79,2.24
189610,0.92,-2.20
189611,3.99,1.14
189612,1.08,-2.13
189701,1.96,-1.39
189702,6.28,3.24
189703,4.11,0.33
189704,2.47,-0.89
189705,4.73,0.91
189706,3.44,-0.55
189707,4.67,0.16
189708,2.75,-1.58
189709,0.92,-2.63
189710,3.00,-0.12
189711,2.87,0.02
189712,3.51,0.30
189801,3.18,-0.17
189802,0.90,-2.14
189803,4.03,0.25
189804,3.41,0.05
189805,5.60,1.78
189806,3.02,-0.97
189807,4.96,0.45
189808,5.67,1.34
189809,3.24,-0.31
189810,5.86,2.74
189811,2.60,-0.25
189812,3.12,-0.09
189901,3.31,-0.04
189902,6.14,3.10
189903,6.36,2.58
189904,2.13,-1.23
189905,3.99,0.17
189906,3.53,-0.46
189907,4.10,-0.41
189908,3.50,-0.83
189909,4.31,0.76
189910,3.15,0.03
189911,1.40,-1.45
189912,1.91,-1.30
190001,2.94,-0.41
190002,4.63,1.59
190003,3.54,-0.24
190004,2.80,-0.56
190005,2.73,-1.09
190006,4.99,1.00
190007,3.59,-0.92
190008,2.10,-2.23
190009,3.52,-0.03
190010,3.10,-0.02
190011,3.49,0.64
190012,2.71,-0.50
190101,2.90,-0.45
190102,0.78,-2.26
190103,3.56,-0.22
190104,6.44,3.08
190105,5.92,2.10
190106,4.52,0.53
190107,4.77,0.26
190108,9.34,5.01
190109,4.24,0.69
190110,1.06,-2.06
190111,1.64,-1.21
190112,6.81,3.60
190201,2.95,-0.40
190202,4.91,1.87
190203,3.32,-0.46
190204,2.37,-0.99
190205,2.62,-1.20
190206,4.40,0.41
190207,3.09,-1.42
190208,2.75,-1.58
190209,3.74,0.19
190210,4.62,1.50
190211,3.60,0.75
190212,3.94,0.73
190301,3.79,0.44
190302,5.01,1.97
190303,5.86,2.08
190304,4.41,1.05
190305,2.26,-1.56
190306,5.39,1.40
190307,3.77,-0.74
190308,4.90,0.57
190309,2.13,-1.42
190310,3.33,0.21
190311,1.80,-1.05
190312,1.89,-1.32
190401,2.26,-1.09
190402,2.42,-0.62
190403,3.20,-0.58
190404,2.32,-1.04
190405,3.40,-0.42
190406,5.25,1.26
190407,4.85,0.34
190408,3.47,-0.86
190409,2.85,-0.70
190410,1.17,-1.95
190411,2.10,-0.75
190412,3.36,0.15
190501,2.86,-0.49
190502,3.20,0.16
190503,2.42,-1.36
190504,3.09,-0.27
190505,4.75,0.93
190506,4.29,0.30
190507,7.35,2.84
190508,5.01,0.68
190509,2.98,-0.57
190510,2.64,-0.48
190511,0.77,-2.08
190512,5.19,1.98
190601,3.72,0.37
190602,1.86,-1.18
190603,4.60,0.82
190604,2.21,-1.15
190605,2.98,-0.84
190606,4.81,0.82
190607,5.87,1.36
190608,9.22,4.89
190609,2.39,-1.16
190610,6.08,2.96
190611,2.08,-0.77
190612,2.97,-0.24
190701,1.78,-1.57
190702,2.50,-0.54
190703,3.12,-0.66
190704,4.13,0.77
190705,3.59,-0.23
190706,6.45,2.46
190707,3.40,-1.11
190708,4.11,-0.22
190709,5.33,1.78
190710,1.48,-1.64
190711,4.90,2.05
190712,4.08,0.87
190801,3.93,0.58
190802,3.86,0.82
190803,3.57,-0.21
190804,2.66,-0.70
190805,4.77,0.95
190806,4.57,0.58
190807,5.18,0.67
190808,6.82,2.49
190809,2.74,-0.81
190810,3.92,0.80
190811,1.51,-1.34
190812,3.78,0.57
190901,2.36,-0.99
190902,3.18,0.14
190903,3.40,-0.38
190904,3.49,0.13
190905,4.41,0.59
190906,6.17,2.18
190907,3.22,-1.29
190908,3.98,-0.35
190909,2.79,-0.76
190910,1.90,-1.22
190911,0.79,-2.06
190912,2.68,-0.53
191001,3.71,0.36
191002,2.62,-0.42
191003,1.57,-2.21
191004,4.74,1.38
191005,3.33,-0.49
191006,6.39,2.40
191007,5.06,0.55
191008,3.65,-0.68
191009,2.41,-1.14
191010,4.06,0.94
191011,1.34,-1.51
191012,2.85,-0.36
191101,4.25,0.90
191102,2.17,-0.87
191103,3.41,-0.37
191104,3.91,0.55
191105,0.95,-2.87
191106,3.83,-0.16
191107,2.98,-1.53
191108,6.69,2.36
191109,2.59,-0.96
191110,4.37,1.25
191111,3.68,0.83
191112,3.80,0.59
191201,2.56,-0.79
191202,2.94,-0.10
191203,7.17,3.39
191204,3.30,-0.06
191205,5.34,1.52
191206,3.71,-0.28
191207,3.91,-0.60
191208,2.08,-2.25
191209,5.38,1.83
191210,1.29,-1.83
191211,2.43,-0.42
191212,3.03,-0.18
191301,3.23,-0.12
191302,1.97,-1.07
191303,5.05,1.27
191304,3.35,-0.01
191305,5.19,1.37
191306,3.85,-0.14
191307,4.30,-0.21
191308,4.31,-0.02
191309,3.65,0.10
191310,3.94,0.82
191311,2.42,-0.43
191312,2.57,-0.64
191401,3.40,0.05
191402,3.16,0.12
191403,3.04,-0.74
191404,2.74,-0.62
191405,1.70,-2.12
191406,2.62,-1.37
191407,4.16,-0.35
191408,3.22,-1.11
191409,1.69,-1.86
191410,3.14,0.02
191411,2.54,-0.31
191412,5.62,2.41
191501,5.12,1.77
191502,3.63,0.59
191503,1.44,-2.34
191504,1.63,-1.73
191505,3.54,-0.28
191506,4.10,0.11
191507,3.98,-0.53
191508,6.26,1.93
191509,2.94,-0.61
191510,4.36,1.24
191511,1.70,-1.15
191512,3.39,0.18
191601,2.13,-1.22
191602,3.67,0.63
191603,2.54,-1.24
191604,2.49,-0.87
191605,3.84,0.02
191606,6.50,2.51
191607,5.58,1.07
191608,3.47,-0.86
191609,2.87,-0.68
191610,2.35,-0.77
191611,1.56,-1.29
191612,2.92,-0.29
191701,3.33,-0.02
191702,2.54,-0.50
191703,6.79,3.01
191704,3.15,-0.21
191705,3.24,-0.58
191706,4.28,0.29
191707,6.09,1.58
191708,3.45,-0.88
191709,3.35,-0.20
191710,4.08,0.96
191711,0.57,-2.28
191712,1.70,-1.51
191801,5.14,1.79
191802,0.89,-2.15
191803,3.46,-0.32
191804,6.62,3.26
191805,3.36,-0.46
191806,4.25,0.26
191807,3.74,-0.77
191808,4.48,0.15
191809,4.29,0.74
191810,2.71,-0.41
191811,1.63,-1.22
191812,4.16,0.95
191901,4.08,0.73
191902,2.52,-0.52
191903,3.75,-0.03
191904,3.18,-0.18
191905,5.54,1.72
191906,4.71,0.72
191907,7.14,2.63
191908,3.29,-1.04
191909,1.32,-2.23
191910,3.43,0.31
191911,2.05,-0.80
191912,2.47,-0.74
192001,2.70,-0.65
192002,4.59,1.55
192003,3.66,-0.12
192004,4.01,0.65
192005,1.97,-1.85
192006,5.44,1.45
192007,4.49,-0.02
192008,7.01,2.68
192009,3.31,-0.24
192010,0.61,-2.51
192011,5.62,2.77
192012,3.58,0.37
192101,3.36,0.01
192102,3.00,-0.04
192103,2.15,-1.63
192104,3.07,-0.29
192105,4.42,0.60
192106,2.51,-1.48
192107,3.78,-0.73
192108,2.47,-1.86
192109,2.99,-0.56
192110,1.98,-1.14
192111,3.26,0.41
192112,2.66,-0.55
192201,4.03,0.68
192202,4.27,1.23
192203,5.86,2.08
192204,2.39,-0.97
192205,4.29,0.47
192206,4.92,0.93
192207,6.67,2.16
192208,4.58,0.25
192209,1.12,-2.43
192210,3.44,0.32
192211,0.60,-2.25
192212,4.19,0.98
192301,3.68,0.33
192302,3.10,0.06
192303,5.28,1.50
192304,3.77,0.41
192305,2.02,-1.80
192306,2.84,-1.15
192307,4.86,0.35
192308,4.69,0.36
192309,3.77,0.22
192310,1.51,-1.61
192311,2.72,-0.13
192312,2.68,-0.53
192401,3.95,0.60
192402,2.76,-0.28
192403,3.84,0.06
192404,3.63,0.27
192405,7.44,3.62
192406,4.84,0.85
192407,3.58,-0.93
192408,4.46,0.13
192409,7.22,3.67
192410,1.18,-1.94
192411,1.98,-0.87
192412,3.15,-0.06
192501,4.81,1.46
192502,1.80,-1.24
192503,2.00,-1.78
192504,2.66,-0.70
192505,2.32,-1.50
192506,3.18,-0.81
192507,2.88,-1.63
192508,2.45,-1.88
192509,1.92,-1.63
192510,4.37,1.25
192511,2.46,-0.39
192512,2.68,-0.53
192601,3.80,0.45
192602,3.51,0.47
192603,2.57,-1.21
192604,2.02,-1.34
192605,2.24,-1.58
192606,2.37,-1.62
192607,4.79,0.28
192608,5.57,1.24
192609,2.63,-0.92
192610,3.27,0.15
192611,4.20,1.35
192612,5.03,1.82
192701,1.33,-2.02
192702,3.85,0.81
192703,2.03,-1.75
192704,5.12,1.76
192705,2.67,-1.15
192706,3.25,-0.74
192707,4.70,0.19
192708,4.94,0.61
192709,2.01,-1.54
192710,4.45,1.33
192711,2.78,-0.07
192712,4.79,1.58
192801,2.07,-1.28
192802,2.28,-0.76
192803,2.98,-0.80
192804,5.01,1.65
192805,2.63,-1.19
192806,5.37,1.38
192807,3.55,-0.96
192808,8.42,4.09
192809,7.00,3.45
192810,1.34,-1.78
192811,1.36,-1.49
192812,1.58,-1.63
192901,2.41,-0.94
192902,4.05,1.01
192903,4.25,0.47
