Washington, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,7.53,1.48
189502,2.54,-2.19
189503,2.95,-1.21
189504,3.00,0.17
189505,3.29,1.03
189506,0.62,-1.27
189507,0.53,-0.36
189508,0.17,-0.85
189509,2.49,0.53
189510,0.20,-3.48
189511,3.35,-2.75
189512,9.09,2.61
189601,8.55,2.50
189602,4.65,-0.08
189603,2.86,-1.30
189604,4.22,1.39
189605,3.46,1.20
189606,1.31,-0.58
189607,0.22,-0.67
189608,1.05,0.03
189609,1.35,-0.61
189610,2.81,-0.87
189611,11.03,4.93
189612,7.66,1.18
189701,5.53,-0.52
189702,5.83,1.10
189703,5.11,0.95
189704,1.77,-1.06
189705,1.80,-0.46
189706,2.88,0.99
189707,1.63,0.74
189708,0.53,-0.49
189709,1.89,-0.07
189710,2.64,-1.04
189711,11.32,5.22
189712,9.65,3.17
189801,3.20,-2.85
189802,6.25,1.52
189803,2.24,-1.92
189804,1.86,-0.97
189805,2.00,-0.26
189806,2.61,0.72
189807,0.64,-0.25
189808,0.54,-0.48
189809,2.56,0.60
189810,2.72,-0.96
189811,5.85,-0.25
189812,4.61,-1.87
189901,8.34,2.29
189902,7.45,2.72
189903,2.95,-1.21
189904,4.11,1.28
189905,2.85,0.59
189906,1.48,-0.41
189907,0.45,-0.44
189908,2.71,1.69
189909,1.64,-0.32
189910,4.63,0.95
189911,9.59,3.49
189912,5.88,-0.60
190001,5.09,-0.96
190002,4.51,-0.22
190003,4.93,0.77
190004,2.48,-0.35
190005,3.26,1.00
190006,2.62,0.73
190007,0.66,-0.23
190008,1.33,0.31
190009,2.07,0.11
190010,6.02,2.34
190011,4.80,-1.30
190012,7.64,1.16
190101,6.74,0.69
190102,6.11,1.38
190103,3.09,-1.07
190104,3.88,1.05
190105,2.34,0.08
190106,2.05,0.16
190107,0.62,-0.27
190108,0.18,-0.84
190109,2.97,1.01
190110,1.99,-1.69
190111,7.85,1.75
190112,4.25,-2.23
190201,4.24,-1.81
190202,9.02,4.29
190203,4.51,0.35
190204,4.09,1.26
190205,2.94,0.68
190206,1.06,-0.83
190207,1.96,1.07
190208,0.59,-0.43
190209,1.87,-0.09
190210,2.09,-1.59
190211,9.13,3.03
190212,9.01,2.53
190301,7.14,1.09
190302,2.04,-2.69
190303,4.35,0.19
190304,2.38,-0.45
190305,1.95,-0.31
190306,2.39,0.50
190307,1.08,0.19
190308,1.30,0.28
190309,3.27,1.31
190310,2.92,-0.76
190311,9.83,3.73
190312,4.00,-2.48
190401,5.60,-0.45
190402,8.36,3.63
190403,8.00,3.84
190404,2.94,0.11
190405,0.79,-1.47
190406,1.71,-0.18
190407,1.06,0.17
190408,0.45,-0.57
190409,0.64,-1.32
190410,2.61,-1.07
190411,6.79,0.69
190412,6.49,0.01
190501,5.18,-0.87
190502,2.69,-2.04
190503,4.71,0.55
190504,1.33,-1.50
190505,3.41,1.15
190506,3.66,1.77
190507,0.57,-0.32
190508,0.71,-0.31
190509,3.21,1.25
190510,5.34,1.66
190511,3.38,-2.72
190512,5.47,-1.01
190601,5.35,-0.70
190602,4.57,-0.16
190603,2.59,-1.57
190604,0.98,-1.85
190605,3.83,1.57
190606,2.91,1.02
190607,0.24,-0.65
190608,0.42,-0.60
190609,3.20,1.24
190610,4.48,0.80
190611,9.71,3.61
190612,7.42,0.94
190701,5.44,-0.61
190702,5.24,0.51
190703,3.35,-0.81
190704,3.11,0.28
190705,1.66,-0.60
190706,1.68,-0.21
190707,1.00,0.11
190708,1.68,0.66
190709,2.52,0.56
190710,0.99,-2.69
190711,6.12,0.02
190712,7.45,0.97
190801,4.55,-1.50
190802,4.40,-0.33
190803,5.59,1.43
190804,2.93,0.10
190805,2.80,0.54
190806,1.05,-0.84
190807,1.21,0.32
190808,1.18,0.16
190809,0.36,-1.60
190810,4.18,0.50
190811,4.24,-1.86
190812,4.82,-1.66
190901,6.85,0.80
190902,5.96,1.23
190903,2.51,-1.65
190904,1.30,-1.53
190905,2.13,-0.13
190906,1.03,-0.86
190907,1.78,0.89
190908,0.37,-0.65
190909,1.78,-0.18
190910,3.34,-0.34
190911,12.87,6.77
190912,4.52,-1.96
191001,6.28,0.23
191002,5.71,0.98
191003,3.96,-0.20
191004,2.52,-0.31
191005,1.87,-0.39
191006,1.35,-0.54
191007,0.16,-0.73
191008,0.49,-0.53
191009,1.60,-0.36
191010,4.77,1.09
191011,9.22,3.12
191012,5.24,-1.24
191101,5.38,-0.67
191102,2.63,-2.10
191103,1.66,-2.50
191104,1.44,-1.39
191105,4.07,1.81
191106,1.24,-0.65
191107,0.34,-0.55
191108,0.82,-0.20
191109,3.70,1.74
191110,1.10,-2.58
191111,6.93,0.83
191112,4.61,-1.87
191201,7.37,1.32
191202,4.44,-0.29
191203,1.89,-2.27
191204,2.72,-0.11
191205,2.57,0.31
191206,2.11,0.22
191207,1.18,0.29
191208,3.25,2.23
191209,1.21,-0.75
191210,3.83,0.15
191211,6.41,0.31
191212,6.65,0.17
191301,7.16,1.11
191302,2.04,-2.69
191303,3.00,-1.16
191304,1.75,-1.08
191305,2.42,0.16
191306,3.36,1.47
191307,0.80,-0.09
191308,0.70,-0.32
191309,2.53,0.57
191310,3.96,0.28
191311,6.80,0.70
191312,2.76,-3.72
191401,10.43,4.38
191402,3.54,-1.19
191403,2.73,-1.43
191404,3.05,0.22
191405,1.40,-0.86
191406,2.14,0.25
191407,0.38,-0.51
191408,0.12,-0.90
191409,3.44,1.48
