West Virginia, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,4.99,1.37
189502,1.18,-1.95
189503,3.15,-0.93
189504,3.58,-0.12
189505,2.63,-1.51
189506,3.26,-1.11
189507,4.89,0.17
189508,2.59,-1.58
189509,1.90,-1.34
189510,1.14,-1.81
189511,2.88,-0.18
189512,2.96,-0.44
189601,1.65,-1.97
189602,3.37,0.24
189603,4.64,0.56
189604,1.89,-1.81
189605,3.01,-1.13
189606,5.06,0.69
189607,8.24,3.52
189608,2.89,-1.28
189609,4.73,1.49
189610,2.03,-0.92
189611,3.96,0.90
189612,1.53,-1.87
189701,1.75,-1.87
189702,6.62,3.49
189703,3.67,-0.41
189704,2.98,-0.72
189705,4.76,0.62
189706,4.50,0.13
189707,5.93,1.21
189708,3.10,-1.07
189709,1.38,-1.86
189710,0.68,-2.27
189711,4.79,1.73
189712,4.01,0.61
189801,5.32,1.70
189802,1.79,-1.34
189803,5.43,1.35
189804,3.20,-0.50
189805,4.82,0.68
189806,3.30,-1.07
189807,4.37,-0.35
189808,7.24,3.07
189809,2.74,-0.50
189810,4.83,1.88
189811,2.82,-0.24
189812,2.82,-0.58
189901,3.85,0.23
189902,4.62,1.49
189903,5.85,1.77
189904,2.18,-1.52
189905,4.91,0.77
189906,4.59,0.22
189907,3.90,-0.82
189908,3.03,-1.14
189909,3.93,0.69
189910,1.51,-1.44
189911,1.77,-1.29
189912,2.72,-0.68
190001,2.35,-1.27
190002,4.43,1.30
190003,4.10,0.02
190004,1.51,-2.19
190005,3.16,-0.98
190006,4.95,0.58
190007,4.33,-0.39
190008,2.92,-1.25
190009,2.19,-1.05
190010,2.76,-0.19
190011,5.19,2.13
190012,2.33,-1.07
190101,2.67,-0.95
190102,0.92,-2.21
190103,3.60,-0.48
190104,7.46,3.76
190105,5.97,1.83
190106,6.80,2.43
190107,3.15,-1.57
190108,5.57,1.40
190109,3.63,0.39
190110,0.73,-2.22
190111,2.64,-0.42
190112,6.60,3.20
190201,3.87,0.25
190202,3.69,0.56
190203,4.73,0.65
190204,3.14,-0.56
190205,3.20,-0.94
190206,4.88,0.51
190207,3.52,-1.20
190208,2.34,-1.83
190209,2.95,-0.29
190210,2.65,-0.30
190211,3.41,0.35
190212,5.24,1.84
190301,3.46,-0.16
190302,5.83,2.70
190303,4.62,0.54
190304,4.81,1.11
190305,2.68,-1.46
190306,5.11,0.74
190307,4.46,-0.26
190308,3.00,-1.17
190309,1.57,-1.67
190310,2.64,-0.31
190311,2.52,-0.54
190312,2.06,-1.34
190401,2.84,-0.78
190402,2.33,-0.80
190403,4.06,-0.02
190404,3.26,-0.44
190405,3.38,-0.76
190406,4.98,0.61
190407,3.23,-1.49
190408,2.93,-1.24
190409,1.86,-1.38
190410,1.35,-1.60
190411,0.98,-2.08
190412,3.31,-0.09
190501,3.49,-0.13
190502,2.42,-0.71
190503,4.12,0.04
190504,3.09,-0.61
190505,4.97,0.83
190506,4.72,0.35
190507,6.32,1.60
190508,4.15,-0.02
190509,2.40,-0.84
190510,4.78,1.83
190511,2.12,-0.94
190512,3.45,0.05
190601,4.08,0.46
190602,1.67,-1.46
190603,5.37,1.29
190604,3.14,-0.56
190605,2.69,-1.45
190606,5.18,0.81
190607,4.50,-0.22
190608,5.63,1.46
190609,3.53,0.29
190610,3.50,0.55
190611,2.66,-0.40
190612,4.89,1.49
190701,6.05,2.43
190702,2.90,-0.23
190703,4.71,0.63
190704,3.92,0.22
190705,4.01,-0.13
190706,6.47,2.10
190707,6.32,1.60
190708,5.03,0.86
190709,4.44,1.20
190710,2.65,-0.30
190711,4.04,0.98
190712,3.45,0.05
190801,3.50,-0.12
190802,3.97,0.84
190803,6.39,2.31
190804,4.90,1.20
190805,6.18,2.04
190806,3.34,-1.03
190807,5.13,0.41
190808,3.28,-0.89
190809,1.09,-2.15
190810,2.06,-0.89
190811,1.35,-1.71
190812,3.41,0.01
190901,3.47,-0.15
190902,4.01,0.88
190903,3.63,-0.45
190904,5.22,1.52
190905,3.69,-0.45
190906,5.96,1.59
190907,4.43,-0.29
190908,3.20,-0.97
190909,3.15,-0.09
190910,2.88,-0.07
190911,1.40,-1.66
190912,2.64,-0.76
191001,5.93,2.31
191002,3.50,0.37
191003,0.81,-3.27
191004,3.76,0.06
191005,3.97,-0.17
191006,6.68,2.31
191007,5.53,0.81
191008,2.20,-1.97
191009,3.63,0.39
191010,1.97,-0.98
191011,2.07,-0.99
191012,3.08,-0.32
191101,6.51,2.89
191102,2.19,-0.94
191103,3.61,-0.47
191104,4.76,1.06
191105,1.38,-2.76
191106,4.38,0.01
191107,2.78,-1.94
191108,6.88,2.71
191109,4.42,1.18
191110,5.55,2.60
191111,2.98,-0.08
191112,3.73,0.33
191201,3.05,-0.57
191202,2.68,-0.45
191203,6.23,2.15
191204,4.32,0.62
191205,4.06,-0.08
191206,4.37,0.00
191207,7.40,2.68
191208,3.55,-0.62
191209,4.01,0.77
191210,1.33,-1.62
191211,2.01,-1.05
191212,3.19,-0.21
191301,6.12,2.50
191302,2.35,-0.78
191303,4.84,0.76
191304,3.35,-0.35
191305,5.22,1.08
191306,3.59,-0.78
191307,5.87,1.15
191308,3.57,-0.60
191309,2.84,-0.40
191310,4.82,1.87
191311,4.60,1.54
191312,2.69,-0.71
191401,3.35,-0.27
191402,4.02,0.89
191403,3.25,-0.83
191404,4.74,1.04
191405,1.90,-2.24
191406,2.85,-1.52
191407,4.36,-0.36
191408,4.83,0.66
191409,1.31,-1.93
191410,3.17,0.22
191411,1.47,-1.59
191412,5.74,2.34
191501,5.52,1.90
191502,3.28,0.15
191503,1.62,-2.46
191504,1.99,-1.71
191505,4.30,0.16
191506,3.96,-0.41
191507,4.62,-0.10
191508,4.82,0.65
191509,4.17,0.93
191510,3.94,0.99
191511,3.10,0.04
191512,4.53,1.13
191601,5.03,1.41
191602,4.54,1.41
191603,5.09,1.01
191604,3.19,-0.51
191605,3.45,-0.69
191606,5.58,1.21
191607,4.11,-0.61
191608,4.91,0.74
191609,3.89,0.65
191610,2.55,-0.40
191611,1.75,-1.31
191612,3.57,0.17
191701,4.52,0.90
191702,3.39,0.26
191703,7.20,3.12
191704,3.24,-0.46
191705,4.96,0.82
191706,3.75,-0.62
191707,5.00,0.28
191708,3.50,-0.67
191709,3.05,-0.19
191710,4.32,1.37
191711,1.01,-2.05
191712,1.69,-1.71
191801,4.40,0.78
191802,3.22,0.09
191803,4.89,0.81
191804,5.55,1.85
191805,4.52,0.38
191806,4.75,0.38
191807,3.49,-1.23
191808,4.45,0.28
191809,2.96,-0.28
191810,3.80,0.85
191811,1.98,-1.08
191812,4.41,1.01
191901,4.02,0.40
191902,2.07,-1.06
191903,3.09,-0.99
191904,2.64,-1.06
191905,5.48,1.34
191906,5.42,1.05
191907,5.90,1.18
191908,4.67,0.50
191909,2.17,-1.07
191910,5.95,3.00
191911,4.51,1.45
191912,4.19,0.79
192001,4.67,1.05
192002,2.86,-0.27
192003,3.47,-0.61
192004,5.16,1.46
192005,2.87,-1.27
192006,5.22,0.85
192007,4.95,0.23
192008,4.78,0.61
192009,3.08,-0.16
192010,1.12,-1.83
192011,3.69,0.63
192012,2.70,-0.70
192101,2.66,-0.96
192102,2.67,-0.46
192103,2.91,-1.17
192104,2.67,-1.03
192105,4.37,0.23
192106,3.94,-0.43
192107,4.03,-0.69
192108,5.35,1.18
192109,4.65,1.41
192110,2.74,-0.21
192111,6.01,2.95
192112,4.18,0.78
192201,2.95,-0.67
192202,3.15,0.02
192203,5.41,1.33
192204,3.35,-0.35
192205,3.87,-0.27
192206,4.85,0.48
192207,4.96,0.24
192208,3.94,-0.23
192209,2.12,-1.12
192210,2.71,-0.24
192211,1.19,-1.87
192212,5.26,1.86
192301,4.69,1.07
192302,3.81,0.68
192303,3.74,-0.34
192304,3.60,-0.10
192305,2.62,-1.52
192306,4.75,0.38
192307,4.83,0.11
192308,4.63,0.46
192309,3.13,-0.11
192310,1.45,-1.50
192311,3.34,0.28
192312,5.52,2.12
192401,4.52,0.90
192402,3.03,-0.10
192403,3.96,-0.12
192404,3.01,-0.69
192405,6.99,2.85
192406,4.91,0.54
192407,4.11,-0.61
192408,4.92,0.75
192409,6.30,3.06
192410,0.46,-2.49
192411,2.19,-0.87
192412,2.75,-0.65
192501,4.04,0.42
192502,2.50,-0.63
192503,3.12,-0.96
192504,2.97,-0.73
192505,3.15,-0.99
192506,3.46,-0.91
192507,4.79,0.07
192508,1.91,-2.26
192509,2.24,-1.00
