Wisconsin, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,1.50,0.35
189502,0.52,-0.51
189503,0.47,-1.33
189504,1.21,-1.42
189505,4.33,0.81
189506,3.08,-1.07
189507,2.79,-1.04
189508,2.48,-1.31
189509,3.48,-0.29
189510,0.52,-1.90
189511,1.46,-0.53
189512,1.40,0.13
189601,1.06,-0.09
189602,0.43,-0.60
189603,1.52,-0.28
189604,4.85,2.22
189605,4.94,1.42
189606,3.62,-0.53
189607,2.97,-0.86
189608,2.88,-0.91
189609,3.69,-0.08
189610,2.59,0.17
189611,2.96,0.97
189612,0.81,-0.46
189701,1.92,0.77
189702,1.23,0.20
189703,2.62,0.82
189704,2.17,-0.46
189705,1.92,-1.60
189706,5.58,1.43
189707,4.08,0.25
189708,2.69,-1.10
189709,2.29,-1.48
189710,1.62,-0.80
189711,1.24,-0.75
189712,0.96,-0.31
189801,0.90,-0.25
189802,1.53,0.50
189803,2.38,0.58
189804,1.99,-0.64
189805,2.87,-0.65
189806,3.71,-0.44
189807,2.40,-1.43
189808,3.19,-0.60
189809,1.92,-1.85
189810,4.21,1.79
189811,1.53,-0.46
189812,0.39,-0.88
189901,0.93,-0.22
189902,1.12,0.09
189903,2.21,0.41
189904,2.47,-0.16
189905,4.50,0.98
189906,5.49,1.34
189907,3.15,-0.68
189908,3.68,-0.11
189909,2.48,-1.29
189910,2.92,0.50
189911,0.98,-1.01
189912,1.73,0.46
190001,1.01,-0.14
190002,1.40,0.37
190003,1.34,-0.46
190004,2.56,-0.07
190005,1.62,-1.90
190006,2.03,-2.12
190007,7.88,4.05
190008,4.86,1.07
190009,5.96,2.19
190010,6.10,3.68
190011,1.36,-0.63
190012,0.81,-0.46
190101,0.70,-0.45
190102,0.67,-0.36
190103,3.00,1.20
190104,0.96,-1.67
190105,2.30,-1.22
190106,4.11,-0.04
190107,4.46,0.63
190108,1.85,-1.94
190109,4.17,0.40
190110,2.48,0.06
190111,0.89,-1.10
190112,0.87,-0.40
190201,0.81,-0.34
190202,1.22,0.19
190203,1.28,-0.52
190204,2.02,-0.61
190205,5.14,1.62
190206,3.69,-0.46
190207,6.23,2.40
190208,2.22,-1.57
190209,3.24,-0.53
190210,1.89,-0.53
190211,2.72,0.73
190212,2.31,1.04
190301,0.49,-0.66
190302,1.04,0.01
190303,2.38,0.58
190304,3.06,0.43
190305,5.59,2.07
190306,1.67,-2.48
190307,6.13,2.30
190308,6.35,2.56
190309,5.44,1.67
190310,2.42,0.00
190311,0.96,-1.03
190312,0.84,-0.43
190401,0.47,-0.68
190402,1.10,0.07
190403,2.13,0.33
190404,1.83,-0.80
190405,4.45,0.93
190406,3.94,-0.21
190407,3.25,-0.58
190408,3.02,-0.77
190409,4.96,1.19
190410,4.20,1.78
190411,0.23,-1.76
190412,1.84,0.57
190501,0.96,-0.19
190502,1.02,-0.01
190503,1.62,-0.18
190504,1.43,-1.20
190505,4.99,1.47
190506,6.47,2.32
190507,3.82,-0.01
190508,4.68,0.89
190509,3.30,-0.47
190510,2.77,0.35
190511,1.94,-0.05
190512,0.94,-0.33
190601,2.13,0.98
190602,0.73,-0.30
190603,2.26,0.46
190604,1.55,-1.08
190605,4.43,0.91
190606,4.62,0.47
190607,2.49,-1.34
190608,4.21,0.42
190609,3.54,-0.23
190610,2.89,0.47
190611,2.99,1.00
190612,1.52,0.25
190701,1.76,0.61
190702,0.55,-0.48
190703,1.74,-0.06
190704,2.16,-0.47
190705,2.45,-1.07
190706,3.21,-0.94
190707,4.60,0.77
190708,4.27,0.48
190709,4.95,1.18
190710,0.79,-1.63
190711,1.15,-0.84
190712,1.01,-0.26
190801,0.78,-0.37
190802,1.54,0.51
190803,2.02,0.22
190804,3.36,0.73
190805,5.06,1.54
190806,4.17,0.02
190807,3.57,-0.26
190808,1.80,-1.99
190809,2.40,-1.37
190810,1.54,-0.88
190811,1.57,-0.42
190812,1.19,-0.08
190901,1.15,0.00
190902,1.54,0.51
190903,1.23,-0.57
190904,4.15,1.52
190905,2.85,-0.67
190906,3.41,-0.74
190907,3.09,-0.74
190908,3.64,-0.15
190909,3.11,-0.66
190910,1.40,-1.02
190911,3.82,1.83
190912,2.02,0.75
191001,1.21,0.06
191002,0.77,-0.26
191003,0.13,-1.67
191004,2.94,0.31
191005,2.37,-1.15
191006,0.90,-3.25
191007,1.95,-1.88
191008,3.66,-0.13
191009,3.27,-0.50
191010,1.35,-1.07
191011,1.19,-0.80
191012,0.79,-0.48
191101,0.89,-0.26
191102,1.66,0.63
191103,1.09,-0.71
191104,1.66,-0.97
191105,4.57,1.05
191106,3.42,-0.73
191107,3.99,0.16
191108,3.80,0.01
191109,5.14,1.37
191110,5.74,3.32
191111,2.54,0.55
191112,2.07,0.80
191201,0.66,-0.49
191202,0.55,-0.48
191203,0.79,-1.01
191204,2.27,-0.36
191205,5.54,2.02
191206,1.41,-2.74
191207,6.07,2.24
191208,5.95,2.16
191209,3.65,-0.12
191210,2.04,-0.38
191211,0.87,-1.12
191212,1.87,0.60
191301,0.87,-0.28
191302,1.01,-0.02
191303,2.89,1.09
191304,1.97,-0.66
191305,5.51,1.99
191306,3.12,-1.03
191307,6.63,2.80
191308,2.52,-1.27
191309,3.65,-0.12
191310,2.98,0.56
191311,1.49,-0.50
191312,0.22,-1.05
191401,1.20,0.05
191402,0.62,-0.41
191403,1.49,-0.31
191404,2.96,0.33
191405,3.44,-0.08
191406,7.17,3.02
191407,3.33,-0.50
191408,4.05,0.26
191409,4.10,0.33
191410,2.30,-0.12
191411,1.01,-0.98
191412,0.81,-0.46
191501,1.35,0.20
191502,2.16,1.13
191503,0.59,-1.21
191504,0.98,-1.65
191505,4.91,1.39
191506,4.05,-0.10
191507,4.13,0.30
191508,3.59,-0.20
191509,5.21,1.44
191510,1.97,-0.45
191511,3.23,1.24
191512,0.81,-0.46
191601,2.39,1.24
191602,0.77,-0.26
191603,1.99,0.19
191604,3.07,0.44
191605,4.02,0.50
191606,6.18,2.03
191607,1.63,-2.20
191608,3.07,-0.72
191609,4.96,1.19
191610,3.17,0.75
191611,1.70,-0.29
191612,0.93,-0.34
191701,1.47,0.32
191702,0.75,-0.28
191703,2.26,0.46
191704,2.55,-0.08
191705,2.42,-1.10
191706,5.09,0.94
191707,3.01,-0.82
191708,2.86,-0.93
191709,2.91,-0.86
191710,3.35,0.93
191711,0.30,-1.69
191712,0.55,-0.72
191801,1.68,0.53
191802,1.10,0.07
191803,1.45,-0.35
191804,2.02,-0.61
191805,6.53,3.01
191806,2.29,-1.86
191807,2.88,-0.95
191808,3.78,-0.01
191809,1.74,-2.03
191810,2.55,0.13
191811,2.25,0.26
191812,1.63,0.36
191901,0.57,-0.58
191902,1.81,0.78
191903,1.65,-0.15
191904,3.44,0.81
191905,2.72,-0.80
191906,5.09,0.94
191907,4.48,0.65
191908,2.84,-0.95
191909,3.59,-0.18
191910,3.80,1.38
191911,3.11,1.12
191912,0.76,-0.51
192001,1.36,0.21
192002,0.53,-0.50
192003,3.20,1.40
192004,2.40,-0.23
192005,2.68,-0.84
192006,6.44,2.29
192007,2.45,-1.38
192008,2.67,-1.12
192009,1.89,-1.88
192010,2.25,-0.17
192011,2.30,0.31
192012,1.89,0.62
192101,0.51,-0.64
192102,0.69,-0.34
192103,2.24,0.44
192104,4.16,1.53
192105,3.46,-0.06
192106,2.44,-1.71
192107,3.80,-0.03
192108,3.61,-0.18
192109,4.93,1.16
192110,1.91,-0.51
192111,1.28,-0.71
192112,1.93,0.66
192201,0.83,-0.32
192202,3.20,2.17
192203,2.00,0.20
192204,3.56,0.93
192205,3.55,0.03
192206,4.42,0.27
192207,3.89,0.06
192208,1.84,-1.95
192209,3.43,-0.34
192210,1.01,-1.41
