Alaska, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
192501,1.64,-1.09
192502,1.48,-0.84
192503,2.51,0.28
192504,1.90,0.01
192505,2.00,-0.11
192506,2.54,0.20
192507,3.31,0.03
192508,3.55,-0.82
192509,7.54,2.97
192510,5.90,1.51
192511,4.87,1.48
192512,3.74,0.67
192601,4.41,1.68
192602,1.83,-0.49
192603,3.22,0.99
192604,2.64,0.75
192605,2.27,0.16
192606,1.50,-0.84
192607,3.11,-0.17
192608,3.12,-1.25
192609,4.08,-0.49
192610,5.16,0.77
192611,2.29,-1.10
192612,3.96,0.89
192701,3.17,0.44
192702,2.31,-0.01
192703,2.77,0.54
192704,1.88,-0.01
192705,1.63,-0.48
192706,2.25,-0.09
192707,2.63,-0.65
192708,4.37,0.00
192709,4.47,-0.10
192710,3.93,-0.46
192711,1.53,-1.86
192712,3.35,0.28
192801,3.63,0.90
192802,3.90,1.58
192803,2.52,0.29
192804,1.51,-0.38
192805,2.11,0.00
192806,2.53,0.19
192807,4.35,1.07
192808,4.89,0.52
192809,6.02,1.45
192810,3.40,-0.99
192811,4.62,1.23
192812,4.06,0.99
192901,3.90,1.17
192902,3.93,1.61
192903,3.09,0.86
192904,2.18,0.29
192905,2.54,0.43
192906,1.79,-0.55
192907,4.27,0.99
192908,4.11,-0.26
192909,4.70,0.13
192910,5.65,1.26
192911,5.56,2.17
192912,1.75,-1.32
193001,1.57,-1.16
193002,2.15,-0.17
193003,3.82,1.59
193004,1.96,0.07
193005,1.91,-0.20
193006,2.27,-0.07
193007,4.02,0.74
193008,6.12,1.75
193009,4.80,0.23
193010,3.66,-0.73
193011,4.69,1.30
193012,4.63,1.56
193101,2.92,0.19
193102,2.67,0.35
193103,1.66,-0.57
193104,1.62,-0.27
193105,2.85,0.74
193106,1.91,-0.43
193107,3.83,0.55
193108,4.35,-0.02
193109,4.08,-0.49
193110,5.76,1.37
193111,4.48,1.09
193112,2.78,-0.29
193201,3.82,1.09
193202,4.18,1.86
193203,1.33,-0.90
193204,0.84,-1.05
193205,1.92,-0.19
193206,3.11,0.77
193207,3.23,-0.05
193208,6.07,1.70
193209,5.17,0.60
193210,4.17,-0.22
193211,2.24,-1.15
193212,1.83,-1.24
193301,2.68,-0.05
193302,1.81,-0.51
193303,1.81,-0.42
193304,1.73,-0.16
193305,2.03,-0.08
193306,2.39,0.05
193307,1.64,-1.64
193308,4.57,0.20
193309,3.21,-1.36
193310,3.43,-0.96
193311,4.72,1.33
193312,0.80,-2.27
193401,2.89,0.16
193402,2.18,-0.14
193403,2.09,-0.14
193404,2.27,0.38
193405,2.18,0.07
193406,1.57,-0.77
193407,2.80,-0.48
193408,4.60,0.23
193409,3.32,-1.25
193410,4.32,-0.07
193411,1.51,-1.88
193412,4.58,1.51
193501,3.21,0.48
193502,3.76,1.44
193503,3.26,1.03
193504,2.19,0.30
193505,2.04,-0.07
193506,1.76,-0.58
193507,3.76,0.48
193508,4.39,0.02
193509,4.41,-0.16
193510,4.91,0.52
193511,4.44,1.05
193512,2.63,-0.44
193601,1.98,-0.75
193602,1.56,-0.76
193603,2.79,0.56
193604,1.40,-0.49
193605,2.28,0.17
193606,1.24,-1.10
193607,3.17,-0.11
193608,3.68,-0.69
193609,3.49,-1.08
193610,7.45,3.06
193611,6.27,2.88
193612,3.27,0.20
193701,4.34,1.61
193702,1.84,-0.48
193703,1.47,-0.76
193704,2.33,0.44
193705,1.96,-0.15
193706,2.14,-0.20
193707,2.89,-0.39
193708,4.96,0.59
193709,4.56,-0.01
193710,3.99,-0.40
193711,2.89,-0.50
193712,1.98,-1.09
193801,2.75,0.02
193802,2.23,-0.09
193803,1.84,-0.39
193804,1.88,-0.01
193805,2.73,0.62
193806,2.91,0.57
193807,3.54,0.26
193808,5.00,0.63
193809,6.32,1.75
193810,4.76,0.37
193811,4.54,1.15
193812,3.54,0.47
193901,2.96,0.23
193902,2.36,0.04
193903,2.11,-0.12
193904,2.21,0.32
193905,1.98,-0.13
193906,2.10,-0.24
193907,3.86,0.58
193908,6.51,2.14
193909,4.89,0.32
193910,5.08,0.69
193911,3.13,-0.26
193912,3.34,0.27
194001,2.77,0.04
194002,1.11,-1.21
194003,1.95,-0.28
194004,1.70,-0.19
194005,2.27,0.16
194006,2.00,-0.34
194007,2.66,-0.62
194008,4.46,0.09
194009,6.18,1.61
194010,4.20,-0.19
194011,3.04,-0.35
194012,2.97,-0.10
194101,2.41,-0.32
194102,2.09,-0.23
194103,2.74,0.51
194104,3.03,1.14
194105,2.43,0.32
194106,2.56,0.22
194107,4.02,0.74
194108,1.93,-2.44
194109,2.74,-1.83
194110,4.47,0.08
194111,3.53,0.14
194112,2.27,-0.80
194201,2.77,0.04
194202,2.63,0.31
194203,2.02,-0.21
194204,1.79,-0.10
194205,1.73,-0.38
194206,2.32,-0.02
194207,3.46,0.18
194208,5.27,0.90
194209,4.92,0.35
194210,4.48,0.09
194211,2.07,-1.32
194212,1.48,-1.59
194301,2.47,-0.26
194302,2.96,0.64
194303,1.92,-0.31
194304,1.52,-0.37
194305,1.89,-0.22
194306,1.90,-0.44
194307,4.06,0.78
194308,5.42,1.05
194309,5.86,1.29
194310,4.43,0.04
194311,4.68,1.29
194312,5.59,2.52
194401,3.11,0.38
194402,2.56,0.24
194403,2.89,0.66
194404,1.17,-0.72
194405,3.39,1.28
194406,1.92,-0.42
194407,3.28,0.00
194408,6.50,2.13
194409,4.29,-0.28
194410,4.92,0.53
194411,2.56,-0.83
194412,3.03,-0.04
194501,2.66,-0.07
194502,2.86,0.54
194503,2.40,0.17
194504,1.24,-0.65
194505,1.91,-0.20
194506,2.64,0.30
194507,3.71,0.43
194508,5.77,1.40
194509,5.24,0.67
194510,6.03,1.64
194511,2.30,-1.09
194512,1.74,-1.33
194601,2.59,-0.14
194602,2.09,-0.23
194603,2.68,0.45
194604,1.93,0.04
194605,2.63,0.52
194606,1.48,-0.86
194607,2.81,-0.47
194608,4.62,0.25
194609,3.57,-1.00
194610,5.93,1.54
194611,3.06,-0.33
194612,3.10,0.03
194701,3.27,0.54
194702,1.82,-0.50
194703,2.72,0.49
194704,1.91,0.02
194705,2.10,-0.01
194706,2.30,-0.04
194707,2.96,-0.32
194708,4.48,0.11
194709,5.50,0.93
194710,3.64,-0.75
194711,4.05,0.66
194712,3.01,-0.06
194801,3.80,1.07
194802,1.52,-0.80
194803,2.47,0.24
194804,1.27,-0.62
194805,1.45,-0.66
194806,1.80,-0.54
194807,4.42,1.14
194808,3.71,-0.66
194809,5.09,0.52
194810,5.38,0.99
194811,3.73,0.34
194812,2.66,-0.41
194901,4.80,2.07
194902,2.01,-0.31
194903,2.33,0.10
194904,2.01,0.12
194905,1.77,-0.34
194906,3.46,1.12
194907,3.23,-0.05
194908,4.11,-0.26
194909,4.59,0.02
194910,4.00,-0.39
194911,3.56,0.17
194912,2.48,-0.59
195001,1.90,-0.83
195002,1.14,-1.18
195003,1.21,-1.02
195004,1.63,-0.26
195005,2.09,-0.02
195006,2.74,0.40
195007,3.31,0.03
195008,3.35,-1.02
195009,4.69,0.12
195010,2.39,-2.00
195011,1.73,-1.66
195012,2.44,-0.63
195101,2.13,-0.60
195102,2.47,0.15
195103,2.03,-0.20
195104,2.12,0.23
195105,1.29,-0.82
195106,2.85,0.51
195107,2.85,-0.43
195108,5.49,1.12
195109,5.19,0.62
195110,2.89,-1.50
195111,3.08,-0.31
195112,2.86,-0.21
195201,2.82,0.09
195202,1.79,-0.53
195203,2.03,-0.20
195204,2.09,0.20
195205,2.00,-0.11
195206,2.07,-0.27
195207,3.65,0.37
195208,3.95,-0.42
195209,4.11,-0.46
195210,5.65,1.26
195211,4.67,1.28
195212,2.55,-0.52
195301,1.44,-1.29
195302,3.70,1.38
195303,1.71,-0.52
195304,1.46,-0.43
195305,1.96,-0.15
195306,2.16,-0.18
195307,2.06,-1.22
195308,5.89,1.52
195309,4.07,-0.50
195310,4.12,-0.27
195311,2.27,-1.12
195312,3.25,0.18
195401,1.97,-0.76
195402,2.43,0.11
195403,2.58,0.35
195404,0.96,-0.93
195405,1.49,-0.62
195406,1.74,-0.60
195407,3.74,0.46
195408,3.79,-0.58
195409,4.44,-0.13
195410,3.98,-0.41
195411,3.43,0.04
195412,3.29,0.22
195501,3.32,0.59
195502,2.90,0.58
195503,3.03,0.80
195504,1.87,-0.02
195505,2.40,0.29
195506,3.19,0.85
195507,2.79,-0.49
195508,5.65,1.28
195509,4.00,-0.57
195510,3.99,-0.40
195511,1.85,-1.54
195512,3.34,0.27
195601,1.44,-1.29
195602,2.83,0.51
195603,1.99,-0.24
195604,1.79,-0.10
195605,2.82,0.71
195606,1.89,-0.45
195607,2.75,-0.53
195608,5.36,0.99
195609,3.84,-0.73
195610,3.54,-0.85
195611,5.02,1.63
195612,2.32,-0.75
195701,3.19,0.46
195702,2.07,-0.25
195703,1.40,-0.83
195704,1.49,-0.40
195705,1.51,-0.60
195706,1.39,-0.95
195707,2.13,-1.15
195708,3.03,-1.34
195709,5.02,0.45
195710,3.63,-0.76
195711,4.35,0.96
195712,2.44,-0.63
195801,3.13,0.40
195802,1.16,-1.16
195803,1.57,-0.66
195804,1.38,-0.51
195805,2.78,0.67
195806,2.47,0.13
195807,4.25,0.97
195808,4.56,0.19
195809,3.77,-0.80
195810,4.76,0.37
195811,3.59,0.20
195812,2.70,-0.37
195901,1.20,-1.53
195902,2.92,0.60
195903,2.15,-0.08
195904,2.22,0.33
195905,2.00,-0.11
195906,1.45,-0.89
195907,4.82,1.54
195908,4.54,0.17
195909,3.18,-1.39
195910,3.50,-0.89
195911,3.80,0.41
195912,3.51,0.44
196001,3.30,0.57
196002,1.90,-0.42
196003,1.63,-0.60
196004,1.88,-0.01
196005,1.76,-0.35
196006,2.17,-0.17
196007,4.43,1.15
196008,4.10,-0.27
196009,5.80,1.23
196010,4.22,-0.17
196011,2.84,-0.55
196012,3.78,0.71
196101,2.52,-0.21
196102,2.04,-0.28
196103,1.60,-0.63
196104,2.70,0.81
196105,2.08,-0.03
196106,2.90,0.56
196107,4.33,1.05
196108,5.51,1.14
196109,6.03,1.46
196110,4.91,0.52
196111,3.41,0.02
196112,3.06,-0.01
196201,3.61,0.88
196202,1.44,-0.88
196203,2.33,0.10
196204,1.68,-0.21
196205,2.37,0.26
196206,3.32,0.98
196207,2.90,-0.38
196208,3.96,-0.41
196209,4.65,0.08
196210,3.76,-0.63
196211,2.42,-0.97
196212,2.95,-0.12
196301,3.98,1.25
196302,2.60,0.28
196303,3.62,1.39
196304,2.66,0.77
196305,1.85,-0.26
196306,3.50,1.16
196307,3.63,0.35
196308,4.89,0.52
196309,3.72,-0.85
196310,4.44,0.05
196311,1.50,-1.89
196312,3.57,0.50
196401,2.12,-0.61
196402,4.26,1.94
196403,2.39,0.16
196404,2.60,0.71
196405,2.30,0.19
196406,2.57,0.23
196407,2.86,-0.42
196408,3.59,-0.78
196409,3.11,-1.46
196410,4.23,-0.16
196411,3.15,-0.24
196412,2.53,-0.54
196501,2.79,0.06
196502,2.08,-0.24
196503,2.81,0.58
196504,2.40,0.51
196505,2.59,0.48
196506,2.81,0.47
196507,3.22,-0.06
196508,4.28,-0.09
196509,5.48,0.91
196510,4.41,0.02
196511,2.43,-0.96
196512,2.74,-0.33
196601,1.39,-1.34
196602,2.40,0.08
196603,2.21,-0.02
196604,1.43,-0.46
196605,3.07,0.96
196606,1.61,-0.73
196607,2.79,-0.49
196608,4.54,0.17
196609,4.44,-0.13
196610,4.32,-0.07
196611,3.46,0.07
196612,2.13,-0.94
196701,2.11,-0.62
196702,2.51,0.19
196703,2.37,0.14
196704,2.22,0.33
196705,1.54,-0.57
196706,2.54,0.20
196707,4.53,1.25
196708,5.37,1.00
196709,4.93,0.36
196710,2.91,-1.48
196711,4.59,1.20
196712,3.45,0.38
196801,2.29,-0.44
196802,2.97,0.65
196803,1.74,-0.49
196804,2.14,0.25
196805,2.40,0.29
196806,2.02,-0.32
196807,2.15,-1.13
196808,2.62,-1.75
196809,3.62,-0.95
196810,3.02,-1.37
196811,2.81,-0.58
196812,1.65,-1.42
196901,1.14,-1.59
196902,1.34,-0.98
196903,1.86,-0.37
196904,1.19,-0.70
196905,1.77,-0.34
196906,1.39,-0.95
196907,3.83,0.55
196908,3.42,-0.95
196909,2.16,-2.41
196910,4.03,-0.36
196911,3.91,0.52
196912,3.40,0.33
197001,1.61,-1.12
197002,2.55,0.23
197003,2.66,0.43
197004,2.39,0.50
197005,1.80,-0.31
197006,2.65,0.31
197007,3.63,0.35
197008,4.33,-0.04
197009,3.73,-0.84
197010,4.47,0.08
197011,3.17,-0.22
197012,3.27,0.20
197101,1.89,-0.84
197102,2.70,0.38
197103,1.66,-0.57
197104,1.90,0.01
197105,2.56,0.45
197106,2.01,-0.33
197107,3.41,0.13
197108,4.62,0.25
197109,3.96,-0.61
197110,5.06,0.67
197111,2.78,-0.61
197112,3.73,0.66
197201,2.41,-0.32
197202,1.26,-1.06
197203,1.91,-0.32
197204,1.67,-0.22
197205,1.82,-0.29
197206,2.34,0.00
197207,1.91,-1.37
197208,3.92,-0.45
197209,4.33,-0.24
197210,5.15,0.76
197211,2.54,-0.85
197212,2.06,-1.01
197301,2.43,-0.30
197302,1.58,-0.74
197303,2.16,-0.07
197304,1.89,0.00
197305,2.26,0.15
197306,2.29,-0.05
197307,2.74,-0.54
197308,5.15,0.78
197309,3.12,-1.45
197310,3.83,-0.56
197311,2.19,-1.20
197312,2.06,-1.01
197401,1.21,-1.52
197402,2.57,0.25
197403,1.14,-1.09
197404,1.78,-0.11
197405,1.27,-0.84
197406,2.04,-0.30
197407,3.16,-0.12
197408,3.33,-1.04
197409,3.66,-0.91
197410,5.41,1.02
197411,4.26,0.87
197412,3.39,0.32
197501,2.53,-0.20
197502,2.05,-0.27
197503,1.48,-0.75
197504,2.67,0.78
197505,1.78,-0.33
197506,2.86,0.52
197507,3.68,0.40
197508,2.82,-1.55
197509,5.51,0.94
197510,3.12,-1.27
197511,1.76,-1.63
197512,2.96,-0.11
197601,3.24,0.51
197602,1.78,-0.54
197603,2.45,0.22
197604,2.02,0.13
197605,2.58,0.47
197606,1.64,-0.70
197607,2.53,-0.75
197608,2.95,-1.42
197609,4.93,0.36
197610,3.74,-0.65
197611,5.61,2.22
197612,3.16,0.09
197701,3.07,0.34
197702,3.15,0.83
197703,2.38,0.15
197704,3.11,1.22
197705,2.35,0.24
197706,2.45,0.11
197707,2.04,-1.24
197708,2.51,-1.86
197709,5.70,1.13
197710,4.33,-0.06
197711,2.07,-1.32
197712,1.98,-1.09
197801,1.61,-1.12
197802,2.19,-0.13
197803,1.39,-0.84
197804,1.49,-0.40
197805,1.94,-0.17
197806,3.18,0.84
197807,2.78,-0.50
197808,2.79,-1.58
197809,3.34,-1.23
197810,6.05,1.66
197811,3.63,0.24
197812,4.46,1.39
197901,1.81,-0.92
197902,0.72,-1.60
197903,3.33,1.10
197904,1.97,0.08
197905,1.69,-0.42
197906,3.20,0.86
197907,3.53,0.25
197908,3.22,-1.15
197909,4.02,-0.55
197910,5.01,0.62
197911,5.78,2.39
197912,2.98,-0.09
198001,3.03,0.30
198002,2.69,0.37
198003,2.07,-0.16
198004,2.38,0.49
198005,2.16,0.05
198006,3.71,1.37
198007,4.17,0.89
198008,3.93,-0.44
198009,3.82,-0.75
198010,5.18,0.79
198011,3.36,-0.03
198012,1.98,-1.09
