Delaware, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,4.50,1.01
189502,1.45,-1.61
189503,3.52,-0.45
189504,5.44,1.97
189505,3.35,-0.20
189506,3.72,0.07
189507,3.18,-1.12
189508,2.62,-1.96
189509,2.04,-1.57
189510,2.63,-0.49
189511,1.99,-1.07
189512,2.12,-1.34
189601,1.47,-2.02
189602,6.27,3.21
189603,4.92,0.95
189604,1.35,-2.12
189605,3.03,-0.52
189606,5.18,1.53
189607,4.83,0.53
189608,1.78,-2.80
189609,4.44,0.83
189610,2.75,-0.37
189611,2.37,-0.69
189612,1.11,-2.35
189701,2.23,-1.26
189702,4.72,1.66
189703,2.68,-1.29
189704,3.07,-0.40
189705,3.69,0.14
189706,2.94,-0.71
189707,8.53,4.23
189708,3.65,-0.93
189709,1.07,-2.54
189710,4.45,1.33
189711,4.13,1.07
189712,3.87,0.41
189801,3.00,-0.49
189802,2.09,-0.97
189803,3.29,-0.68
189804,3.14,-0.33
189805,4.47,0.92
189806,2.37,-1.28
189807,3.76,-0.54
189808,5.23,0.65
189809,2.27,-1.34
189810,4.12,1.00
189811,4.59,1.53
189812,3.49,0.03
189901,3.61,0.12
189902,5.81,2.75
189903,5.48,1.51
189904,1.56,-1.91
189905,2.21,-1.34
189906,2.29,-1.36
189907,4.82,0.52
189908,4.23,-0.35
189909,3.34,-0.27
189910,2.79,-0.33
189911,2.06,-1.00
189912,1.47,-1.99
190001,3.38,-0.11
190002,4.68,1.62
190003,3.34,-0.63
190004,2.00,-1.47
190005,2.77,-0.78
190006,4.48,0.83
190007,3.36,-0.94
190008,3.50,-1.08
190009,4.71,1.10
190010,2.35,-0.77
190011,2.65,-0.41
190012,2.61,-0.85
190101,2.88,-0.61
190102,0.62,-2.44
190103,3.26,-0.71
190104,5.01,1.54
190105,3.54,-0.01
190106,2.25,-1.40
190107,5.57,1.27
190108,6.74,2.16
190109,2.89,-0.72
190110,1.70,-1.42
190111,2.28,-0.78
190112,6.14,2.68
190201,3.69,0.20
190202,5.08,2.02
190203,3.28,-0.69
190204,3.95,0.48
190205,1.93,-1.62
190206,7.01,3.36
190207,3.82,-0.48
190208,1.87,-2.71
190209,5.88,2.27
190210,5.31,2.19
190211,3.14,0.08
190212,5.76,2.30
190301,3.42,-0.07
190302,5.28,2.22
190303,6.51,2.54
190304,3.68,0.21
190305,1.55,-2.00
190306,3.92,0.27
190307,4.87,0.57
190308,4.88,0.30
190309,2.81,-0.80
190310,6.84,3.72
190311,1.33,-1.73
190312,3.76,0.30
190401,2.07,-1.42
190402,2.38,-0.68
190403,3.46,-0.51
190404,2.45,-1.02
190405,1.94,-1.61
190406,3.49,-0.16
190407,5.77,1.47
190408,3.23,-1.35
190409,3.35,-0.26
190410,2.82,-0.30
190411,2.12,-0.94
190412,4.40,0.94
190501,4.02,0.53
190502,3.45,0.39
190503,3.02,-0.95
190504,3.12,-0.35
190505,3.34,-0.21
190506,3.61,-0.04
190507,6.09,1.79
190508,5.22,0.64
190509,4.28,0.67
190510,1.68,-1.44
190511,1.03,-2.03
190512,4.46,1.00
190601,2.80,-0.69
190602,3.88,0.82
190603,5.75,1.78
190604,2.24,-1.23
190605,3.11,-0.44
190606,6.13,2.48
190607,6.17,1.87
190608,7.81,3.23
190609,1.39,-2.22
190610,4.24,1.12
190611,1.96,-1.10
190612,3.63,0.17
190701,2.54,-0.95
190702,2.64,-0.42
190703,2.80,-1.17
190704,3.71,0.24
190705,6.55,3.00
190706,5.36,1.71
190707,3.27,-1.03
190708,3.15,-1.43
190709,5.94,2.33
190710,3.30,0.18
190711,6.42,3.36
190712,4.24,0.78
190801,3.21,-0.28
190802,3.79,0.73
190803,2.13,-1.84
190804,2.66,-0.81
190805,5.87,2.32
190806,2.15,-1.50
190807,4.69,0.39
190808,5.20,0.62
190809,2.45,-1.16
190810,2.33,-0.79
190811,1.22,-1.84
190812,4.62,1.16
190901,2.82,-0.67
190902,3.60,0.54
190903,3.80,-0.17
190904,4.18,0.71
190905,3.66,0.11
190906,5.10,1.45
190907,2.38,-1.92
190908,2.61,-1.97
190909,3.50,-0.11
190910,1.41,-1.71
190911,2.21,-0.85
190912,4.43,0.97
191001,4.44,0.95
191002,1.71,-1.35
191003,2.38,-1.59
191004,4.32,0.85
191005,2.32,-1.23
191006,6.43,2.78
191007,2.81,-1.49
191008,4.37,-0.21
191009,1.42,-2.19
191010,4.95,1.83
