Florida, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,4.06,1.10
189502,3.77,0.60
189503,2.66,-1.06
189504,4.84,1.80
189505,4.96,0.97
189506,5.97,-0.93
189507,7.42,0.02
189508,7.27,0.12
189509,3.95,-2.57
189510,2.70,-1.15
189511,2.74,0.42
189512,1.65,-1.07
189601,3.48,0.52
189602,3.63,0.46
189603,2.70,-1.02
189604,0.85,-2.19
189605,2.39,-1.60
189606,10.93,4.03
189607,7.27,-0.13
189608,5.26,-1.89
189609,4.21,-2.31
189610,3.33,-0.52
189611,3.89,1.57
189612,2.40,-0.32
189701,1.57,-1.39
189702,6.59,3.42
189703,3.25,-0.47
189704,4.25,1.21
189705,1.57,-2.42
189706,5.66,-1.24
189707,8.56,1.16
189708,7.94,0.79
189709,9.24,2.72
189710,3.94,0.09
189711,1.46,-0.86
189712,2.97,0.25
189801,0.95,-2.01
189802,1.68,-1.49
189803,1.07,-2.65
189804,1.91,-1.13
189805,1.43,-2.56
189806,4.00,-2.90
189807,9.57,2.17
189808,13.49,6.34
189809,6.08,-0.44
189810,6.49,2.64
189811,3.22,0.90
189812,3.80,1.08
189901,4.84,1.88
189902,6.03,2.86
189903,1.99,-1.73
189904,3.78,0.74
189905,1.25,-2.74
189906,6.61,-0.29
189907,7.34,-0.06
189908,6.62,-0.53
189909,5.15,-1.37
189910,5.05,1.20
189911,0.80,-1.52
189912,2.05,-0.67
190001,3.24,0.28
190002,5.15,1.98
190003,6.75,3.03
190004,4.80,1.76
190005,4.55,0.56
190006,9.20,2.30
190007,7.27,-0.13
190008,4.64,-2.51
190009,4.47,-2.05
190010,5.13,1.28
190011,1.58,-0.74
190012,4.88,2.16
190101,2.67,-0.29
190102,4.31,1.14
190103,5.18,1.46
190104,2.31,-0.73
190105,4.32,0.33
190106,9.11,2.21
190107,7.47,0.07
190108,11.20,4.05
190109,6.05,-0.47
190110,1.73,-2.12
190111,1.04,-1.28
190112,3.07,0.35
190201,0.77,-2.19
190202,5.31,2.14
190203,5.20,1.48
190204,1.35,-1.69
190205,2.32,-1.67
190206,5.75,-1.15
190207,5.31,-2.09
190208,4.78,-2.37
190209,9.03,2.51
190210,6.29,2.44
190211,2.81,0.49
190212,3.57,0.85
190301,4.80,1.84
190302,5.61,2.44
190303,5.83,2.11
190304,0.60,-2.44
190305,4.90,0.91
190306,6.54,-0.36
190307,6.88,-0.52
190308,7.30,0.15
190309,7.64,1.12
190310,1.59,-2.26
190311,2.93,0.61
190312,2.02,-0.70
190401,4.55,1.59
190402,2.79,-0.38
190403,1.98,-1.74
190404,1.66,-1.38
190405,2.65,-1.34
190406,7.35,0.45
190407,6.17,-1.23
190408,7.25,0.10
190409,3.68,-2.84
190410,5.19,1.34
190411,2.89,0.57
190412,1.82,-0.90
190501,1.73,-1.23
190502,3.40,0.23
190503,3.69,-0.03
190504,2.57,-0.47
190505,5.93,1.94
190506,4.62,-2.28
190507,8.82,1.42
190508,9.98,2.83
190509,6.22,-0.30
190510,2.91,-0.94
190511,0.84,-1.48
190512,7.12,4.40
190601,4.25,1.29
190602,2.65,-0.52
190603,3.07,-0.65
190604,1.35,-1.69
190605,6.97,2.98
190606,8.41,1.51
190607,9.82,2.42
190608,8.38,1.23
190609,4.98,-1.54
190610,3.11,-0.74
190611,0.98,-1.34
190612,0.91,-1.81
190701,0.76,-2.20
190702,1.42,-1.75
190703,0.80,-2.92
190704,3.28,0.24
190705,5.80,1.81
190706,5.98,-0.92
190707,7.08,-0.32
190708,6.45,-0.70
190709,8.29,1.77
190710,1.34,-2.51
190711,2.34,0.02
190712,5.75,3.03
190801,3.12,0.16
190802,2.46,-0.71
190803,1.01,-2.71
190804,3.14,0.10
190805,3.01,-0.98
190806,6.04,-0.86
190807,6.54,-0.86
190808,7.67,0.52
190809,8.98,2.46
190810,2.57,-1.28
190811,1.71,-0.61
190812,0.91,-1.81
190901,1.48,-1.48
190902,1.87,-1.30
190903,2.87,-0.85
190904,2.93,-0.11
190905,4.48,0.49
190906,6.75,-0.15
190907,11.04,3.64
190908,8.68,1.53
190909,3.71,-2.81
190910,1.65,-2.20
190911,0.81,-1.51
190912,2.90,0.18
191001,1.36,-1.60
191002,3.21,0.04
191003,1.75,-1.97
191004,1.50,-1.54
191005,2.91,-1.08
191006,10.07,3.17
191007,7.79,0.39
191008,8.33,1.18
191009,3.38,-3.14
191010,8.15,4.30
191011,1.70,-0.62
191012,0.95,-1.77
191101,1.37,-1.59
191102,0.22,-2.95
191103,2.17,-1.55
191104,2.39,-0.65
191105,4.81,0.82
191106,4.93,-1.97
191107,6.77,-0.63
191108,8.11,0.96
191109,3.83,-2.69
191110,5.36,1.51
191111,3.95,1.63
191112,4.76,2.04
191201,4.83,1.87
191202,3.25,0.08
191203,4.15,0.43
191204,4.51,1.47
191205,5.37,1.38
191206,10.72,3.82
191207,5.46,-1.94
191208,6.23,-0.92
191209,9.05,2.53
191210,4.45,0.60
191211,3.13,0.81
191212,2.32,-0.40
191301,1.94,-1.02
191302,4.72,1.55
191303,5.43,1.71
191304,2.24,-0.80
191305,3.39,-0.60
191306,5.51,-1.39
191307,5.42,-1.98
191308,7.14,-0.01
191309,5.41,-1.11
191310,2.81,-1.04
191311,1.13,-1.19
191312,3.06,0.34
191401,4.12,1.16
191402,5.16,1.99
191403,1.58,-2.14
191404,2.73,-0.31
191405,2.01,-1.98
191406,4.50,-2.40
191407,6.11,-1.29
191408,5.85,-1.30
191409,7.34,0.82
191410,4.20,0.35
191411,2.67,0.35
191412,4.23,1.51
191501,5.58,2.62
191502,3.75,0.58
191503,2.53,-1.19
191504,1.38,-1.66
191505,6.06,2.07
191506,5.74,-1.16
191507,7.67,0.27
191508,7.16,0.01
191509,5.16,-1.36
191510,6.79,2.94
191511,2.53,0.21
191512,2.59,-0.13
191601,1.13,-1.83
191602,1.29,-1.88
191603,1.03,-2.69
191604,2.80,-0.24
191605,3.66,-0.33
191606,6.39,-0.51
191607,8.65,1.25
191608,5.94,-1.21
191609,4.63,-1.89
191610,4.32,0.47
191611,3.26,0.94
191612,4.24,1.52
191701,1.76,-1.20
191702,2.08,-1.09
191703,2.23,-1.49
191704,1.62,-1.42
191705,2.60,-1.39
191706,5.78,-1.12
191707,7.09,-0.31
191708,7.65,0.50
191709,7.54,1.02
191710,2.72,-1.13
191711,0.54,-1.78
191712,1.52,-1.20
191801,3.06,0.10
191802,0.85,-2.32
191803,2.34,-1.38
191804,5.37,2.33
191805,2.49,-1.50
191806,5.34,-1.56
191807,5.24,-2.16
191808,6.07,-1.08
191809,6.38,-0.14
191810,5.26,1.41
191811,3.36,1.04
191812,3.78,1.06
191901,2.41,-0.55
191902,4.99,1.82
191903,5.36,1.64
191904,2.22,-0.82
191905,6.01,2.02
191906,7.01,0.11
191907,8.72,1.32
191908,7.61,0.46
191909,4.42,-2.10
191910,2.16,-1.69
191911,3.07,0.75
191912,2.67,-0.05
192001,2.70,-0.26
192002,4.80,1.63
192003,1.35,-2.37
192004,6.44,3.40
192005,4.71,0.72
192006,5.88,-1.02
192007,7.68,0.28
192008,6.93,-0.22
192009,7.55,1.03
192010,1.94,-1.91
192011,4.17,1.85
192012,3.70,0.98
192101,1.27,-1.69
192102,1.97,-1.20
192103,1.91,-1.81
192104,2.11,-0.93
192105,5.48,1.49
192106,3.50,-3.40
192107,8.33,0.93
192108,4.89,-2.26
192109,2.48,-4.04
192110,8.23,4.38
192111,2.57,0.25
192112,2.21,-0.51
192201,2.36,-0.60
192202,2.97,-0.20
192203,2.64,-1.08
192204,1.15,-1.89
192205,7.25,3.26
192206,7.21,0.31
192207,6.64,-0.76
192208,7.57,0.42
192209,8.21,1.69
192210,8.78,4.93
192211,1.35,-0.97
192212,2.76,0.04
192301,1.91,-1.05
192302,1.83,-1.34
192303,2.37,-1.35
192304,2.78,-0.26
192305,8.28,4.29
192306,9.47,2.57
192307,7.10,-0.30
192308,7.46,0.31
192309,4.78,-1.74
192310,2.70,-1.15
192311,1.01,-1.31
192312,1.34,-1.38
192401,4.25,1.29
192402,3.56,0.39
192403,5.92,2.20
192404,3.34,0.30
192405,2.82,-1.17
192406,6.22,-0.68
192407,9.94,2.54
192408,4.70,-2.45
192409,8.79,2.27
192410,8.90,5.05
192411,0.37,-1.95
192412,2.52,-0.20
192501,4.80,1.84
192502,1.99,-1.18
192503,1.83,-1.89
192504,1.53,-1.51
192505,5.31,1.32
192506,6.62,-0.28
192507,7.23,-0.17
192508,7.00,-0.15
192509,2.64,-3.88
192510,3.59,-0.26
192511,3.28,0.96
192512,5.95,3.23
192601,5.87,2.91
192602,2.36,-0.81
192603,4.44,0.72
192604,4.47,1.43
192605,2.62,-1.37
192606,8.41,1.51
192607,9.57,2.17
192608,9.01,1.86
192609,8.73,2.21
192610,2.32,-1.53
192611,3.02,0.70
192612,1.02,-1.70
192701,0.32,-2.64
192702,3.49,0.32
192703,2.23,-1.49
192704,1.37,-1.67
192705,1.10,-2.89
192706,7.45,0.55
192707,6.98,-0.42
192708,6.60,-0.55
192709,3.83,-2.69
192710,3.55,-0.30
192711,1.06,-1.26
192712,3.06,0.34
192801,0.74,-2.22
192802,3.15,-0.02
192803,4.76,1.04
192804,7.58,4.54
192805,3.60,-0.39
192806,7.30,0.40
192807,8.14,0.74
192808,10.57,3.42
192809,11.52,5.00
192810,2.71,-1.14
192811,0.73,-1.59
192812,1.36,-1.36
192901,3.19,0.23
192902,2.33,-0.84
192903,3.55,-0.17
192904,3.47,0.43
192905,4.95,0.96
192906,8.09,1.19
192907,8.23,0.83
192908,6.23,-0.92
192909,10.59,4.07
192910,4.08,0.23
192911,1.57,-0.75
192912,2.58,-0.14
193001,3.63,0.67
193002,2.90,-0.27
193003,7.65,3.93
193004,3.47,0.43
193005,4.08,0.09
193006,10.34,3.44
193007,5.01,-2.39
193008,4.38,-2.77
193009,8.76,2.24
193010,2.54,-1.31
193011,3.56,1.24
193012,4.09,1.37
193101,3.29,0.33
193102,2.19,-0.98
193103,5.17,1.45
193104,4.37,1.33
193105,3.08,-0.91
193106,2.25,-4.65
193107,6.11,-1.29
193108,6.18,-0.97
193109,4.59,-1.93
193110,2.14,-1.71
193111,0.32,-2.00
193112,2.80,0.08
193201,2.46,-0.50
193202,1.34,-1.83
193203,3.73,0.01
193204,1.31,-1.73
193205,6.10,2.11
193206,8.57,1.67
193207,4.17,-3.23
193208,9.76,2.61
193209,6.66,0.14
193210,4.25,0.40
193211,4.28,1.96
193212,1.07,-1.65
193301,2.35,-0.61
193302,3.46,0.29
193303,4.05,0.33
193304,7.24,4.20
193305,2.91,-1.08
193306,5.22,-1.68
193307,9.76,2.36
193308,6.60,-0.55
193309,6.86,0.34
193310,4.11,0.26
193311,1.57,-0.75
193312,0.68,-2.04
193401,1.37,-1.59
193402,3.70,0.53
193403,3.26,-0.46
193404,3.94,0.90
193405,6.85,2.86
193406,10.18,3.28
193407,7.46,0.06
193408,5.73,-1.42
193409,4.67,-1.85
193410,3.48,-0.37
193411,1.36,-0.96
193412,1.03,-1.69
193501,1.28,-1.68
193502,2.60,-0.57
193503,1.20,-2.52
193504,4.40,1.36
193505,3.92,-0.07
193506,5.72,-1.18
193507,9.09,1.69
193508,8.48,1.33
193509,9.80,3.28
193510,2.40,-1.45
193511,1.35,-0.97
193512,2.46,-0.26
193601,5.11,2.15
193602,6.45,3.28
193603,3.01,-0.71
193604,2.23,-0.81
193605,4.10,0.11
193606,8.71,1.81
193607,6.44,-0.96
193608,6.96,-0.19
193609,5.08,-1.44
193610,5.28,1.43
193611,1.52,-0.80
193612,2.88,0.16
193701,1.86,-1.10
193702,4.98,1.81
193703,4.23,0.51
193704,4.82,1.78
193705,3.46,-0.53
193706,5.87,-1.03
193707,7.22,-0.18
193708,8.04,0.89
193709,6.88,0.36
193710,5.04,1.19
193711,4.19,1.87
193712,1.11,-1.61
193801,2.06,-0.90
193802,1.36,-1.81
193803,1.87,-1.85
193804,1.26,-1.78
193805,4.08,0.09
193806,6.51,-0.39
193807,8.71,1.31
193808,4.15,-3.00
193809,5.83,-0.69
193810,4.44,0.59
193811,1.48,-0.84
193812,1.14,-1.58
193901,1.53,-1.43
193902,2.35,-0.82
193903,1.44,-2.28
193904,4.47,1.43
193905,4.43,0.44
193906,9.10,2.20
193907,7.51,0.11
193908,10.96,3.81
193909,5.69,-0.83
193910,2.87,-0.98
193911,1.27,-1.05
193912,1.94,-0.78
194001,2.63,-0.33
194002,4.51,1.34
194003,3.47,-0.25
194004,2.57,-0.47
194005,2.07,-1.92
194006,7.09,0.19
194007,8.16,0.76
194008,6.86,-0.29
194009,6.55,0.03
194010,0.66,-3.19
194011,1.21,-1.11
194012,5.89,3.17
194101,3.48,0.52
194102,3.63,0.46
194103,3.97,0.25
194104,4.41,1.37
194105,1.34,-2.65
194106,8.00,1.10
194107,10.57,3.17
194108,5.44,-1.71
194109,6.05,-0.47
194110,5.23,1.38
194111,3.17,0.85
194112,3.80,1.08
194201,3.59,0.63
194202,4.55,1.38
194203,5.97,2.25
194204,2.75,-0.29
194205,3.44,-0.55
194206,9.95,3.05
194207,5.68,-1.72
194208,5.90,-1.25
194209,6.36,-0.16
194210,1.05,-2.80
194211,0.76,-1.56
194212,3.44,0.72
194301,1.88,-1.08
194302,0.89,-2.28
194303,4.50,0.78
194304,2.27,-0.77
194305,4.63,0.64
194306,7.25,0.35
194307,8.57,1.17
194308,7.29,0.14
194309,5.91,-0.61
194310,2.40,-1.45
194311,1.78,-0.54
194312,1.56,-1.16
194401,2.50,-0.46
194402,1.54,-1.63
194403,5.71,1.99
194404,4.06,1.02
194405,2.90,-1.09
194406,5.65,-1.25
194407,9.29,1.89
194408,7.91,0.76
194409,6.06,-0.46
194410,5.45,1.60
194411,1.36,-0.96
194412,0.76,-1.96
194501,3.86,0.90
194502,1.32,-1.85
194503,0.67,-3.05
194504,3.48,0.44
194505,1.80,-2.19
194506,7.97,1.07
194507,10.44,3.04
194508,8.37,1.22
194509,8.09,1.57
194510,3.60,-0.25
194511,1.08,-1.24
194512,4.83,2.11
194601,2.73,-0.23
194602,2.76,-0.41
194603,4.11,0.39
194604,1.28,-1.76
194605,7.48,3.49
194606,6.90,0.00
194607,9.04,1.64
194608,7.16,0.01
194609,6.81,0.29
194610,2.56,-1.29
194611,2.47,0.15
194612,0.99,-1.73
194701,2.64,-0.32
194702,3.48,0.31
194703,7.15,3.43
194704,4.96,1.92
194705,4.79,0.80
194706,8.97,2.07
194707,8.27,0.87
194708,7.25,0.10
194709,10.50,3.98
194710,6.43,2.58
194711,5.72,3.40
194712,2.78,0.06
194801,5.11,2.15
194802,1.05,-2.12
194803,6.78,3.06
194804,4.69,1.65
194805,2.49,-1.50
194806,3.72,-3.18
194807,10.95,3.55
194808,8.11,0.96
194809,10.13,3.61
194810,4.68,0.83
194811,2.81,0.49
194812,2.75,0.03
194901,0.94,-2.02
194902,2.57,-0.60
194903,2.12,-1.60
194904,4.93,1.89
194905,2.27,-1.72
194906,8.00,1.10
194907,8.44,1.04
194908,11.31,4.16
194909,7.12,0.60
194910,3.41,-0.44
194911,1.78,-0.54
194912,2.27,-0.45
195001,0.38,-2.58
195002,1.06,-2.11
195003,3.86,0.14
195004,2.98,-0.06
195005,3.30,-0.69
195006,3.91,-2.99
195007,8.24,0.84
195008,6.56,-0.59
195009,7.35,0.83
195010,6.61,2.76
195011,0.82,-1.50
195012,2.76,0.04
195101,0.90,-2.06
195102,1.83,-1.34
195103,3.34,-0.38
195104,4.31,1.27
195105,2.46,-1.53
195106,4.81,-2.09
195107,8.14,0.74
195108,5.91,-1.24
195109,7.19,0.67
195110,4.58,0.73
195111,4.27,1.95
195112,2.59,-0.13
195201,1.15,-1.81
195202,5.83,2.66
195203,3.82,0.10
195204,2.31,-0.73
195205,3.97,-0.02
195206,3.49,-3.41
195207,5.65,-1.75
195208,8.07,0.92
195209,6.37,-0.15
195210,6.26,2.41
195211,1.18,-1.14
195212,1.43,-1.29
195301,3.25,0.29
195302,3.27,0.10
195303,2.99,-0.73
195304,6.54,3.50
195305,1.40,-2.59
195306,7.95,1.05
195307,7.36,-0.04
195308,9.68,2.53
195309,10.39,3.87
195310,5.04,1.19
195311,3.48,1.16
195312,5.98,3.26
195401,0.96,-2.00
195402,2.00,-1.17
195403,2.49,-1.23
195404,3.66,0.62
195405,4.38,0.39
195406,5.71,-1.19
195407,7.63,0.23
195408,4.67,-2.48
195409,6.33,-0.19
195410,2.85,-1.00
195411,2.45,0.13
195412,1.88,-0.84
195501,2.74,-0.22
195502,2.04,-1.13
195503,1.55,-2.17
195504,2.57,-0.47
195505,3.08,-0.91
195506,6.46,-0.44
195507,7.13,-0.27
195508,5.38,-1.77
195509,6.01,-0.51
195510,2.92,-0.93
195511,1.21,-1.11
195512,1.31,-1.41
195601,2.36,-0.60
195602,2.56,-0.61
195603,1.36,-2.36
195604,2.69,-0.35
195605,3.73,-0.26
195606,5.20,-1.70
195607,6.04,-1.36
195608,5.61,-1.54
195609,6.26,-0.26
195610,6.66,2.81
195611,0.55,-1.77
195612,0.92,-1.80
195701,1.11,-1.85
195702,3.01,-0.16
195703,4.63,0.91
195704,4.79,1.75
195705,6.40,2.41
195706,7.46,0.56
195707,7.77,0.37
195708,7.49,0.34
195709,10.19,3.67
195710,3.20,-0.65
195711,2.77,0.45
195712,2.62,-0.10
195801,5.37,2.41
195802,3.19,0.02
195803,6.29,2.57
195804,4.53,1.49
195805,5.31,1.32
195806,6.11,-0.79
195807,6.72,-0.68
195808,5.75,-1.40
195809,3.86,-2.66
195810,4.36,0.51
195811,2.15,-0.17
195812,3.59,0.87
195901,3.67,0.71
195902,3.57,0.40
195903,8.62,4.90
195904,3.89,0.85
195905,6.65,2.66
195906,8.52,1.62
195907,7.94,0.54
195908,7.39,0.24
195909,7.92,1.40
195910,8.62,4.77
195911,2.29,-0.03
195912,1.72,-1.00
196001,1.88,-1.08
196002,5.06,1.89
196003,6.34,2.62
196004,4.46,1.42
196005,2.81,-1.18
196006,6.84,-0.06
196007,10.57,3.17
196008,6.53,-0.62
196009,11.93,5.41
196010,4.03,0.18
196011,1.02,-1.30
196012,1.69,-1.03
196101,3.39,0.43
196102,3.33,0.16
196103,2.64,-1.08
196104,2.96,-0.08
196105,3.89,-0.10
196106,5.80,-1.10
196107,5.50,-1.90
196108,8.66,1.51
196109,2.77,-3.75
196110,1.47,-2.38
196111,1.93,-0.39
196112,2.05,-0.67
196201,1.89,-1.07
196202,1.49,-1.68
196203,3.91,0.19
196204,2.94,-0.10
196205,2.07,-1.92
196206,8.21,1.31
196207,6.59,-0.81
196208,7.10,-0.05
196209,8.03,1.51
196210,1.93,-1.92
196211,3.01,0.69
196212,1.47,-1.25
196301,3.29,0.33
196302,5.30,2.13
196303,1.69,-2.03
196304,0.91,-2.13
196305,4.80,0.81
196306,6.84,-0.06
196307,6.28,-1.12
196308,5.36,-1.79
196309,7.70,1.18
