Georgia, Precipitation
Units: Inches
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,8.26,3.89
189502,2.89,-1.65
189503,6.58,1.52
189504,4.77,0.95
189505,4.10,0.40
189506,3.59,-0.94
189507,5.04,-0.56
189508,7.15,2.25
189509,1.68,-2.23
189510,1.24,-1.50
189511,1.81,-1.06
189512,3.01,-1.07
189601,3.90,-0.47
189602,5.52,0.98
189603,3.56,-1.50
189604,1.59,-2.23
189605,2.37,-1.33
189606,4.18,-0.35
189607,7.78,2.18
189608,3.00,-1.90
189609,2.15,-1.76
189610,2.08,-0.66
189611,5.25,2.38
189612,3.31,-0.77
189701,2.40,-1.97
189702,7.75,3.21
189703,8.62,3.56
189704,4.18,0.36
189705,1.22,-2.48
189706,3.34,-1.19
189707,4.90,-0.70
189708,5.42,0.52
189709,3.15,-0.76
189710,2.74,0.00
189711,1.25,-1.62
189712,3.37,-0.71
189801,2.22,-2.15
189802,1.10,-3.44
189803,2.66,-2.40
189804,4.69,0.87
189805,1.33,-2.37
189806,3.76,-0.77
189807,8.40,2.80
189808,11.27,6.37
189809,4.45,0.54
189810,6.56,3.82
189811,4.96,2.09
189812,3.76,-0.32
189901,5.80,1.43
189902,6.65,2.11
189903,4.47,-0.59
189904,2.82,-1.00
189905,1.91,-1.79
189906,2.56,-1.97
189907,4.64,-0.96
189908,4.79,-0.11
189909,1.44,-2.47
189910,4.38,1.64
189911,1.79,-1.08
189912,2.97,-1.11
190001,2.91,-1.46
190002,7.67,3.13
190003,5.68,0.62
190004,5.41,1.59
190005,2.62,-1.08
190006,8.41,3.88
190007,4.96,-0.64
190008,2.71,-2.19
190009,2.92,-0.99
190010,4.12,1.38
190011,3.13,0.26
190012,5.50,1.42
190101,4.58,0.21
190102,4.50,-0.04
190103,6.35,1.29
190104,3.89,0.07
190105,5.35,1.65
190106,5.77,1.24
190107,4.24,-1.36
190108,9.31,4.41
190109,5.04,1.13
190110,1.26,-1.48
190111,0.98,-1.89
190112,5.33,1.25
190201,1.75,-2.62
190202,6.81,2.27
190203,8.35,3.29
190204,1.81,-2.01
190205,2.43,-1.27
190206,4.04,-0.49
190207,5.18,-0.42
190208,3.89,-1.01
190209,4.95,1.04
190210,4.05,1.31
190211,3.52,0.65
190212,4.53,0.45
190301,3.35,-1.02
190302,7.64,3.10
190303,6.40,1.34
190304,2.98,-0.84
190305,6.08,2.38
190306,5.68,1.15
190307,4.06,-1.54
190308,6.08,1.18
190309,4.80,0.89
190310,2.22,-0.52
190311,2.38,-0.49
190312,2.33,-1.75
190401,3.87,-0.50
190402,4.04,-0.50
190403,2.60,-2.46
190404,1.63,-2.19
190405,2.33,-1.37
190406,3.35,-1.18
190407,4.25,-1.35
190408,7.89,2.99
190409,1.37,-2.54
190410,0.47,-2.27
190411,3.09,0.22
190412,3.31,-0.77
190501,3.04,-1.33
190502,6.98,2.44
190503,3.29,-1.77
190504,3.24,-0.58
190505,4.72,1.02
190506,3.43,-1.10
190507,4.97,-0.63
190508,4.69,-0.21
190509,3.07,-0.84
190510,2.65,-0.09
190511,1.67,-1.20
190512,8.23,4.15
190601,5.72,1.35
190602,2.49,-2.05
190603,5.43,0.37
190604,1.14,-2.68
190605,4.91,1.21
190606,6.26,1.73
190607,8.38,2.78
190608,5.87,0.97
190609,4.71,0.80
190610,3.36,0.62
190611,1.53,-1.34
190612,3.21,-0.87
190701,1.24,-3.13
190702,3.26,-1.28
190703,1.82,-3.24
190704,5.81,1.99
190705,3.96,0.26
190706,4.51,-0.02
190707,5.54,-0.06
190708,4.70,-0.20
190709,6.42,2.51
190710,0.78,-1.96
190711,4.66,1.79
190712,6.49,2.41
190801,4.38,0.01
190802,5.57,1.03
190803,4.53,-0.53
190804,6.75,2.93
190805,2.85,-0.85
190806,3.47,-1.06
190807,5.25,-0.35
190808,5.32,0.42
190809,3.46,-0.45
190810,2.51,-0.23
190811,1.19,-1.68
190812,3.29,-0.79
190901,1.67,-2.70
190902,5.23,0.69
190903,7.14,2.08
190904,3.41,-0.41
190905,4.28,0.58
190906,5.26,0.73
190907,5.83,0.23
190908,4.88,-0.02
190909,3.36,-0.55
190910,1.51,-1.23
190911,0.93,-1.94
190912,3.44,-0.64
191001,2.98,-1.39
191002,4.59,0.05
191003,1.89,-3.17
191004,2.94,-0.88
191005,3.44,-0.26
191006,7.79,3.26
191007,5.73,0.13
191008,3.82,-1.08
191009,2.75,-1.16
191010,3.70,0.96
191011,2.18,-0.69
191012,2.78,-1.30
191101,2.38,-1.99
191102,2.17,-2.37
191103,2.93,-2.13
191104,4.19,0.37
191105,2.13,-1.57
191106,2.84,-1.69
191107,5.36,-0.24
191108,6.76,1.86
191109,3.41,-0.50
191110,4.82,2.08
191111,3.94,1.07
191112,6.65,2.57
191201,6.24,1.87
191202,5.54,1.00
191203,7.86,2.80
191204,7.34,3.52
191205,4.09,0.39
191206,6.42,1.89
191207,5.92,0.32
191208,5.30,0.40
191209,6.40,2.49
191210,2.73,-0.01
191211,2.36,-0.51
191212,3.59,-0.49
191301,3.44,-0.93
191302,5.10,0.56
191303,8.60,3.54
191304,1.39,-2.43
191305,2.09,-1.61
191306,4.95,0.42
191307,5.83,0.23
191308,4.31,-0.59
191309,4.02,0.11
191310,2.37,-0.37
191311,0.94,-1.93
191312,3.03,-1.05
191401,2.67,-1.70
191402,5.95,1.41
191403,2.92,-2.14
191404,2.56,-1.26
191405,0.89,-2.81
191406,3.78,-0.75
191407,4.78,-0.82
191408,6.39,1.49
191409,3.82,-0.09
191410,4.13,1.39
191411,4.68,1.81
191412,4.41,0.33
191501,6.18,1.81
191502,3.94,-0.60
191503,2.73,-2.33
191504,0.66,-3.16
191505,6.97,3.27
191506,3.78,-0.75
191507,4.18,-1.42
191508,5.27,0.37
191509,2.70,-1.21
191510,6.58,3.84
191511,2.31,-0.56
191512,4.23,0.15
191601,1.97,-2.40
191602,3.52,-1.02
191603,1.89,-3.17
191604,1.76,-2.06
191605,2.68,-1.02
191606,4.69,0.16
191607,13.46,7.86
191608,3.26,-1.64
191609,2.15,-1.76
191610,2.31,-0.43
191611,1.71,-1.16
191612,3.72,-0.36
191701,5.20,0.83
191702,4.92,0.38
191703,6.94,1.88
191704,2.85,-0.97
191705,2.87,-0.83
191706,3.09,-1.44
191707,5.56,-0.04
191708,5.93,1.03
191709,5.65,1.74
191710,1.03,-1.71
191711,0.93,-1.94
191712,1.67,-2.41
191801,5.09,0.72
191802,2.10,-2.44
191803,1.64,-3.42
191804,5.42,1.60
191805,2.07,-1.63
191806,4.22,-0.31
191807,5.00,-0.60
191808,4.26,-0.64
191809,3.25,-0.66
191810,4.22,1.48
191811,4.68,1.81
191812,5.96,1.88
191901,4.52,0.15
191902,7.05,2.51
191903,4.47,-0.59
191904,2.24,-1.58
191905,4.78,1.08
191906,5.89,1.36
191907,8.69,3.09
191908,5.95,1.05
191909,1.38,-2.53
191910,2.50,-0.24
191911,1.81,-1.06
191912,4.28,0.20
192001,4.46,0.09
192002,4.68,0.14
192003,6.74,1.68
192004,7.24,3.42
192005,4.38,0.68
192006,3.49,-1.04
192007,5.81,0.21
192008,8.15,3.25
192009,3.52,-0.39
192010,0.92,-1.82
192011,3.89,1.02
192012,5.61,1.53
192101,2.69,-1.68
192102,3.77,-0.77
192103,1.63,-3.43
192104,3.33,-0.49
192105,4.39,0.69
192106,2.98,-1.55
192107,7.37,1.77
192108,4.79,-0.11
192109,2.14,-1.77
192110,2.22,-0.52
192111,3.52,0.65
192112,2.01,-2.07
192201,4.32,-0.05
192202,6.13,1.59
192203,7.65,2.59
192204,3.18,-0.64
192205,7.27,3.57
192206,5.43,0.90
192207,5.09,-0.51
192208,3.82,-1.08
192209,1.50,-2.41
192210,3.88,1.14
192211,0.78,-2.09
192212,5.50,1.42
192301,4.04,-0.33
192302,4.20,-0.34
192303,5.75,0.69
192304,3.48,-0.34
192305,8.44,4.74
192306,5.60,1.07
192307,4.84,-0.76
192308,5.71,0.81
192309,2.16,-1.75
192310,0.92,-1.82
192311,2.67,-0.20
192312,3.76,-0.32
192401,5.15,0.78
192402,3.81,-0.73
192403,3.85,-1.21
192404,5.77,1.95
192405,3.55,-0.15
192406,4.73,0.20
192407,5.90,0.30
192408,2.41,-2.49
192409,10.60,6.69
192410,1.40,-1.34
192411,0.67,-2.20
192412,6.19,2.11
192501,10.10,5.73
192502,2.01,-2.53
192503,1.71,-3.35
192504,1.56,-2.26
192505,1.95,-1.75
192506,3.40,-1.13
192507,3.81,-1.79
192508,2.19,-2.71
192509,1.70,-2.21
192510,4.56,1.82
192511,4.19,1.32
192512,4.29,0.21
192601,7.40,3.03
192602,4.42,-0.12
192603,5.68,0.62
192604,2.44,-1.38
192605,1.92,-1.78
192606,4.36,-0.17
192607,7.16,1.56
192608,4.97,0.07
192609,3.86,-0.05
192610,1.54,-1.20
192611,3.68,0.81
192612,3.65,-0.43
192701,0.84,-3.53
192702,4.30,-0.24
192703,3.18,-1.88
192704,2.02,-1.80
192705,1.65,-2.05
192706,5.98,1.45
192707,6.78,1.18
192708,4.22,-0.68
192709,1.43,-2.48
192710,1.80,-0.94
192711,1.59,-1.28
192712,7.36,3.28
192801,1.30,-3.07
192802,5.43,0.89
192803,6.49,1.43
192804,8.19,4.37
192805,3.84,0.14
192806,6.20,1.67
192807,6.94,1.34
192808,9.73,4.83
192809,6.92,3.01
192810,2.02,-0.72
192811,0.92,-1.95
192812,1.95,-2.13
192901,4.83,0.46
192902,8.01,3.47
192903,9.18,4.12
192904,4.13,0.31
192905,5.29,1.59
192906,5.87,1.34
192907,4.82,-0.78
192908,3.33,-1.57
192909,9.17,5.26
192910,4.83,2.09
192911,4.49,1.62
192912,3.77,-0.31
193001,5.02,0.65
193002,1.66,-2.88
193003,5.92,0.86
193004,3.36,-0.46
193005,2.27,-1.43
193006,4.33,-0.20
193007,5.97,0.37
193008,2.10,-2.80
193009,6.08,2.17
193010,1.57,-1.17
193011,5.58,2.71
193012,3.33,-0.75
193101,2.92,-1.45
193102,2.84,-1.70
193103,3.05,-2.01
193104,2.96,-0.86
193105,3.37,-0.33
193106,1.83,-2.70
193107,5.28,-0.32
193108,5.11,0.21
193109,1.24,-2.67
193110,0.98,-1.76
193111,0.58,-2.29
193112,6.39,2.31
193201,5.60,1.23
193202,3.69,-0.85
193203,4.43,-0.63
193204,1.72,-2.10
193205,3.74,0.04
193206,6.74,2.21
193207,5.28,-0.32
193208,6.34,1.44
193209,4.03,0.12
193210,4.89,2.15
193211,4.62,1.75
193212,5.88,1.80
193301,3.52,-0.85
193302,5.97,1.43
193303,3.66,-1.40
193304,4.29,0.47
193305,2.73,-0.97
193306,3.12,-1.41
193307,5.82,0.22
193308,4.42,-0.48
193309,4.16,0.25
193310,2.08,-0.66
193311,0.96,-1.91
193312,1.79,-2.29
193401,2.56,-1.81
193402,4.11,-0.43
193403,5.23,0.17
193404,3.77,-0.05
193405,5.62,1.92
193406,5.19,0.66
193407,4.93,-0.67
193408,5.17,0.27
193409,2.32,-1.59
193410,3.98,1.24
193411,1.73,-1.14
193412,2.40,-1.68
193501,2.44,-1.93
193502,3.54,-1.00
193503,3.96,-1.10
193504,4.27,0.45
193505,2.82,-0.88
193506,2.87,-1.66
193507,7.89,2.29
193508,5.62,0.72
193509,4.46,0.55
193510,0.79,-1.95
193511,2.79,-0.08
193512,2.76,-1.32
193601,8.54,4.17
193602,6.40,1.86
193603,4.07,-0.99
193604,7.27,3.45
193605,1.28,-2.42
193606,3.19,-1.34
193607,5.06,-0.54
193608,6.53,1.63
193609,4.04,0.13
193610,4.11,1.37
193611,1.20,-1.67
193612,5.67,1.59
193701,6.04,1.67
193702,5.29,0.75
193703,3.86,-1.20
193704,6.74,2.92
193705,2.23,-1.47
193706,4.52,-0.01
193707,5.49,-0.11
193708,6.34,1.44
193709,2.98,-0.93
193710,4.78,2.04
193711,2.13,-0.74
193712,1.98,-2.10
193801,1.91,-2.46
193802,1.14,-3.40
193803,3.36,-1.70
193804,6.27,2.45
193805,3.47,-0.23
193806,5.66,1.13
193807,7.56,1.96
193808,3.28,-1.62
193809,3.18,-0.73
193810,0.97,-1.77
193811,2.41,-0.46
193812,2.66,-1.42
193901,3.38,-0.99
193902,8.77,4.23
193903,4.09,-0.97
193904,3.78,-0.04
193905,4.06,0.36
193906,4.82,0.29
193907,4.90,-0.70
193908,7.21,2.31
193909,3.05,-0.86
193910,0.34,-2.40
193911,0.88,-1.99
193912,3.17,-0.91
194001,4.09,-0.28
194002,5.36,0.82
194003,3.63,-1.43
194004,2.95,-0.87
194005,2.04,-1.66
194006,4.80,0.27
194007,6.81,1.21
194008,6.96,2.06
194009,1.20,-2.71
194010,0.84,-1.90
194011,3.56,0.69
194012,3.98,-0.10
194101,1.76,-2.61
194102,2.27,-2.27
194103,4.46,-0.60
194104,1.87,-1.95
194105,0.90,-2.80
194106,6.46,1.93
194107,7.29,1.69
194108,4.61,-0.29
194109,2.13,-1.78
194110,2.64,-0.10
194111,1.60,-1.27
194112,7.14,3.06
194201,4.50,0.13
194202,4.54,0.00
194203,7.89,2.83
194204,1.31,-2.51
194205,3.96,0.26
194206,5.47,0.94
194207,4.72,-0.88
194208,5.89,0.99
194209,4.55,0.64
194210,1.72,-1.02
194211,1.60,-1.27
194212,6.03,1.95
194301,5.71,1.34
194302,1.64,-2.90
194303,7.35,2.29
194304,3.47,-0.35
194305,4.23,0.53
194306,4.46,-0.07
194307,5.38,-0.22
194308,4.22,-0.68
194309,3.25,-0.66
194310,0.45,-2.29
194311,1.99,-0.88
194312,3.79,-0.29
194401,3.94,-0.43
194402,5.99,1.45
194403,10.59,5.53
194404,7.06,3.24
194405,2.15,-1.55
194406,2.88,-1.65
194407,5.39,-0.21
194408,5.54,0.64
194409,4.54,0.63
194410,2.80,0.06
194411,2.28,-0.59
194412,1.84,-2.24
194501,3.34,-1.03
194502,5.15,0.61
194503,2.30,-2.76
194504,6.21,2.39
194505,2.70,-1.00
194506,3.22,-1.31
194507,7.71,2.11
194508,5.19,0.29
194509,5.33,1.42
194510,2.73,-0.01
194511,2.14,-0.73
194512,7.60,3.52
194601,5.62,1.25
194602,3.81,-0.73
194603,5.87,0.81
194604,3.39,-0.43
194605,6.44,2.74
194606,4.36,-0.17
194607,5.48,-0.12
194608,4.02,-0.88
194609,3.85,-0.06
194610,3.57,0.83
194611,2.14,-0.73
194612,1.00,-3.08
194701,6.94,2.57
194702,1.59,-2.95
194703,7.00,1.94
194704,5.20,1.38
194705,4.66,0.96
194706,5.15,0.62
194707,3.40,-2.20
194708,5.18,0.28
194709,4.16,0.25
194710,5.08,2.34
194711,7.88,5.01
194712,5.58,1.50
194801,4.21,-0.16
194802,4.63,0.09
194803,9.12,4.06
194804,4.95,1.13
194805,4.28,0.58
194806,3.00,-1.53
194807,7.88,2.28
194808,4.33,-0.57
194809,4.04,0.13
194810,2.84,0.10
194811,9.00,6.13
194812,5.21,1.13
194901,3.08,-1.29
194902,5.59,1.05
194903,2.85,-2.21
194904,5.41,1.59
194905,3.49,-0.21
194906,5.08,0.55
194907,5.79,0.19
194908,7.17,2.27
194909,3.15,-0.76
194910,3.12,0.38
194911,1.14,-1.73
194912,2.47,-1.61
195001,1.89,-2.48
195002,2.22,-2.32
195003,6.07,1.01
195004,2.01,-1.81
195005,4.08,0.38
195006,3.24,-1.29
195007,7.32,1.72
195008,3.90,-1.00
195009,4.89,0.98
195010,4.22,1.48
195011,1.02,-1.85
195012,3.95,-0.13
195101,1.69,-2.68
195102,2.04,-2.50
195103,6.04,0.98
195104,3.50,-0.32
195105,1.55,-2.15
195106,4.55,0.02
195107,5.38,-0.22
195108,2.97,-1.93
195109,5.60,1.69
195110,1.96,-0.78
195111,4.13,1.26
195112,5.97,1.89
195201,2.68,-1.69
195202,4.78,0.24
195203,7.26,2.20
195204,2.69,-1.13
195205,4.60,0.90
195206,2.96,-1.57
195207,2.74,-2.86
195208,6.54,1.64
195209,3.50,-0.41
195210,1.30,-1.44
195211,2.00,-0.87
195212,4.00,-0.08
195301,4.38,0.01
195302,6.18,1.64
195303,3.50,-1.56
195304,5.06,1.24
195305,4.33,0.63
195306,4.44,-0.09
195307,6.92,1.32
195308,3.91,-0.99
195309,8.38,4.47
195310,0.84,-1.90
195311,1.53,-1.34
195312,8.63,4.55
195401,2.70,-1.67
195402,1.95,-2.59
195403,3.16,-1.90
195404,2.46,-1.36
195405,2.84,-0.86
195406,2.57,-1.96
195407,3.44,-2.16
195408,3.00,-1.90
195409,1.83,-2.08
195410,0.88,-1.86
195411,3.05,0.18
195412,3.18,-0.90
195501,4.46,0.09
195502,3.45,-1.09
195503,1.87,-3.19
195504,4.90,1.08
195505,4.25,0.55
195506,3.00,-1.53
195507,6.89,1.29
195508,3.31,-1.59
195509,3.90,-0.01
195510,2.47,-0.27
195511,2.18,-0.69
195512,0.95,-3.13
195601,2.32,-2.05
195602,6.43,1.89
195603,4.56,-0.50
195604,3.80,-0.02
195605,3.12,-0.58
195606,3.84,-0.69
195607,5.83,0.23
195608,2.94,-1.96
195609,6.06,2.15
195610,2.94,0.20
195611,1.04,-1.83
195612,3.45,-0.63
195701,2.83,-1.54
195702,2.97,-1.57
195703,4.76,-0.30
195704,4.56,0.74
195705,6.39,2.69
195706,5.14,0.61
195707,4.82,-0.78
195708,3.06,-1.84
195709,7.57,3.66
195710,2.97,0.23
195711,6.65,3.78
195712,2.83,-1.25
195801,3.42,-0.95
195802,4.57,0.03
195803,5.19,0.13
195804,6.09,2.27
195805,2.99,-0.71
195806,4.78,0.25
195807,7.03,1.43
195808,3.34,-1.56
195809,2.04,-1.87
195810,1.52,-1.22
195811,1.46,-1.41
195812,2.81,-1.27
195901,4.37,0.00
195902,6.04,1.50
195903,7.61,2.55
195904,2.84,-0.98
195905,6.56,2.86
195906,3.60,-0.93
195907,5.62,0.02
195908,3.86,-1.04
195909,4.50,0.59
195910,7.33,4.59
195911,1.52,-1.35
