Alabama, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.78,0.90
189502,-0.59,-0.55
189503,-0.17,-0.05
189504,-0.54,-0.34
189505,-0.55,-0.43
189506,0.58,0.64
189507,0.42,0.59
189508,0.77,0.97
189509,-0.78,-0.58
189510,-0.80,-0.65
189511,-1.41,-1.30
189512,-1.62,-1.53
189601,-1.65,-1.53
189602,-1.19,-1.15
189603,-1.23,-1.11
189604,-1.70,-1.50
189605,-2.15,-2.03
189606,-1.58,-1.52
189607,-1.70,-1.53
189608,-2.29,-2.09
189609,-2.91,-2.71
189610,-2.88,-2.73
189611,-2.63,-2.52
189612,-3.39,-3.30
189701,-3.49,-3.37
189702,-2.86,-2.82
189703,-1.58,-1.46
189704,-1.63,-1.43
189705,-2.22,-2.10
189706,-3.12,-3.06
189707,-3.49,-3.32
189708,-2.75,-2.55
189709,-3.65,-3.45
189710,-4.05,-3.90
189711,-4.41,-4.30
189712,-4.13,-4.04
189801,-4.16,-4.04
189802,-4.61,-4.57
189803,-5.13,-5.01
189804,-4.57,-4.37
189805,-5.37,-5.25
189806,-5.43,-5.37
189807,-4.99,-4.82
189808,0.85,1.05
189809,0.61,0.81
189810,0.93,1.08
189811,1.62,1.73
189812,1.21,1.30
189901,1.45,1.57
189902,1.79,1.83
189903,-0.02,0.10
189904,-0.65,-0.45
189905,-1.62,-1.50
189906,-2.25,-2.19
189907,-1.95,-1.78
189908,-2.23,-2.03
189909,-3.12,-2.92
189910,-3.07,-2.92
189911,-3.20,-3.09
189912,-2.92,-2.83
190001,-3.12,-3.00
190002,1.12,1.16
190003,0.97,1.09
190004,1.83,2.03
190005,1.06,1.18
190006,3.04,3.10
190007,2.67,2.84
190008,1.99,2.19
190009,1.66,1.86
190010,2.24,2.39
190011,1.87,1.98
190012,1.74,1.83
190101,1.51,1.63
190102,1.23,1.27
190103,1.15,1.27
190104,1.28,1.48
190105,1.53,1.65
190106,-0.34,-0.28
190107,-1.15,-0.98
190108,1.54,1.74
190109,1.83,2.03
190110,1.40,1.55
190111,0.79,0.90
190112,1.46,1.55
190201,0.93,1.05
190202,1.47,1.51
190203,2.13,2.25
190204,-0.67,-0.47
190205,-1.46,-1.34
190206,-2.70,-2.64
190207,-3.82,-3.65
190208,-4.15,-3.95
190209,-3.74,-3.54
190210,-3.23,-3.08
190211,-3.01,-2.90
190212,-2.61,-2.52
190301,-2.76,-2.64
190302,1.60,1.64
190303,1.10,1.22
190304,0.45,0.65
190305,1.15,1.27
190306,1.47,1.53
190307,-0.23,-0.06
190308,-0.14,0.06
190309,-0.78,-0.58
190310,-1.00,-0.85
190311,-1.42,-1.31
190312,-1.83,-1.74
190401,-1.85,-1.73
190402,-2.00,-1.96
190403,-2.58,-2.46
190404,-2.91,-2.71
190405,-2.96,-2.84
190406,-3.00,-2.94
190407,-2.87,-2.70
190408,-2.09,-1.89
190409,-2.86,-2.66
190410,-3.50,-3.35
190411,-3.45,-3.34
190412,-3.39,-3.30
190501,-2.78,-2.66
190502,-1.65,-1.61
190503,-2.33,-2.21
190504,-2.42,-2.22
190505,-2.00,-1.88
190506,-1.58,-1.52
190507,-1.63,-1.46
190508,-1.00,-0.80
190509,-1.43,-1.23
190510,-0.84,-0.69
190511,-1.46,-1.35
190512,-0.96,-0.87
190601,-0.96,-0.84
190602,-1.61,-1.57
190603,-0.70,-0.58
190604,-1.76,-1.56
190605,-1.47,-1.35
190606,-1.58,-1.52
190607,0.71,0.88
190608,0.48,0.68
190609,1.90,2.10
190610,2.31,2.46
190611,-0.38,-0.27
190612,-0.64,-0.55
190701,-1.65,-1.53
190702,-1.68,-1.64
190703,-2.69,-2.57
190704,0.64,0.84
190705,2.05,2.17
190706,1.64,1.70
190707,1.28,1.45
190708,0.84,1.04
190709,1.33,1.53
190710,0.87,1.02
190711,1.60,1.71
190712,1.93,2.02
190801,1.49,1.61
190802,1.91,1.95
190803,-0.69,-0.57
190804,-0.44,-0.24
190805,-0.01,0.11
190806,-0.27,-0.21
190807,-0.39,-0.22
190808,-0.62,-0.42
190809,-1.14,-0.94
190810,-1.32,-1.17
190811,-2.05,-1.94
190812,-2.32,-2.23
190901,-3.18,-3.06
190902,0.67,0.71
190903,1.25,1.37
190904,1.45,1.65
190905,2.12,2.24
190906,3.16,3.22
190907,-0.06,0.11
190908,-0.31,-0.11
190909,-0.62,-0.42
190910,-0.84,-0.69
190911,-1.82,-1.71
190912,-1.76,-1.67
191001,-2.05,-1.93
191002,-1.70,-1.66
191003,-3.10,-2.98
191004,-3.27,-3.07
191005,-0.01,0.11
191006,1.14,1.20
191007,1.83,2.00
191008,-0.25,-0.05
191009,-0.77,-0.57
191010,-0.61,-0.46
191011,-1.02,-0.91
191012,-1.41,-1.32
191101,-1.54,-1.42
191102,-2.10,-2.06
191103,-3.00,-2.88
191104,-1.99,-1.79
191105,-2.33,-2.21
191106,-2.49,-2.43
191107,-2.12,-1.95
191108,-1.61,-1.41
191109,-2.19,-1.99
191110,-2.11,-1.96
191111,0.22,0.33
191112,0.95,1.04
191201,1.19,1.31
191202,1.05,1.09
191203,1.89,2.01
191204,3.01,3.21
191205,2.45,2.57
191206,2.63,2.69
191207,2.39,2.56
191208,2.93,3.13
191209,2.88,3.08
191210,2.64,2.79
191211,1.96,2.07
191212,2.19,2.28
191301,2.19,2.31
191302,2.14,2.18
191303,2.70,2.82
191304,-0.63,-0.43
191305,-0.83,-0.71
191306,-0.89,-0.83
191307,-1.07,-0.90
191308,-1.74,-1.54
191309,-0.74,-0.54
191310,-0.63,-0.48
191311,-1.40,-1.29
191312,-1.86,-1.77
191401,-2.60,-2.48
191402,-2.56,-2.52
191403,-2.88,-2.76
191404,-2.89,-2.69
191405,-3.62,-3.50
191406,-4.30,-4.24
191407,-4.72,-4.55
191408,-3.67,-3.47
191409,-3.04,-2.84
191410,-2.70,-2.55
191411,-2.37,-2.26
191412,-2.11,-2.02
191501,-1.56,-1.44
191502,-1.47,-1.43
191503,-1.93,-1.81
191504,-3.00,-2.80
191505,-2.54,-2.42
191506,-2.51,-2.45
191507,-2.48,-2.31
191508,-2.02,-1.82
191509,-1.86,-1.66
191510,-1.13,-0.98
191511,-1.24,-1.13
191512,-0.78,-0.69
191601,-1.17,-1.05
191602,-1.38,-1.34
191603,-2.11,-1.99
191604,-2.41,-2.21
191605,-2.12,-2.00
191606,-2.07,-2.01
191607,3.91,4.08
191608,-0.07,0.13
191609,-0.46,-0.26
191610,-0.74,-0.59
191611,-1.04,-0.93
191612,-1.11,-1.02
191701,0.38,0.50
191702,0.43,0.47
191703,1.09,1.21
191704,-0.38,-0.18
191705,-0.67,-0.55
191706,-0.88,-0.82
191707,0.10,0.27
191708,0.65,0.85
191709,1.39,1.59
191710,-0.07,0.08
191711,-0.67,-0.56
191712,-1.43,-1.34
191801,0.78,0.90
191802,-0.97,-0.93
191803,-2.57,-2.45
191804,-1.77,-1.57
191805,-2.21,-2.09
191806,-2.22,-2.16
191807,-2.51,-2.34
191808,-2.74,-2.54
191809,0.16,0.36
191810,1.68,1.83
191811,2.08,2.19
191812,2.11,2.20
191901,2.10,2.22
191902,2.44,2.48
191903,2.40,2.52
191904,1.73,1.93
191905,2.41,2.53
191906,2.23,2.29
191907,2.52,2.69
191908,3.52,3.72
191909,2.44,2.64
191910,2.45,2.60
191911,2.48,2.59
191912,2.83,2.92
192001,2.95,3.07
192002,2.37,2.41
192003,2.51,2.63
192004,3.46,3.66
192005,3.42,3.54
192006,3.27,3.33
192007,2.96,3.13
192008,3.73,3.93
192009,-0.17,0.03
192010,-0.61,-0.46
192011,-0.71,-0.60
192012,0.86,0.95
192101,-0.65,-0.53
192102,-0.58,-0.54
192103,-1.16,-1.04
192104,-0.49,-0.29
192105,-1.08,-0.96
192106,-2.01,-1.95
192107,-2.36,-2.19
192108,-2.53,-2.33
192109,-3.21,-3.01
192110,-3.15,-3.00
192111,-3.21,-3.10
192112,-3.59,-3.50
192201,0.46,0.58
192202,0.52,0.56
192203,1.48,1.60
192204,1.03,1.23
192205,1.74,1.86
192206,-0.11,-0.05
192207,-0.47,-0.30
192208,-0.89,-0.69
192209,-1.70,-1.50
192210,-1.81,-1.66
192211,-2.41,-2.30
192212,-1.93,-1.84
192301,-2.11,-1.99
192302,0.22,0.26
192303,0.26,0.38
192304,0.50,0.70
192305,2.10,2.22
192306,1.90,1.96
192307,1.78,1.95
192308,2.50,2.70
192309,-0.75,-0.55
192310,-0.76,-0.61
192311,0.45,0.56
192312,0.39,0.48
192401,0.92,1.04
192402,-0.13,-0.09
192403,-0.80,-0.68
192404,0.21,0.41
192405,0.51,0.63
192406,0.66,0.72
192407,-0.44,-0.27
192408,-1.06,-0.86
192409,-1.15,-0.95
192410,-1.92,-1.77
192411,-2.99,-2.88
192412,-2.35,-2.26
192501,-0.62,-0.50
192502,-1.17,-1.13
192503,-2.01,-1.89
192504,-2.91,-2.71
192505,-3.34,-3.22
192506,-4.03,-3.97
192507,-4.23,-4.06
192508,-5.04,-4.84
192509,-5.53,-5.33
192510,0.83,0.98
192511,1.05,1.16
192512,0.63,0.72
192601,1.47,1.59
192602,1.04,1.08
192603,1.11,1.23
192604,0.39,0.59
192605,0.05,0.17
192606,0.28,0.34
192607,0.40,0.57
192608,1.27,1.47
192609,1.19,1.39
192610,0.96,1.11
192611,1.36,1.47
192612,1.51,1.60
192701,-1.22,-1.10
192702,-0.97,-0.93
192703,-1.19,-1.07
192704,-1.98,-1.78
192705,-2.48,-2.36
192706,-2.00,-1.94
192707,-2.37,-2.20
192708,-2.38,-2.18
192709,-3.15,-2.95
192710,-3.24,-3.09
192711,-3.23,-3.12
192712,-2.15,-2.06
192801,-2.99,-2.87
192802,-3.14,-3.10
192803,-0.04,0.08
192804,1.53,1.73
192805,1.33,1.45
192806,3.45,3.51
192807,3.12,3.29
192808,2.94,3.14
192809,2.47,2.67
192810,2.33,2.48
192811,1.70,1.81
192812,0.70,0.79
192901,0.79,0.91
192902,1.85,1.89
192903,3.81,3.93
192904,3.15,3.35
192905,3.37,3.49
192906,3.29,3.35
192907,2.50,2.67
192908,1.39,1.59
192909,1.70,1.90
192910,2.37,2.52
192911,4.19,4.30
192912,-0.28,-0.19
193001,-0.48,-0.36
193002,-1.37,-1.33
193003,-1.33,-1.21
193004,-2.21,-2.01
193005,-2.09,-1.97
193006,-2.66,-2.60
193007,-3.40,-3.23
193008,-3.58,-3.38
193009,-2.78,-2.58
193010,-2.45,-2.30
193011,-1.25,-1.14
193012,-1.64,-1.55
193101,-2.02,-1.90
193102,-2.33,-2.29
193103,-2.59,-2.47
193104,-2.71,-2.51
193105,-2.52,-2.40
193106,-3.16,-3.10
193107,-3.04,-2.87
193108,-2.71,-2.51
193109,-3.60,-3.40
193110,-3.83,-3.68
193111,-4.28,-4.17
193112,0.83,0.92
193201,1.28,1.40
193202,1.01,1.05
193203,0.55,0.67
193204,0.00,0.20
193205,0.33,0.45
193206,0.50,0.56
193207,0.20,0.37
193208,0.44,0.64
193209,0.79,0.99
193210,2.11,2.26
193211,2.17,2.28
193212,3.11,3.20
193301,-0.78,-0.66
193302,0.27,0.31
193303,0.21,0.33
193304,0.57,0.77
193305,-0.75,-0.63
193306,-1.16,-1.10
193307,-0.63,-0.46
193308,-0.74,-0.54
193309,-1.45,-1.25
193310,-1.77,-1.62
193311,-2.50,-2.39
193312,-3.18,-3.09
193401,-3.49,-3.37
193402,-3.23,-3.19
193403,-2.80,-2.68
193404,-2.93,-2.73
193405,-2.80,-2.68
193406,0.25,0.31
193407,0.57,0.74
193408,1.10,1.30
193409,0.63,0.83
193410,1.68,1.83
193411,1.61,1.72
193412,-0.40,-0.31
193501,-1.10,-0.98
193502,-1.29,-1.25
193503,-1.01,-0.89
193504,-0.81,-0.61
193505,-0.65,-0.53
193506,-0.60,-0.54
193507,-0.92,-0.75
193508,-0.87,-0.67
193509,-1.32,-1.12
193510,-1.61,-1.46
193511,-1.73,-1.62
193512,-1.80,-1.71
193601,2.00,2.12
193602,2.43,2.47
193603,-0.80,-0.68
193604,-0.26,-0.06
193605,-1.07,-0.95
193606,-2.10,-2.04
193607,-1.74,-1.57
193608,-1.51,-1.31
193609,-2.02,-1.82
193610,-2.29,-2.14
193611,-2.73,-2.62
193612,0.36,0.45
193701,1.25,1.37
193702,1.08,1.12
193703,0.55,0.67
193704,0.97,1.17
193705,0.90,1.02
193706,0.55,0.61
193707,0.18,0.35
193708,0.27,0.47
193709,0.36,0.56
193710,1.38,1.53
193711,1.31,1.42
193712,-0.56,-0.47
193801,-1.01,-0.89
193802,-2.00,-1.96
