Idaho, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.83,0.74
189502,-0.87,-0.88
189503,-0.91,-0.84
189504,-1.47,-1.44
189505,-1.01,-1.15
189506,-1.39,-1.44
189507,-1.28,-1.32
189508,-1.53,-1.51
189509,-0.60,-0.65
189510,-1.58,-1.62
189511,-2.07,-2.12
189512,-2.10,-2.08
189601,0.80,0.71
189602,0.20,0.19
189603,0.64,0.71
189604,1.16,1.19
189605,2.35,2.21
189606,1.83,1.78
189607,1.71,1.67
189608,1.84,1.86
189609,1.47,1.42
189610,1.01,0.97
189611,2.55,2.50
189612,2.75,2.77
189701,2.04,1.95
189702,2.51,2.50
189703,3.00,3.07
189704,-0.33,-0.30
189705,-1.06,-1.20
189706,-0.96,-1.01
189707,-0.87,-0.91
189708,-1.17,-1.15
189709,0.20,0.15
189710,0.51,0.47
189711,1.21,1.16
189712,1.52,1.54
189801,1.32,1.23
189802,1.38,1.37
189803,-0.31,-0.24
189804,-0.94,-0.91
189805,-0.65,-0.79
189806,-1.11,-1.16
189807,-1.13,-1.17
189808,-1.46,-1.44
189809,-1.81,-1.86
189810,-1.76,-1.80
189811,-1.70,-1.75
189812,-2.55,-2.53
189901,-2.68,-2.77
189902,0.41,0.40
189903,0.59,0.66
189904,0.48,0.51
189905,0.72,0.58
189906,-0.43,-0.48
189907,-0.66,-0.70
189908,-0.27,-0.25
189909,-0.69,-0.74
189910,1.06,1.02
189911,1.13,1.08
189912,0.05,0.07
190001,-0.46,-0.55
190002,-0.41,-0.42
190003,-1.24,-1.17
190004,-0.75,-0.72
190005,-0.59,-0.73
190006,-1.40,-1.45
190007,-2.10,-2.14
190008,-2.15,-2.13
190009,0.03,-0.02
190010,0.86,0.82
190011,1.05,1.00
190012,0.75,0.77
190101,1.18,1.09
190102,1.61,1.60
190103,-0.07,0.00
190104,-0.23,-0.20
190105,-0.29,-0.43
190106,-0.41,-0.46
190107,-0.70,-0.74
190108,-1.11,-1.09
190109,-0.78,-0.83
190110,-1.13,-1.17
190111,-1.99,-2.04
190112,-2.17,-2.15
190201,-2.78,-2.87
190202,0.81,0.80
190203,0.51,0.58
190204,0.62,0.65
190205,0.75,0.61
190206,-0.58,-0.63
190207,-0.13,-0.17
190208,-0.17,-0.15
190209,-0.50,-0.55
190210,-1.13,-1.17
190211,0.47,0.42
190212,0.72,0.74
190301,1.54,1.45
190302,-1.10,-1.11
190303,0.63,0.70
190304,0.64,0.67
190305,0.70,0.56
190306,0.33,0.28
190307,0.36,0.32
190308,0.44,0.46
190309,0.65,0.60
190310,0.43,0.39
190311,1.24,1.19
190312,0.95,0.97
190401,0.74,0.65
190402,2.34,2.33
190403,4.39,4.46
190404,-0.09,-0.06
190405,-0.65,-0.79
190406,-0.91,-0.96
190407,-0.80,-0.84
190408,-0.96,-0.94
190409,-1.45,-1.50
190410,-1.37,-1.41
190411,-2.51,-2.56
190412,-2.90,-2.88
190501,-3.78,-3.87
190502,-4.54,-4.55
190503,-4.04,-3.97
190504,-3.91,-3.88
190505,0.50,0.36
190506,0.91,0.86
190507,1.08,1.04
190508,-0.29,-0.27
190509,-0.46,-0.51
190510,-0.41,-0.45
190511,-0.69,-0.74
190512,-1.41,-1.39
190601,0.32,0.23
190602,0.46,0.45
190603,1.13,1.20
190604,0.50,0.53
190605,1.33,1.19
190606,1.67,1.62
190607,1.71,1.67
190608,1.87,1.89
190609,1.37,1.32
190610,0.66,0.62
190611,1.10,1.05
190612,1.68,1.70
190701,2.33,2.24
190702,2.57,2.56
190703,3.51,3.58
190704,3.07,3.10
190705,2.30,2.16
190706,3.04,2.99
190707,3.39,3.35
190708,3.79,3.81
190709,-0.01,-0.06
190710,-0.43,-0.47
190711,-0.99,-1.04
190712,-0.81,-0.79
190801,-1.39,-1.48
190802,-1.72,-1.73
190803,-1.86,-1.79
190804,-2.32,-2.29
190805,0.96,0.82
190806,1.99,1.94
190807,2.38,2.34
190808,2.60,2.62
190809,2.64,2.59
190810,3.26,3.22
190811,2.63,2.58
190812,1.95,1.97
190901,3.57,3.48
190902,3.79,3.78
190903,2.87,2.94
190904,2.20,2.23
190905,2.12,1.98
190906,1.47,1.42
190907,2.00,1.96
190908,1.80,1.82
190909,2.48,2.43
190910,2.01,1.97
190911,3.22,3.17
190912,3.32,3.34
191001,3.26,3.17
191002,3.64,3.63
191003,-1.01,-0.94
191004,-1.37,-1.34
191005,-1.54,-1.68
191006,-2.29,-2.34
191007,-2.97,-3.01
191008,-3.51,-3.49
191009,0.09,0.04
191010,0.11,0.07
191011,1.07,1.02
191012,0.89,0.91
191101,1.70,1.61
191102,-0.59,-0.60
191103,-1.48,-1.41
191104,-1.39,-1.36
191105,0.76,0.62
191106,1.45,1.40
191107,1.51,1.47
191108,1.19,1.21
191109,1.00,0.95
191110,1.47,1.43
191111,1.65,1.60
191112,1.25,1.27
191201,1.59,1.50
191202,1.49,1.48
191203,1.33,1.40
191204,2.03,2.06
191205,2.31,2.17
191206,1.98,1.93
191207,2.44,2.40
191208,3.11,3.13
191209,3.03,2.98
191210,3.54,3.50
191211,3.43,3.38
191212,3.00,3.02
191301,3.41,3.32
191302,2.25,2.24
191303,2.35,2.42
191304,1.73,1.76
191305,1.49,1.35
191306,2.40,2.35
191307,3.51,3.47
191308,3.84,3.86
191309,3.40,3.35
191310,3.38,3.34
191311,3.63,3.58
191312,3.12,3.14
191401,3.57,3.48
191402,-0.14,-0.15
191403,-1.08,-1.01
191404,-0.90,-0.87
191405,-1.25,-1.39
191406,0.61,0.56
191407,0.84,0.80
191408,0.29,0.31
191409,0.74,0.69
191410,1.00,0.96
191411,-0.79,-0.84
191412,-1.89,-1.87
191501,-2.94,-3.03
191502,-3.12,-3.13
191503,-3.64,-3.57
191504,-3.61,-3.58
191505,1.85,1.71
191506,1.58,1.53
191507,2.31,2.27
