Illinois, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.06,0.07
189502,-0.55,-0.53
189503,-1.07,-1.03
189504,-1.69,-1.66
189505,-2.21,-2.20
189506,-2.70,-2.65
189507,-1.75,-1.60
189508,-2.01,-2.03
189509,-2.12,-2.30
189510,-2.61,-2.73
189511,-2.36,-2.47
189512,-1.25,-1.27
189601,-1.37,-1.36
189602,-1.13,-1.11
189603,-1.42,-1.38
189604,-1.94,-1.91
189605,0.25,0.26
189606,0.24,0.29
189607,1.30,1.45
189608,1.11,1.09
189609,2.08,1.90
189610,1.75,1.63
189611,1.95,1.84
189612,1.27,1.25
189701,2.40,2.41
189702,2.27,2.29
189703,3.31,3.35
189704,3.31,3.34
189705,-0.63,-0.62
189706,-0.34,-0.29
189707,-0.39,-0.24
189708,-1.27,-1.29
189709,-2.41,-2.59
189710,-3.51,-3.63
189711,-3.27,-3.38
189712,-3.29,-3.31
189801,0.90,0.91
189802,0.92,0.94
189803,2.52,2.56
189804,2.22,2.25
189805,2.75,2.76
189806,2.60,2.65
189807,2.16,2.31
189808,2.30,2.28
189809,2.59,2.41
189810,3.04,2.92
189811,3.04,2.93
189812,2.62,2.60
189901,2.36,2.37
189902,2.31,2.33
189903,2.28,2.32
189904,-0.88,-0.85
189905,-0.19,-0.18
189906,-0.80,-0.75
189907,-0.80,-0.65
189908,-1.18,-1.20
189909,-1.58,-1.76
189910,-1.54,-1.66
189911,-2.16,-2.27
189912,-2.38,-2.40
190001,-2.60,-2.59
190002,-1.40,-1.38
190003,-1.50,-1.46
190004,-2.22,-2.19
190005,-2.09,-2.08
190006,-1.68,-1.63
190007,-1.11,-0.96
190008,-0.79,-0.81
190009,-0.68,-0.86
190010,-0.89,-1.01
190011,-0.78,-0.89
190012,-1.23,-1.25
190101,-1.25,-1.24
190102,-1.17,-1.15
190103,-0.80,-0.76
190104,-1.40,-1.37
190105,-1.99,-1.98
190106,-2.23,-2.18
190107,-3.00,-2.85
190108,-3.72,-3.74
190109,-4.15,-4.33
190110,-4.36,-4.48
190111,-5.04,-5.15
190112,-5.14,-5.16
190201,-5.43,-5.42
190202,-5.60,-5.58
190203,-5.36,-5.32
190204,-5.19,-5.16
190205,-4.90,-4.89
190206,1.82,1.87
190207,2.32,2.47
190208,2.99,2.97
190209,3.45,3.27
190210,3.21,3.09
190211,3.35,3.24
190212,3.54,3.52
190301,3.04,3.05
190302,3.26,3.28
190303,2.70,2.74
190304,2.66,2.69
190305,2.01,2.02
190306,1.62,1.67
190307,1.48,1.63
190308,1.86,1.84
190309,1.94,1.76
190310,1.71,1.59
190311,1.08,0.97
190312,0.70,0.68
190401,1.13,1.14
190402,0.92,0.94
190403,2.16,2.20
190404,2.25,2.28
190405,1.84,1.85
190406,1.43,1.48
190407,1.81,1.96
190408,2.18,2.16
190409,2.79,2.61
190410,-0.50,-0.62
190411,-1.23,-1.34
190412,-1.40,-1.42
190501,-1.34,-1.33
190502,-1.26,-1.24
190503,-1.68,-1.64
190504,0.02,0.05
190505,0.16,0.17
190506,-0.25,-0.20
190507,0.70,0.85
190508,0.79,0.77
190509,0.71,0.53
190510,1.34,1.22
190511,1.30,1.19
190512,1.26,1.24
190601,1.80,1.81
190602,1.85,1.87
190603,2.21,2.25
190604,-0.75,-0.72
190605,-1.26,-1.25
190606,-1.44,-1.39
190607,-1.79,-1.64
190608,0.03,0.01
190609,0.44,0.26
190610,-0.40,-0.52
190611,0.26,0.15
190612,0.54,0.52
190701,2.16,2.17
190702,1.37,1.39
190703,0.95,0.99
190704,0.88,0.91
190705,1.08,1.09
190706,1.30,1.35
190707,2.19,2.34
190708,3.17,3.15
190709,2.95,2.77
190710,2.63,2.51
190711,2.63,2.52
190712,2.66,2.64
190801,2.27,2.28
190802,3.33,3.35
190803,2.90,2.94
190804,2.94,2.97
190805,4.00,4.01
190806,-0.36,-0.31
190807,-0.42,-0.27
190808,-0.85,-0.87
190809,-1.79,-1.97
190810,-2.64,-2.76
190811,-2.98,-3.09
190812,-3.64,-3.66
190901,-3.49,-3.48
190902,0.94,0.96
190903,0.56,0.60
190904,1.58,1.61
190905,1.55,1.56
190906,1.44,1.49
190907,1.91,2.06
190908,1.16,1.14
190909,1.31,1.13
190910,1.32,1.20
190911,1.52,1.41
190912,1.87,1.85
191001,1.86,1.87
191002,1.78,1.80
191003,-1.69,-1.65
191004,-1.92,-1.89
191005,-1.13,-1.12
191006,-1.60,-1.55
191007,-1.30,-1.15
191008,-1.44,-1.46
191009,-0.84,-1.02
191010,-0.61,-0.73
191011,-1.02,-1.13
191012,-1.38,-1.40
191101,-1.27,-1.26
191102,-0.85,-0.83
191103,-1.36,-1.32
191104,-0.63,-0.60
191105,-1.63,-1.62
191106,-2.33,-2.28
191107,-2.91,-2.76
191108,0.06,0.04
191109,2.00,1.82
191110,2.10,1.98
191111,2.51,2.40
191112,2.39,2.37
191201,1.88,1.89
191202,1.75,1.77
191203,1.92,1.96
191204,2.16,2.19
191205,1.76,1.77
191206,1.41,1.46
191207,1.58,1.73
191208,1.69,1.67
191209,-0.19,-0.37
191210,0.24,0.12
191211,-0.23,-0.34
191212,-0.75,-0.77
191301,1.03,1.04
191302,0.88,0.90
191303,2.06,2.10
191304,-0.32,-0.29
191305,-0.66,-0.65
191306,-1.26,-1.21
191307,-2.00,-1.85
191308,-2.72,-2.74
191309,-2.79,-2.97
191310,-2.28,-2.40
191311,-2.37,-2.48
191312,-2.92,-2.94
191401,-2.83,-2.82
191402,-2.29,-2.27
191403,-2.41,-2.37
191404,-2.73,-2.70
191405,-3.21,-3.20
191406,-3.68,-3.63
191407,-4.55,-4.40
191408,-4.51,-4.53
191409,-4.02,-4.20
191410,-3.78,-3.90
191411,-4.69,-4.80
191412,-4.90,-4.92
191501,-4.53,-4.52
191502,-4.10,-4.08
191503,-4.46,-4.42
191504,-5.21,-5.18
191505,1.02,1.03
191506,1.40,1.45
191507,2.73,2.88
191508,4.11,4.09
191509,4.38,4.20
191510,3.50,3.38
191511,3.26,3.15
191512,3.32,3.30
191601,5.09,5.10
191602,-0.36,-0.34
191603,-0.69,-0.65
191604,-1.32,-1.29
191605,-0.98,-0.97
191606,-0.08,-0.03
191607,-1.25,-1.10
191608,-1.06,-1.08
191609,-1.12,-1.30
191610,-1.04,-1.16
191611,-1.52,-1.63
191612,-1.65,-1.67
191701,-1.56,-1.55
191702,-1.98,-1.96
191703,-1.90,-1.86
191704,0.51,0.54
191705,0.82,0.83
191706,1.46,1.51
191707,-0.16,-0.01
191708,-0.30,-0.32
191709,-0.43,-0.61
191710,-0.02,-0.14
191711,-0.75,-0.86
191712,-1.39,-1.41
191801,-1.19,-1.18
191802,-1.12,-1.10
191803,-2.17,-2.13
191804,0.86,0.89
191805,0.98,0.99
191806,0.71,0.76
191807,0.32,0.47
191808,0.19,0.17
191809,0.65,0.47
191810,0.72,0.60
191811,0.52,0.41
191812,0.87,0.85
191901,-0.54,-0.53
191902,-0.37,-0.35
191903,-0.26,-0.22
191904,-0.74,-0.71
191905,0.57,0.58
191906,0.64,0.69
191907,-0.77,-0.62
191908,-1.04,-1.06
191909,-1.05,-1.23
191910,1.39,1.27
191911,1.84,1.73
191912,-0.40,-0.42
192001,-0.47,-0.46
192002,-0.93,-0.91
192003,0.84,0.88
192004,1.35,1.38
192005,1.57,1.58
192006,-0.73,-0.68
192007,-1.13,-0.98
192008,-1.28,-1.30
192009,-1.60,-1.78
192010,-2.06,-2.18
192011,-2.88,-2.99
192012,-3.03,-3.05
192101,-3.16,-3.15
192102,-3.55,-3.53
192103,-2.77,-2.73
192104,-2.18,-2.15
192105,-2.78,-2.77
192106,-2.86,-2.81
192107,-3.63,-3.48
192108,0.52,0.50
192109,1.44,1.26
192110,1.19,1.07
192111,1.41,1.30
192112,1.68,1.66
192201,1.33,1.34
192202,1.04,1.06
192203,2.33,2.37
192204,2.60,2.63
192205,-0.35,-0.34
192206,-1.40,-1.35
192207,-1.39,-1.24
192208,-2.16,-2.18
192209,-2.80,-2.98
192210,-3.05,-3.17
192211,-3.39,-3.50
192212,-3.53,-3.55
192301,-3.54,-3.53
192302,-3.50,-3.48
192303,-2.40,-2.36
192304,-2.59,-2.56
192305,-2.12,-2.11
192306,-2.14,-2.09
192307,-2.54,-2.39
192308,0.46,0.44
192309,0.70,0.52
192310,1.17,1.05
192311,0.83,0.72
192312,1.19,1.17
192401,0.02,0.03
192402,-0.05,-0.03
192403,-0.04,0.00
192404,-0.68,-0.65
192405,0.10,0.11
192406,1.32,1.37
192407,1.31,1.46
192408,2.08,2.06
192409,2.19,2.01
192410,-0.61,-0.73
192411,-1.03,-1.14
192412,-0.52,-0.54
192501,-0.94,-0.93
192502,-0.82,-0.80
192503,-1.17,-1.13
192504,-1.74,-1.71
192505,-2.39,-2.38
192506,-2.07,-2.02
192507,-2.14,-1.99
192508,-2.38,-2.40
192509,0.23,0.05
192510,0.93,0.81
192511,1.15,1.04
192512,0.89,0.87
192601,0.77,0.78
192602,1.06,1.08
192603,0.00,0.04
192604,0.05,0.08
192605,-0.75,-0.74
192606,0.15,0.20
192607,0.09,0.24
192608,0.49,0.47
192609,2.96,2.78
192610,3.47,3.35
192611,4.12,4.01
192612,3.56,3.54
192701,3.46,3.47
192702,2.88,2.90
192703,3.16,3.20
192704,4.10,4.13
192705,4.80,4.81
192706,4.44,4.49
192707,4.05,4.20
192708,3.88,3.86
192709,4.15,3.97
192710,4.21,4.09
192711,4.84,4.73
192712,4.83,4.81
192801,4.06,4.07
192802,3.88,3.90
192803,2.84,2.88
192804,2.57,2.60
192805,1.75,1.76
192806,2.95,3.00
192807,2.78,2.93
192808,2.60,2.58
192809,2.17,1.99
192810,2.43,2.31
192811,2.69,2.58
192812,2.64,2.62
192901,3.29,3.30
192902,2.67,2.69
192903,2.31,2.35
192904,2.63,2.66
192905,3.16,3.17
192906,3.30,3.35
192907,3.47,3.62
192908,2.99,2.97
192909,2.60,2.42
192910,2.75,2.63
192911,2.43,2.32
192912,2.34,2.32
193001,3.28,3.29
193002,-0.03,-0.01
193003,-0.65,-0.61
193004,-1.08,-1.05
193005,-1.83,-1.82
193006,-1.94,-1.89
193007,-3.10,-2.95
193008,-3.84,-3.86
