Indiana, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.35,0.45
189502,-0.63,-0.52
189503,-1.38,-1.21
189504,-2.00,-1.92
189505,-2.75,-2.71
189506,-3.25,-3.17
189507,-3.22,-3.07
189508,-3.72,-3.69
189509,-4.04,-4.12
189510,-4.49,-4.76
189511,-3.92,-4.13
189512,-2.96,-2.95
189601,-3.11,-3.01
189602,-2.84,-2.73
189603,-2.61,-2.44
189604,-3.47,-3.39
189605,-3.42,-3.38
189606,0.19,0.27
189607,1.97,2.12
189608,2.74,2.77
189609,3.69,3.61
189610,3.28,3.01
189611,3.53,3.32
189612,2.64,2.65
189701,2.72,2.82
189702,2.75,2.86
189703,3.54,3.71
189704,3.40,3.48
189705,-0.17,-0.13
189706,-0.03,0.05
189707,-0.33,-0.18
189708,-1.07,-1.04
189709,-2.30,-2.38
189710,-3.22,-3.49
189711,0.53,0.32
189712,0.51,0.52
189801,1.44,1.54
189802,1.14,1.25
189803,2.71,2.88
189804,1.89,1.97
189805,1.78,1.82
189806,1.39,1.47
189807,0.78,0.93
189808,0.67,0.70
189809,0.94,0.86
189810,1.64,1.37
189811,1.78,1.57
189812,1.49,1.50
189901,1.62,1.72
189902,1.49,1.60
189903,1.82,1.99
189904,-1.03,-0.95
189905,-1.20,-1.16
189906,-1.66,-1.58
189907,-1.83,-1.68
189908,-2.24,-2.21
189909,-2.67,-2.75
189910,-2.73,-3.00
189911,-3.22,-3.43
189912,-3.12,-3.11
190001,-3.20,-3.10
190002,-2.19,-2.08
190003,-2.39,-2.22
190004,-3.05,-2.97
190005,-2.86,-2.82
190006,-1.87,-1.79
190007,-1.22,-1.07
190008,-1.19,-1.16
190009,-1.65,-1.73
190010,-1.96,-2.23
190011,-1.68,-1.89
190012,-2.08,-2.07
190101,-2.20,-2.10
190102,-2.21,-2.10
190103,-1.96,-1.79
190104,-2.11,-2.03
190105,-2.36,-2.32
190106,-2.10,-2.02
190107,-3.33,-3.18
190108,-3.58,-3.55
190109,-4.11,-4.19
190110,-3.81,-4.08
190111,-4.49,-4.70
190112,-4.06,-4.05
190201,-4.11,-4.01
190202,-4.24,-4.13
190203,-4.07,-3.90
190204,-4.27,-4.19
190205,-3.92,-3.88
190206,1.68,1.76
190207,1.47,1.62
190208,0.98,1.01
190209,1.77,1.69
190210,1.68,1.41
190211,1.80,1.59
190212,2.26,2.27
190301,1.94,2.04
190302,2.67,2.78
190303,-0.56,-0.39
190304,-0.16,-0.08
190305,-0.62,-0.58
190306,0.15,0.23
190307,0.09,0.24
190308,0.47,0.50
190309,-0.51,-0.59
190310,-0.46,-0.73
190311,-0.86,-1.07
190312,-1.06,-1.05
190401,0.61,0.71
190402,0.65,0.76
190403,2.47,2.64
190404,2.27,2.35
190405,-0.30,-0.26
190406,-0.60,-0.52
190407,-0.69,-0.54
190408,-0.93,-0.90
190409,-0.67,-0.75
190410,-1.29,-1.56
190411,-2.51,-2.72
190412,-2.53,-2.52
190501,-2.60,-2.50
190502,-2.46,-2.35
190503,-2.82,-2.65
190504,0.02,0.10
190505,0.56,0.60
190506,0.40,0.48
190507,0.70,0.85
190508,1.27,1.30
190509,1.43,1.35
190510,2.29,2.02
190511,2.44,2.23
190512,2.19,2.20
190601,2.16,2.26
190602,1.54,1.65
190603,2.22,2.39
190604,-0.79,-0.71
190605,-1.43,-1.39
190606,-1.59,-1.51
190607,-1.72,-1.57
190608,0.40,0.43
190609,0.56,0.48
190610,0.18,-0.09
190611,0.37,0.16
190612,0.97,0.98
190701,2.49,2.59
190702,1.48,1.59
190703,1.58,1.75
190704,1.38,1.46
190705,1.29,1.33
190706,1.70,1.78
190707,2.16,2.31
190708,2.52,2.55
190709,2.43,2.35
190710,2.57,2.30
190711,2.76,2.55
190712,3.12,3.13
190801,2.48,2.58
190802,3.77,3.88
190803,3.60,3.77
190804,3.44,3.52
190805,3.73,3.77
190806,-0.78,-0.70
190807,-1.27,-1.12
190808,-2.08,-2.05
190809,-3.15,-3.23
190810,-4.18,-4.45
190811,-4.96,-5.17
190812,-5.53,-5.52
190901,-5.39,-5.29
190902,1.13,1.24
190903,0.81,0.98
190904,1.43,1.51
190905,1.57,1.61
190906,1.97,2.05
190907,2.58,2.73
190908,2.45,2.48
190909,2.28,2.20
190910,2.78,2.51
190911,2.84,2.63
190912,2.86,2.87
191001,2.78,2.88
191002,2.84,2.95
191003,-1.80,-1.63
191004,-2.10,-2.02
191005,-1.75,-1.71
191006,-2.23,-2.15
191007,0.79,0.94
191008,0.39,0.42
191009,1.15,1.07
191010,2.12,1.85
191011,2.09,1.88
191012,-0.16,-0.15
191101,0.18,0.28
191102,-0.18,-0.07
191103,-0.69,-0.52
191104,0.68,0.76
191105,-0.86,-0.82
191106,-1.08,-1.00
191107,-1.96,-1.81
191108,-2.09,-2.06
191109,0.95,0.87
191110,1.46,1.19
191111,1.81,1.60
191112,1.75,1.76
191201,1.44,1.54
191202,1.46,1.57
191203,1.86,2.03
191204,2.04,2.12
191205,1.82,1.86
191206,1.33,1.41
191207,1.77,1.92
191208,2.73,2.76
191209,2.70,2.62
191210,2.39,2.12
191211,2.02,1.81
191212,1.39,1.40
191301,3.08,3.18
191302,2.45,2.56
191303,4.53,4.70
191304,-0.18,-0.10
191305,-0.64,-0.60
191306,-1.46,-1.38
191307,-1.82,-1.67
191308,-2.05,-2.02
191309,-2.19,-2.27
191310,-1.92,-2.19
191311,-1.95,-2.16
191312,-2.53,-2.52
191401,-2.45,-2.35
191402,-1.82,-1.71
191403,-1.96,-1.79
191404,-2.03,-1.95
191405,-2.48,-2.44
191406,-3.16,-3.08
191407,-4.05,-3.90
191408,-3.41,-3.38
191409,-3.48,-3.56
191410,-3.66,-3.93
191411,-4.71,-4.92
191412,-4.73,-4.72
191501,-4.32,-4.22
191502,-4.18,-4.07
191503,-4.55,-4.38
191504,-5.23,-5.15
191505,0.57,0.61
191506,0.37,0.45
191507,1.59,1.74
191508,3.22,3.25
191509,3.37,3.29
191510,2.90,2.63
191511,2.84,2.63
191512,3.19,3.20
191601,4.64,4.74
191602,-0.42,-0.31
191603,-0.64,-0.47
191604,-1.10,-1.02
191605,0.07,0.11
191606,1.39,1.47
191607,-0.77,-0.62
191608,-1.00,-0.97
191609,-1.01,-1.09
191610,-1.27,-1.54
191611,-1.99,-2.20
191612,-1.92,-1.91
191701,-1.48,-1.38
191702,-1.80,-1.69
191703,0.16,0.33
191704,0.40,0.48
191705,0.94,0.98
191706,1.61,1.69
191707,-0.11,0.04
191708,-0.33,-0.30
191709,-0.76,-0.84
191710,1.00,0.73
191711,-0.59,-0.80
191712,-1.10,-1.09
191801,-0.78,-0.68
191802,-0.86,-0.75
191803,-1.69,-1.52
191804,-1.16,-1.08
191805,-1.10,-1.06
191806,-1.22,-1.14
191807,-1.33,-1.18
191808,-1.57,-1.54
191809,0.75,0.67
191810,0.71,0.44
191811,0.42,0.21
191812,1.36,1.37
191901,-0.51,-0.41
191902,-0.71,-0.60
191903,-0.08,0.09
191904,-0.39,-0.31
191905,-0.03,0.01
191906,-0.35,-0.27
191907,-1.28,-1.13
191908,-1.74,-1.71
191909,-2.16,-2.24
191910,1.70,1.43
191911,2.14,1.93
191912,-0.43,-0.42
192001,-0.51,-0.41
192002,-1.04,-0.93
192003,0.12,0.29
192004,1.12,1.20
192005,-0.14,-0.10
192006,-0.44,-0.36
192007,-0.32,-0.17
192008,-0.33,-0.30
192009,-0.58,-0.66
192010,-1.04,-1.31
192011,-1.57,-1.78
192012,-1.50,-1.49
192101,-1.35,-1.25
192102,-1.51,-1.40
