Iowa, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.09,-0.21
189502,-0.13,-0.44
189503,-0.56,-0.76
189504,-0.86,-1.10
189505,-1.10,-1.39
189506,-1.14,-1.46
189507,-1.09,-1.42
189508,-0.78,-1.10
189509,-0.98,-1.41
189510,-1.45,-1.85
189511,-1.50,-1.93
189512,-1.30,-1.63
189601,-1.45,-1.75
189602,-1.49,-1.80
189603,-1.64,-1.84
189604,0.76,0.52
189605,1.47,1.18
189606,0.79,0.47
189607,1.98,1.65
189608,1.81,1.49
189609,2.17,1.74
189610,2.77,2.37
189611,3.09,2.66
189612,2.70,2.37
189701,3.11,2.81
189702,2.89,2.58
189703,2.92,2.72
189704,3.68,3.44
189705,-0.70,-0.99
189706,-0.85,-1.17
189707,-1.10,-1.43
189708,-1.69,-2.01
189709,-2.59,-3.02
189710,-3.30,-3.70
189711,-3.92,-4.35
189712,-3.81,-4.14
189801,-3.46,-3.76
189802,-3.28,-3.59
189803,-3.29,-3.49
189804,-3.09,-3.33
189805,-2.46,-2.75
189806,-2.35,-2.67
189807,-2.45,-2.78
189808,-2.44,-2.76
189809,-2.67,-3.10
189810,0.64,0.24
189811,0.59,0.16
189812,-0.31,-0.64
189901,-0.62,-0.92
189902,-0.54,-0.85
189903,-0.51,-0.71
189904,-0.63,-0.87
189905,0.93,0.64
189906,1.04,0.72
189907,-0.12,-0.45
189908,-0.26,-0.58
189909,-1.15,-1.58
189910,-1.53,-1.93
189911,-2.14,-2.57
189912,-2.02,-2.35
190001,-2.29,-2.59
190002,-2.07,-2.38
190003,-1.83,-2.03
190004,-1.86,-2.10
190005,-2.13,-2.42
190006,-2.15,-2.47
190007,1.23,0.90
190008,1.41,1.09
190009,1.99,1.56
190010,2.53,2.13
190011,2.44,2.01
190012,2.01,1.68
190101,1.80,1.50
190102,1.80,1.49
190103,2.03,1.83
190104,-0.48,-0.72
190105,-1.05,-1.34
190106,-1.39,-1.71
190107,-2.43,-2.76
190108,-3.62,-3.94
190109,-3.14,-3.57
190110,-3.17,-3.57
190111,-3.61,-4.04
190112,-3.77,-4.10
190201,-3.77,-4.07
190202,-3.87,-4.18
190203,-4.18,-4.38
190204,-4.40,-4.64
190205,0.41,0.12
190206,1.66,1.34
190207,3.72,3.39
190208,4.86,4.54
190209,5.24,4.81
190210,4.97,4.57
190211,4.90,4.47
190212,5.17,4.84
190301,4.37,4.07
190302,4.16,3.85
190303,3.40,3.20
190304,3.10,2.86
190305,4.67,4.38
190306,3.81,3.49
190307,4.16,3.83
190308,5.03,4.71
190309,5.05,4.62
190310,4.67,4.27
190311,4.11,3.68
190312,3.48,3.15
190401,3.41,3.11
190402,2.93,2.62
190403,2.85,2.65
190404,3.10,2.86
190405,-0.07,-0.36
190406,-0.43,-0.75
190407,0.43,0.10
190408,0.43,0.11
190409,-0.18,-0.61
190410,-0.40,-0.80
190411,-1.21,-1.64
190412,-1.16,-1.49
190501,-1.11,-1.41
190502,0.36,0.05
190503,0.23,0.03
190504,0.36,0.12
190505,1.37,1.08
190506,1.40,1.08
190507,1.25,0.92
190508,1.20,0.88
190509,1.09,0.66
190510,1.60,1.20
190511,2.20,1.77
190512,1.85,1.52
190601,2.16,1.86
190602,2.28,1.97
190603,2.38,2.18
190604,-0.34,-0.58
190605,-0.50,-0.79
190606,-0.66,-0.98
190607,-0.63,-0.96
190608,-0.60,-0.92
190609,0.10,-0.33
190610,0.03,-0.37
190611,0.25,-0.18
190612,0.50,0.17
190701,0.94,0.64
190702,0.85,0.54
190703,-0.43,-0.63
190704,-0.69,-0.93
190705,0.28,-0.01
190706,0.71,0.39
190707,2.18,1.85
190708,2.45,2.13
190709,2.30,1.87
190710,2.06,1.66
190711,1.85,1.42
190712,1.78,1.45
190801,1.44,1.14
190802,1.85,1.54
190803,1.50,1.30
190804,1.06,0.82
190805,2.78,2.49
190806,3.02,2.70
190807,2.82,2.49
190808,3.09,2.77
190809,1.95,1.52
190810,2.25,1.85
190811,2.00,1.57
190812,1.60,1.27
190901,1.98,1.68
190902,2.29,1.98
190903,1.99,1.79
190904,2.84,2.60
190905,2.91,2.62
190906,3.36,3.04
190907,3.60,3.27
190908,2.47,2.15
190909,2.28,1.85
190910,2.06,1.66
190911,3.36,2.93
190912,3.80,3.47
191001,3.94,3.64
191002,-0.17,-0.48
191003,-1.58,-1.78
191004,-2.34,-2.58
191005,-2.19,-2.48
191006,-3.00,-3.32
191007,-3.73,-4.06
191008,-3.56,-3.88
191009,-3.36,-3.79
191010,-3.94,-4.34
191011,-4.58,-5.01
191012,-5.11,-5.44
191101,-5.17,-5.47
191102,-4.09,-4.40
191103,-4.63,-4.83
191104,-4.16,-4.40
191105,-3.97,-4.26
191106,-4.96,-5.28
191107,-5.34,-5.67
191108,-5.23,-5.55
191109,0.19,-0.24
191110,0.72,0.32
191111,0.58,0.15
191112,1.30,0.97
191201,1.05,0.75
191202,1.20,0.89
191203,1.24,1.04
191204,-0.11,-0.35
191205,-0.50,-0.79
191206,-1.03,-1.35
191207,-1.00,-1.33
191208,-0.92,-1.24
191209,-0.65,-1.08
191210,-0.20,-0.60
191211,-0.48,-0.91
191212,-0.64,-0.97
191301,-0.59,-0.89
191302,0.06,-0.25
191303,0.49,0.29
191304,0.56,0.32
191305,1.60,1.31
191306,-0.60,-0.92
191307,-1.45,-1.78
191308,-2.19,-2.51
191309,-2.34,-2.77
191310,-1.90,-2.30
191311,-2.43,-2.86
191312,-2.61,-2.94
191401,-2.65,-2.95
191402,-2.67,-2.98
191403,-2.65,-2.85
191404,-2.51,-2.75
191405,-2.57,-2.86
191406,-1.98,-2.30
191407,-2.40,-2.73
191408,-2.97,-3.29
191409,1.29,0.86
191410,1.62,1.22
191411,1.01,0.58
191412,1.15,0.82
191501,1.58,1.28
191502,2.73,2.42
191503,2.09,1.89
191504,0.77,0.53
191505,2.29,2.00
191506,2.13,1.81
191507,4.05,3.72
191508,3.71,3.39
191509,4.56,4.13
191510,3.86,3.46
191511,3.78,3.35
191512,3.33,3.00
191601,4.03,3.73
191602,-0.09,-0.40
191603,-0.19,-0.39
191604,-0.21,-0.45
191605,0.41,0.12
191606,-0.06,-0.38
191607,-1.05,-1.38
191608,-1.71,-2.03
191609,-1.61,-2.04
191610,-1.59,-1.99
191611,-1.77,-2.20
191612,-1.88,-2.21
191701,-1.89,-2.19
191702,-2.14,-2.45
191703,-2.09,-2.29
191704,0.91,0.67
191705,1.13,0.84
191706,2.03,1.71
191707,-0.50,-0.83
191708,-0.95,-1.27
191709,-1.15,-1.58
191710,-1.19,-1.59
191711,-2.02,-2.45
191712,-2.46,-2.79
191801,-2.49,-2.79
191802,-2.48,-2.79
191803,-3.40,-3.60
191804,-3.32,-3.56
191805,0.94,0.65
191806,1.06,0.74
191807,0.92,0.59
191808,0.64,0.32
191809,0.15,-0.28
191810,0.57,0.17
191811,0.64,0.21
191812,0.74,0.41
191901,0.38,0.08
191902,1.35,1.04
191903,1.38,1.18
191904,2.20,1.96
191905,1.78,1.49
191906,2.02,1.70
191907,1.35,1.02
191908,0.72,0.40
