Kansas, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.33,0.00
189502,0.92,0.59
189503,-0.22,-0.49
189504,-0.74,-1.04
189505,-1.13,-1.41
189506,0.51,0.14
189507,1.57,1.20
189508,2.64,2.26
189509,1.91,1.54
189510,1.42,1.12
189511,1.42,1.05
189512,1.78,1.43
189601,1.71,1.38
189602,1.28,0.95
189603,0.94,0.67
189604,1.18,0.88
189605,1.21,0.93
189606,1.27,0.90
189607,1.91,1.54
189608,1.83,1.45
189609,1.91,1.54
189610,2.20,1.90
189611,2.01,1.64
189612,1.55,1.20
189701,1.65,1.32
189702,1.83,1.50
189703,1.87,1.60
189704,2.47,2.17
189705,-0.49,-0.77
189706,-0.50,-0.87
189707,-0.47,-0.84
189708,-0.19,-0.57
189709,-0.89,-1.26
189710,-0.71,-1.01
189711,-1.17,-1.54
189712,-1.24,-1.59
189801,0.33,0.00
189802,0.25,-0.08
189803,0.02,-0.25
189804,0.24,-0.06
189805,1.45,1.17
189806,1.64,1.27
189807,1.86,1.49
189808,1.74,1.36
189809,2.05,1.68
189810,1.89,1.59
189811,1.74,1.37
189812,2.11,1.76
189901,1.78,1.45
189902,1.61,1.28
189903,1.56,1.29
189904,1.01,0.71
189905,0.65,0.37
189906,1.14,0.77
189907,2.26,1.89
189908,-0.07,-0.45
189909,-0.44,-0.81
189910,-0.68,-0.98
189911,-0.66,-1.03
189912,-0.47,-0.82
190001,-0.78,-1.11
190002,-0.28,-0.61
190003,-0.68,-0.95
190004,0.91,0.61
190005,0.56,0.28
190006,0.48,0.11
190007,0.65,0.28
190008,0.18,-0.20
190009,1.15,0.78
190010,1.13,0.83
190011,-0.33,-0.70
190012,-0.64,-0.99
190101,-0.84,-1.17
190102,0.14,-0.19
190103,0.07,-0.20
190104,0.78,0.48
190105,-0.69,-0.97
190106,-1.36,-1.73
190107,-2.11,-2.48
190108,-2.34,-2.72
190109,-2.08,-2.45
190110,-2.15,-2.45
190111,-2.48,-2.85
190112,-2.65,-3.00
190201,-2.63,-2.96
190202,-2.70,-3.03
190203,-2.74,-3.01
190204,-3.14,-3.44
190205,0.41,0.13
190206,0.99,0.62
190207,1.39,1.02
190208,2.30,1.92
190209,2.67,2.30
190210,2.63,2.33
190211,2.42,2.05
190212,2.44,2.09
190301,2.10,1.77
190302,2.85,2.52
190303,2.59,2.32
190304,2.51,2.21
190305,4.26,3.98
190306,3.73,3.36
190307,3.49,3.12
190308,4.02,3.64
190309,3.43,3.06
190310,3.67,3.37
190311,3.25,2.88
190312,2.70,2.35
190401,2.29,1.96
190402,1.68,1.35
