Kentucky, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.57,0.69
189502,-0.90,-0.78
189503,-1.25,-1.11
189504,-1.53,-1.39
189505,-1.69,-1.60
189506,-1.83,-1.84
189507,-1.00,-0.80
189508,-1.24,-1.05
189509,-2.11,-1.91
189510,-2.36,-2.22
189511,-2.34,-2.10
189512,-2.07,-1.94
189601,-2.65,-2.53
189602,-2.50,-2.38
189603,-1.63,-1.49
189604,-2.76,-2.62
189605,-2.92,-2.83
189606,0.16,0.15
189607,1.29,1.49
189608,0.95,1.14
189609,1.09,1.29
189610,0.82,0.96
189611,1.07,1.31
189612,-0.67,-0.54
189701,-0.77,-0.65
189702,0.91,1.03
189703,1.84,1.98
189704,2.49,2.63
189705,-0.03,0.06
189706,-0.15,-0.16
189707,-0.18,0.02
189708,-0.49,-0.30
189709,-1.75,-1.55
189710,-2.65,-2.51
189711,-2.57,-2.33
189712,-2.55,-2.42
189801,1.37,1.49
189802,0.54,0.66
189803,1.24,1.38
189804,1.01,1.15
189805,0.88,0.97
189806,0.70,0.69
189807,0.59,0.79
189808,0.48,0.67
189809,0.65,0.85
189810,1.43,1.57
189811,1.36,1.60
189812,1.07,1.20
189901,1.62,1.74
189902,1.72,1.84
189903,2.78,2.92
189904,-0.34,-0.20
189905,-0.33,-0.24
189906,-0.77,-0.78
189907,-1.14,-0.94
189908,-1.51,-1.32
189909,-2.02,-1.82
189910,-2.25,-2.11
189911,-3.01,-2.77
189912,-3.05,-2.92
190001,-3.17,-3.05
190002,-2.46,-2.34
190003,-2.83,-2.69
190004,-3.28,-3.14
190005,-3.21,-3.12
190006,-2.12,-2.13
190007,-1.94,-1.74
190008,-2.05,-1.86
190009,-2.55,-2.35
190010,-2.82,-2.68
190011,-1.35,-1.11
190012,-1.48,-1.35
190101,-1.96,-1.84
190102,-2.52,-2.40
190103,-2.71,-2.57
190104,-2.11,-1.97
190105,-2.36,-2.27
190106,-2.17,-2.18
190107,-3.50,-3.30
190108,-2.86,-2.67
190109,-2.47,-2.27
190110,-2.92,-2.78
190111,-3.58,-3.34
190112,-3.19,-3.06
190201,-2.42,-2.30
190202,-2.84,-2.72
190203,-2.64,-2.50
190204,-2.88,-2.74
190205,-3.09,-3.00
190206,-2.40,-2.41
190207,-3.14,-2.94
190208,-3.60,-3.41
190209,-2.96,-2.76
190210,-3.02,-2.88
190211,-2.94,-2.70
190212,1.08,1.21
190301,0.54,0.66
190302,1.80,1.92
190303,-0.29,-0.15
190304,-0.04,0.10
190305,-0.66,-0.57
190306,-0.50,-0.51
190307,-0.84,-0.64
190308,-1.07,-0.88
190309,-1.97,-1.77
190310,-2.07,-1.93
190311,-2.23,-1.99
190312,-2.49,-2.36
190401,-2.48,-2.36
190402,-2.62,-2.50
190403,-1.86,-1.72
190404,-1.89,-1.75
190405,-2.09,-2.00
190406,-2.04,-2.05
190407,-2.21,-2.01
190408,-2.36,-2.17
190409,-2.59,-2.39
190410,-3.31,-3.17
190411,-4.17,-3.93
190412,-4.12,-3.99
