Louisiana, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,-0.14,-0.02
189502,-0.34,-0.12
189503,-0.26,-0.02
189504,-0.76,-0.59
189505,0.04,0.17
189506,0.79,1.03
189507,1.07,1.24
189508,1.39,1.48
189509,-0.76,-0.61
189510,-0.76,-0.70
189511,-0.86,-0.69
189512,-0.98,-0.84
189601,-1.26,-1.14
189602,0.67,0.89
189603,-0.04,0.20
189604,-0.38,-0.21
189605,-1.42,-1.29
189606,-1.60,-1.36
189607,-2.69,-2.52
189608,-3.23,-3.14
189609,-3.63,-3.48
189610,-2.83,-2.77
189611,-2.32,-2.15
189612,-3.08,-2.94
189701,-2.48,-2.36
189702,-2.51,-2.29
189703,-2.40,-2.16
189704,-2.19,-2.02
189705,-2.55,-2.42
189706,-2.78,-2.54
189707,-3.16,-2.99
189708,-2.71,-2.62
189709,-3.28,-3.13
189710,-3.11,-3.05
189711,-3.31,-3.14
189712,-2.48,-2.34
189801,-1.74,-1.62
189802,-1.46,-1.24
189803,-1.92,-1.68
189804,-1.94,-1.77
189805,-2.83,-2.70
189806,0.64,0.88
189807,0.66,0.83
189808,1.18,1.27
189809,2.70,2.85
189810,3.04,3.10
189811,3.74,3.91
189812,-0.55,-0.41
189901,0.56,0.68
189902,-0.27,-0.05
189903,-0.78,-0.54
189904,-1.05,-0.88
189905,-2.36,-2.23
189906,-2.36,-2.12
189907,-3.00,-2.83
189908,-3.07,-2.98
189909,-3.58,-3.43
189910,-3.83,-3.77
189911,-4.17,-4.00
189912,0.17,0.31
190001,-0.16,-0.04
190002,0.70,0.92
190003,0.80,1.04
190004,1.92,2.09
190005,1.60,1.73
190006,2.69,2.93
190007,3.18,3.35
190008,3.00,3.09
190009,-0.61,-0.46
190010,-0.60,-0.54
190011,-1.01,-0.84
190012,-1.01,-0.87
190101,-1.33,-1.21
190102,-1.02,-0.80
190103,-1.31,-1.07
190104,-1.01,-0.84
190105,-1.69,-1.56
190106,-2.35,-2.11
190107,-1.99,-1.82
190108,-2.04,-1.95
190109,-1.96,-1.81
190110,-2.14,-2.08
190111,-2.53,-2.36
190112,-2.24,-2.10
190201,-2.82,-2.70
190202,-2.82,-2.60
190203,-2.57,-2.33
190204,-2.69,-2.52
190205,-2.90,-2.77
190206,-3.51,-3.27
190207,-3.58,-3.41
190208,-3.98,-3.89
190209,0.43,0.58
190210,0.33,0.39
190211,0.30,0.47
190212,0.21,0.35
190301,0.21,0.33
190302,1.65,1.87
190303,2.42,2.66
190304,-0.82,-0.65
190305,-1.48,-1.35
190306,-1.45,-1.21
190307,-0.86,-0.69
190308,-0.74,-0.65
190309,-1.32,-1.17
190310,-1.67,-1.61
190311,-2.63,-2.46
190312,-2.97,-2.83
190401,-3.38,-3.26
190402,-3.77,-3.55
190403,-3.81,-3.57
190404,-3.70,-3.53
190405,-3.74,-3.61
190406,-3.57,-3.33
190407,-2.76,-2.59
190408,-2.25,-2.16
190409,-2.42,-2.27
190410,-2.99,-2.93
190411,-3.37,-3.20
190412,-3.13,-2.99
190501,0.24,0.36
190502,1.23,1.45
190503,1.38,1.62
190504,2.33,2.50
190505,2.00,2.13
190506,2.43,2.67
190507,3.45,3.62
190508,3.27,3.36
190509,3.23,3.38
190510,3.22,3.28
190511,3.06,3.23
190512,2.97,3.11
190601,-0.49,-0.37
190602,-1.02,-0.80
190603,-0.31,-0.07
190604,-0.74,-0.57
190605,-1.45,-1.32
190606,-1.91,-1.67
190607,-1.26,-1.09
190608,-1.77,-1.68
190609,-1.52,-1.37
190610,-1.05,-0.99
190611,-1.20,-1.03
190612,-1.51,-1.37
190701,-2.46,-2.34
190702,-2.54,-2.32
190703,-3.51,-3.27
190704,0.39,0.56
190705,3.30,3.43
190706,-0.64,-0.40
190707,-1.30,-1.13
190708,-1.55,-1.46
190709,-1.88,-1.73
190710,-1.67,-1.61
190711,-1.08,-0.91
190712,-1.16,-1.02
190801,-1.36,-1.24
190802,-0.80,-0.58
190803,-1.57,-1.33
190804,-1.65,-1.48
190805,0.54,0.67
190806,0.43,0.67
190807,1.61,1.78
190808,2.33,2.42
190809,2.89,3.04
190810,-0.43,-0.37
190811,-0.83,-0.66
190812,-1.31,-1.17
190901,-2.18,-2.06
190902,-1.90,-1.68
190903,-2.22,-1.98
190904,-1.95,-1.78
190905,-1.46,-1.33
190906,-0.79,-0.55
190907,-1.16,-0.99
190908,-0.83,-0.74
190909,-0.67,-0.52
190910,-0.97,-0.91
190911,-1.82,-1.65
190912,-1.46,-1.32
191001,-1.80,-1.68
191002,-1.51,-1.29
191003,-2.70,-2.46
191004,-3.06,-2.89
191005,0.19,0.32
191006,0.84,1.08
191007,1.62,1.79
191008,1.48,1.57
191009,-0.41,-0.26
191010,-0.44,-0.38
191011,-0.98,-0.81
191012,-1.28,-1.14
191101,-1.97,-1.85
191102,-2.87,-2.65
191103,-3.44,-3.20
191104,-2.43,-2.26
191105,-2.89,-2.76
191106,-2.98,-2.74
191107,1.04,1.21
191108,1.85,1.94
191109,1.19,1.34
191110,0.97,1.03
191111,0.84,1.01
191112,2.78,2.92
191201,2.27,2.39
191202,1.78,2.00
191203,2.40,2.64
191204,2.63,2.80
191205,2.52,2.65
191206,2.53,2.77
191207,2.37,2.54
191208,2.77,2.86
191209,-0.66,-0.51
191210,-1.16,-1.10
191211,-1.93,-1.76
191212,1.57,1.71
191301,1.64,1.76
191302,1.49,1.71
191303,1.29,1.53
191304,1.55,1.72
191305,1.38,1.51
191306,1.03,1.27
191307,1.15,1.32
191308,0.86,0.95
191309,3.68,3.83
191310,4.04,4.10
191311,-0.43,-0.26
191312,-0.95,-0.81
191401,-2.02,-1.90
191402,-1.70,-1.48
191403,-0.87,-0.63
191404,-0.46,-0.29
191405,-1.08,-0.95
191406,-1.83,-1.59
191407,-1.94,-1.77
191408,-1.07,-0.98
191409,-1.47,-1.32
191410,-1.84,-1.78
191411,0.08,0.25
191412,0.11,0.25
191501,0.55,0.67
191502,0.89,1.11
191503,-0.36,-0.12
191504,-1.04,-0.87
191505,-1.13,-1.00
191506,-1.57,-1.33
191507,-1.55,-1.38
191508,-0.70,-0.61
191509,-1.13,-0.98
191510,-0.96,-0.90
191511,-1.39,-1.22
191512,-1.58,-1.44
191601,-1.01,-0.89
191602,-1.93,-1.71
191603,-2.87,-2.63
191604,-2.87,-2.70
191605,-1.77,-1.64
191606,-1.68,-1.44
191607,-0.92,-0.75
191608,-0.77,-0.68
191609,-1.07,-0.92
191610,-0.93,-0.87
191611,-1.66,-1.49
191612,-1.83,-1.69
191701,-1.58,-1.46
191702,-1.56,-1.34
191703,-1.87,-1.63
191704,-1.57,-1.40
191705,-2.22,-2.09
191706,-2.96,-2.72
191707,-3.10,-2.93
191708,-2.65,-2.56
191709,-2.95,-2.80
191710,-3.12,-3.06
191711,-3.71,-3.54
191712,-4.41,-4.27
191801,-4.31,-4.19
191802,-4.77,-4.55
191803,-5.43,-5.19
191804,-4.21,-4.04
191805,-4.76,-4.63
191806,-4.74,-4.50
191807,-5.32,-5.15
191808,-4.46,-4.37
191809,-4.47,-4.32
191810,1.29,1.35
191811,1.68,1.85
191812,1.39,1.53
191901,1.62,1.74
191902,1.67,1.89
191903,1.43,1.67
191904,1.44,1.61
191905,2.38,2.51
191906,2.94,3.18
191907,2.93,3.10
191908,3.03,3.12
191909,2.27,2.42
191910,3.33,3.39
191911,3.86,4.03
191912,2.83,2.97
192001,2.95,3.07
192002,2.12,2.34
192003,1.59,1.83
192004,1.63,1.80
192005,1.30,1.43
192006,1.33,1.57
192007,2.12,2.29
192008,2.95,3.04
192009,2.71,2.86
192010,2.58,2.64
192011,2.39,2.56
192012,3.24,3.38
192101,-0.68,-0.56
192102,-1.46,-1.24
192103,-1.48,-1.24
192104,-0.62,-0.45
192105,-1.16,-1.03
192106,-0.97,-0.73
192107,-0.76,-0.59
192108,-1.20,-1.11
192109,-1.73,-1.58
192110,-2.02,-1.96
192111,-2.72,-2.55
192112,-3.06,-2.92
192201,0.24,0.36
192202,0.25,0.47
192203,1.70,1.94
192204,1.44,1.61
192205,1.60,1.73
192206,1.78,2.02
192207,1.84,2.01
192208,1.89,1.98
192209,-0.35,-0.20
192210,-0.49,-0.43
192211,-0.68,-0.51
192212,-0.54,-0.40
192301,-0.90,-0.78
192302,0.40,0.62
192303,0.87,1.11
192304,1.40,1.57
192305,2.06,2.19
192306,2.43,2.67
192307,2.53,2.70
192308,2.66,2.75
192309,2.78,2.93
192310,2.70,2.76
192311,3.08,3.25
192312,3.50,3.64
192401,3.57,3.69
192402,0.01,0.23
192403,-0.23,0.01
192404,-0.33,-0.16
192405,-0.33,-0.20
192406,-0.83,-0.59
192407,-2.20,-2.03
192408,-3.33,-3.24
192409,-3.91,-3.76
192410,-4.54,-4.48
192411,-5.30,-5.13
192412,-5.19,-5.05
192501,-3.96,-3.84
192502,-4.41,-4.19
192503,-4.85,-4.61
192504,-5.42,-5.25
192505,-5.76,-5.63
192506,-5.85,-5.61
192507,-5.66,-5.49
192508,-6.01,-5.92
192509,-0.02,0.13
192510,1.39,1.45
192511,1.89,2.06
192512,1.22,1.36
192601,1.48,1.60
192602,0.57,0.79
192603,2.36,2.60
192604,2.57,2.74
192605,2.29,2.42
192606,1.86,2.10
192607,1.61,1.78
192608,2.32,2.41
192609,-0.58,-0.43
192610,-0.34,-0.28
192611,-0.36,-0.19
192612,-0.09,0.05
192701,-0.92,-0.80
192702,0.10,0.32
192703,0.73,0.97
192704,0.81,0.98
192705,0.60,0.73
192706,0.86,1.10
192707,-0.10,0.07
192708,-0.26,-0.17
192709,-0.77,-0.62
192710,-1.00,-0.94
192711,-1.39,-1.22
192712,-0.86,-0.72
192801,-1.89,-1.77
192802,-1.87,-1.65
192803,-1.97,-1.73
192804,0.78,0.95
192805,0.45,0.58
192806,1.71,1.95
192807,1.83,2.00
192808,-0.15,-0.06
192809,-0.35,-0.20
192810,-0.58,-0.52
192811,-0.90,-0.73
192812,-1.12,-0.98
192901,0.23,0.35
192902,0.74,0.96
192903,0.88,1.12
192904,-0.43,-0.26
192905,-0.01,0.12
192906,-0.24,0.00
192907,-0.20,-0.03
192908,-0.78,-0.69
192909,-1.07,-0.92
192910,0.06,0.12
192911,1.58,1.75
192912,1.15,1.29
193001,1.80,1.92
193002,-0.48,-0.26
193003,-0.77,-0.53
193004,-1.62,-1.45
193005,-1.25,-1.12
193006,-2.08,-1.84
193007,-2.82,-2.65
193008,-2.89,-2.80
193009,-2.11,-1.96
193010,-1.46,-1.40
193011,-0.86,-0.69
193012,-1.03,-0.89
193101,-0.70,-0.58
193102,-0.95,-0.73
193103,-0.88,-0.64
193104,-1.26,-1.09
193105,-1.47,-1.34
193106,-2.01,-1.77
193107,-1.94,-1.77
193108,-1.73,-1.64
193109,-2.66,-2.51
193110,-2.76,-2.70
193111,-2.66,-2.49
193112,1.52,1.66
193201,2.82,2.94
193202,-0.16,0.06
193203,-0.51,-0.27
193204,-0.82,-0.65
193205,-0.70,-0.57
193206,-1.10,-0.86
193207,-1.49,-1.32
193208,-1.57,-1.48
193209,-1.65,-1.50
193210,0.36,0.42
193211,0.40,0.57
193212,1.51,1.65
193301,0.79,0.91
193302,1.15,1.37
193303,1.20,1.44
193304,1.59,1.76
193305,-0.24,-0.11
193306,-0.82,-0.58
193307,1.70,1.87
193308,1.62,1.71
193309,-0.85,-0.70
193310,-1.43,-1.37
193311,-2.19,-2.02
193312,-2.45,-2.31
193401,-1.86,-1.74
193402,-1.59,-1.37
193403,-0.89,-0.65
193404,-1.22,-1.05
193405,-1.17,-1.04
193406,-1.12,-0.88
193407,-1.23,-1.06
193408,-1.19,-1.10
193409,-1.20,-1.05
193410,-1.64,-1.58
193411,0.82,0.99
193412,-0.30,-0.16
193501,-0.69,-0.57
193502,-0.82,-0.60
193503,0.18,0.42
193504,0.46,0.63
193505,1.13,1.26
193506,1.11,1.35
193507,-0.08,0.09
193508,-0.29,-0.20
193509,-0.32,-0.17
193510,-0.96,-0.90
193511,-1.19,-1.02
193512,-1.03,-0.89
193601,-1.01,-0.89
193602,-1.09,-0.87
193603,-1.99,-1.75
193604,-1.92,-1.75
193605,-1.82,-1.69
193606,-2.75,-2.51
193607,-2.40,-2.23
193608,-2.64,-2.55
193609,-3.28,-3.13
193610,-3.34,-3.28
193611,-3.23,-3.06
193612,-3.16,-3.02
193701,-1.95,-1.83
193702,-2.36,-2.14
193703,-1.96,-1.72
193704,-2.06,-1.89
193705,-2.48,-2.35
193706,-2.26,-2.02
193707,-2.33,-2.16
193708,-1.91,-1.82
193709,-2.03,-1.88
193710,1.30,1.36
193711,-0.14,0.03
193712,-0.32,-0.18
193801,-0.35,-0.23
193802,-0.89,-0.67
193803,-1.43,-1.19
193804,0.69,0.86
193805,-0.76,-0.63
193806,-0.71,-0.47
193807,0.13,0.30
193808,0.58,0.67
193809,-0.43,-0.28
193810,-1.05,-0.99
193811,-1.11,-0.94
193812,-1.63,-1.49
193901,-1.22,-1.10
193902,-0.85,-0.63
193903,-1.45,-1.21
193904,-1.82,-1.65
193905,-1.29,-1.16
193906,-1.21,-0.97
193907,-1.15,-0.98
193908,-1.10,-1.01
193909,-1.59,-1.44
193910,-1.88,-1.82
193911,-2.11,-1.94
193912,-2.37,-2.23
194001,-2.61,-2.49
194002,0.57,0.79
194003,0.02,0.26
194004,1.19,1.36
194005,0.34,0.47
194006,1.62,1.86
194007,2.25,2.42
194008,4.07,4.16
194009,3.76,3.91
194010,2.97,3.03
194011,3.87,4.04
194012,4.48,4.62
194101,3.50,3.62
194102,2.71,2.93
194103,2.55,2.79
194104,1.94,2.11
194105,2.50,2.63
194106,2.87,3.11
194107,3.51,3.68
194108,3.08,3.17
194109,3.27,3.42
194110,3.76,3.82
194111,3.24,3.41
194112,2.39,2.53
194201,1.52,1.64
194202,1.42,1.64
194203,1.48,1.72
194204,1.53,1.70
194205,1.28,1.41
194206,2.20,2.44
194207,1.97,2.14
194208,2.35,2.44
194209,2.60,2.75
194210,2.43,2.49
194211,-0.85,-0.68
194212,-0.93,-0.79
194301,-1.41,-1.29
194302,-2.05,-1.83
194303,-1.10,-0.86
194304,-1.54,-1.37
194305,-2.10,-1.97
194306,-2.39,-2.15
194307,-2.57,-2.40
194308,-3.21,-3.12
194309,1.57,1.72
194310,1.19,1.25
194311,1.02,1.19
194312,0.89,1.03
194401,1.37,1.49
194402,1.07,1.29
194403,1.22,1.46
194404,1.24,1.41
194405,1.85,1.98
194406,-0.68,-0.44
194407,-1.59,-1.42
194408,-0.84,-0.75
194409,-0.97,-0.82
194410,-1.53,-1.47
194411,0.66,0.83
194412,1.00,1.14
194501,0.84,0.96
194502,0.94,1.16
194503,0.78,1.02
194504,0.92,1.09
194505,0.70,0.83
194506,0.82,1.06
194507,1.63,1.80
194508,1.93,2.02
194509,1.77,1.92
194510,2.36,2.42
194511,1.67,1.84
194512,1.52,1.66
194601,2.60,2.72
194602,2.61,2.83
194603,2.82,3.06
194604,2.05,2.22
194605,3.51,3.64
194606,3.94,4.18
194607,4.76,4.93
194608,4.27,4.36
194609,4.05,4.20
194610,3.36,3.42
194611,3.60,3.77
194612,2.64,2.78
194701,3.39,3.51
194702,2.37,2.59
194703,3.14,3.38
194704,3.30,3.47
194705,0.05,0.18
194706,-0.06,0.18
194707,-1.13,-0.96
194708,-1.71,-1.62
194709,-1.92,-1.77
194710,-2.52,-2.46
194711,1.14,1.31
194712,1.35,1.49
194801,1.32,1.44
194802,1.16,1.38
194803,1.47,1.71
194804,-0.36,-0.19
194805,-0.87,-0.74
194806,-1.62,-1.38
194807,-2.48,-2.31
194808,-2.82,-2.73
194809,-2.43,-2.28
194810,-2.75,-2.69
194811,1.59,1.76
194812,1.05,1.19
194901,1.15,1.27
194902,0.93,1.15
194903,1.83,2.07
194904,2.17,2.34
194905,-0.92,-0.79
194906,-0.96,-0.72
194907,0.59,0.76
194908,0.36,0.45
194909,0.17,0.32
194910,1.19,1.25
194911,-0.88,-0.71
194912,-1.00,-0.86
195001,-0.95,-0.83
195002,0.45,0.67
195003,0.60,0.84
195004,0.81,0.98
195005,0.94,1.07
195006,1.64,1.88
195007,2.01,2.18
195008,0.02,0.11
195009,-0.13,0.02
195010,-0.44,-0.38
195011,-0.99,-0.82
195012,-1.23,-1.09
195101,-0.66,-0.54
195102,-1.21,-0.99
195103,-0.75,-0.51
195104,-0.99,-0.82
195105,-1.83,-1.70
195106,-1.99,-1.75
195107,-1.98,-1.81
195108,-2.98,-2.89
195109,-2.09,-1.94
195110,-2.59,-2.53
195111,-2.83,-2.66
195112,-2.67,-2.53
195201,-3.23,-3.11
195202,-2.49,-2.27
195203,-2.61,-2.37
195204,-1.68,-1.51
195205,-1.32,-1.19
195206,-2.07,-1.83
195207,-1.86,-1.69
195208,-2.53,-2.44
195209,-2.97,-2.82
195210,-3.44,-3.38
195211,-3.19,-3.02
195212,-2.89,-2.75
195301,-3.22,-3.10
195302,0.55,0.77
195303,0.30,0.54
195304,1.11,1.28
195305,2.94,3.07
195306,-0.35,-0.11
195307,-0.30,-0.13
195308,-0.30,-0.21
195309,-1.36,-1.21
195310,-1.89,-1.83
195311,-1.71,-1.54
195312,-0.83,-0.69
195401,-1.10,-0.98
195402,-2.16,-1.94
195403,-2.69,-2.45
195404,-2.94,-2.77
195405,-1.93,-1.80
195406,-2.44,-2.20
195407,-2.40,-2.23
195408,-3.33,-3.24
195409,-3.66,-3.51
195410,-3.36,-3.30
195411,-3.59,-3.42
