Maryland, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.42,0.58
189502,-0.66,-0.56
189503,-0.76,-0.62
189504,0.74,0.85
189505,0.54,0.76
189506,0.63,0.78
189507,-0.12,0.01
189508,-0.88,-0.77
189509,-1.45,-1.38
189510,-1.59,-1.51
189511,-2.21,-2.00
189512,-2.70,-2.50
189601,-3.12,-2.96
189602,-1.57,-1.47
189603,-1.02,-0.88
189604,-1.87,-1.76
189605,-2.35,-2.13
189606,-2.09,-1.94
189607,-1.35,-1.22
189608,-2.01,-1.90
189609,-1.63,-1.56
189610,-1.99,-1.91
189611,-2.39,-2.18
189612,-3.26,-3.06
189701,-3.59,-3.43
189702,1.11,1.21
189703,0.63,0.77
189704,0.41,0.52
189705,0.80,1.02
189706,0.69,0.84
189707,1.74,1.87
189708,1.52,1.63
189709,0.81,0.88
189710,0.83,0.91
189711,1.32,1.53
189712,1.47,1.67
189801,0.02,0.18
189802,-0.56,-0.46
189803,-0.67,-0.53
189804,-0.67,-0.56
189805,-0.40,-0.18
189806,-1.16,-1.01
189807,-1.64,-1.51
189808,-1.09,-0.98
189809,-1.72,-1.65
189810,0.30,0.38
189811,0.56,0.77
189812,0.78,0.98
189901,0.81,0.97
189902,2.09,2.19
189903,2.54,2.68
189904,-0.76,-0.65
189905,-0.95,-0.73
189906,-1.16,-1.01
189907,-1.12,-0.99
189908,0.02,0.13
189909,0.36,0.43
189910,-0.13,-0.05
189911,-0.52,-0.31
189912,-1.00,-0.80
190001,-1.13,-0.97
190002,0.86,0.96
190003,-0.05,0.09
190004,-0.52,-0.41
190005,-1.06,-0.84
190006,-0.56,-0.41
190007,-0.86,-0.73
190008,-1.48,-1.37
190009,-1.52,-1.45
190010,-2.07,-1.99
190011,-2.46,-2.25
190012,-2.82,-2.62
190101,-2.76,-2.60
190102,-3.41,-3.31
190103,-3.15,-3.01
190104,1.06,1.17
190105,1.10,1.32
190106,0.79,0.94
190107,1.11,1.24
190108,1.52,1.63
190109,-0.08,-0.01
190110,-0.75,-0.67
190111,-0.88,-0.67
190112,1.38,1.58
190201,1.32,1.48
190202,2.09,2.19
190203,-0.11,0.03
190204,-0.04,0.07
190205,-0.79,-0.57
190206,-0.16,-0.01
190207,-0.23,-0.10
190208,-0.81,-0.70
190209,0.63,0.70
190210,1.50,1.58
190211,1.57,1.78
190212,2.41,2.61
190301,2.45,2.61
190302,3.12,3.22
190303,3.24,3.38
190304,3.05,3.16
190305,2.22,2.44
190306,2.69,2.84
190307,3.09,3.22
190308,3.40,3.51
190309,2.77,2.84
190310,3.11,3.19
190311,-0.29,-0.08
190312,-0.39,-0.19
190401,-0.67,-0.51
190402,-0.95,-0.85
190403,-1.02,-0.88
190404,-1.19,-1.08
190405,-1.64,-1.42
190406,0.30,0.45
190407,0.69,0.82
190408,-0.38,-0.27
190409,-0.26,-0.19
190410,-0.39,-0.31
190411,-0.80,-0.59
190412,-0.55,-0.35
190501,-0.30,-0.14
190502,-0.31,-0.21
190503,-0.52,-0.38
190504,-0.63,-0.52
190505,-0.89,-0.67
190506,0.33,0.48
190507,1.63,1.76
190508,2.12,2.23
190509,1.92,1.99
190510,1.65,1.73
190511,1.11,1.32
190512,1.56,1.76
190601,1.16,1.32
190602,1.08,1.18
190603,1.69,1.83
190604,1.27,1.38
190605,0.66,0.88
190606,1.44,1.59
190607,1.97,2.10
190608,3.18,3.29
190609,2.22,2.29
190610,2.76,2.84
190611,2.27,2.48
190612,2.36,2.56
190701,2.03,2.19
190702,1.68,1.78
190703,1.16,1.30
190704,1.26,1.37
190705,1.68,1.90
190706,2.62,2.77
190707,2.33,2.46
190708,2.16,2.27
190709,2.88,2.95
190710,2.77,2.85
190711,3.67,3.88
190712,3.66,3.86
190801,3.32,3.48
190802,3.54,3.64
