Massachusetts, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,-0.03,0.18
189502,-1.07,-0.88
189503,-1.30,-1.19
189504,-0.87,-0.74
189505,-1.35,-1.15
189506,-1.62,-1.44
189507,-1.28,-1.19
189508,-1.29,-1.23
189509,-1.54,-1.55
189510,1.03,1.12
189511,1.64,1.84
189512,-0.15,0.05
189601,-0.81,-0.60
189602,0.82,1.01
189603,1.70,1.81
189604,-1.14,-1.01
189605,-1.61,-1.41
189606,-1.82,-1.64
189607,-1.79,-1.70
189608,-2.04,-1.98
189609,1.04,1.03
189610,1.30,1.39
189611,-0.26,-0.06
189612,-0.88,-0.68
189701,-0.77,-0.56
189702,-1.01,-0.82
189703,-0.97,-0.86
189704,-1.28,-1.15
189705,0.23,0.43
189706,0.76,0.94
189707,2.71,2.80
189708,2.86,2.92
189709,2.26,2.25
189710,1.22,1.31
189711,1.98,2.18
189712,2.36,2.56
189801,2.63,2.84
189802,2.95,3.14
189803,1.82,1.93
189804,2.15,2.28
189805,2.25,2.45
189806,1.71,1.89
189807,1.79,1.88
189808,2.72,2.78
189809,2.27,2.26
189810,3.45,3.54
189811,4.04,4.24
189812,3.22,3.42
189901,2.95,3.16
189902,3.14,3.33
189903,4.09,4.20
189904,-0.81,-0.68
189905,-1.53,-1.33
189906,-1.47,-1.29
189907,-1.04,-0.95
189908,-1.54,-1.48
189909,-0.90,-0.91
189910,-1.20,-1.11
189911,-1.73,-1.53
189912,-2.24,-2.04
190001,0.24,0.45
190002,2.08,2.27
190003,2.59,2.70
190004,-0.72,-0.59
190005,-0.38,-0.18
190006,-0.65,-0.47
190007,-0.83,-0.74
190008,-1.19,-1.13
190009,-1.39,-1.40
190010,-1.47,-1.38
190011,-0.98,-0.78
190012,-1.25,-1.05
190101,-1.77,-1.56
190102,-2.67,-2.48
190103,0.97,1.08
190104,2.40,2.53
190105,3.18,3.38
190106,2.08,2.26
190107,2.15,2.24
190108,2.17,2.23
190109,1.77,1.76
190110,1.44,1.53
190111,0.75,0.95
190112,2.39,2.59
190201,1.59,1.80
190202,1.92,2.11
190203,2.27,2.38
190204,2.01,2.14
190205,1.20,1.40
190206,1.10,1.28
190207,1.42,1.51
190208,1.43,1.49
190209,1.55,1.54
190210,2.10,2.19
190211,0.93,1.13
190212,1.65,1.85
190301,1.43,1.64
190302,1.75,1.94
190303,2.27,2.38
190304,-0.29,-0.16
190305,-1.41,-1.21
190306,1.55,1.73
190307,1.54,1.63
190308,1.99,2.05
190309,-0.56,-0.57
190310,-0.25,-0.16
190311,-0.69,-0.49
190312,-0.74,-0.54
190401,-0.49,-0.28
190402,-0.69,-0.50
190403,-0.85,-0.74
190404,1.38,1.51
190405,-0.42,-0.22
190406,-0.39,-0.21
190407,-0.55,-0.46
190408,0.18,0.24
190409,0.53,0.52
190410,-0.27,-0.18
190411,-0.88,-0.68
190412,-1.10,-0.90
190501,-0.75,-0.54
190502,-1.42,-1.23
190503,-1.45,-1.34
190504,-1.82,-1.69
190505,-2.53,-2.33
190506,0.51,0.69
190507,0.36,0.45
190508,0.60,0.66
190509,1.38,1.37
190510,-0.36,-0.27
190511,-0.74,-0.54
190512,-0.64,-0.44
190601,-0.90,-0.69
190602,-0.93,-0.74
190603,0.78,0.89
190604,0.30,0.43
190605,0.81,1.01
190606,0.80,0.98
190607,1.46,1.55
190608,-0.25,-0.19
190609,-0.63,-0.64
190610,-0.40,-0.31
190611,-0.75,-0.55
190612,-0.58,-0.38
190701,-0.73,-0.52
190702,-1.07,-0.88
190703,-1.62,-1.51
190704,-1.61,-1.48
190705,-1.32,-1.12
190706,-1.26,-1.08
190707,-1.40,-1.31
190708,-2.08,-2.02
190709,1.52,1.51
190710,2.08,2.17
190711,2.51,2.71
190712,2.56,2.76
190801,2.08,2.29
190802,2.27,2.46
190803,-0.24,-0.13
190804,-0.89,-0.76
190805,-0.55,-0.35
190806,-1.36,-1.18
190807,0.02,0.11
190808,0.66,0.72
190809,-0.87,-0.88
190810,-0.99,-0.90
190811,-2.03,-1.83
190812,-2.22,-2.02
190901,0.15,0.36
190902,1.25,1.44
190903,1.13,1.24
190904,1.52,1.65
190905,-0.19,0.01
190906,-0.57,-0.39
190907,-1.08,-0.99
190908,-1.19,-1.13
190909,-0.87,-0.88
190910,-1.45,-1.36
190911,-1.92,-1.72
190912,-1.88,-1.68
191001,0.67,0.88
191002,1.22,1.41
191003,-1.04,-0.93
191004,-1.48,-1.35
191005,-1.73,-1.53
191006,-1.43,-1.25
191007,-1.85,-1.76
191008,-1.94,-1.88
191009,-2.12,-2.13
191010,-2.83,-2.74
191011,-2.82,-2.62
191012,-3.09,-2.89
191101,-3.12,-2.91
191102,-3.17,-2.98
191103,-2.82,-2.71
191104,-2.90,-2.77
191105,-3.64,-3.44
191106,-3.65,-3.47
191107,-3.40,-3.31
191108,0.63,0.69
191109,0.55,0.54
191110,1.16,1.25
191111,1.39,1.59
191112,1.10,1.30
191201,0.76,0.97
191202,0.40,0.59
191203,1.29,1.40
191204,1.26,1.39
191205,1.45,1.65
191206,-1.04,-0.86
191207,-1.26,-1.17
191208,-1.22,-1.16
191209,-1.63,-1.64
191210,-2.18,-2.09
191211,-2.42,-2.22
191212,-1.91,-1.71
191301,-1.88,-1.67
191302,-1.86,-1.67
191303,-1.24,-1.13
191304,-1.07,-0.94
191305,-0.94,-0.74
191306,-1.66,-1.48
191307,-2.27,-2.18
191308,-2.38,-2.32
191309,-2.40,-2.41
191310,-1.31,-1.22
191311,-1.69,-1.49
191312,-1.72,-1.52
191401,-1.81,-1.60
191402,-1.73,-1.54
191403,0.28,0.39
191404,0.88,1.01
191405,-0.40,-0.20
191406,-0.96,-0.78
191407,-0.83,-0.74
191408,-0.81,-0.75
191409,-1.82,-1.83
191410,-2.48,-2.39
191411,-3.00,-2.80
191412,-3.02,-2.82
191501,-1.69,-1.48
191502,-0.94,-0.75
191503,-2.19,-2.08
191504,-2.72,-2.59
191505,-2.96,-2.76
191506,-3.18,-3.00
191507,1.74,1.83
191508,2.99,3.05
191509,2.11,2.10
191510,1.71,1.80
191511,1.06,1.26
191512,1.51,1.71
191601,0.64,0.85
191602,1.27,1.46
191603,1.10,1.21
191604,1.16,1.29
191605,0.95,1.15
191606,1.66,1.84
191607,2.57,2.66
191608,-0.24,-0.18
191609,-0.20,-0.21
191610,-0.80,-0.71
191611,-1.18,-0.98
191612,-1.27,-1.07
191701,-1.34,-1.13
191702,-1.50,-1.31
191703,-1.12,-1.01
191704,-1.40,-1.27
191705,0.48,0.68
191706,0.96,1.14
191707,0.31,0.40
191708,0.68,0.74
191709,0.07,0.06
191710,0.93,1.02
191711,-0.88,-0.68
191712,-1.20,-1.00
191801,-1.21,-1.00
191802,-1.22,-1.03
191803,-1.50,-1.39
191804,-1.47,-1.34
191805,-2.06,-1.86
191806,-1.78,-1.60
191807,-1.71,-1.62
191808,-2.11,-2.05
191809,1.15,1.14
191810,-0.65,-0.56
191811,-1.06,-0.86
191812,-0.96,-0.76
191901,-1.01,-0.80
191902,-1.04,-0.85
191903,-0.50,-0.39
191904,-0.85,-0.72
191905,-0.22,-0.02
191906,-0.90,-0.72
191907,0.37,0.46
191908,0.81,0.87
191909,1.26,1.25
191910,0.90,0.99
191911,1.44,1.64
191912,-0.59,-0.39
192001,-0.83,-0.62
192002,1.14,1.33
192003,1.26,1.37
192004,2.00,2.13
192005,2.01,2.21
192006,2.78,2.96
192007,2.42,2.51
192008,2.13,2.19
192009,2.21,2.20
192010,1.34,1.43
192011,1.58,1.78
192012,1.99,2.19
192101,-0.47,-0.26
192102,-0.55,-0.36
192103,-1.00,-0.89
192104,0.23,0.36
192105,-0.13,0.07
192106,-0.26,-0.08
192107,1.29,1.38
192108,-0.16,-0.10
192109,-0.65,-0.66
192110,-1.24,-1.15
192111,0.98,1.18
192112,-0.49,-0.29
192201,-1.07,-0.86
192202,-1.05,-0.86
192203,0.56,0.67
192204,-0.59,-0.46
192205,0.29,0.49
192206,1.73,1.91
192207,2.00,2.09
192208,2.72,2.78
192209,-0.14,-0.15
192210,-0.26,-0.17
192211,-1.05,-0.85
192212,-1.12,-0.92
192301,1.03,1.24
192302,-0.59,-0.40
192303,-0.67,-0.56
192304,-0.20,-0.07
192305,-0.83,-0.63
192306,-1.07,-0.89
192307,-1.16,-1.07
192308,-1.53,-1.47
192309,-2.10,-2.11
192310,0.35,0.44
192311,0.36,0.56
192312,0.63,0.83
192401,0.60,0.81
192402,-0.30,-0.11
192403,-0.85,-0.74
192404,0.74,0.87
192405,0.69,0.89
192406,-0.55,-0.37
192407,-1.02,-0.93
192408,0.35,0.41
192409,0.91,0.90
192410,-1.02,-0.93
192411,-1.55,-1.35
192412,-1.99,-1.79
192501,-1.83,-1.62
192502,-1.93,-1.74
192503,-1.27,-1.16
192504,-1.58,-1.45
192505,-1.72,-1.52
192506,-1.65,-1.47
192507,0.66,0.75
192508,0.17,0.23
192509,0.05,0.04
192510,0.57,0.66
192511,0.47,0.67
192512,0.49,0.69
192601,0.07,0.28
192602,0.87,1.06
192603,-0.26,-0.15
192604,-0.55,-0.42
192605,-0.90,-0.70
192606,-1.09,-0.91
192607,-1.00,-0.91
192608,-0.87,-0.81
192609,-1.43,-1.44
192610,0.54,0.63
192611,0.86,1.06
192612,-0.17,0.03
192701,-0.49,-0.28
192702,-0.40,-0.21
192703,-1.28,-1.17
192704,-1.93,-1.80
192705,0.03,0.23
192706,-0.09,0.09
192707,0.58,0.67
192708,2.29,2.35
192709,2.00,1.99
192710,2.38,2.47
192711,3.14,3.34
192712,3.39,3.59
192801,2.64,2.85
192802,2.47,2.66
192803,1.63,1.74
192804,1.92,2.05
192805,1.43,1.63
192806,2.27,2.45
192807,2.92,3.01
192808,3.30,3.36
192809,3.31,3.30
192810,-0.37,-0.28
192811,-0.97,-0.77
192812,-1.41,-1.21
192901,0.03,0.24
192902,0.26,0.45
192903,0.04,0.15
192904,1.32,1.45
192905,1.23,1.43
192906,-0.51,-0.33
192907,-1.35,-1.26
192908,-1.82,-1.76
192909,-2.14,-2.15
192910,-2.30,-2.21
