Arizona, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,1.67,1.69
189502,1.61,1.54
189503,1.09,0.99
189504,1.09,0.95
189505,1.89,1.72
189506,2.26,2.04
189507,1.71,1.41
189508,1.62,1.42
189509,1.17,1.00
189510,1.08,1.04
189511,2.06,1.99
189512,-0.35,-0.37
189601,-0.79,-0.77
189602,-1.33,-1.40
189603,-1.61,-1.71
189604,-1.94,-2.08
189605,-2.37,-2.54
189606,-2.84,-3.06
189607,1.05,0.75
189608,1.01,0.81
189609,1.07,0.90
189610,2.36,2.32
189611,1.92,1.85
189612,1.25,1.23
189701,2.22,2.24
189702,2.12,2.05
189703,0.03,-0.07
189704,-0.08,-0.22
189705,-0.02,-0.19
189706,-0.22,-0.44
189707,-0.72,-1.02
189708,-1.11,-1.31
189709,0.96,0.79
189710,0.92,0.88
189711,-0.61,-0.68
189712,-0.87,-0.89
189801,-0.22,-0.20
189802,-0.88,-0.95
189803,-0.97,-1.07
189804,-1.26,-1.40
189805,-1.32,-1.49
189806,-1.18,-1.40
189807,-1.11,-1.41
189808,-1.13,-1.33
189809,-1.90,-2.07
189810,-2.43,-2.47
189811,-2.41,-2.48
189812,-1.77,-1.79
189901,-1.67,-1.65
189902,-1.85,-1.92
189903,-2.20,-2.30
189904,-2.58,-2.72
189905,-2.77,-2.94
189906,-2.49,-2.71
189907,-2.36,-2.66
189908,-2.51,-2.71
189909,-2.78,-2.95
189910,-2.62,-2.66
189911,-2.64,-2.71
189912,-3.10,-3.12
190001,-3.70,-3.68
190002,-4.15,-4.22
190003,-4.61,-4.71
190004,-3.54,-3.68
190005,-3.84,-4.01
190006,-4.36,-4.58
190007,-5.06,-5.36
190008,-5.23,-5.43
190009,-4.52,-4.69
190010,-4.22,-4.26
190011,-3.50,-3.57
190012,-3.89,-3.91
190101,-3.55,-3.53
190102,-2.42,-2.49
190103,-2.42,-2.52
190104,-2.40,-2.54
190105,-2.20,-2.37
190106,-2.30,-2.52
190107,-2.46,-2.76
190108,-2.66,-2.86
190109,-3.18,-3.35
190110,-3.02,-3.06
190111,-3.31,-3.38
190112,-3.72,-3.74
190201,-3.69,-3.67
190202,-3.95,-4.02
190203,-3.82,-3.92
190204,-4.38,-4.52
190205,-4.57,-4.74
190206,-5.04,-5.26
190207,-5.56,-5.86
190208,-5.29,-5.49
190209,-5.06,-5.23
190210,-5.31,-5.35
190211,-4.15,-4.22
190212,-3.53,-3.55
190301,-3.74,-3.72
190302,-3.21,-3.28
190303,-2.83,-2.93
190304,-2.45,-2.59
190305,-2.34,-2.51
190306,-1.86,-2.08
190307,-2.18,-2.48
190308,-2.58,-2.78
190309,-1.82,-1.99
190310,-2.25,-2.29
190311,-2.80,-2.87
190312,-3.23,-3.25
190401,-3.54,-3.52
190402,-3.98,-4.05
190403,-4.52,-4.62
190404,-5.03,-5.17
190405,-5.12,-5.29
190406,-5.45,-5.67
190407,-4.72,-5.02
190408,-3.17,-3.37
190409,-3.33,-3.50
190410,-3.31,-3.35
190411,-3.65,-3.72
190412,-3.53,-3.55
190501,0.98,1.00
190502,3.24,3.17
190503,4.58,4.48
190504,5.76,5.62
190505,6.54,6.37
190506,8.19,7.97
190507,7.43,7.13
190508,6.12,5.92
190509,6.10,5.93
190510,4.92,4.88
190511,6.66,6.59
190512,6.28,6.26
190601,5.74,5.76
190602,5.35,5.28
190603,5.58,5.48
190604,5.65,5.51
190605,6.03,5.86
190606,6.26,6.04
190607,6.20,5.90
190608,6.48,6.28
190609,5.35,5.18
