Mississippi, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.35,0.56
189502,-0.71,-0.52
189503,-0.48,-0.24
189504,-0.94,-0.79
189505,-1.19,-1.11
189506,0.68,0.77
189507,0.83,1.03
189508,1.20,1.27
189509,-0.73,-0.60
189510,-0.80,-0.71
189511,-1.11,-0.89
189512,-1.08,-0.87
189601,-1.22,-1.01
189602,0.82,1.01
189603,0.85,1.09
189604,-0.54,-0.39
189605,-1.54,-1.46
189606,-1.26,-1.17
189607,-2.19,-1.99
189608,-2.52,-2.45
189609,-2.98,-2.85
189610,-2.58,-2.49
189611,-2.38,-2.16
189612,-3.25,-3.04
189701,-2.79,-2.58
189702,-2.84,-2.65
189703,-1.97,-1.73
189704,-2.18,-2.03
189705,-2.68,-2.60
189706,-3.38,-3.29
189707,-3.80,-3.60
189708,-3.07,-3.00
189709,-3.95,-3.82
189710,-4.14,-4.05
189711,-4.32,-4.10
189712,-3.35,-3.14
189801,-2.53,-2.32
189802,-2.91,-2.72
189803,-3.34,-3.10
189804,-3.32,-3.17
189805,-3.81,-3.73
189806,-3.59,-3.50
189807,0.08,0.28
189808,0.67,0.74
189809,1.39,1.52
189810,1.60,1.69
189811,1.80,2.02
189812,-0.53,-0.32
189901,0.61,0.82
189902,-0.06,0.13
189903,-0.24,0.00
189904,-1.03,-0.88
189905,-2.10,-2.02
189906,-2.43,-2.34
189907,-2.61,-2.41
189908,-2.80,-2.73
189909,-3.42,-3.29
189910,-3.81,-3.72
189911,-4.00,-3.78
189912,-3.46,-3.25
190001,-3.65,-3.44
190002,0.55,0.74
190003,0.19,0.43
190004,1.69,1.84
190005,1.27,1.35
190006,3.76,3.85
190007,3.74,3.94
190008,-0.22,-0.15
190009,-0.67,-0.54
190010,0.00,0.09
190011,-0.45,-0.23
190012,-0.70,-0.49
190101,-0.74,-0.53
190102,-0.80,-0.61
190103,-1.35,-1.11
190104,-1.16,-1.01
190105,-1.29,-1.21
190106,-1.79,-1.70
190107,-2.22,-2.02
190108,1.12,1.19
190109,1.17,1.30
190110,-0.32,-0.23
190111,-0.77,-0.55
190112,-0.31,-0.10
190201,-0.62,-0.41
190202,-0.86,-0.67
190203,0.95,1.19
190204,-0.50,-0.35
190205,-1.24,-1.16
190206,-2.20,-2.11
190207,-2.75,-2.55
190208,-2.86,-2.79
190209,0.38,0.51
190210,-0.32,-0.23
190211,-0.47,-0.25
190212,0.06,0.27
190301,0.02,0.23
190302,1.61,1.80
190303,0.04,0.28
190304,-0.92,-0.77
190305,-1.08,-1.00
190306,-1.02,-0.93
190307,-1.08,-0.88
190308,-0.89,-0.82
190309,-1.73,-1.60
190310,-2.10,-2.01
190311,-2.68,-2.46
190312,-2.87,-2.66
190401,-3.15,-2.94
190402,-3.60,-3.41
190403,-3.65,-3.41
190404,-3.80,-3.65
190405,-3.86,-3.78
190406,-3.39,-3.30
190407,-2.55,-2.35
190408,-2.03,-1.96
190409,-2.50,-2.37
190410,-3.12,-3.03
190411,-3.22,-3.00
190412,-0.02,0.19
190501,0.31,0.52
190502,1.12,1.31
190503,0.64,0.88
190504,1.09,1.24
190505,0.93,1.01
190506,1.08,1.17
190507,0.97,1.17
190508,1.45,1.52
190509,1.10,1.23
190510,1.43,1.52
190511,-0.45,-0.23
190512,-0.32,-0.11
190601,-0.64,-0.43
190602,-1.43,-1.24
190603,-0.57,-0.33
190604,-1.45,-1.30
190605,-1.36,-1.28
190606,-1.50,-1.41
190607,0.42,0.62
190608,0.09,0.16
190609,1.65,1.78
190610,2.06,2.15
190611,-0.08,0.14
190612,-0.39,-0.18
190701,-1.31,-1.10
190702,-1.35,-1.16
190703,-2.27,-2.03
190704,0.39,0.54
190705,2.47,2.55
190706,-0.38,-0.29
190707,-0.57,-0.37
190708,-0.89,-0.82
190709,-0.90,-0.77
190710,-1.12,-1.03
190711,0.28,0.50
190712,-0.18,0.03
190801,-0.33,-0.12
190802,0.98,1.17
190803,-0.70,-0.46
190804,-0.79,-0.64
190805,0.51,0.59
190806,0.74,0.83
190807,0.89,1.09
190808,1.69,1.76
190809,-0.07,0.06
190810,-0.64,-0.55
190811,-1.36,-1.14
190812,-1.57,-1.36
190901,-2.32,-2.11
190902,0.49,0.68
