Missouri, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.00,-0.32
189502,-0.56,-0.81
189503,-0.77,-0.92
189504,-1.50,-1.68
189505,-1.65,-1.79
189506,0.50,0.22
189507,1.98,1.70
189508,2.18,1.90
189509,1.76,1.31
189510,0.88,0.58
189511,1.05,0.73
189512,2.82,2.67
189601,2.38,2.06
189602,2.05,1.80
189603,1.58,1.43
189604,1.02,0.84
189605,2.02,1.88
189606,1.69,1.41
189607,2.29,2.01
189608,2.14,1.86
189609,2.29,1.84
189610,2.08,1.78
189611,1.92,1.60
189612,1.28,1.13
189701,2.73,2.41
189702,2.72,2.47
189703,3.97,3.82
189704,3.92,3.74
189705,-0.65,-0.79
189706,-0.17,-0.45
189707,-0.17,-0.45
189708,-0.41,-0.69
189709,-1.61,-2.06
189710,-2.72,-3.02
189711,-3.03,-3.35
189712,-2.78,-2.93
189801,0.80,0.48
189802,0.67,0.42
189803,2.39,2.24
189804,2.20,2.02
189805,2.87,2.73
189806,2.88,2.60
189807,3.55,3.27
189808,3.35,3.07
189809,4.04,3.59
189810,4.46,4.16
189811,4.29,3.97
189812,3.79,3.64
189901,3.49,3.17
189902,3.39,3.14
189903,3.10,2.95
189904,2.76,2.58
189905,2.86,2.72
189906,2.32,2.04
189907,2.60,2.32
189908,-0.17,-0.45
189909,-0.69,-1.14
189910,-0.91,-1.21
189911,-1.44,-1.76
189912,-1.58,-1.73
190001,-1.79,-2.11
190002,-0.59,-0.84
190003,-1.14,-1.29
190004,-1.22,-1.40
190005,-1.51,-1.65
190006,0.24,-0.04
190007,0.66,0.38
190008,0.62,0.34
190009,0.83,0.38
190010,0.91,0.61
190011,0.99,0.67
190012,-0.45,-0.60
190101,-0.54,-0.86
190102,-0.50,-0.75
190103,-0.19,-0.34
190104,-0.40,-0.58
190105,-1.44,-1.58
190106,-2.38,-2.66
190107,-3.47,-3.75
190108,-4.19,-4.47
190109,-4.59,-5.04
190110,-5.04,-5.34
190111,-5.60,-5.92
190112,-5.42,-5.57
190201,-5.53,-5.85
190202,-5.57,-5.82
190203,-5.06,-5.21
190204,-4.87,-5.05
190205,-4.55,-4.69
190206,0.81,0.53
190207,1.13,0.85
190208,2.24,1.96
190209,2.73,2.28
190210,2.42,2.12
190211,2.69,2.37
190212,3.00,2.85
190301,2.62,2.30
190302,3.06,2.81
190303,2.84,2.69
190304,2.40,2.22
190305,2.97,2.83
190306,2.54,2.26
190307,2.40,2.12
190308,2.88,2.60
190309,2.93,2.48
190310,2.78,2.48
190311,2.25,1.93
190312,1.94,1.79
190401,2.30,1.98
190402,1.71,1.46
190403,1.98,1.83
190404,2.75,2.57
190405,2.51,2.37
190406,3.01,2.73
190407,3.32,3.04
190408,3.87,3.59
190409,3.68,3.23
190410,-0.59,-0.89
190411,-1.35,-1.67
190412,-1.64,-1.79
190501,-1.41,-1.73
190502,-1.31,-1.56
190503,-1.44,-1.59
190504,-1.47,-1.65
190505,-1.14,-1.28
190506,-1.53,-1.81
190507,1.81,1.53
190508,2.31,2.03
190509,3.48,3.03
190510,4.12,3.82
190511,3.70,3.38
190512,3.25,3.10
190601,3.61,3.29
190602,3.54,3.29
190603,3.77,3.62
190604,2.72,2.54
190605,1.61,1.47
190606,1.62,1.34
190607,1.64,1.36
190608,2.03,1.75
190609,2.15,1.70
190610,1.37,1.07
190611,1.47,1.15
190612,1.49,1.34
190701,2.71,2.39
190702,2.20,1.95
190703,1.41,1.26
190704,1.43,1.25
190705,1.83,1.69
190706,2.09,1.81
190707,2.29,2.01
190708,2.33,2.05
190709,1.67,1.22
190710,1.40,1.10
190711,1.05,0.73
190712,0.67,0.52
190801,0.63,0.31
190802,1.69,1.44
190803,1.22,1.07
190804,1.89,1.71
190805,2.29,2.15
190806,2.54,2.26
190807,2.42,2.14
190808,2.33,2.05
190809,-0.50,-0.95
190810,-0.76,-1.06
190811,-0.56,-0.88
190812,-1.14,-1.29
190901,0.24,-0.08
190902,0.79,0.54
190903,0.65,0.50
190904,1.04,0.86
190905,1.33,1.19
190906,1.47,1.19
190907,2.35,2.07
190908,-0.96,-1.24
190909,0.21,-0.24
190910,0.07,-0.23
190911,0.36,0.04
190912,0.72,0.57
191001,0.78,0.46
191002,0.80,0.55
191003,-1.52,-1.67
191004,-1.56,-1.74
191005,0.78,0.64
191006,0.62,0.34
191007,1.54,1.26
191008,1.40,1.12
191009,1.92,1.47
191010,0.01,-0.29
191011,-0.52,-0.84
191012,-0.73,-0.88
191101,-0.98,-1.30
191102,-0.04,-0.29
191103,-0.73,-0.88
191104,-0.12,-0.30
191105,-1.43,-1.57
191106,-2.52,-2.80
191107,-2.67,-2.95
191108,0.01,-0.27
191109,0.52,0.07
191110,0.43,0.13
191111,0.37,0.05
191112,0.51,0.36
191201,0.27,-0.05
191202,0.57,0.32
191203,1.37,1.22
191204,2.05,1.87
191205,-0.45,-0.59
191206,0.26,-0.02
191207,0.07,-0.21
191208,0.33,0.05
191209,-0.15,-0.60
191210,0.00,-0.30
191211,-0.42,-0.74
191212,-1.10,-1.25
191301,0.78,0.46
191302,0.80,0.55
191303,1.39,1.24
191304,-0.16,-0.34
191305,-0.89,-1.03
191306,-1.51,-1.79
191307,-1.83,-2.11
191308,-3.12,-3.40
191309,-2.81,-3.26
191310,-2.09,-2.39
191311,-2.22,-2.54
191312,-2.16,-2.31
191401,-2.08,-2.40
191402,-1.45,-1.70
191403,-1.48,-1.63
191404,-1.53,-1.71
191405,-2.58,-2.72
191406,-3.42,-3.70
191407,-4.00,-4.28
191408,-3.81,-4.09
191409,0.49,0.04
191410,0.81,0.51
191411,-0.78,-1.10
191412,-0.74,-0.89
191501,0.45,0.13
191502,0.91,0.66
191503,-0.47,-0.62
191504,-1.31,-1.49
191505,0.94,0.80
191506,1.65,1.37
191507,2.47,2.19
191508,4.30,4.02
191509,4.61,4.16
191510,3.70,3.40
191511,3.44,3.12
191512,3.45,3.30
191601,5.39,5.07
191602,-0.38,-0.63
191603,-0.70,-0.85
191604,-0.71,-0.89
191605,0.23,0.09
191606,0.77,0.49
191607,-0.88,-1.16
191608,-1.03,-1.31
191609,-1.31,-1.76
191610,-1.79,-2.09
191611,-2.20,-2.52
191612,-2.47,-2.62
191701,-2.57,-2.89
191702,-3.12,-3.37
191703,-3.19,-3.34
191704,-1.94,-2.12
191705,-1.55,-1.69
191706,-1.45,-1.73
191707,-1.29,-1.57
191708,-0.66,-0.94
191709,-0.78,-1.23
191710,-1.15,-1.45
191711,-1.77,-2.09
191712,-2.44,-2.59
191801,-2.49,-2.81
191802,-2.79,-3.04
191803,-3.71,-3.86
191804,-2.57,-2.75
191805,-2.26,-2.40
191806,-2.55,-2.83
191807,-2.96,-3.24
191808,-3.22,-3.50
191809,-2.55,-3.00
191810,-2.37,-2.67
191811,-2.10,-2.42
191812,-1.58,-1.73
191901,-1.89,-2.21
191902,-1.61,-1.86
191903,-1.88,-2.03
191904,-1.94,-2.12
191905,0.49,0.35
191906,0.79,0.51
191907,0.31,0.03
191908,0.49,0.21
191909,0.16,-0.29
191910,1.49,1.19
191911,2.02,1.70
191912,-0.48,-0.63
192001,-0.39,-0.71
192002,-0.90,-1.15
192003,0.76,0.61
192004,0.86,0.68
192005,0.99,0.85
192006,0.21,-0.07
192007,0.09,-0.19
192008,0.55,0.27
192009,0.74,0.29
192010,-0.06,-0.36
192011,-0.58,-0.90
192012,-0.72,-0.87
192101,-0.59,-0.91
192102,-1.04,-1.29
192103,0.37,0.22
192104,0.93,0.75
192105,0.37,0.23
192106,0.58,0.30
192107,0.09,-0.19
192108,0.68,0.40
192109,1.40,0.95
192110,1.06,0.76
192111,1.08,0.76
192112,0.99,0.84
192201,0.75,0.43
192202,0.65,0.40
192203,1.83,1.68
192204,2.60,2.42
192205,-0.64,-0.78
192206,-1.61,-1.89
192207,-0.94,-1.22
192208,-1.47,-1.75
192209,-1.81,-2.26
192210,-2.35,-2.65
192211,-2.33,-2.65
192212,-2.40,-2.55
192301,0.05,-0.27
192302,-0.12,-0.37
192303,0.45,0.30
192304,0.24,0.06
192305,0.29,0.15
192306,0.57,0.29
192307,0.47,0.19
192308,0.47,0.19
192309,0.59,0.14
192310,0.85,0.55
192311,0.70,0.38
192312,0.99,0.84
192401,-0.02,-0.34
192402,-0.01,-0.26
192403,-0.11,-0.26
192404,-0.76,-0.94
192405,0.29,0.15
192406,1.21,0.93
192407,2.03,1.75
192408,2.35,2.07
192409,2.52,2.07
192410,-0.57,-0.87
192411,-0.75,-1.07
192412,-0.11,-0.26
192501,-0.34,-0.66
192502,-0.42,-0.67
192503,-1.04,-1.19
192504,-1.01,-1.19
192505,-1.61,-1.75
192506,0.25,-0.03
192507,-0.19,-0.47
192508,-0.29,-0.57
192509,0.60,0.15
192510,1.54,1.24
192511,1.86,1.54
192512,-0.15,-0.30
192601,-0.04,-0.36
192602,-0.02,-0.27
192603,-0.03,-0.18
192604,-0.29,-0.47
192605,-1.06,-1.20
192606,-1.14,-1.42
192607,-1.27,-1.55
192608,0.58,0.30
192609,2.11,1.66
192610,2.78,2.48
192611,3.01,2.69
192612,2.80,2.65
192701,3.01,2.69
192702,2.19,1.94
192703,2.96,2.81
192704,4.39,4.21
192705,4.62,4.48
192706,4.69,4.41
192707,4.69,4.41
192708,5.23,4.95
192709,4.82,4.37
192710,4.91,4.61
192711,5.02,4.70
192712,4.88,4.73
192801,4.09,3.77
192802,3.80,3.55
192803,2.66,2.51
192804,3.02,2.84
192805,2.04,1.90
192806,4.09,3.81
192807,3.53,3.25
192808,3.92,3.64
192809,3.34,2.89
192810,3.07,2.77
192811,3.59,3.27
192812,3.36,3.21
192901,3.73,3.41
192902,3.39,3.14
192903,2.89,2.74
192904,3.40,3.22
192905,4.22,4.08
192906,4.26,3.98
192907,4.05,3.77
192908,3.42,3.14
192909,2.87,2.42
192910,3.40,3.10
192911,2.90,2.58
192912,2.49,2.34
193001,3.35,3.03
193002,-0.31,-0.56
193003,-1.00,-1.15
193004,-1.74,-1.92
193005,-2.04,-2.18
193006,-2.06,-2.34
193007,-2.93,-3.21
193008,-3.58,-3.86
193009,-3.40,-3.85
193010,-3.19,-3.49
193011,-3.23,-3.55
193012,-3.61,-3.76
193101,-4.00,-4.32
193102,-3.77,-4.02
193103,-3.28,-3.43
193104,-3.20,-3.38
193105,-2.74,-2.88
193106,-3.18,-3.46
193107,-3.13,-3.41
193108,0.48,0.20
193109,0.21,-0.24
193110,0.02,-0.28
193111,0.56,0.24
193112,0.64,0.49
193201,1.22,0.90
193202,-0.43,-0.68
193203,-0.76,-0.91
193204,-1.24,-1.42
193205,-2.10,-2.24
193206,-0.03,-0.31
193207,-0.07,-0.35
193208,0.49,0.21
193209,-0.45,-0.90
193210,-0.30,-0.60
193211,-0.54,-0.86
193212,0.79,0.64
193301,0.90,0.58
193302,0.62,0.37
193303,0.60,0.45
193304,0.55,0.37
193305,1.42,1.28
193306,-1.17,-1.45
193307,-1.76,-2.04
193308,-1.64,-1.92
193309,-1.63,-2.08
193310,-1.68,-1.98
193311,-2.48,-2.80
193312,-2.95,-3.10
193401,-3.33,-3.65
193402,-3.66,-3.91
193403,-3.70,-3.85
193404,-3.82,-4.00
193405,-4.52,-4.66
193406,-4.99,-5.27
193407,-6.14,-6.42
193408,-6.16,-6.44
193409,1.03,0.58
193410,0.58,0.28
193411,1.25,0.93
193412,1.07,0.92
193501,1.29,0.97
193502,0.97,0.72
193503,1.47,1.32
193504,1.13,0.95
193505,2.53,2.39
193506,3.94,3.66
193507,-0.12,-0.40
193508,-0.65,-0.93
193509,-0.71,-1.16
193510,-0.58,-0.88
193511,-0.08,-0.40
193512,-0.35,-0.50
193601,-0.56,-0.88
193602,-0.70,-0.95
193603,-1.67,-1.82
193604,-1.90,-2.08
193605,-2.62,-2.76
193606,-3.50,-3.78
193607,-4.66,-4.94
193608,-6.04,-6.32
193609,1.00,0.55
193610,1.05,0.75
193611,0.72,0.40
193612,0.78,0.63
193701,2.43,2.11
193702,-0.18,-0.43
193703,-0.66,-0.81
193704,-0.49,-0.67
193705,-0.77,-0.91
193706,-0.59,-0.87
193707,-0.25,-0.53
193708,-0.81,-1.09
193709,-1.33,-1.78
193710,-1.57,-1.87
193711,-1.96,-2.28
193712,-2.13,-2.28
193801,0.26,-0.06
193802,0.72,0.47
193803,0.88,0.73
193804,0.75,0.57
193805,1.25,1.11
193806,1.26,0.98
193807,1.19,0.91
193808,-0.48,-0.76
193809,-1.20,-1.65
193810,-2.15,-2.45
193811,-1.91,-2.23
193812,-2.14,-2.29
193901,0.14,-0.18
193902,0.73,0.48
193903,0.48,0.33
193904,1.01,0.83
193905,0.60,0.46
193906,0.91,0.63
193907,0.65,0.37
193908,1.04,0.76
193909,-1.13,-1.58
