Montana, Palmer Drought Severity Index (PDSI)
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,1.69,1.19
189502,2.29,1.78
189503,2.44,2.01
189504,-0.40,-0.82
189505,-0.88,-1.35
189506,-0.41,-0.85
189507,-0.20,-0.70
189508,-0.60,-1.12
189509,-0.58,-0.97
189510,-0.95,-1.34
189511,0.26,-0.16
189512,0.52,0.15
189601,1.08,0.58
189602,1.29,0.78
189603,1.96,1.53
189604,2.22,1.80
189605,3.28,2.81
189606,2.47,2.03
189607,2.22,1.72
189608,1.81,1.29
189609,2.43,2.04
189610,1.86,1.47
189611,3.67,3.25
189612,3.33,2.96
189701,3.44,2.94
189702,4.17,3.66
189703,4.74,4.31
189704,4.01,3.59
189705,2.46,1.99
189706,2.87,2.43
189707,2.78,2.28
189708,1.84,1.32
189709,1.25,0.86
189710,1.36,0.97
189711,3.30,2.88
189712,3.59,3.22
189801,3.57,3.07
189802,3.76,3.25
189803,5.27,4.84
189804,4.70,4.28
189805,5.20,4.73
189806,5.08,4.64
189807,4.94,4.44
189808,4.17,3.65
189809,3.50,3.11
189810,3.96,3.57
189811,3.87,3.45
189812,3.22,2.85
189901,3.58,3.08
189902,4.10,3.59
189903,4.48,4.05
189904,4.32,3.90
189905,4.85,4.38
189906,4.32,3.88
189907,4.32,3.82
189908,4.35,3.83
189909,3.50,3.11
189910,3.90,3.51
189911,3.10,2.68
189912,3.24,2.87
190001,2.58,2.08
190002,2.50,1.99
190003,2.64,2.21
190004,2.94,2.52
190005,-0.30,-0.77
190006,-1.59,-2.03
190007,-2.46,-2.96
190008,-2.05,-2.57
190009,-1.53,-1.92
190010,-1.32,-1.71
190011,-1.03,-1.45
190012,-1.37,-1.74
190101,-1.46,-1.96
190102,-1.51,-2.02
190103,-1.61,-2.04
190104,-1.72,-2.14
190105,0.13,-0.34
190106,0.82,0.38
190107,0.76,0.26
190108,0.20,-0.32
190109,0.92,0.53
190110,-0.75,-1.14
190111,-1.18,-1.60
190112,0.53,0.16
190201,0.01,-0.49
190202,0.22,-0.29
190203,0.66,0.23
190204,0.76,0.34
190205,1.57,1.10
190206,1.62,1.18
190207,2.17,1.67
190208,2.10,1.58
190209,1.47,1.08
190210,0.62,0.23
190211,1.28,0.86
190212,1.69,1.32
190301,1.59,1.09
190302,1.35,0.84
190303,1.51,1.08
190304,1.79,1.37
190305,1.97,1.50
190306,1.28,0.84
190307,2.20,1.70
190308,2.65,2.13
190309,2.72,2.33
190310,1.98,1.59
190311,2.48,2.06
190312,2.41,2.04
190401,2.44,1.94
190402,3.47,2.96
190403,4.78,4.35
190404,-0.30,-0.72
190405,-0.65,-1.12
190406,-1.19,-1.63
190407,-1.43,-1.93
190408,-1.91,-2.43
190409,-2.65,-3.04
190410,-3.11,-3.50
190411,-4.08,-4.50
190412,-4.30,-4.67
190501,-4.64,-5.14
190502,-5.18,-5.69
190503,-6.11,-6.54
190504,-6.44,-6.86
190505,-5.69,-6.16
190506,-4.53,-4.97
190507,-4.14,-4.64
190508,-4.39,-4.91
190509,-4.44,-4.83
190510,-3.65,-4.04
190511,-3.23,-3.65
190512,-3.70,-4.07
190601,-3.80,-4.30
190602,-3.86,-4.37
190603,-3.88,-4.31
190604,-4.10,-4.52
190605,1.40,0.93
190606,2.08,1.64
190607,1.75,1.25
190608,2.46,1.94
190609,2.01,1.62
190610,1.46,1.07
190611,2.18,1.76
190612,3.02,2.65
190701,4.20,3.70
190702,4.70,4.19
190703,5.13,4.70
190704,4.87,4.45
190705,4.98,4.51
190706,5.53,5.09
190707,5.90,5.40
190708,6.24,5.72
190709,5.74,5.35
190710,4.38,3.99
190711,3.39,2.97
190712,2.58,2.21
190801,1.84,1.34
190802,1.48,0.97
190803,1.77,1.34
190804,1.15,0.73
190805,2.97,2.50
190806,3.32,2.88
190807,3.11,2.61
190808,2.92,2.40
190809,2.85,2.46
190810,3.63,3.24
190811,2.80,2.38
190812,2.12,1.75
190901,2.97,2.47
190902,2.84,2.33
190903,3.05,2.62
190904,3.23,2.81
190905,3.44,2.97
190906,3.58,3.14
190907,4.80,4.30
190908,4.63,4.11
